Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size
0,0,0,0,0.7,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
1,65,0,0,0.6249999902343751,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
6,1642,0,1021,0.6610169435507038,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
11,3256,0,2051,0.7586206765755056,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
16,5377,0,3136,0.645999998708,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
21,6358,0,3645,0.6217616548095252,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
26,7380,0,4275,0.5753424578720211,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
31,8298,0,4779,0.6559999947520001,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
36,8994,0,5154,0.6956521663516069,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
41,10788,0,6224,0.5492957669113272,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
46,11252,0,6460,0.6829268209399169,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
51,13216,0,7589,0.6476190414512473,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
56,14105,0,7979,0.6453201938654177,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
61,14449,0,8124,0.5612244840691379,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
66,15696,1,8831,0.499999991935484,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
71,16571,0,9246,0.6249999958881579,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
76,17443,0,9733,0.5999999880000003,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
81,18613,0,10373,0.5576922969674558,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
86,19286,0,10686,0.6090225518118605,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
91,19906,0,11002,0.5370370270919069,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
96,20371,1,11214,0.6326530547688464,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
101,20876,0,11438,0.6101694863544959,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
106,21445,1,11710,0.5087719208987382,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
111,21832,1,11899,0.45098038331411017,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
116,22549,0,12229,0.4545454462809919,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
121,23311,1,12599,0.46376810922075207,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
126,23679,0,12777,0.6140350769467531,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
131,23963,1,12885,0.5769230658284026,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
136,24312,1,13042,0.5370370270919069,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
141,24780,1,13236,0.6491227956294247,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
146,25329,1,13502,0.6323529318771628,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
151,25614,0,13615,0.6034482654577885,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
156,25916,1,13747,0.5322580559313217,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
161,26310,1,13933,0.6499999891666669,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
166,26759,1,14121,0.46575341827735045,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
171,27052,1,14247,0.49999999038461557,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
176,27352,1,14377,0.6499999891666669,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
181,27651,1,14496,0.43333332611111125,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
186,27945,1,14617,0.5357142761479594,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
191,28229,1,14737,0.43859648353339503,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
196,28528,1,14859,0.44642856345663284,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
201,29207,1,15189,0.45901638591776417,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
206,29493,1,15314,0.5454545355371903,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
211,29782,0,15437,0.6379310234839479,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
216,30075,1,15558,0.47692306958579894,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
221,30350,1,15667,0.5172413703923902,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
226,30651,1,15795,0.43548386394380867,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
231,30941,1,15914,0.5172413703923902,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
236,31225,1,16011,0.5254237199080726,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
241,31507,1,16123,0.4426229435635583,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
246,31798,1,16251,0.33333332716049396,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
251,32087,1,16359,0.5999999900000001,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
256,32370,1,16450,0.3968253905265811,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
261,32665,1,16547,0.41935483194588985,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
266,32940,1,16656,0.4615384526627221,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
