Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size,Alpha
0,0,0,0,0.9,0.1,50000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
1,66,0,0,0.8769230634319529,0.1,50000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
6,2086,0,1504,0.8839590413516757,0.1,50000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
11,4586,0,3250,0.837999998324,0.1,50000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
16,5921,1,3951,0.81999999836,0.1,50000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
21,7562,0,5200,0.8181818075560805,0.1,50000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
26,9640,0,6414,0.731999998536,0.1,50000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
31,11027,0,7081,0.73999999852,0.1,50000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
36,12057,1,7667,0.6618357455949964,0.1,50000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
41,13619,0,8706,0.7204300997803216,0.1,50000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
46,15243,1,9779,0.7076922968047339,0.1,50000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
51,16443,1,10230,0.627999998744,0.1,50000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
56,17274,0,10680,0.7664233520699025,0.1,50000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
61,17563,1,10838,0.8518518360768179,0.1,50000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
66,18499,1,11424,0.5789473582640815,0.1,50000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
71,18798,0,11594,0.7068965395362666,0.1,50000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
76,19148,1,11805,0.7307692167159766,0.1,50000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
81,19442,1,11964,0.6935483759105101,0.1,50000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
86,19730,0,12119,0.650793640463593,0.1,50000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
91,20018,1,12271,0.6607142739158166,0.1,50000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
96,20292,0,12398,0.6607142739158166,0.1,50000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
101,20583,0,12562,0.6557376941682346,0.1,50000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
106,20847,1,12709,0.6785714164540819,0.1,50000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
111,21149,0,12870,0.7611940184896415,0.1,50000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
116,21551,1,13047,0.6538461488165681,0.1,50000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
121,21824,1,13187,0.7592592451989029,0.1,50000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
126,22114,0,13339,0.499999991935484,0.1,50000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
131,22396,1,13485,0.6999999883333335,0.1,50000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
136,22702,1,13637,0.6129032159209159,0.1,50000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
141,22995,1,13790,0.6607142739158166,0.1,50000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
146,23300,0,13931,0.6666666565656567,0.1,50000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
151,23606,0,14088,0.5573770400429994,0.1,50000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
156,23897,0,14231,0.5737704823972052,0.1,50000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
161,24177,0,14382,0.6603773460306162,0.1,50000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
166,24549,1,14583,0.6363636247933887,0.1,50000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
171,24839,1,14725,0.6031745936004033,0.1,50000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
176,25148,0,14872,0.6874999892578127,0.1,50000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
