Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size,Alpha
0,0,0,0,0.9,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
1,501,0,0,0.891999998216,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
6,2201,1,1099,0.8793103429325209,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
11,3675,0,2277,0.8157894629501387,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
16,5303,0,3204,0.831999998336,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
21,7803,0,4810,0.783999998432,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
26,9210,0,5827,0.7820512770381328,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
31,10457,0,6714,0.7692307607776839,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
36,11591,0,7330,0.7508090590588704,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
41,13094,0,8061,0.737999998524,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
46,14522,0,8916,0.7413793071492272,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
51,15561,1,9474,0.7578124970397949,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
56,16430,0,10060,0.8181818057851242,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
61,17682,1,10571,0.665999998668,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
66,18808,0,11250,0.6814159231733105,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
71,20016,0,12013,0.7681159308968706,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
76,21581,1,12979,0.6274509742406768,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
81,23923,1,14211,0.6345029221213365,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
86,25095,1,14847,0.5940594000588179,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
91,25742,1,15119,0.612903222511273,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
96,26243,0,15387,0.6363636280991737,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
101,27181,1,15864,0.6666666621315194,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
106,27510,0,16006,0.6623376537358746,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
111,29137,0,16911,0.5967741839229971,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
116,29541,1,17116,0.4848484775022958,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
121,30109,1,17414,0.6376811501785341,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
126,30867,1,17822,0.6031745936004033,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
131,31543,0,18182,0.48275861236623085,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
136,32820,0,18744,0.552123549991801,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
141,33278,1,18933,0.576271181557024,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
146,33738,0,19137,0.4811320709327163,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
151,34140,1,19300,0.5344827540130798,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
156,35383,0,19934,0.3650793592844546,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
161,36249,1,20366,0.5499999908333335,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
166,36714,0,20572,0.5857142773469389,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
171,37462,0,20918,0.4423076838017753,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
176,38165,0,21198,0.5174825138637587,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
181,38567,0,21381,0.4399999941333334,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
186,39369,0,21727,0.49494948995000515,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
191,39920,1,21974,0.6065573671056169,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
196,40620,0,22221,0.4043715824897728,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
201,41183,1,22440,0.4621848700656734,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
206,41599,1,22601,0.46835442445120984,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
211,42452,1,22998,0.49999999285714297,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
216,42898,1,23179,0.47058822837370257,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
221,43668,1,23464,0.49999999468085116,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
226,44026,1,23584,0.4912280658664205,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
231,44419,0,23741,0.3650793592844546,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
236,44861,1,23899,0.591397843103249,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
241,45164,0,24006,0.3650793592844546,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
246,45474,1,24118,0.4920634842529606,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
251,45816,1,24231,0.4843749924316408,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
256,46174,1,24349,0.41791044152372475,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
261,46481,0,24462,0.44999999250000017,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
266,46802,1,24578,0.4776119331699712,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
