Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size,Alpha
0,0,0,0,0.9,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
1,501,0,0,0.895999998208,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
6,2624,0,1756,0.8943089358186266,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
11,4354,0,3117,0.7465753373522237,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
16,5751,0,4111,0.8355555518419754,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
21,6634,0,4434,0.797999998404,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
26,7535,1,5059,0.8247422595387396,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
31,8544,0,5643,0.8270676660636554,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
36,9797,0,6237,0.767999998464,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
41,10670,1,6543,0.765999998468,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
46,11626,0,7216,0.6987951723036726,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
51,12813,0,7998,0.8306451545915714,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
56,15313,1,9455,0.717999998564,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
61,16349,0,10091,0.6923076863905326,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
66,17340,0,10742,0.6626505944258965,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
71,18257,0,11309,0.7471264281939491,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
76,19138,1,11838,0.7313432726665183,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
81,19999,0,12346,0.6538461475591717,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
86,20902,1,12866,0.6016260113688943,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
91,22243,0,13438,0.62999999874,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
96,24101,1,14490,0.6349206298815823,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
101,25317,1,15174,0.6835442951450089,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
106,26973,0,15900,0.577999998844,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
111,28708,0,16638,0.587999998824,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
116,30682,1,17504,0.55999999888,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
121,32408,1,18191,0.51999999896,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
126,34510,0,19228,0.529411759515571,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
131,35431,0,19726,0.5272727176859506,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
136,37517,1,20553,0.5079999989840001,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
141,39212,0,21393,0.4468085058850159,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
146,40541,1,21989,0.5084745719620799,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
151,41866,0,22394,0.49999999900000003,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
156,43763,1,23049,0.45999999908,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
161,45064,1,23590,0.45370369950274353,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
166,45993,1,23980,0.4736842042936289,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
171,47120,1,24371,0.442906572861915,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
176,48002,1,24711,0.4367816041749241,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
181,50502,0,25600,0.405999999188,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
186,51790,1,25930,0.361999999276,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
191,53487,1,26392,0.385999999228,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
196,55589,1,27003,0.3999999992,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
201,57276,0,27467,0.387999999224,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
206,58371,1,27804,0.3293172677537459,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
211,59668,0,28103,0.391999999216,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
216,61091,1,28420,0.351999999296,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
221,63591,0,29128,0.30199999939600003,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
226,65272,1,29525,0.325999999348,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
231,67002,1,29965,0.335999999328,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
236,68466,0,30397,0.3099999969,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
241,70430,1,30880,0.28999999942,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
246,72512,1,31362,0.293999999412,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
251,74718,1,31882,0.265999999468,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
