,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183
Episode,0.0,1.0,6.0,11.0,16.0,21.0,26.0,31.0,36.0,41.0,46.0,51.0,56.0,61.0,66.0,71.0,76.0,81.0,86.0,91.0,96.0,101.0,106.0,111.0,116.0,121.0,126.0,131.0,136.0,141.0,146.0,151.0,156.0,161.0,166.0,171.0,176.0,181.0,186.0,191.0,196.0,201.0,206.0,211.0,216.0,221.0,226.0,231.0,236.0,241.0,246.0,251.0,256.0,261.0,266.0,271.0,276.0,281.0,286.0,291.0,296.0,301.0,306.0,311.0,316.0,321.0,326.0,331.0,336.0,341.0,346.0,351.0,356.0,361.0,366.0,371.0,376.0,381.0,386.0,391.0,396.0,401.0,406.0,411.0,416.0,421.0,426.0,431.0,436.0,441.0,446.0,451.0,456.0,461.0,466.0,471.0,476.0,481.0,486.0,491.0,496.0,501.0,506.0,511.0,516.0,521.0,526.0,531.0,536.0,541.0,546.0,551.0,556.0,561.0,566.0,571.0,576.0,581.0,586.0,591.0,596.0,601.0,606.0,611.0,616.0,621.0,626.0,631.0,636.0,641.0,646.0,651.0,656.0,661.0,666.0,671.0,676.0,681.0,686.0,691.0,696.0,701.0,706.0,711.0,716.0,721.0,726.0,731.0,736.0,741.0,746.0,751.0,756.0,761.0,766.0,771.0,776.0,781.0,786.0,791.0,796.0,801.0,806.0,811.0,816.0,821.0,826.0,831.0,836.0,841.0,846.0,851.0,856.0,861.0,866.0,871.0,876.0,881.0,886.0,891.0,896.0,901.0,906.0,911.0
Accumulated time steps,0.0,501.0,1401.0,1723.0,2038.0,2338.0,2678.0,2984.0,3321.0,3744.0,4040.0,4342.0,4649.0,4940.0,5243.0,5553.0,5848.0,6148.0,6454.0,6750.0,7058.0,7362.0,7670.0,7976.0,8291.0,8583.0,8939.0,9344.0,9651.0,9947.0,10679.0,11045.0,11392.0,11683.0,12002.0,12299.0,12597.0,12919.0,13371.0,13668.0,14380.0,14689.0,15003.0,15286.0,15589.0,15874.0,16182.0,16478.0,16763.0,17056.0,17356.0,17652.0,17960.0,18263.0,18578.0,18868.0,19257.0,19558.0,19872.0,20173.0,20468.0,20753.0,21050.0,21397.0,21705.0,22002.0,22294.0,22594.0,22864.0,23147.0,23431.0,23771.0,24360.0,24706.0,25004.0,25324.0,25692.0,26005.0,26299.0,26582.0,26868.0,27173.0,27524.0,27832.0,28120.0,28433.0,28737.0,29028.0,29317.0,29619.0,29934.0,30418.0,30828.0,31107.0,31396.0,31901.0,32295.0,32602.0,32901.0,33195.0,33488.0,33784.0,34076.0,34385.0,34676.0,34975.0,35267.0,35557.0,35877.0,36224.0,36582.0,37305.0,37586.0,37890.0,38217.0,38522.0,38825.0,39116.0,39402.0,39692.0,39989.0,40312.0,40595.0,40900.0,41181.0,41478.0,41782.0,42150.0,42492.0,42835.0,43200.0,43476.0,43781.0,44070.0,44354.0,44645.0,44959.0,45245.0,45572.0,45871.0,46705.0,47002.0,47337.0,47660.0,48005.0,48302.0,48603.0,48901.0,49207.0,49502.0,49857.0,50154.0,50437.0,50722.0,51073.0,51374.0,51765.0,52068.0,52358.0,52640.0,52953.0,53238.0,53748.0,54057.0,54355.0,54660.0,55045.0,55348.0,55628.0,55908.0,56198.0,56618.0,56904.0,57363.0,57723.0,58011.0,58321.0,58664.0,58972.0,59319.0,59654.0,59952.0,60261.0,60501.0
Episode reward,0.0,362.2585678926636,295.5765069885323,188.73100119239606,177.4042846324313,167.233596599388,162.5480848990529,125.8861761766237,123.06634000718849,175.8152672369888,171.45545397828965,140.53963367917942,147.3310509109976,175.58947607108692,179.37106121801082,171.546197823281,131.40023810470947,146.9491334598047,176.91626257501497,193.7662650249419,160.8625124693034,162.00293346180092,186.94773793398193,185.78693499336254,181.98050534003684,141.70850435359824,166.9576342687304,173.38463339877873,176.21909050635313,186.088881071267,173.7857981126018,187.09713180637252,181.14253201462043,129.34016921443933,202.79056932869713,130.85071562329227,185.80427781641487,134.92399189827327,183.62162456590698,176.11885338324745,1742.293460243718,177.31486552987047,186.67612257475716,129.09728892103604,165.5566377096917,138.29196943890705,191.68328055380812,144.1269894084215,130.58495742562542,124.790654664335,157.6697385625348,129.6783633948454,159.236312878025,162.64738696979435,193.2050385101517,156.81461047629287,368.1144938137741,178.243490666543,174.79131951915144,128.89167690915463,126.89502661471643,158.36451892979073,165.83342315306973,172.80724804635815,164.31350619196292,173.81445466284305,161.42807095552078,132.5933015537909,137.20114483692151,170.91121544224973,161.37569079738773,168.30368230736624,164.3480949730149,124.60337924688086,191.9940085407035,170.76699016273818,127.85485148131788,193.57875631867813,131.8436668154144,161.6414026414942,124.5559558701412,186.49619996323037,134.8426597860209,186.27776914036005,155.6397545421824,167.94287719938148,179.8018353485569,190.34271949201695,193.10914649186873,186.3571812273049,183.28682989648019,189.0212081517885,655.5692063062542,162.56460592624416,155.8506476531526,179.0977493027754,481.3029060875926,160.56439081721777,182.40777865348912,179.82629869753387,161.33683665673942,176.23019234357878,151.47296060404372,165.8736060950697,140.74881003704292,182.5298837699367,181.86548068117642,177.74249663639017,173.8951823928835,135.86721656437385,126.34857220715163,1591.8535401997315,118.4849760581669,171.01150455561196,116.49917748688952,174.6711745087634,188.29786805223992,128.44439683189125,128.6135028971454,162.5241020514834,159.40611199978005,123.2140728372103,190.4301152688755,185.68583946223762,139.2443412791955,138.35175853904838,145.74051270038012,123.78507746033145,173.5084028060155,163.12696102361363,129.22578664058864,124.75377998346264,178.485136638606,141.4801195752076,126.3897075884302,169.5516542000177,172.4278228071046,160.2217394653361,369.9647209687276,175.0936046974165,143.25319054316978,190.50323382764142,366.87283527216283,187.04725853276608,186.31322126437703,182.65415134511974,117.93167281677933,143.88061291795995,171.46993506941672,130.1925020748805,184.96426755239418,173.17160453119277,134.27599174957766,136.52856971297007,184.8036462173934,163.42694996080252,158.84809817622784,185.9543562607684,150.0065755447954,166.5748494727418,269.85293235506515,175.8197030771683,161.0647001411642,204.44894679802994,173.77036194373494,208.6923319643142,427.1800989809466,151.85144622338788,176.38145435061128,160.2231947738268,183.43331616141964,179.63185684740466,126.5493267323949,154.9464522090262,457.3676886150417,118.6686947750289,179.4966182859331,414.78006389615206,176.86650263910602,165.56465187551262,129.77612289745827,173.63138363507517,193.9373249160073,23.734974362926607
Episode feedback,0.8,0.807999998384,0.701492532078414,0.5757575670339763,0.6290322479188347,0.4999999916666668,0.5689655074316292,0.6964285589923472,0.5961538346893493,0.7741935359001043,0.45901638591776417,0.6833333219444446,0.46666665888888903,0.39999999333333347,0.47619046863189735,0.46666665888888903,0.5454545355371903,0.7894736703601111,0.5573770400429994,0.5757575670339763,0.5084745676529735,0.3965517173008325,0.4218749934082032,0.5079364998740238,0.453124992919922,0.6101694811835682,0.5172413703923902,0.3906249938964845,0.49999999218750013,0.6093749904785158,0.6229508094598228,0.4843749924316408,0.47619046863189735,0.4642857059948981,0.49230768473372793,0.3962264076183697,0.5156249919433595,0.4642857059948981,0.4285714217687076,0.403225799947971,0.6169772243954923,0.4843749924316408,0.3650793592844546,0.6666666543209879,0.4561403428747308,0.6206896444708683,0.3437499946289064,0.6271186334386673,0.6481481361454049,0.43396225596297633,0.2678571380739797,0.5185185089163239,0.5517241284185496,0.5762711766733699,0.4492753558076036,0.624999988839286,0.6363636305785124,0.5901639247514111,0.4915254153978743,0.5090908998347109,0.35849055927376305,0.3965517173008325,0.4482758543400715,0.5322580559313217,0.5423728721631716,0.5322580559313217,0.44642856345663284,0.49999999107142873,0.3999999927272729,0.2711864360815858,0.31034482223543414,0.3389830451019823,0.5087719208987382,0.3529411695501732,0.36923076355029594,0.5245901553345876,0.38888888168724295,0.4545454476584023,0.5185185089163239,0.49122806155740245,0.5740740634430729,0.4285714217687076,0.3636363570247935,0.49999999218750013,0.42857142091836753,0.4237288063774779,0.4838709599375652,0.2968749953613282,0.44615383928994096,0.3650793592844546,0.3968253905265811,0.4848484775022958,0.5771428538448979,0.3793103382877528,0.38983050186727963,0.5333333244444446,0.583892613530922,0.3157894681440444,0.47619046863189735,0.403225799947971,0.3749999933035716,0.32258063995837677,0.39999999333333347,0.41379309631391215,0.2678571380739797,0.3650793592844546,0.4285714217687076,0.5161290239334029,0.2999999950000001,0.3793103382877528,0.3018867867568531,0.457999999084,0.41176469780853536,0.20689654815695607,0.33333332679738575,0.3333333277777779,0.3650793592844546,0.3636363570247935,0.38888888168724295,0.41379309631391215,0.3050847405917841,0.43137254056132274,0.31249999511718757,0.3749999941406251,0.33333332748538025,0.3859649055093876,0.5322580559313217,0.42307691494082855,0.24590163531308795,0.2586206851961951,0.45283018013527965,0.3846153772189351,0.38333332694444455,0.26315789012003704,0.23529411303344877,0.3559321973570814,0.47540982827197004,0.2758620642092748,0.3846153809171598,0.2499999958333334,0.43103447532699185,0.3333333280423281,0.44117646626297585,0.42647058196366794,0.32307691810650896,0.3174603124212649,0.25999999480000013,0.40350876485072346,0.316666661388889,0.38888888168724295,0.3650793592844546,0.3499999941666668,0.3090909034710745,0.32142856568877565,0.20634920307382218,0.24137930618311543,0.46551723335315115,0.2857142811791384,0.22413792717003575,0.2711864360815858,0.44827585691636945,0.316666661388889,0.2586206851961951,0.2686567124081088,0.2539682499370119,0.3235294070069205,0.36805555299961423,0.24137930618311543,0.19999999666666674,0.25423728382648675,0.39344261650094076,0.26984126555807514,0.22222221810699597,0.32142856568877565,0.36434108244696833,0.21568627028066137,0.360655731792529,0.37391304022684313,0.19999999666666674,0.4642857059948981,0.29629629080932796,0.43333332611111125,0.35384614840236694,0.4583333142361119
total seconds,0.0,20.096288919448853,53.782448053359985,66.17772269248962,78.06399989128113,88.60296082496643,100.34833645820618,111.79760336875916,122.65767884254456,139.065988779068,148.95769596099854,158.8212947845459,167.66442155838013,176.90423011779785,186.43328762054443,196.5786554813385,206.54113745689392,217.9244420528412,228.26618552207947,237.54483461380005,246.77078485488892,256.10763239860535,265.606974363327,276.6135845184326,286.3803460597992,296.7896761894226,309.6676959991455,323.6114203929901,335.5687589645386,345.384158372879,371.62861704826355,383.2534747123718,393.60589814186096,402.34400510787964,413.5960657596588,422.3458414077759,433.2905526161194,444.43597984313965,458.05023670196533,467.41110038757324,491.1660227775574,501.2495276927948,510.8887541294098,519.9200565814972,530.084086894989,540.2115931510925,550.9285027980804,559.6274845600128,569.82164478302,577.9142107963562,585.6736462116241,595.2045826911926,604.8511652946472,614.5029499530792,624.6645638942719,635.5427861213684,649.7180526256561,658.8397009372711,666.7342677116394,677.7436788082123,685.5960285663605,694.0113706588745,703.5502245426178,713.4386682510376,722.3999764919281,731.2709245681763,739.5612218379974,748.5398964881897,758.1921947002411,764.526540517807,771.4926490783691,780.4496402740479,797.3544309139252,807.0439412593842,815.3872170448303,825.7921421527863,838.8602719306946,848.4685106277466,856.7268061637878,864.4925274848938,874.6109764575958,882.5445067882538,892.9371585845947,902.2411539554596,910.1109685897827,918.397323846817,926.8107578754425,934.090231180191,941.5914340019226,950.0895762443542,959.8542788028717,973.6597657203674,985.5940968990326,993.6035604476929,1000.8509635925293,1015.0600471496582,1025.74693608284,1037.2522420883179,1045.7581918239594,1053.9553689956665,1063.0166783332825,1071.4198379516602,1078.634968996048,1088.7788281440735,1097.0092244148254,1105.3735826015472,1114.0861830711365,1124.7845227718353,1134.1463224887848,1142.877604007721,1152.8372402191162,1171.164895772934,1179.5756678581238,1186.6465709209442,1194.643300294876,1201.5619521141052,1210.016396522522,1219.7693514823914,1226.9417350292206,1234.248835325241,1242.4780039787292,1251.0453984737396,1258.0403134822845,1265.6492881774902,1273.4435849189758,1281.8507359027863,1289.9759900569916,1298.6486761569977,1307.951758146286,1315.8407113552094,1326.7511253356934,1334.379457950592,1341.8501493930817,1349.0318293571472,1355.9708905220032,1362.0086181163788,1371.0280187129974,1378.2189733982086,1386.3594026565552,1393.7376279830933,1415.6771080493927,1425.0740458965302,1433.7180318832397,1441.6094408035278,1451.0554149150848,1459.2601850032806,1466.9942739009857,1475.4506986141205,1483.1099648475647,1489.3243584632874,1498.1318259239197,1504.6111001968384,1511.506766319275,1519.0660297870636,1527.6230804920197,1534.830893754959,1544.9150176048279,1552.5125079154968,1559.61772108078,1566.2831211090088,1575.0585296154022,1581.7889795303345,1595.0814032554626,1602.0961918830872,1608.8872776031494,1615.18994140625,1624.6599762439728,1631.9615287780762,1638.8490517139435,1647.1492109298706,1654.12211728096,1664.6345977783203,1671.6513924598694,1683.5402562618256,1693.4246006011963,1700.300778388977,1707.1390206813812,1717.6562991142273,1726.137638092041,1734.0266993045807,1742.7322602272034,1750.911725282669,1758.4903149604797,1764.6989102363586
total minutes,0.0,0.3349381486574809,0.8963741342226664,1.102962044874827,1.3010666648546854,1.4767160137494406,1.6724722743034364,1.8632933894793193,2.0442946473757426,2.3177664796511332,2.482628266016642,2.6470215797424315,2.794407025973002,2.948403835296631,3.1072214603424073,3.2763109246889752,3.442352290948232,3.63207403421402,3.804436425367991,3.9590805768966675,4.112846414248149,4.268460539976756,4.42678290605545,4.610226408640544,4.77300576766332,4.946494603157044,5.161128266652425,5.393523673216502,5.592812649408976,5.756402639547984,6.193810284137726,6.387557911872864,6.5600983023643495,6.705733418464661,6.89326776266098,7.0390973567962645,7.221509210268656,7.407266330718994,7.634170611699422,7.790185006459554,8.186100379625957,8.354158794879913,8.514812568823496,8.665334276358287,8.83473478158315,9.003526552518208,9.182141713301341,9.32712474266688,9.497027413050334,9.631903513272603,9.761227436860402,9.920076378186543,10.080852754910786,10.24171583255132,10.411076064904531,10.592379768689474,10.828634210427602,10.980661682287852,11.11223779519399,11.29572798013687,11.426600476106008,11.566856177647908,11.725837075710297,11.890644470850626,12.039999608198801,12.187848742802938,12.326020363966624,12.475664941469828,12.636536578337351,12.742109008630116,12.85821081797282,13.007494004567464,13.289240515232086,13.450732354323069,13.589786950747172,13.763202369213104,13.981004532178243,14.141141843795776,14.278780102729797,14.408208791414896,14.576849607626597,14.709075113137564,14.882285976409912,15.037352565924326,15.168516143163044,15.306622064113617,15.44684596459071,15.56817051966985,15.69319056669871,15.834826270739237,15.997571313381195,16.227662762006123,16.426568281650543,16.560059340794883,16.68084939320882,16.917667452494303,17.095782268047333,17.287537368138633,17.429303197065988,17.56592281659444,17.71694463888804,17.856997299194337,17.977249483267467,18.146313802401224,18.283487073580424,18.42289304335912,18.56810305118561,18.74640871286392,18.902438708146413,19.047960066795348,19.21395400365194,19.519414929548898,19.659594464302064,19.777442848682405,19.910721671581268,20.026032535235085,20.16693994204203,20.329489191373188,20.449028917153676,20.57081392208735,20.70796673297882,20.850756641228994,20.967338558038076,21.09415480295817,21.224059748649598,21.364178931713106,21.49959983428319,21.644144602616628,21.799195969104765,21.930678522586824,22.112518755594888,22.239657632509868,22.364169156551363,22.48386382261912,22.599514842033386,22.70014363527298,22.850466978549957,22.970316223303477,23.10599004427592,23.228960466384887,23.594618467489877,23.751234098275503,23.895300531387328,24.02682401339213,24.184256915251414,24.32100308338801,24.44990456501643,24.59084497690201,24.71849941412608,24.82207264105479,24.968863765398662,25.076851669947306,25.19177943865458,25.317767163117725,25.460384674866994,25.580514895915986,25.74858362674713,25.87520846525828,25.993628684679667,26.104718685150146,26.250975493590037,26.363149658838907,26.58469005425771,26.70160319805145,26.81478796005249,26.919832356770833,27.07766627073288,27.199358812967937,27.31415086189906,27.452486848831178,27.56870195468267,27.743909962972005,27.860856540997823,28.059004271030425,28.22374334335327,28.33834630648295,28.452317011356353,28.62760498523712,28.76896063486735,28.900444988409678,29.04553767045339,29.181862088044486,29.308171916007996,29.41164850393931
cummulative feedback,0.0,404.0,498.0,536.0,575.0,605.0,638.0,677.0,708.0,756.0,784.0,825.0,853.0,877.0,907.0,935.0,965.0,1010.0,1044.0,1082.0,1112.0,1135.0,1162.0,1194.0,1223.0,1259.0,1289.0,1314.0,1346.0,1385.0,1423.0,1454.0,1484.0,1510.0,1542.0,1563.0,1596.0,1622.0,1649.0,1674.0,1972.0,2003.0,2026.0,2062.0,2088.0,2124.0,2146.0,2183.0,2218.0,2241.0,2256.0,2284.0,2316.0,2350.0,2381.0,2416.0,2486.0,2522.0,2551.0,2579.0,2598.0,2621.0,2647.0,2680.0,2712.0,2745.0,2770.0,2798.0,2820.0,2836.0,2854.0,2874.0,2903.0,2921.0,2945.0,2977.0,2998.0,3028.0,3056.0,3084.0,3115.0,3142.0,3162.0,3194.0,3218.0,3243.0,3273.0,3292.0,3321.0,3344.0,3369.0,3401.0,3502.0,3524.0,3547.0,3579.0,3666.0,3684.0,3714.0,3739.0,3760.0,3780.0,3804.0,3828.0,3843.0,3866.0,3893.0,3925.0,3943.0,3965.0,3981.0,4210.0,4231.0,4243.0,4260.0,4280.0,4303.0,4323.0,4344.0,4368.0,4386.0,4408.0,4428.0,4452.0,4471.0,4493.0,4526.0,4548.0,4563.0,4578.0,4602.0,4622.0,4645.0,4660.0,4672.0,4693.0,4722.0,4738.0,4778.0,4793.0,4818.0,4839.0,4884.0,4913.0,4934.0,4954.0,4967.0,4990.0,5009.0,5030.0,5053.0,5074.0,5091.0,5109.0,5122.0,5136.0,5163.0,5181.0,5194.0,5210.0,5249.0,5268.0,5283.0,5301.0,5317.0,5339.0,5392.0,5406.0,5418.0,5433.0,5457.0,5474.0,5486.0,5504.0,5551.0,5562.0,5584.0,5627.0,5639.0,5665.0,5681.0,5707.0,5730.0,5741.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
