,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181
Episode,0.0,1.0,6.0,11.0,16.0,21.0,26.0,31.0,36.0,41.0,46.0,51.0,56.0,61.0,66.0,71.0,76.0,81.0,86.0,91.0,96.0,101.0,106.0,111.0,116.0,121.0,126.0,131.0,136.0,141.0,146.0,151.0,156.0,161.0,166.0,171.0,176.0,181.0,186.0,191.0,196.0,201.0,206.0,211.0,216.0,221.0,226.0,231.0,236.0,241.0,246.0,251.0,256.0,261.0,266.0,271.0,276.0,281.0,286.0,291.0,296.0,301.0,306.0,311.0,316.0,321.0,326.0,331.0,336.0,341.0,346.0,351.0,356.0,361.0,366.0,371.0,376.0,381.0,386.0,391.0,396.0,401.0,406.0,411.0,416.0,421.0,426.0,431.0,436.0,441.0,446.0,451.0,456.0,461.0,466.0,471.0,476.0,481.0,486.0,491.0,496.0,501.0,506.0,511.0,516.0,521.0,526.0,531.0,536.0,541.0,546.0,551.0,556.0,561.0,566.0,571.0,576.0,581.0,586.0,591.0,596.0,601.0,606.0,611.0,616.0,621.0,626.0,631.0,636.0,641.0,646.0,651.0,656.0,661.0,666.0,671.0,676.0,681.0,686.0,691.0,696.0,701.0,706.0,711.0,716.0,721.0,726.0,731.0,736.0,741.0,746.0,751.0,756.0,761.0,766.0,771.0,776.0,781.0,786.0,791.0,796.0,801.0,806.0,811.0,816.0,821.0,826.0,831.0,836.0,841.0,846.0,851.0,856.0,861.0,866.0,871.0,876.0,881.0,886.0,891.0,896.0,901.0
Accumulated time steps,0.0,462.0,937.0,1496.0,2068.0,2570.0,2870.0,3160.0,3468.0,3886.0,4178.0,4459.0,4771.0,5075.0,5373.0,5696.0,6007.0,6379.0,6694.0,7008.0,7309.0,7605.0,7966.0,8288.0,8602.0,8912.0,9228.0,9601.0,9980.0,10273.0,10588.0,10911.0,11215.0,11522.0,11817.0,12168.0,12478.0,13001.0,13309.0,13697.0,13985.0,14294.0,14579.0,14890.0,15257.0,15559.0,15864.0,16172.0,16496.0,16800.0,17103.0,17456.0,17796.0,18111.0,18409.0,18696.0,18995.0,19277.0,19630.0,19941.0,20292.0,21037.0,21322.0,21602.0,21890.0,22200.0,22492.0,22830.0,23124.0,23421.0,23725.0,24009.0,24349.0,24642.0,24949.0,25227.0,25606.0,25945.0,26240.0,26539.0,26865.0,27263.0,27570.0,27866.0,28274.0,28572.0,28901.0,29207.0,29548.0,29936.0,30239.0,30526.0,30822.0,31121.0,31408.0,31708.0,31993.0,32266.0,32615.0,32919.0,33353.0,33654.0,33954.0,34256.0,34546.0,34839.0,35129.0,35401.0,35697.0,35983.0,36295.0,36787.0,37107.0,37408.0,37709.0,38129.0,38419.0,38722.0,39010.0,39314.0,39607.0,39907.0,40308.0,40629.0,40944.0,41229.0,41516.0,41817.0,42115.0,42409.0,42720.0,43061.0,43346.0,43635.0,43961.0,44240.0,44595.0,45067.0,45359.0,45665.0,45962.0,46615.0,46934.0,47269.0,47579.0,47861.0,48240.0,48975.0,49280.0,49770.0,50055.0,50707.0,51067.0,51359.0,51642.0,51990.0,52386.0,52712.0,53010.0,53523.0,53810.0,54112.0,54414.0,54712.0,55026.0,55346.0,55654.0,55951.0,56235.0,56535.0,56916.0,57213.0,57513.0,57792.0,58075.0,58371.0,58706.0,59008.0,59286.0,59792.0,60089.0,60384.0
Episode reward,0.0,844.3136267529691,182.67097477087992,168.3546930262154,574.221852622278,163.14331093537035,125.52745634344309,125.24397498509437,130.63214222038437,125.6892129983297,180.12961815202553,122.85518665487608,182.97353353893354,137.58055993800713,120.2058787352429,164.92089886881186,142.14418360248257,197.24158451437546,174.3519505017177,162.7100673476179,198.6854661636432,136.34359022016693,125.62969150754482,200.65049250697396,130.3543750123007,180.20169640889864,193.92556671738228,199.2175336735593,139.55320164257031,138.85968536087017,200.54581736519023,197.60835313908987,179.16083954633558,172.37979065562632,131.62979389364224,174.26054646153204,143.16318772507776,173.65338681865566,191.82213954752478,131.52226094373498,163.0150552930306,190.65934406557614,159.84484592153177,196.00325585393867,254.52161864269624,119.71344853936762,174.81482765878857,189.38092058411826,180.94377512852452,126.30212670632392,165.33306335883046,161.62271918063436,128.89775245136792,175.41962309809873,168.56729984926017,168.0346455462831,172.09245071149522,144.29080504540948,170.2748564399015,159.98154666241757,127.11915287601643,1628.2643736422601,162.8983390814556,127.39782453167413,121.31587830751228,191.82191750119637,134.0835960244904,163.1026876976981,143.9447958778073,170.44040827086974,221.46182097933067,163.44381451949505,167.81529993800652,177.11611999123645,194.42669262643773,176.5707576668225,478.652694232231,216.88277732638406,166.32602045988378,165.16043145858913,161.7773959892343,132.88012021090353,198.17541922162525,180.6218514383544,150.32722262487195,136.5302498081757,351.28342153638806,196.29803780965614,198.1536577866,174.40068430975802,203.58555688643895,125.67654681738762,201.91318791392098,164.64102238062975,125.23988731024585,120.41307267977682,137.81160926051518,118.36044117068629,467.97674061457207,172.59204344935807,165.47705759065028,146.77658793172498,165.63963666301788,135.0070476405379,171.75018244926807,124.84355022358113,144.9097590831701,115.9045232931498,150.42015020014892,124.8202160449533,159.5427397125317,1380.3450453060339,189.6335294774758,179.2603302273333,185.53152911575808,167.08034241617963,176.1326304400791,198.29933394472152,135.08741839099315,165.02904406757864,175.1914246806123,164.54842681091642,129.418252399971,192.93130762764284,174.04995764222997,164.4813775913425,125.23549318012053,122.96605174673701,173.45886973816062,173.47252793303167,187.98202270965038,123.61643772515478,173.613570576984,167.87932548417297,126.58627471590377,127.07233411311664,170.03369780752405,188.1609903627425,161.06241736385365,180.67689623765233,132.13829924973902,1471.7300006191024,191.3322665618181,138.5158902478291,133.38263135002018,160.47876952316025,266.9705711889,1131.2782197538259,172.77506298154515,195.00422432281098,130.18398661164514,136.8551618621118,184.78430387049377,196.08069098802676,118.47958136065452,169.21048470089045,139.18449651819648,181.24715659660805,170.53921824919857,135.91074214402707,156.03185383142326,165.26837124960159,192.57082079246797,167.9409412476608,185.69792406814457,182.1951796519955,153.0541593655841,189.6916201651759,173.50811484651078,172.6972043918836,137.0435447904524,142.19680522940683,168.49281450187698,128.99321766238992,181.42622776209302,139.8804093509914,149.6619110353432,188.0920850723442,172.53927918643075,187.02871681803163,199.9157317617057,181.2858281581358
Episode feedback,0.8,0.8004338377430936,0.6060605968778697,0.5901639247514111,0.69938649877677,0.6610169379488655,0.47169810430758297,0.55555554526749,0.5789473582640815,0.6730769101331364,0.6825396717057195,0.49019606881968497,0.3968253905265811,0.6666666549707605,0.6226414976860095,0.6610169379488655,0.6896551605231869,0.597014916462464,0.3968253905265811,0.4915254153978743,0.522388051904656,0.5263157802400741,0.6071428463010207,0.49999999264705897,0.5357142761479594,0.538461530177515,0.4393939327364556,0.4925373060815328,0.5762711766733699,0.43396225596297633,0.597014916462464,0.43283581443528635,0.4603174530108341,0.5245901553345876,0.6111110997942389,0.5901639247514111,0.5624999912109376,0.5166666580555557,0.5217391228733461,0.5614034989227457,0.47368420221606666,0.6363636267217633,0.5438596395814098,0.5074626789930944,0.614678893443313,0.5471698009967962,0.5322580559313217,0.46969696258034904,0.5606060521120295,0.6415094218583128,0.41666665972222233,0.48333332527777795,0.6226414976860095,0.5312499916992189,0.34482758026159344,0.47540982827197004,0.4237288063774779,0.5087719208987382,0.4999999916666668,0.4915254153978743,0.3962264076183697,0.6039999987920001,0.42105262419205924,0.43636362842975224,0.43137254056132274,0.49999999242424253,0.5272727176859506,0.5423728721631716,0.2982456088027086,0.40677965412237876,0.5714285632653062,0.5087719208987382,0.40983605885514657,0.6129032159209159,0.33333332828282836,0.44067795863257697,0.5874125833048072,0.5233644810900516,0.5409835976887934,0.2666666622222223,0.41379309631391215,0.42857142091836753,0.5522387977277792,0.5967741839229971,0.5172413703923902,0.33333332748538025,0.565656559942863,0.42424241781450883,0.4090909028925621,0.29508196237570555,0.37681158874186105,0.3962264076183697,0.4393939327364556,0.5166666580555557,0.45283018013527965,0.3529411695501732,0.4107142783801022,0.5098039115724724,0.4999999959016394,0.34426228943832315,0.43103447532699185,0.43333332611111125,0.42105262419205924,0.5178571336096941,0.46666665888888903,0.5283018768244929,0.40350876485072346,0.5098039115724724,0.32142856568877565,0.5094339526521896,0.42105262419205924,0.5057915038386428,0.5156249919433595,0.4920634842529606,0.3437499946289064,0.4482758543400715,0.5409835976887934,0.35820894987747837,0.33928570822704096,0.48275861236623085,0.48333332527777795,0.41379309631391215,0.3962264076183697,0.4218749934082032,0.44999999250000017,0.3275862012485138,0.4615384526627221,0.30769230177514806,0.41666665972222233,0.40983605885514657,0.5303030222681361,0.3653846083579883,0.39344261650094076,0.3666666605555557,0.4074073998628259,0.3962264076183697,0.45901638591776417,0.384615378698225,0.33333332748538025,0.5081967129803818,0.3090909034710745,0.49056603657885367,0.41538460899408297,0.44642856345663284,0.32142856568877565,0.34426228943832315,0.441558438691179,0.435999999128,0.3770491741467349,0.32307691810650896,0.38888888168724295,0.42857142091836753,0.4117646998269897,0.36923076355029594,0.3137254840445984,0.3174603124212649,0.35087718682671604,0.38709676795005216,0.3793103382877528,0.3928571358418369,0.47368420221606666,0.3389830451019823,0.26562499584960947,0.44067795863257697,0.3968253905265811,0.3749999941406251,0.34545453917355384,0.276923072662722,0.3499999941666668,0.5161290239334029,0.3636363570247935,0.32142856568877565,0.3275862012485138,0.3269230706360948,0.23809523431594867,0.33333332748538025,0.32142856568877565,0.3437499946289064,0.39999999333333347,0.3437499946289064,0.33846153325443795,0.46774192793964636
total seconds,0.0,20.13571286201477,38.05867075920105,58.31525206565857,79.9191267490387,96.19987750053406,106.93186950683594,119.86406016349792,129.5699019432068,145.02448964118958,156.37715220451355,167.27344012260437,177.65967655181885,188.67103791236877,198.60701036453247,210.1171202659607,221.83386373519897,235.21767950057983,245.04098391532898,255.92713069915771,264.44442415237427,274.7789030075073,286.8452658653259,299.32843232154846,309.6240508556366,320.377158164978,331.4944486618042,343.398419380188,355.9596576690674,365.96529030799866,376.51806139945984,388.0005142688751,397.3801951408386,407.4532558917999,417.26681900024414,428.8805458545685,438.2265386581421,454.14043712615967,464.18511176109314,478.4614944458008,488.8473916053772,500.0036873817444,508.5422101020813,517.9934186935425,531.9025650024414,541.2262568473816,550.5813963413239,560.8510859012604,572.3149747848511,581.0797367095947,589.6603848934174,601.2049450874329,611.361307144165,623.691811800003,634.4252288341522,642.5762207508087,651.8257122039795,660.0801248550415,670.5148882865906,681.1869757175446,693.7501764297485,719.2471287250519,730.4195308685303,740.9983515739441,750.535751581192,760.0046265125275,770.3979070186615,780.9826617240906,789.7843945026398,798.3805701732635,807.6598789691925,815.3862614631653,825.7111241817474,835.0876274108887,844.0925586223602,852.3497087955475,865.2562654018402,875.4465894699097,885.0325105190277,893.8957912921906,903.7397668361664,916.4446589946747,927.5171973705292,936.6010525226593,948.9088428020477,957.3643355369568,966.9871487617493,978.3124406337738,988.8561511039734,999.9887669086456,1007.7010719776154,1015.6517596244812,1024.5193331241608,1033.0550570487976,1042.2763538360596,1050.5135910511017,1057.477829694748,1063.7012293338776,1074.6718747615814,1083.3211879730225,1095.4622073173523,1103.912302494049,1111.772501707077,1120.276166677475,1130.1732184886932,1137.3411679267883,1145.39914727211,1153.1944959163666,1161.9162409305573,1170.5479054450989,1179.3285133838654,1192.6091043949127,1202.2691266536713,1211.1833000183105,1219.132116317749,1232.0050921440125,1240.6618077754974,1248.9880919456482,1255.9813845157623,1263.1411740779877,1271.6665518283844,1279.1184885501862,1289.0511827468872,1297.0097303390503,1305.3095407485962,1311.828225851059,1319.6743612289429,1328.4188578128815,1336.3125488758087,1344.2552363872528,1351.7796182632446,1361.5489604473114,1368.5618629455566,1376.1566367149353,1384.8945772647858,1391.553228855133,1402.2446038722992,1415.196402311325,1422.4749405384064,1430.8989634513855,1437.6767768859863,1455.442876815796,1464.305407524109,1473.627118587494,1480.804860830307,1489.9128060340881,1500.8886427879333,1518.535463809967,1526.614759683609,1541.3960270881653,1549.028230190277,1565.7752063274384,1574.7106704711914,1582.143940448761,1590.0942175388336,1598.7513794898987,1609.3411297798157,1619.65545129776,1626.7475311756134,1639.0818214416504,1647.5363984107971,1657.1573519706726,1664.1174993515015,1672.7686376571655,1680.7377529144287,1690.6915991306305,1700.018355846405,1707.3288657665253,1715.557165145874,1723.518806219101,1733.716121673584,1741.367749452591,1749.40052485466,1756.0288150310516,1762.448394060135,1769.733994960785,1777.7246375083923,1785.2479991912842,1791.6370027065277,1803.503208398819,1810.7240884304047,1818.9125072956085
total minutes,0.0,0.33559521436691286,0.6343111793200175,0.9719208677609762,1.3319854458173117,1.6033312916755675,1.7821978251139323,1.9977343360582986,2.159498365720113,2.4170748273531597,2.606285870075226,2.7878906687100726,2.9609946091969808,3.1445172985394794,3.3101168394088747,3.5019520044326784,3.697231062253316,3.920294658342997,4.084016398588816,4.265452178319295,4.407407069206238,4.579648383458456,4.7807544310887655,4.988807205359141,5.160400847593944,5.339619302749634,5.524907477696737,5.7233069896697994,5.932660961151123,6.099421505133311,6.275301023324331,6.466675237814585,6.623003252347311,6.790887598196665,6.9544469833374025,7.148009097576141,7.303775644302368,7.569007285435995,7.736418529351552,7.974358240763347,8.147456526756287,8.33339478969574,8.475703501701355,8.633223644892375,8.86504275004069,9.020437614123027,9.176356605688731,9.347518098354339,9.538582913080852,9.684662278493246,9.827673081556956,10.02008241812388,10.189355119069416,10.39486353000005,10.573753813902536,10.709603679180145,10.863761870066325,11.001335414250692,11.175248138109843,11.353116261959077,11.56250294049581,11.987452145417532,12.173658847808838,12.349972526232401,12.508929193019867,12.666743775208792,12.839965116977691,13.01637769540151,13.163073241710663,13.30634283622106,13.460997982819874,13.589771024386089,13.76185206969579,13.918127123514811,14.068209310372671,14.205828479925792,14.420937756697336,14.590776491165162,14.750541841983795,14.898263188203176,15.06232944726944,15.274077649911245,15.458619956175486,15.610017542044321,15.815147380034128,15.95607225894928,16.116452479362486,16.30520734389623,16.48093585173289,16.66647944847743,16.795017866293588,16.927529327074687,17.075322218736012,17.21758428414663,17.371272563934326,17.508559850851693,17.624630494912466,17.72835382223129,17.911197912693023,18.055353132883706,18.257703455289207,18.398538374900816,18.52954169511795,18.67126944462458,18.83622030814489,18.95568613211314,19.0899857878685,19.219908265272775,19.365270682175954,19.509131757418313,19.65547522306442,19.87681840658188,20.03781877756119,20.186388333638508,20.318868605295815,20.533418202400206,20.677696796258292,20.816468199094135,20.933023075262707,21.052352901299795,21.194442530473072,21.318641475836436,21.484186379114785,21.616828838984173,21.755159012476604,21.863803764184315,21.99457268714905,22.140314296881357,22.27187581459681,22.404253939787548,22.52966030438741,22.692482674121855,22.809364382425944,22.935943945248923,23.08157628774643,23.192553814252218,23.370743397871653,23.58660670518875,23.707915675640105,23.848316057523093,23.96127961476644,24.257381280263264,24.405090125401816,24.560451976458232,24.68008101383845,24.831880100568135,25.014810713132224,25.308924396832783,25.44357932806015,25.689933784802754,25.817137169837952,26.09625343879064,26.245177841186525,26.369065674146018,26.501570292313893,26.645856324831644,26.82235216299693,26.994257521629333,27.11245885292689,27.31803035736084,27.458939973513285,27.61928919951121,27.735291655858358,27.879477294286094,28.012295881907146,28.178193318843842,28.33363926410675,28.455481096108755,28.5926194190979,28.725313436985015,28.895268694559732,29.022795824209847,29.156675414244333,29.267146917184196,29.37413990100225,29.49556658267975,29.628743958473205,29.754133319854738,29.86061671177546,30.058386806646983,30.17873480717341,30.315208454926807
cummulative feedback,0.0,369.0,409.0,445.0,559.0,598.0,623.0,653.0,686.0,721.0,764.0,789.0,814.0,852.0,885.0,924.0,964.0,1004.0,1029.0,1058.0,1093.0,1123.0,1157.0,1191.0,1221.0,1256.0,1285.0,1318.0,1352.0,1375.0,1415.0,1444.0,1473.0,1505.0,1538.0,1574.0,1610.0,1641.0,1677.0,1709.0,1736.0,1778.0,1809.0,1843.0,1910.0,1939.0,1972.0,2003.0,2040.0,2074.0,2099.0,2128.0,2161.0,2195.0,2215.0,2244.0,2269.0,2298.0,2328.0,2357.0,2378.0,2680.0,2704.0,2728.0,2750.0,2783.0,2812.0,2844.0,2861.0,2885.0,2925.0,2954.0,2979.0,3017.0,3039.0,3065.0,3149.0,3205.0,3238.0,3254.0,3278.0,3302.0,3339.0,3376.0,3406.0,3425.0,3481.0,3509.0,3536.0,3554.0,3580.0,3601.0,3630.0,3661.0,3685.0,3703.0,3726.0,3752.0,3813.0,3834.0,3859.0,3885.0,3909.0,3938.0,3966.0,3994.0,4017.0,4043.0,4061.0,4088.0,4112.0,4243.0,4276.0,4307.0,4329.0,4355.0,4388.0,4412.0,4431.0,4459.0,4488.0,4512.0,4533.0,4560.0,4587.0,4606.0,4630.0,4646.0,4671.0,4696.0,4731.0,4750.0,4774.0,4796.0,4818.0,4839.0,4867.0,4892.0,4911.0,4942.0,4959.0,5167.0,5194.0,5219.0,5237.0,5258.0,5326.0,5544.0,5567.0,5588.0,5609.0,5633.0,5661.0,5685.0,5701.0,5721.0,5741.0,5765.0,5787.0,5809.0,5836.0,5856.0,5873.0,5899.0,5924.0,5948.0,5967.0,5985.0,6006.0,6038.0,6058.0,6076.0,6095.0,6112.0,6127.0,6146.0,6164.0,6186.0,6210.0,6232.0,6254.0,6283.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
