,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189
Episode,0.0,1.0,6.0,11.0,16.0,21.0,26.0,31.0,36.0,41.0,46.0,51.0,56.0,61.0,66.0,71.0,76.0,81.0,86.0,91.0,96.0,101.0,106.0,111.0,116.0,121.0,126.0,131.0,136.0,141.0,146.0,151.0,156.0,161.0,166.0,171.0,176.0,181.0,186.0,191.0,196.0,201.0,206.0,211.0,216.0,221.0,226.0,231.0,236.0,241.0,246.0,251.0,256.0,261.0,266.0,271.0,276.0,281.0,286.0,291.0,296.0,301.0,306.0,311.0,316.0,321.0,326.0,331.0,336.0,341.0,346.0,351.0,356.0,361.0,366.0,371.0,376.0,381.0,386.0,391.0,396.0,401.0,406.0,411.0,416.0,421.0,426.0,431.0,436.0,441.0,446.0,451.0,456.0,461.0,466.0,471.0,476.0,481.0,486.0,491.0,496.0,501.0,506.0,511.0,516.0,521.0,526.0,531.0,536.0,541.0,546.0,551.0,556.0,561.0,566.0,571.0,576.0,581.0,586.0,591.0,596.0,601.0,606.0,611.0,616.0,621.0,626.0,631.0,636.0,641.0,646.0,651.0,656.0,661.0,666.0,671.0,676.0,681.0,686.0,691.0,696.0,701.0,706.0,711.0,716.0,721.0,726.0,731.0,736.0,741.0,746.0,751.0,756.0,761.0,766.0,771.0,776.0,781.0,786.0,791.0,796.0,801.0,806.0,811.0,816.0,821.0,826.0,831.0,836.0,841.0,846.0,851.0,856.0,861.0,866.0,871.0,876.0,881.0,886.0,891.0,896.0,901.0,906.0,911.0,916.0,921.0,926.0,931.0,936.0,941.0
Accumulated time steps,0.0,501.0,1249.0,1561.0,2069.0,2378.0,2742.0,3067.0,3421.0,3720.0,4014.0,4317.0,4621.0,4928.0,5295.0,5599.0,5935.0,6245.0,6552.0,7058.0,7357.0,7655.0,7955.0,8262.0,8585.0,8882.0,9180.0,9456.0,9743.0,10071.0,10497.0,10790.0,11071.0,11372.0,11679.0,11973.0,12272.0,12580.0,12856.0,13164.0,13464.0,13776.0,14071.0,14369.0,14662.0,14971.0,15279.0,15582.0,15923.0,16222.0,16511.0,16901.0,17195.0,18215.0,18502.0,18783.0,19069.0,19403.0,19697.0,20021.0,20321.0,20621.0,20954.0,21256.0,21548.0,21854.0,22146.0,22440.0,22724.0,23006.0,23299.0,23590.0,23874.0,24163.0,24508.0,24804.0,25110.0,25402.0,25752.0,26050.0,26354.0,26653.0,26943.0,27245.0,27538.0,27827.0,28111.0,28412.0,28744.0,29054.0,29354.0,29645.0,29933.0,30223.0,30510.0,30803.0,31128.0,31425.0,31719.0,32017.0,32299.0,32590.0,32888.0,33177.0,33464.0,33747.0,34043.0,34330.0,34729.0,35022.0,35295.0,35635.0,35927.0,36217.0,36493.0,36780.0,37071.0,37367.0,37655.0,37940.0,38217.0,38498.0,38831.0,39126.0,39420.0,40138.0,40430.0,40727.0,41015.0,41304.0,41582.0,41877.0,42206.0,42510.0,42809.0,43096.0,43379.0,43695.0,43991.0,44281.0,44565.0,44862.0,45150.0,45430.0,45725.0,46015.0,46298.0,46584.0,46882.0,47162.0,47447.0,47734.0,48032.0,48322.0,48615.0,48909.0,49207.0,49483.0,49776.0,50063.0,50352.0,51084.0,51811.0,52095.0,52390.0,52670.0,52954.0,53223.0,53517.0,53805.0,54104.0,54396.0,54753.0,55037.0,55321.0,55603.0,55988.0,56274.0,56992.0,57276.0,57557.0,57865.0,58160.0,58448.0,58755.0,59081.0,59567.0,59855.0,60151.0,60436.0
Episode reward,0.0,316.05675689406894,141.36164265204792,123.0199298802207,177.72032533750937,165.70472002415008,183.97898709714576,171.35328764108385,180.54972677688983,131.63117386531786,161.42708559464722,136.55867132646213,144.72524017510867,124.98359730385808,181.92682211918995,172.44645633534248,131.1878565247447,156.5578766612022,169.23431582135143,147.00490948600068,175.59369816930507,165.96222667002507,171.20893455100517,201.96771311957727,150.67277343203634,143.7948137562115,134.69072145301675,122.39277751102782,144.55231906484354,130.0308219632225,401.045808528123,179.76275433914992,122.7745546651857,196.69921997845145,184.99819024216262,136.6416950110611,123.76634039894938,187.4275020039485,162.71824624296318,153.66050669944389,145.6307822759239,192.02169160738015,173.79934589516478,139.14526671065616,160.8265912484866,174.49986164510986,139.25419641190967,133.2543353318098,161.7825899725685,169.2113826156008,135.09530677907446,510.51683441873143,175.38576988994245,1272.3042405222202,165.7428475209064,153.72446167377208,115.48515084149398,307.66061932744793,178.4050465329239,174.11068416582475,178.3441294608079,191.31924297739016,170.25385304210377,168.67189219772655,130.54405518273057,155.1386499853217,130.43746428125039,188.6372788221607,133.81836259011558,143.31097431915975,168.69773450016288,159.66439961003704,125.40923752193079,131.17728659611393,130.32069842375017,175.04271676659735,173.22586234354233,187.21935203197472,134.0127301754635,171.88984550118852,241.2136536571426,148.20026452898404,177.28963709404724,169.48266531003418,121.58068872670448,153.56939716239307,164.23377401719307,171.45920969225645,167.96451190945885,188.3760113406145,127.4017393793672,190.85102377001922,166.67129028408556,165.4291876357503,126.74589194227752,173.66215532820948,125.99723850616925,132.79529557635334,164.0513614506171,191.766523863334,163.55013501455366,124.42246119119649,181.27671245402306,159.49842528183126,160.81128069177788,155.02810945811737,157.42113199481628,142.90060330745322,180.18905300498284,173.8026813956929,137.85665425994713,156.41911294783245,191.0073025462571,179.7807528386845,136.28455215572188,170.65399465526752,119.9790260728842,178.61063881633774,122.62476612570178,138.9798219574877,154.96871361533505,164.57190521998064,158.5872438023089,161.01180503989343,171.63885393264343,127.6662065681491,139.78502913053197,209.7093662431439,171.42129516566473,124.08656151210818,118.94500304562582,166.25919279926327,172.39059989496045,169.70962173162764,150.65720222935886,135.6447034115345,120.62127355300409,180.8831385793861,156.87696148671355,156.97768485780003,142.8986929812745,191.33386223961594,183.43709722807898,165.36288750540078,166.29078508446247,130.51074729403032,135.33074927210146,188.83616337570896,125.39934307188655,125.35057438556252,126.8605112455793,170.63138116513122,171.0919997248587,179.7854628342682,171.12576415091561,178.68692253491517,200.62034796281637,144.58165410630906,196.97572853821245,178.3344027092446,134.45743371704376,140.7339641170217,1665.594856823604,138.58042621799726,192.413332209833,132.2562564125235,182.6669645875385,120.99239615602708,148.47385239409587,157.11349578323237,169.40397129641343,156.57993278055687,159.9158808587023,168.82677542110576,124.217063947765,143.47897490594718,597.4210400149498,139.45795446853114,121.93217560680779,135.6537913504439,176.93797900684774,169.36429265107807,141.8757525614129,124.37382902769541,176.81402604027303,132.4393148476419,139.4047458698564,179.65454495207203,200.20370259555844,192.1330474485432
Episode feedback,0.8,0.771999998456,0.6379310234839479,0.6153846035502961,0.5645161199271593,0.5762711766733699,0.49999999218750013,0.43333332611111125,0.703124989013672,0.5762711766733699,0.48333332527777795,0.624999988839286,0.5789473582640815,0.7547169668921327,0.5161290239334029,0.48333332527777795,0.42857142091836753,0.5999999900000001,0.58730157797934,0.3770491741467349,0.5483870879292405,0.5423728721631716,0.5166666580555557,0.608695643352237,0.5999999907692309,0.4915254153978743,0.42105262419205924,0.46296295438957497,0.5322580559313217,0.6428571313775513,0.6829268237160421,0.42622950120935243,0.24528301423994314,0.48529411051038074,0.46774192793964636,0.5438596395814098,0.49999999038461557,0.569230760473373,0.5423728721631716,0.5178571336096941,0.633333322777778,0.5522387977277792,0.5483870879292405,0.41379309631391215,0.5254237199080726,0.360655731792529,0.3793103382877528,0.4821428485331634,0.5423728721631716,0.4576271108876761,0.30357142315051033,0.6346153805473373,0.45901638591776417,0.6536312830904154,0.4576271108876761,0.3684210461680518,0.7499999855769234,0.5899999941,0.42622950120935243,0.41666665972222233,0.4838709599375652,0.453124992919922,0.38333332694444455,0.6779660902039646,0.4909090819834713,0.5535714186862247,0.4727272641322316,0.41269840614764436,0.3636363570247935,0.4482758543400715,0.42105262419205924,0.40677965412237876,0.5471698009967962,0.44444443621399193,0.43396225596297633,0.39344261650094076,0.47540982827197004,0.22580644797086374,0.3999999927272729,0.5161290239334029,0.5833333252314816,0.29629629080932796,0.403225799947971,0.4576271108876761,0.49999999038461557,0.40350876485072346,0.31034482223543414,0.38983050186727963,0.36206895927467314,0.34920634366339137,0.5999999890909093,0.578124990966797,0.3333333277777779,0.3965517173008325,0.37037036351166,0.39999999333333347,0.40384614607988184,0.31481480898491093,0.36206895927467314,0.2968749953613282,0.33333332748538025,0.38888888168724295,0.35483870395421446,0.42105262419205924,0.3965517173008325,0.3928571358418369,0.3275862012485138,0.33333332748538025,0.33870967195629564,0.3050847405917841,0.23214285299744905,0.3090909034710745,0.199999996923077,0.4516128959417275,0.3999999927272729,0.3333333277777779,0.2884615329142013,0.4838709599375652,0.43137254056132274,0.24999999553571436,0.21428571045918376,0.3157894681440444,0.30357142315051033,0.44642856345663284,0.2999999950000001,0.415094331790673,0.35087718682671604,0.42647058196366794,0.22033897931628849,0.49019606881968497,0.23529411303344877,0.3275862012485138,0.3114754047299114,0.3666666605555557,0.2999999950000001,0.33333332716049396,0.21568627028066137,0.2812499956054688,0.3571428507653063,0.33333332748538025,0.24074073628257897,0.292307687810651,0.30158729680020163,0.28070174946137283,0.3559321973570814,0.2909090856198348,0.3749999933035716,0.23809523431594867,0.23076922633136104,0.34545453917355384,0.3962264076183697,0.32203389284688316,0.3333333277777779,0.35483870395421446,0.2711864360815858,0.3174603124212649,0.4090909028925621,0.25454544991735545,0.2424242387511479,0.32258063995837677,0.2727272677685951,0.30357142315051033,0.457999999084,0.3818181748760332,0.4062499936523439,0.42592591803840896,0.3709677359521333,0.33333332679738575,0.2833333286111112,0.3999999927272729,0.29310344322235443,0.33928570822704096,0.31034482223543414,0.4482758543400715,0.35999999280000017,0.43859648353339503,0.37593984679744474,0.33333332748538025,0.29411764129181095,0.43636362842975224,0.2833333286111112,0.41666665972222233,0.31481480898491093,0.3018867867568531,0.316666661388889,0.3749999933035716,0.3090909034710745,0.2622950776672938,0.36923076355029594,0.3437499946289064
total seconds,0.0,19.08800220489502,46.45983672142029,57.28138875961304,75.46445798873901,86.92096900939941,99.34197425842285,110.52613544464111,121.84692239761353,132.2389624118805,141.87960195541382,150.7981836795807,160.97946953773499,172.75694155693054,186.82925605773926,197.2357623577118,208.1013650894165,220.18070793151855,230.35644435882568,248.29845809936523,256.7496552467346,266.8460371494293,278.02769446372986,287.3667733669281,297.90250992774963,307.87903451919556,317.0769190788269,326.32977294921875,335.1790759563446,346.4536967277527,362.9479603767395,372.11752820014954,379.76699686050415,390.7492320537567,400.834593296051,410.6388096809387,420.46607303619385,430.0982575416565,439.3866078853607,449.1219570636749,460.00856947898865,469.1612024307251,479.13988614082336,488.3581418991089,497.6328568458557,506.95398569107056,516.3729503154755,525.4948916435242,535.7445001602173,544.4904131889343,554.0869011878967,566.5854558944702,574.688892364502,604.5082674026489,614.1487712860107,622.6551241874695,631.9346714019775,641.5622971057892,650.492213010788,659.4599916934967,668.1742699146271,678.3624839782715,689.0714626312256,699.648294210434,709.3087990283966,718.137825012207,726.0338428020477,734.2117929458618,744.0107667446136,752.3565926551819,761.4770181179047,768.6757016181946,776.8830008506775,785.6549246311188,796.0275621414185,803.8140027523041,812.927059173584,820.3966681957245,830.5503587722778,838.424117565155,847.5230669975281,855.6400594711304,864.474189043045,872.5218050479889,881.1311812400818,890.401535987854,898.8589072227478,908.8728187084198,919.0103404521942,927.2090363502502,935.2408404350281,942.9314079284668,949.5436153411865,956.5846498012543,963.3899631500244,970.1892929077148,979.6867277622223,987.7127552032471,994.6647901535034,1001.3782525062561,1008.7507016658783,1016.2461364269257,1023.6029825210571,1031.5105109214783,1038.6077637672424,1045.2760858535767,1051.7574973106384,1059.6254615783691,1070.8361384868622,1078.167843580246,1084.649629831314,1094.371157169342,1102.2023282051086,1109.948789358139,1117.3491201400757,1125.4560840129852,1131.9128992557526,1139.6199851036072,1147.66725564003,1154.2270276546478,1161.6772952079773,1168.5844187736511,1176.9211246967316,1184.0144538879395,1191.1447985172272,1208.5541644096375,1217.152087688446,1223.6415657997131,1231.0286836624146,1238.6847326755524,1244.9378905296326,1252.481697320938,1260.7561600208282,1267.213871717453,1275.7109365463257,1283.464255809784,1289.5412447452545,1298.3452777862549,1304.8729820251465,1313.1794595718384,1319.0577285289764,1326.642611026764,1333.8469681739807,1340.8128187656403,1348.2262980937958,1355.4314467906952,1362.6725668907166,1369.4588766098022,1375.2398283481598,1382.7630648612976,1391.3595139980316,1399.143018245697,1406.1373279094696,1413.1795465946198,1420.2138969898224,1427.6487028598785,1434.6306927204132,1441.812474489212,1450.0525710582733,1456.2129130363464,1462.55269241333,1478.0788629055023,1495.963291168213,1505.1772782802582,1513.4199345111847,1522.608093738556,1530.0966744422913,1536.2292981147766,1543.636528968811,1551.8418083190918,1560.7476325035095,1568.6705577373505,1577.799847126007,1584.6659243106842,1591.8257765769958,1599.3601033687592,1608.454297542572,1615.976948261261,1633.052146434784,1642.1740498542786,1648.6127407550812,1657.1635658740997,1664.0757367610931,1670.6879580020905,1678.4409353733063,1687.43075299263,1700.0503816604614,1706.8529844284058,1713.9567110538483,1721.3474595546722
total minutes,0.0,0.31813337008158366,0.7743306120236715,0.9546898126602172,1.2577409664789836,1.4486828168233237,1.6556995709737141,1.8421022574106851,2.030782039960225,2.2039827068646747,2.3646600325902303,2.513303061326345,2.68299115896225,2.879282359282176,3.113820934295654,3.2872627059618633,3.4683560848236086,3.669678465525309,3.8392740726470946,4.13830763498942,4.27916092077891,4.4474339524904885,4.633794907728831,4.789446222782135,4.9650418321291605,5.131317241986593,5.284615317980449,5.438829549153646,5.586317932605743,5.774228278795878,6.0491326729456585,6.201958803335826,6.329449947675069,6.512487200895945,6.680576554934183,6.843980161348979,7.007767883936564,7.168304292360942,7.323110131422679,7.485365951061249,7.666809491316477,7.819353373845418,7.985664769013723,8.139302364985149,8.293880947430928,8.449233094851175,8.606215838591257,8.758248194058735,8.929075002670288,9.074840219815572,9.234781686464945,9.443090931574504,9.578148206075033,10.075137790044149,10.235812854766845,10.377585403124492,10.532244523366293,10.692704951763153,10.841536883513132,10.990999861558278,11.136237831910451,11.306041399637857,11.484524377187093,11.660804903507232,11.821813317139943,11.96896375020345,12.100564046700795,12.236863215764364,12.40017944574356,12.539276544253031,12.691283635298412,12.811261693636576,12.948050014177959,13.09424874385198,13.267126035690307,13.396900045871735,13.548784319559733,13.673277803262074,13.842505979537965,13.973735292752584,14.125384449958801,14.260667657852172,14.407903150717418,14.542030084133149,14.685519687334697,14.840025599797567,14.980981787045797,15.147880311806997,15.31683900753657,15.453483939170837,15.5873473405838,15.715523465474446,15.825726922353109,15.943077496687572,16.05649938583374,16.169821548461915,16.32811212937037,16.46187925338745,16.57774650255839,16.689637541770935,16.812511694431304,16.93743560711543,17.060049708684286,17.191841848691304,17.310129396120708,17.42126809755961,17.529291621843974,17.660424359639485,17.847268974781038,17.969464059670766,18.077493830521902,18.2395192861557,18.370038803418478,18.499146489302316,18.62248533566793,18.75760140021642,18.865214987595877,18.993666418393452,19.127787594000498,19.237117127577463,19.361288253466288,19.476406979560853,19.61535207827886,19.733574231465656,19.852413308620452,20.142569406827292,20.285868128140766,20.394026096661886,20.51714472770691,20.64474554459254,20.748964842160543,20.874694955348968,21.012602667013805,21.120231195290884,21.26184894243876,21.391070930163064,21.492354079087576,21.63908796310425,21.74788303375244,21.886324326197307,21.98429547548294,22.1107101837794,22.23078280289968,22.34688031276067,22.470438301563263,22.590524113178255,22.71120944817861,22.82431461016337,22.920663805802665,23.046051081021627,23.189325233300526,23.31905030409495,23.435622131824495,23.552992443243664,23.67023161649704,23.794145047664642,23.91051154534022,24.030207908153535,24.167542850971223,24.27021521727244,24.375878206888835,24.634647715091706,24.932721519470213,25.086287971337637,25.223665575186413,25.376801562309264,25.501611240704854,25.603821635246277,25.727275482813518,25.86403013865153,26.012460541725158,26.14450929562251,26.296664118766785,26.411098738511402,26.530429609616597,26.656001722812654,26.807571625709535,26.932949137687682,27.217535773913067,27.36956749757131,27.476879012584686,27.619392764568328,27.734595612684885,27.84479930003484,27.974015589555105,28.1238458832105,28.334173027674357,28.44754974047343,28.565945184230806,28.689124325911205
cummulative feedback,0.0,386.0,423.0,455.0,490.0,524.0,556.0,582.0,627.0,661.0,690.0,725.0,758.0,798.0,830.0,859.0,883.0,919.0,956.0,979.0,1013.0,1045.0,1076.0,1118.0,1157.0,1186.0,1210.0,1235.0,1268.0,1304.0,1388.0,1414.0,1427.0,1460.0,1489.0,1520.0,1546.0,1583.0,1615.0,1644.0,1682.0,1719.0,1753.0,1777.0,1808.0,1830.0,1852.0,1879.0,1911.0,1938.0,1955.0,2054.0,2082.0,2316.0,2343.0,2364.0,2403.0,2462.0,2488.0,2513.0,2543.0,2572.0,2595.0,2635.0,2662.0,2693.0,2719.0,2745.0,2765.0,2791.0,2815.0,2839.0,2868.0,2892.0,2915.0,2939.0,2968.0,2982.0,3004.0,3036.0,3078.0,3094.0,3119.0,3146.0,3172.0,3195.0,3213.0,3236.0,3257.0,3279.0,3312.0,3349.0,3369.0,3392.0,3412.0,3436.0,3457.0,3474.0,3495.0,3514.0,3533.0,3554.0,3576.0,3600.0,3623.0,3645.0,3664.0,3683.0,3704.0,3722.0,3735.0,3752.0,3765.0,3793.0,3815.0,3835.0,3850.0,3880.0,3902.0,3916.0,3928.0,3946.0,3963.0,3988.0,4006.0,4028.0,4048.0,4077.0,4090.0,4115.0,4127.0,4146.0,4165.0,4187.0,4205.0,4223.0,4234.0,4252.0,4272.0,4291.0,4304.0,4323.0,4342.0,4358.0,4379.0,4395.0,4416.0,4431.0,4443.0,4462.0,4483.0,4502.0,4522.0,4544.0,4560.0,4580.0,4607.0,4621.0,4637.0,4657.0,4672.0,4689.0,4918.0,4939.0,4965.0,4988.0,5011.0,5028.0,5045.0,5067.0,5084.0,5103.0,5121.0,5147.0,5165.0,5190.0,5240.0,5259.0,5274.0,5298.0,5315.0,5340.0,5357.0,5373.0,5392.0,5413.0,5430.0,5446.0,5470.0,5492.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
