,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186
Episode,0.0,1.0,6.0,11.0,16.0,21.0,26.0,31.0,36.0,41.0,46.0,51.0,56.0,61.0,66.0,71.0,76.0,81.0,86.0,91.0,96.0,101.0,106.0,111.0,116.0,121.0,126.0,131.0,136.0,141.0,146.0,151.0,156.0,161.0,166.0,171.0,176.0,181.0,186.0,191.0,196.0,201.0,206.0,211.0,216.0,221.0,226.0,231.0,236.0,241.0,246.0,251.0,256.0,261.0,266.0,271.0,276.0,281.0,286.0,291.0,296.0,301.0,306.0,311.0,316.0,321.0,326.0,331.0,336.0,341.0,346.0,351.0,356.0,361.0,366.0,371.0,376.0,381.0,386.0,391.0,396.0,401.0,406.0,411.0,416.0,421.0,426.0,431.0,436.0,441.0,446.0,451.0,456.0,461.0,466.0,471.0,476.0,481.0,486.0,491.0,496.0,501.0,506.0,511.0,516.0,521.0,526.0,531.0,536.0,541.0,546.0,551.0,556.0,561.0,566.0,571.0,576.0,581.0,586.0,591.0,596.0,601.0,606.0,611.0,616.0,621.0,626.0,631.0,636.0,641.0,646.0,651.0,656.0,661.0,666.0,671.0,676.0,681.0,686.0,691.0,696.0,701.0,706.0,711.0,716.0,721.0,726.0,731.0,736.0,741.0,746.0,751.0,756.0,761.0,766.0,771.0,776.0,781.0,786.0,791.0,796.0,801.0,806.0,811.0,816.0,821.0,826.0,831.0,836.0,841.0,846.0,851.0,856.0,861.0,866.0,871.0,876.0,881.0,886.0,891.0,896.0,901.0,906.0,911.0,916.0,921.0,926.0
Accumulated time steps,0.0,55.0,417.0,1443.0,2078.0,2567.0,2919.0,3346.0,3706.0,4111.0,4494.0,4883.0,5336.0,5730.0,6082.0,6433.0,6778.0,7110.0,7397.0,7689.0,7976.0,8376.0,8673.0,8955.0,9246.0,9540.0,9832.0,10240.0,10576.0,10855.0,11178.0,11471.0,11877.0,12160.0,12548.0,12842.0,13189.0,13617.0,13908.0,14251.0,14527.0,14829.0,15167.0,15459.0,15746.0,16097.0,16438.0,16766.0,17114.0,17464.0,17880.0,18177.0,18464.0,18743.0,19043.0,19303.0,19595.0,19885.0,20165.0,20461.0,20745.0,21030.0,21312.0,21604.0,21890.0,22167.0,22456.0,22743.0,23019.0,23307.0,23576.0,23851.0,24128.0,24410.0,24700.0,24983.0,25307.0,25588.0,25870.0,26376.0,26709.0,26986.0,27270.0,27563.0,27834.0,28125.0,28405.0,28698.0,28984.0,29263.0,29574.0,29860.0,30151.0,30440.0,30742.0,31025.0,31314.0,31601.0,31875.0,32164.0,32444.0,32717.0,33018.0,33323.0,33596.0,33882.0,34191.0,34481.0,34779.0,35065.0,35352.0,35631.0,35915.0,36204.0,36491.0,36779.0,37067.0,37374.0,37657.0,37952.0,38221.0,38508.0,38778.0,39062.0,39351.0,39735.0,40026.0,40360.0,40647.0,40953.0,41252.0,41559.0,41854.0,42159.0,42452.0,42785.0,43100.0,43621.0,43926.0,44212.0,44516.0,44819.0,45114.0,45398.0,45698.0,45996.0,46374.0,46720.0,47165.0,47451.0,47773.0,48077.0,48584.0,48868.0,49207.0,49500.0,49796.0,50093.0,50401.0,50741.0,51034.0,51377.0,51657.0,51968.0,52581.0,52889.0,53182.0,53478.0,53764.0,54070.0,54376.0,54671.0,54968.0,55255.0,55576.0,55877.0,56174.0,56479.0,57072.0,57581.0,57865.0,58596.0,58900.0,59335.0,59623.0,59940.0,60310.0
Episode reward,0.0,134.34450503286024,207.6611810783092,202.44077765331355,207.21867131611262,576.5503457957992,151.03002858066233,147.440987689763,170.95354018370833,166.12937319126377,201.73801846447964,377.1842314496565,163.66207359685018,147.25353088259834,201.56660028990413,155.05082624746763,124.84795262353511,122.67757826336161,127.43737234089399,146.85107959538996,148.212982439359,169.08835321438565,170.09845642187668,102.70742437081276,117.76788945262165,123.72436851369999,177.74762807432043,168.83439285246013,125.43727041987144,124.33307223742403,131.64595416053413,141.98827334530264,190.12130159812872,122.35635665711006,140.9998559267344,171.82726251272013,193.66594749919818,195.659988243567,183.03324022639572,263.6462769836153,122.89182413881053,150.17788418639532,230.03104902382296,170.73779443899144,154.16033394258923,160.74449232094716,181.16274886784697,189.24239133816383,162.4732275398099,161.53858589336423,468.30969786120704,186.75263624305708,133.43508328540884,128.88188933735276,168.24620496009507,143.8987350255575,169.60923892628108,137.19419962410205,128.2887561014441,179.20205434678445,180.32873443604467,172.23237202168542,165.99480582989892,155.72974815493714,167.4282262502787,134.41303049046013,178.94814789934662,175.79464685805655,160.81633105377685,167.46720782947375,117.59734441622167,127.13242155167073,137.21018286976104,132.71173094651223,174.40459053054903,127.97631400307371,163.87493139058026,175.91125310623053,161.32340680479032,399.4069340063777,136.29022572889218,132.55630862237916,183.07008856440194,183.35448354988748,178.89911567305666,179.17181797567716,120.63710560010831,126.81681291345735,121.8302308364305,122.20162241594402,187.69640799387386,171.7556533253656,159.2571218143508,175.79694639198314,142.9352035075396,177.58655021402788,187.46959115875603,158.10195267955285,120.42331530289395,156.96392885619875,175.19429115260525,159.62410455772815,183.7660567773334,158.12200701171142,119.73971441786848,161.95967809486942,189.9487512378379,156.88256542448437,172.95249199364264,176.5261041327231,121.44092884783598,141.26986337614485,135.65444048703608,182.90196902905524,127.19041331735222,125.04217430732668,162.80442122084165,192.98961968487225,130.83847481325435,168.1813307958166,119.06281735716439,156.96687726513593,114.61771501625597,161.99182547844512,177.0260349499793,145.85767403210158,159.5713819853328,176.76211974355758,129.04716624702638,190.7689910176468,174.52617809326304,167.53063585361198,181.6687763963842,153.7568303711471,184.90038343864197,163.75961948884637,166.86989744101248,262.54958555195316,179.25998514404782,128.85393970575763,176.29265497893647,179.69369123444554,182.4128959999046,158.52354976650574,155.63925757644228,160.86573657711725,178.10323486912858,178.76583948005106,156.52013719966268,149.24151670711296,138.27436360451986,190.11801954340245,276.67379826278784,174.50266732069872,137.92319637670627,174.5183900092382,154.24408707832552,171.35890991907075,167.69540649019606,364.7910823611023,167.1741904847166,129.41575649851853,162.36325096850965,174.01746417831004,170.1878446704329,161.59446547675662,178.75455480908894,175.87642495412234,167.932195545013,187.04628577992955,162.0721652083138,189.68516126058088,170.36982295433245,166.3318440915444,128.11378343464347,195.59514391739114,161.09969227329833,176.94888547534424,268.1038636809031,118.3398573171842,129.00425963598173,186.73070393320376,172.99122947415907,398.90613286294086,180.66772076613103,162.6874722444756,179.97649899575464
Episode feedback,0.8,0.7962962815500689,0.7662337562826785,0.6282051201512164,0.7499999895833335,0.7867647000973184,0.7758620555885852,0.8196721177102931,0.6714285618367348,0.7272727162534437,0.6799999909333335,0.688679238786045,0.7230769119526629,0.714285702947846,0.6865671539318335,0.6393442518140287,0.5892857037627554,0.5849056493414029,0.5090908998347109,0.6229508094598228,0.6393442518140287,0.6718749895019533,0.5666666572222224,0.6458333198784726,0.538461528106509,0.49999999038461557,0.6393442518140287,0.4915254153978743,0.5090908998347109,0.4999999907407409,0.5370370270919069,0.38983050186727963,0.5432098698369152,0.4615384526627221,0.5172413703923902,0.4687499926757814,0.5869565153591684,0.5454545371900827,0.4918032706261759,0.6296296237997258,0.6862744963475589,0.3818181748760332,0.6435643500637194,0.4426229435635583,0.4107142783801022,0.5438596395814098,0.2812499956054688,0.5161290239334029,0.43859648353339503,0.4821428485331634,0.6232876669637831,0.43749999316406263,0.5454545355371903,0.46296295438957497,0.37288134961218056,0.4074073998628259,0.3389830451019823,0.2982456088027086,0.44444443621399193,0.4426229435635583,0.34426228943832315,0.3333333277777779,0.28813558833668496,0.33333332748538025,0.28813558833668496,0.3090909034710745,0.2812499956054688,0.23333332944444451,0.44642856345663284,0.33870967195629564,0.25999999480000013,0.37037036351166,0.3157894681440444,0.4727272641322316,0.14754098118785278,0.24528301423994314,0.16949152255099115,0.2622950776672938,0.24137930618311543,0.5073529393112024,0.4107142783801022,0.42592591803840896,0.3650793592844546,0.3709677359521333,0.403225799947971,0.403225799947971,0.24999999519230778,0.31481480898491093,0.23076922633136104,0.33999999320000013,0.38095237490551787,0.20338982706118938,0.3571428507653063,0.33846153325443795,0.3275862012485138,0.19672130825047038,0.18749999707031256,0.24561403077870123,0.3207547109291564,0.1896551691438764,0.2499999958333334,0.33928570822704096,0.360655731792529,0.2758620642092748,0.33333332679738575,0.24137930618311543,0.22222221869488543,0.21428571045918376,0.2622950776672938,0.24590163531308795,0.2075471658953365,0.2830188625845498,0.1578947340720222,0.21311475060467622,0.31481480898491093,0.15384615088757403,0.285714280612245,0.18461538177514797,0.16981131755072987,0.3437499946289064,0.17307691974852077,0.21818181421487612,0.3653846083579883,0.26315789012003704,0.16129031997918838,0.3559321973570814,0.2999999950000001,0.29508196237570555,0.26415093841224646,0.2968749953613282,0.22033897931628849,0.22033897931628849,0.22950819295888208,0.3090909034710745,0.17741935197710723,0.21052631209602962,0.2999999950000001,0.48031495684791375,0.22950819295888208,0.29629629080932796,0.2999999950000001,0.19999999666666674,0.25806451196670144,0.26315789012003704,0.22413792717003575,0.35087718682671604,0.23333332944444451,0.3114754047299114,0.34482758026159344,0.3684210461680518,0.3928571358418369,0.30303029843893486,0.37037036579789673,0.22580644797086374,0.3749999933035716,0.3114754047299114,0.25454544991735545,0.18333333027777785,0.38333332694444455,0.3867924491812033,0.3389830451019823,0.4423076838017753,0.3684210461680518,0.16666666388888896,0.31034482223543414,0.2586206851961951,0.19354838397502608,0.29508196237570555,0.2586206851961951,0.20634920307382218,0.29310344322235443,0.19047618745275893,0.22950819295888208,0.31034482223543414,0.2727272677685951,0.199999996923077,0.2982456088027086,0.18333333027777785,0.42399999660800003,0.25999999480000013,0.31481480898491093,0.42424241781450883,0.316666661388889,0.44360901922098483,0.29032257596253913,0.2758620642092748,0.3593749943847657
total seconds,0.0,4.865876197814941,19.80217432975769,84.83344841003418,126.69396162033081,159.07968616485596,182.36315155029297,210.6682903766632,235.3229513168335,260.94415736198425,285.03035068511963,307.61621618270874,336.69673442840576,360.2019646167755,384.1369426250458,407.00695037841797,428.9484076499939,448.2573096752167,465.94542145729065,482.6929066181183,501.4069242477417,526.0019481182098,544.7446928024292,559.9165596961975,574.6421852111816,590.477288722992,602.2264792919159,621.4247171878815,637.572939157486,650.7995355129242,665.8049685955048,679.3716769218445,702.060702085495,714.7812983989716,733.0598518848419,746.8583250045776,765.1596083641052,789.0685110092163,801.5524225234985,817.4112074375153,831.009434223175,843.2876584529877,859.1927089691162,871.9685335159302,883.9211645126343,897.3934059143066,911.5962703227997,929.2907855510712,945.3823962211609,962.4960525035858,981.3206615447998,995.5103824138641,1008.4088008403778,1020.5771110057831,1032.8521585464478,1043.9181184768677,1055.5487444400787,1066.6616535186768,1078.7544474601746,1090.158037662506,1101.1846928596497,1111.3304064273834,1121.0358884334564,1131.7659561634064,1142.0501165390015,1152.4204776287079,1162.6107113361359,1172.706421136856,1184.6766984462738,1196.0466315746307,1206.2852981090546,1218.121993780136,1229.3359205722809,1239.3790357112885,1248.9691135883331,1259.6716101169586,1271.503577709198,1282.9306418895721,1292.554369688034,1313.6345307826996,1327.670599937439,1340.593449831009,1351.5713493824005,1362.7581617832184,1374.0911977291107,1384.4338808059692,1394.6443719863892,1405.884260892868,1416.2530698776245,1426.067054271698,1437.902542591095,1447.0271124839783,1460.1080868244171,1469.2834949493408,1478.8724386692047,1488.7580215930939,1498.6372284889221,1508.3179099559784,1517.4371888637543,1527.6864840984344,1536.7567896842957,1545.1203048229218,1556.873287677765,1567.156492948532,1576.5116381645203,1586.534565448761,1595.9067800045013,1605.5786142349243,1614.6889963150024,1623.7221004962921,1632.8268492221832,1641.1312425136566,1650.6339132785797,1658.8326489925385,1666.2472536563873,1674.6820058822632,1684.2200765609741,1693.5346915721893,1702.3633975982666,1711.6788647174835,1719.7535274028778,1728.4731764793396,1737.239578485489,1745.2783288955688,1752.8492090702057,1768.4282648563385,1777.1663618087769,1785.4502921104431,1792.0073676109314,1798.680187702179,1805.360997915268,1812.3786215782166,1818.857409477234,1825.9741418361664,1832.6703922748566,1842.1698157787323,1851.2024195194244,1865.3353061676025,1872.7765548229218,1880.3760423660278,1888.0029640197754,1894.3508989810944,1900.1491391658783,1906.8592505455017,1914.4111506938934,1921.6391825675964,1932.8338599205017,1942.1653108596802,1955.0794270038605,1963.240961074829,1972.7549772262573,1980.620759487152,1994.7868530750275,2003.044489622116,2012.1237857341766,2020.9294776916504,2028.4976937770844,2035.0833220481873,2042.9210457801819,2053.0356121063232,2061.882274866104,2072.9693269729614,2080.124315738678,2087.491856575012,2105.704277038574,2114.3853561878204,2121.324678659439,2127.1914196014404,2133.4772198200226,2140.7960121631622,2149.147311449051,2155.2681078910828,2161.3286221027374,2168.7845718860626,2177.6483063697815,2184.5951611995697,2191.3176028728485,2199.586369752884,2217.8495049476624,2231.9216866493225,2239.839227437973,2260.7912130355835,2269.02423453331,2282.5519728660583,2290.232795238495,2297.2528698444366,2307.3700754642487
total minutes,0.0,0.08109793663024903,0.33003623882929484,1.413890806833903,2.1115660270055137,2.6513281027475992,3.0393858591715497,3.5111381729443867,3.9220491886138915,4.349069289366404,4.750505844751994,5.126936936378479,5.61161224047343,6.003366076946259,6.402282377084096,6.783449172973633,7.149140127499899,7.470955161253611,7.7657570242881775,8.044881776968639,8.356782070795695,8.766699135303497,9.07907821337382,9.331942661603291,9.577369753519694,9.8412881453832,10.037107988198597,10.357078619798024,10.626215652624767,10.846658925215403,11.096749476591746,11.322861282030741,11.701011701424916,11.91302163998286,12.2176641980807,12.447638750076294,12.752660139401753,13.151141850153605,13.359207042058308,13.623520123958588,13.850157237052917,14.054794307549795,14.319878482818604,14.53280889193217,14.732019408543904,14.956556765238444,15.19327117204666,15.48817975918452,15.75637327035268,16.041600875059764,16.355344359079997,16.591839706897737,16.80681334733963,17.00961851676305,17.214202642440796,17.398635307947796,17.59247907400131,17.77769422531128,17.97924079100291,18.169300627708434,18.353078214327493,18.522173440456392,18.68393147389094,18.86276593605677,19.034168608983357,19.207007960478464,19.376845188935597,19.5451070189476,19.74461164077123,19.934110526243845,20.104754968484244,20.302033229668936,20.488932009538015,20.656317261854806,20.816151893138887,20.994526835282645,21.1917262951533,21.3821773648262,21.542572828133903,21.893908846378327,22.12784333229065,22.34322416385015,22.52618915637334,22.712636029720308,22.901519962151845,23.07389801343282,23.24407286643982,23.431404348214468,23.60421783129374,23.767784237861633,23.965042376518248,24.117118541399638,24.335134780406953,24.48805824915568,24.64787397782008,24.81263369321823,24.977287141482034,25.13863183259964,25.290619814395903,25.461441401640574,25.612613161404926,25.75200508038203,25.94788812796275,26.119274882475533,26.275193969408672,26.44224275747935,26.598446333408354,26.75964357058207,26.91148327191671,27.062035008271536,27.21378082036972,27.35218737522761,27.510565221309662,27.64721081654231,27.770787560939787,27.911366764704386,28.07033460934957,28.225578192869822,28.372723293304443,28.527981078624727,28.662558790047964,28.80788627465566,28.953992974758147,29.08797214825948,29.214153484503427,29.47380441427231,29.619439363479614,29.757504868507386,29.86678946018219,29.97800312836965,30.089349965254467,30.20631035963694,30.3142901579539,30.432902363936105,30.544506537914277,30.70283026297887,30.853373658657073,31.088921769460043,31.21294258038203,31.339600706100462,31.466716066996256,31.57251498301824,31.669152319431305,31.780987509091695,31.90685251156489,32.02731970945994,32.2138976653417,32.369421847661336,32.58465711673101,32.72068268458049,32.87924962043762,33.01034599145253,33.246447551250455,33.38407482703527,33.53539642890294,33.68215796152751,33.80829489628474,33.91805536746979,34.048684096336366,34.217260201772056,34.36470458110173,34.54948878288269,34.66873859564463,34.79153094291687,35.09507128397624,35.23975593646367,35.355411310990654,35.453190326690674,35.55795366366704,35.6799335360527,35.819121857484184,35.92113513151805,36.02214370171229,36.14640953143438,36.29413843949636,36.40991935332616,36.52196004788081,36.65977282921473,36.96415841579437,37.19869477748871,37.33065379063289,37.67985355059306,37.817070575555164,38.042532881100975,38.170546587308245,38.287547830740614,38.45616792440414
cummulative feedback,0.0,43.0,102.0,151.0,205.0,312.0,357.0,407.0,454.0,502.0,553.0,626.0,673.0,718.0,764.0,803.0,836.0,867.0,895.0,933.0,972.0,1015.0,1049.0,1080.0,1108.0,1134.0,1173.0,1202.0,1230.0,1257.0,1286.0,1309.0,1353.0,1377.0,1407.0,1437.0,1491.0,1527.0,1557.0,1625.0,1660.0,1681.0,1746.0,1773.0,1796.0,1827.0,1845.0,1877.0,1902.0,1929.0,2020.0,2048.0,2078.0,2103.0,2125.0,2147.0,2167.0,2184.0,2208.0,2235.0,2256.0,2276.0,2293.0,2312.0,2329.0,2346.0,2364.0,2378.0,2403.0,2424.0,2437.0,2457.0,2475.0,2501.0,2510.0,2523.0,2533.0,2549.0,2563.0,2701.0,2724.0,2747.0,2770.0,2793.0,2818.0,2843.0,2856.0,2873.0,2885.0,2902.0,2926.0,2938.0,2958.0,2980.0,2999.0,3011.0,3023.0,3037.0,3054.0,3065.0,3080.0,3099.0,3121.0,3137.0,3154.0,3168.0,3182.0,3194.0,3210.0,3225.0,3236.0,3251.0,3260.0,3273.0,3290.0,3298.0,3314.0,3326.0,3335.0,3357.0,3366.0,3378.0,3397.0,3412.0,3422.0,3443.0,3461.0,3479.0,3493.0,3512.0,3525.0,3538.0,3552.0,3569.0,3580.0,3592.0,3610.0,3671.0,3685.0,3701.0,3719.0,3731.0,3747.0,3762.0,3775.0,3795.0,3809.0,3828.0,3848.0,3869.0,3891.0,3911.0,3941.0,3955.0,3976.0,3995.0,4009.0,4020.0,4043.0,4084.0,4104.0,4127.0,4148.0,4158.0,4176.0,4191.0,4203.0,4221.0,4236.0,4249.0,4266.0,4278.0,4292.0,4310.0,4325.0,4338.0,4355.0,4366.0,4419.0,4432.0,4449.0,4477.0,4496.0,4555.0,4573.0,4589.0,4612.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
