,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198
Episode,0.0,1.0,6.0,11.0,16.0,21.0,26.0,31.0,36.0,41.0,46.0,51.0,56.0,61.0,66.0,71.0,76.0,81.0,86.0,91.0,96.0,101.0,106.0,111.0,116.0,121.0,126.0,131.0,136.0,141.0,146.0,151.0,156.0,161.0,166.0,171.0,176.0,181.0,186.0,191.0,196.0,201.0,206.0,211.0,216.0,221.0,226.0,231.0,236.0,241.0,246.0,251.0,256.0,261.0,266.0,271.0,276.0,281.0,286.0,291.0,296.0,301.0,306.0,311.0,316.0,321.0,326.0,331.0,336.0,341.0,346.0,351.0,356.0,361.0,366.0,371.0,376.0,381.0,386.0,391.0,396.0,401.0,406.0,411.0,416.0,421.0,426.0,431.0,436.0,441.0,446.0,451.0,456.0,461.0,466.0,471.0,476.0,481.0,486.0,491.0,496.0,501.0,506.0,511.0,516.0,521.0,526.0,531.0,536.0,541.0,546.0,551.0,556.0,561.0,566.0,571.0,576.0,581.0,586.0,591.0,596.0,601.0,606.0,611.0,616.0,621.0,626.0,631.0,636.0,641.0,646.0,651.0,656.0,661.0,666.0,671.0,676.0,681.0,686.0,691.0,696.0,701.0,706.0,711.0,716.0,721.0,726.0,731.0,736.0,741.0,746.0,751.0,756.0,761.0,766.0,771.0,776.0,781.0,786.0,791.0,796.0,801.0,806.0,811.0,816.0,821.0,826.0,831.0,836.0,841.0,846.0,851.0,856.0,861.0,866.0,871.0,876.0,881.0,886.0,891.0,896.0,901.0,906.0,911.0,916.0,921.0,926.0,931.0,936.0,941.0,946.0,951.0,956.0,961.0,966.0,971.0,976.0,981.0,986.0
Accumulated time steps,0.0,60.0,394.0,708.0,1430.0,1767.0,2097.0,2778.0,3108.0,3419.0,3725.0,4038.0,4334.0,4643.0,4953.0,5260.0,5580.0,5877.0,6220.0,6608.0,6899.0,7183.0,7478.0,7777.0,8140.0,8843.0,9204.0,9516.0,9931.0,10214.0,10493.0,10824.0,11116.0,11416.0,11757.0,12051.0,12328.0,12620.0,12911.0,13200.0,13477.0,13774.0,14051.0,14334.0,14626.0,14917.0,15211.0,15495.0,15777.0,16218.0,16507.0,16801.0,17093.0,17476.0,17776.0,18094.0,18377.0,18664.0,18958.0,19237.0,19534.0,19812.0,20232.0,20500.0,20791.0,21089.0,21376.0,21653.0,21938.0,22207.0,22583.0,23126.0,23455.0,23747.0,24038.0,24332.0,24617.0,24913.0,25198.0,25477.0,25762.0,26059.0,26354.0,26654.0,26936.0,27237.0,27531.0,27814.0,28110.0,28409.0,28705.0,28979.0,29252.0,29522.0,29810.0,30108.0,30391.0,30660.0,30944.0,31222.0,31506.0,31789.0,32078.0,32366.0,32642.0,32942.0,33231.0,33522.0,33815.0,34107.0,34391.0,34678.0,34972.0,35260.0,35544.0,35839.0,36119.0,36391.0,36675.0,36973.0,37251.0,37519.0,37798.0,38342.0,38636.0,38924.0,39200.0,39484.0,39778.0,40057.0,40354.0,40625.0,40897.0,41170.0,41445.0,41725.0,41996.0,42277.0,42552.0,42835.0,43103.0,43374.0,43638.0,43923.0,44200.0,44461.0,44742.0,45024.0,45305.0,45588.0,45876.0,46146.0,46413.0,46698.0,46982.0,47268.0,47549.0,47824.0,48088.0,48369.0,48656.0,48932.0,49213.0,49489.0,49766.0,50057.0,50345.0,50629.0,50907.0,51192.0,51458.0,51736.0,52012.0,52298.0,52577.0,52851.0,53122.0,53407.0,53695.0,53981.0,54254.0,54534.0,54794.0,55067.0,55332.0,55609.0,55883.0,56159.0,56433.0,56720.0,57019.0,57308.0,57587.0,57873.0,58155.0,58829.0,59768.0,60051.0,60334.0
Episode reward,0.0,143.61672687657043,187.3602041788477,135.4460644351129,878.7710736524269,180.01071755946404,281.7383999441122,131.85221496321267,148.04616438241206,131.552507966245,142.60255681395367,140.8746671218942,127.9284511786983,190.55622290855686,235.08481015570933,150.52992792774924,160.33273599909793,162.37535577865637,171.02448275443837,179.80929164670226,171.30875721795576,121.35112122601072,168.59931768934726,172.04573101571373,153.6099403847338,116.07602261601342,206.96773217269265,282.4060308668044,690.5915249104586,157.94476314957126,125.61143311114643,148.54734649111785,189.56237548813374,166.68457528845775,172.4377449811128,177.45399873494821,165.873569045743,166.13289088911213,169.41414447247917,161.27935950700402,161.22374221312305,169.1458476626044,163.75181389130077,159.92063729695266,169.3832938412692,168.96716542602627,161.8345025510355,159.75686699463492,185.16887669228123,722.6033259295043,177.14115299638138,169.2864042538845,177.25532850563644,660.9158402346553,163.59408225610377,186.24726412065374,152.06591060536329,162.8422056143831,169.8235125482936,161.67394349386765,154.46502023993844,117.19032203456452,224.77414907936605,118.06504891979135,184.19090390924583,180.0121459175423,160.42788571250654,125.97096216920819,119.10694085531199,158.78558619728005,180.91451364215243,127.4317751371588,174.81152429040898,171.5126217645495,162.91313217042574,176.73123216191456,151.5573512427462,175.08470840704067,129.9180568664657,120.31568329218578,172.36292339160022,159.18662368521225,184.5154348478679,190.17556501937204,127.56210639180902,169.56213644090354,159.78068811638076,185.1837989623639,148.2786806860153,158.12681182996974,172.62438529414976,123.79285082089643,171.42343054525597,149.30300817403702,162.67281418426685,159.68703281303246,177.93838910747502,122.78797603719885,123.90426082010268,170.8761636130357,154.98937043535736,162.9582422744591,152.85646948795045,117.8062525144217,154.9792349186976,168.36172976962808,186.91920575441657,185.8621418869673,178.15033243605782,121.18351838305807,151.16307848797604,172.65280459563763,163.82489427577724,153.44381016941466,179.19933269198654,142.87318604611082,123.09682804044803,122.19394677176005,160.289266918396,172.2377376414503,168.11500102922375,117.09692475113994,174.44265009582182,169.75376237729424,180.1199794969358,154.54504381926455,119.50510961026927,159.69027211390818,170.74943640360863,162.53574332440485,172.58738205197233,134.00835368680072,122.2508649691694,143.81194614110066,176.8563408481219,152.11352336082814,131.23586105350773,123.92462981150756,137.74612855509054,133.151946093336,129.14785729804018,116.21870577815871,128.21527013220918,174.51545830632725,127.07497262832277,117.60437873474018,161.84178329921988,135.27538387018237,150.43377111723885,159.7747300572825,179.50489267658378,118.47777159538312,113.58599468937099,155.42074930715097,156.96461750210023,179.64443427798506,139.62153766226496,130.90755610240794,120.61333109076897,125.378479279384,129.84869199337226,160.92769675339716,172.69454919642294,141.7303391907498,121.40115158591124,207.50596189818447,142.1770434980163,122.23857015418506,118.63901121070802,130.792069802337,117.62902395144462,156.39903981659418,114.94602255564769,177.99657772345327,148.42087577523552,167.05331795526226,123.30906376830889,134.9524979476161,191.41217651687862,168.0205433723365,128.12417046392025,164.76613274587942,122.90777643842907,139.57899481404783,120.60436903406635,172.4772466568223,118.49288077065303,135.99712540361725,121.0721920808692,137.42082219985156,167.2461230519,127.80182772836623,164.8226113645447,121.93666427135909,133.74767191889123,139.35894640501223,126.02977158280126,116.30561133140351,134.46561333260422
Episode feedback,0.8,0.7966101559896585,0.7536231774837221,0.6499999891666669,0.8266666629925926,0.7808219071120287,0.6543209795762842,0.7049180212308521,0.7343749885253908,0.8181818033057854,0.5573770400429994,0.6060605968778697,0.6949152424590637,0.6212121117998165,0.6753246665542252,0.4821428485331634,0.5344827494054699,0.6271186334386673,0.5999999900000001,0.58730157797934,0.3499999941666668,0.45283018013527965,0.5499999908333335,0.47540982827197004,0.3090909034710745,0.6078431253364094,0.5813953420767983,0.6794871707758056,0.5642458069036547,0.33928570822704096,0.43137254056132274,0.3793103382877528,0.31249999511718757,0.47457626314277523,0.46666665888888903,0.2666666622222223,0.29310344322235443,0.5517241284185496,0.3793103382877528,0.5254237199080726,0.3818181748760332,0.40677965412237876,0.33928570822704096,0.3157894681440444,0.37288134961218056,0.41379309631391215,0.33333332748538025,0.24999999553571436,0.20967741597294492,0.6862745064398309,0.2786885200214997,0.31034482223543414,0.34426228943832315,0.49315068155376246,0.21052631209602962,0.25806451196670144,0.3962264076183697,0.24561403077870123,0.3559321973570814,0.20689654815695607,0.3999999927272729,0.37254901230296056,0.5204081579550188,0.4399999912000002,0.3709677359521333,0.45901638591776417,0.48275861236623085,0.47058822606689754,0.3999999920000002,0.3999999927272729,0.35483870395421446,0.3773584834460664,0.41935483194588985,0.360655731792529,0.5614034989227457,0.3666666605555557,0.25925925445816195,0.21311475060467622,0.2909090856198348,0.2549019557862362,0.3666666605555557,0.1428571403061225,0.20634920307382218,0.20312499682617194,0.14814814540466398,0.1355932180407929,0.43859648353339503,0.19047618745275893,0.2758620642092748,0.28070174946137283,0.2999999950000001,0.26415093841224646,0.24137930618311543,0.22222221810699597,0.3275862012485138,0.2586206851961951,0.3278688470841173,0.24999999519230778,0.1568627420222992,0.14754098118785278,0.08928571269132657,0.14035087473068641,0.29310344322235443,0.37999999240000015,0.1428571403061225,0.3389830451019823,0.31249999511718757,0.19354838397502608,0.23809523431594867,0.17307691974852077,0.2363636320661158,0.23728813157138762,0.3859649055093876,0.2727272677685951,0.2999999950000001,0.37288134961218056,0.24999999519230778,0.29411764129181095,0.16949152255099115,0.1355932180407929,0.13333333111111115,0.21568627028066137,0.20689654815695607,0.3333333277777779,0.19672130825047038,0.21818181421487612,0.3269230706360948,0.17543859341335802,0.16666666388888896,0.22033897931628849,0.19999999666666674,0.24999999553571436,0.3269230706360948,0.2280701714373654,0.20967741597294492,0.18181817851239676,0.4107142783801022,0.1886792417230332,0.15517241111771707,0.2909090856198348,0.20370369993141296,0.13999999720000006,0.2909090856198348,0.3593749943847657,0.33333332716049396,0.23529411303344877,0.2280701714373654,0.32142856568877565,0.30357142315051033,0.17241379013079672,0.21311475060467622,0.3137254840445984,0.3061224427321951,0.34545453917355384,0.3684210461680518,0.17741935197710723,0.3571428507653063,0.33928570822704096,0.29411764129181095,0.33333332716049396,0.3999999927272729,0.24137930618311543,0.2666666622222223,0.3859649055093876,0.24999999519230778,0.37142856612244907,0.29629629080932796,0.33333332679738575,0.35999999280000017,0.3571428507653063,0.3529411695501732,0.26315789012003704,0.3999999920000002,0.33870967195629564,0.23214285299744905,0.15517241111771707,0.31481480898491093,0.17857142538265314,0.199999996923077,0.3114754047299114,0.31481480898491093,0.31034482223543414,0.21568627028066137,0.26315789012003704,0.33962263510145974,0.3333333277777779,0.2199999956000001,0.2280701714373654,0.23076922633136104,0.25423728382648675,0.15254237029589204,0.15094339337842655,0.15254237029589204,0.1764705847750866,0.2280701714373654,0.43859648353339503,0.3773584834460664,0.23529411303344877,0.23214285299744905
total seconds,0.0,4.5848164558410645,20.40443706512451,33.15138649940491,81.8603675365448,105.21781849861145,127.26054859161377,169.32740020751953,190.53366327285767,211.9969232082367,229.20293021202087,248.76935386657715,265.91123700141907,284.8730158805847,302.4280049800873,318.49227118492126,336.72866892814636,353.22541761398315,372.61120104789734,395.25768971443176,409.59829545021057,422.82397985458374,436.9660949707031,450.4124369621277,471.53891229629517,507.80097818374634,528.0709342956543,545.0377440452576,564.3381633758545,576.1223802566528,587.1665444374084,601.356602191925,614.4931924343109,625.4816997051239,641.8114740848541,654.6015727519989,665.8561954498291,679.1275441646576,689.8399360179901,700.8167862892151,710.5248527526855,720.6795463562012,732.2997171878815,742.6563935279846,752.9654421806335,764.7034900188446,775.733757019043,784.5956501960754,794.3921072483063,815.1349251270294,826.7411785125732,838.7310144901276,849.2635548114777,862.5282423496246,871.9297490119934,883.2583115100861,893.7475845813751,904.6325130462646,915.5594551563263,925.1461915969849,935.8572816848755,945.722510099411,968.199253320694,980.3003895282745,992.7838079929352,1005.9105641841888,1018.7007188796997,1030.444420337677,1043.220381975174,1055.4059779644012,1072.836689710617,1097.3345789909363,1112.8589849472046,1125.3118295669556,1136.4400374889374,1147.2408001422882,1157.3312935829163,1167.29367685318,1176.578092098236,1185.955995798111,1195.0786216259003,1205.3906416893005,1215.4999079704285,1224.4770240783691,1230.8472344875336,1240.6146750450134,1250.5375463962555,1258.5967271327972,1269.1307621002197,1279.0404207706451,1289.8427531719208,1298.593014717102,1307.1223034858704,1315.474283695221,1326.2833313941956,1334.7395401000977,1343.8237795829773,1352.7848839759827,1361.7509770393372,1370.699176311493,1378.4618804454803,1387.104970216751,1395.0913467407227,1404.0715475082397,1413.2223763465881,1421.6648406982422,1430.8198537826538,1438.7298583984375,1446.507862329483,1455.6758270263672,1463.7642402648926,1472.7944989204407,1483.0211498737335,1491.487018585205,1500.1157219409943,1509.3635659217834,1517.5883638858795,1526.6077694892883,1535.141286611557,1544.5508606433868,1552.1409766674042,1559.2881774902344,1566.5499472618103,1586.3495285511017,1595.3259513378143,1603.943987607956,1612.3524222373962,1619.882259130478,1627.1016783714294,1634.1323261260986,1640.8106932640076,1647.8279161453247,1654.5354232788086,1661.0118732452393,1667.8565542697906,1675.0466945171356,1682.448523759842,1688.8338060379028,1695.646539926529,1702.1853127479553,1709.539710521698,1715.6315078735352,1723.0470106601715,1731.3531630039215,1739.1371216773987,1744.7599036693573,1750.4019989967346,1758.8539278507233,1765.2405014038086,1773.0510694980621,1780.2423231601715,1787.4355969429016,1793.8265500068665,1800.7649030685425,1808.315711259842,1814.503975391388,1821.6247861385345,1828.1213793754578,1835.5388021469116,1843.0487742424011,1850.9314320087433,1857.938108921051,1864.6911005973816,1872.0428793430328,1878.9639854431152,1885.6041753292084,1893.3258187770844,1900.2396318912506,1907.4672837257385,1914.6469013690948,1921.6375186443329,1929.30956864357,1936.7243235111237,1944.1164965629578,1950.7306628227234,1956.6710183620453,1962.8831596374512,1969.6109211444855,1976.5986375808716,1983.3051495552063,1989.4712727069855,1996.549199104309,2002.2023162841797,2008.6301896572113,2015.6564993858337,2021.9594025611877,2027.8109307289124,2033.7874064445496,2040.0831983089447,2046.7334351539612,2052.792764186859,2058.505734682083,2065.5336492061615,2072.162295818329,2078.763150215149,2098.6682229042053,2121.959551334381,2129.9378023147583,2137.629955768585
total minutes,0.0,0.07641360759735108,0.34007395108540855,0.5525231083234151,1.3643394589424134,1.7536303083101907,2.1210091431935627,2.822123336791992,3.175561054547628,3.5332820534706117,3.8200488368670147,4.146155897776286,4.431853950023651,4.747883598009746,5.040466749668122,5.308204519748688,5.612144482135773,5.887090293566386,6.210186684131623,6.587628161907196,6.826638257503509,7.047066330909729,7.282768249511719,7.506873949368795,7.85898187160492,8.463349636395773,8.801182238260905,9.083962400754293,9.40563605626424,9.602039670944214,9.786109073956807,10.022610036532084,10.241553207238516,10.424694995085398,10.696857901414235,10.910026212533316,11.097603257497152,11.318792402744293,11.497332266966502,11.680279771486918,11.842080879211426,12.011325772603353,12.20499528646469,12.377606558799744,12.549424036343892,12.745058166980744,12.928895950317383,13.076594169934591,13.239868454138438,13.58558208545049,13.779019641876221,13.978850241502126,14.154392580191294,14.375470705827077,14.532162483533224,14.720971858501434,14.895793076356252,15.077208550771077,15.259324252605438,15.419103193283082,15.59762136141459,15.762041834990184,16.136654222011565,16.33833982547124,16.546396799882253,16.76517606973648,16.978345314661663,17.174073672294618,17.387006366252898,17.59009963274002,17.88061149517695,18.28890964984894,18.547649749120076,18.75519715944926,18.94066729148229,19.12068000237147,19.288854893048605,19.454894614219665,19.609634868303935,19.76593326330185,19.91797702709834,20.08984402815501,20.25833179950714,20.407950401306152,20.514120574792226,20.676911250750223,20.84229243993759,20.976612118879952,21.152179368336995,21.31734034617742,21.497379219532014,21.6432169119517,21.785371724764506,21.92457139492035,22.10472218990326,22.245659001668294,22.397062993049623,22.546414732933044,22.695849617322285,22.844986271858215,22.97436467409134,23.118416170279186,23.25152244567871,23.401192458470664,23.553706272443137,23.69441401163737,23.84699756304423,23.978830973307293,24.10846437215805,24.261263783772787,24.396070671081542,24.546574982007346,24.717019164562224,24.858116976420085,25.00192869901657,25.156059432029725,25.293139398097992,25.443462824821474,25.585688110192617,25.74251434405645,25.86901627779007,25.988136291503906,26.10916578769684,26.439158809185027,26.58876585563024,26.732399793465934,26.87254037062327,26.99803765217463,27.11836130619049,27.23553876876831,27.34684488773346,27.463798602422077,27.575590387980142,27.683531220753988,27.797609237829842,27.917444908618926,28.0408087293307,28.147230100631713,28.26077566544215,28.369755212465922,28.492328508694968,28.59385846455892,28.717450177669527,28.855886050065358,28.985618694623312,29.079331727822623,29.173366649945578,29.314232130845387,29.42067502339681,29.550851158301036,29.670705386002858,29.790593282381693,29.897109166781107,30.012748384475707,30.13859518766403,30.241732923189797,30.360413102308907,30.46868965625763,30.592313369115193,30.717479570706686,30.848857200145723,30.965635148684182,31.07818500995636,31.200714655717213,31.31606642405192,31.426736255486805,31.555430312951405,31.670660531520845,31.791121395428977,31.910781689484914,32.02729197740555,32.155159477392836,32.27873872518539,32.40194160938263,32.512177713712056,32.61118363936742,32.71471932729085,32.826848685741425,32.94331062634786,33.0550858259201,33.15785454511642,33.27581998507182,33.37003860473633,33.47716982762019,33.594274989763896,33.6993233760198,33.796848845481875,33.89645677407582,34.00138663848241,34.11222391923268,34.21321273644765,34.308428911368054,34.42556082010269,34.536038263638815,34.646052503585814,34.97780371507009,35.36599252223969,35.49896337191264,35.62716592947642
cummulative feedback,0.0,47.0,99.0,138.0,324.0,381.0,434.0,477.0,524.0,569.0,603.0,643.0,684.0,725.0,777.0,804.0,835.0,872.0,908.0,945.0,966.0,990.0,1023.0,1052.0,1069.0,1100.0,1150.0,1203.0,1304.0,1323.0,1345.0,1367.0,1387.0,1415.0,1443.0,1459.0,1476.0,1508.0,1530.0,1561.0,1582.0,1606.0,1625.0,1643.0,1665.0,1689.0,1708.0,1722.0,1735.0,1875.0,1892.0,1910.0,1931.0,2003.0,2015.0,2031.0,2052.0,2066.0,2087.0,2099.0,2121.0,2140.0,2191.0,2213.0,2236.0,2264.0,2292.0,2316.0,2336.0,2358.0,2380.0,2400.0,2426.0,2448.0,2480.0,2502.0,2516.0,2529.0,2545.0,2558.0,2580.0,2588.0,2601.0,2614.0,2622.0,2630.0,2655.0,2667.0,2683.0,2699.0,2717.0,2731.0,2745.0,2757.0,2776.0,2791.0,2811.0,2824.0,2832.0,2841.0,2846.0,2854.0,2871.0,2890.0,2898.0,2918.0,2938.0,2950.0,2965.0,2974.0,2987.0,3001.0,3023.0,3038.0,3056.0,3078.0,3091.0,3106.0,3116.0,3124.0,3132.0,3143.0,3155.0,3175.0,3187.0,3199.0,3216.0,3226.0,3236.0,3249.0,3261.0,3275.0,3292.0,3305.0,3318.0,3328.0,3351.0,3361.0,3370.0,3386.0,3397.0,3404.0,3420.0,3443.0,3461.0,3473.0,3486.0,3504.0,3521.0,3531.0,3544.0,3560.0,3575.0,3594.0,3615.0,3626.0,3646.0,3665.0,3680.0,3698.0,3720.0,3734.0,3750.0,3772.0,3785.0,3811.0,3827.0,3844.0,3862.0,3882.0,3900.0,3915.0,3935.0,3956.0,3969.0,3978.0,3995.0,4005.0,4018.0,4037.0,4054.0,4072.0,4083.0,4098.0,4116.0,4136.0,4147.0,4160.0,4172.0,4187.0,4196.0,4204.0,4213.0,4222.0,4235.0,4260.0,4280.0,4292.0,4305.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
