,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193
Episode,0.0,1.0,6.0,11.0,16.0,21.0,26.0,31.0,36.0,41.0,46.0,51.0,56.0,61.0,66.0,71.0,76.0,81.0,86.0,91.0,96.0,101.0,106.0,111.0,116.0,121.0,126.0,131.0,136.0,141.0,146.0,151.0,156.0,161.0,166.0,171.0,176.0,181.0,186.0,191.0,196.0,201.0,206.0,211.0,216.0,221.0,226.0,231.0,236.0,241.0,246.0,251.0,256.0,261.0,266.0,271.0,276.0,281.0,286.0,291.0,296.0,301.0,306.0,311.0,316.0,321.0,326.0,331.0,336.0,341.0,346.0,351.0,356.0,361.0,366.0,371.0,376.0,381.0,386.0,391.0,396.0,401.0,406.0,411.0,416.0,421.0,426.0,431.0,436.0,441.0,446.0,451.0,456.0,461.0,466.0,471.0,476.0,481.0,486.0,491.0,496.0,501.0,506.0,511.0,516.0,521.0,526.0,531.0,536.0,541.0,546.0,551.0,556.0,561.0,566.0,571.0,576.0,581.0,586.0,591.0,596.0,601.0,606.0,611.0,616.0,621.0,626.0,631.0,636.0,641.0,646.0,651.0,656.0,661.0,666.0,671.0,676.0,681.0,686.0,691.0,696.0,701.0,706.0,711.0,716.0,721.0,726.0,731.0,736.0,741.0,746.0,751.0,756.0,761.0,766.0,771.0,776.0,781.0,786.0,791.0,796.0,801.0,806.0,811.0,816.0,821.0,826.0,831.0,836.0,841.0,846.0,851.0,856.0,861.0,866.0,871.0,876.0,881.0,886.0,891.0,896.0,901.0,906.0,911.0,916.0,921.0,926.0,931.0,936.0,941.0,946.0,951.0,956.0,961.0
Accumulated time steps,0.0,57.0,377.0,718.0,1827.0,2664.0,3066.0,3448.0,3854.0,4478.0,4826.0,5229.0,5516.0,5808.0,6103.0,6393.0,6688.0,6995.0,7291.0,7581.0,7883.0,8231.0,8523.0,8819.0,9113.0,9446.0,9765.0,10070.0,10404.0,10690.0,11106.0,11377.0,11679.0,11971.0,12251.0,12586.0,12868.0,13159.0,13450.0,13746.0,14041.0,14413.0,14703.0,15022.0,15320.0,15603.0,16015.0,16316.0,16599.0,16896.0,17182.0,17477.0,17764.0,18064.0,18361.0,18659.0,19035.0,19327.0,19605.0,20280.0,20569.0,20908.0,21195.0,21494.0,21792.0,22110.0,22393.0,22687.0,22980.0,23271.0,23568.0,23871.0,24167.0,24448.0,24745.0,25031.0,25318.0,25636.0,25921.0,26194.0,26492.0,26773.0,27066.0,27349.0,27647.0,27939.0,28214.0,28508.0,28790.0,29078.0,29359.0,29651.0,29948.0,30229.0,30509.0,31063.0,31349.0,31642.0,31943.0,32242.0,32528.0,32828.0,33115.0,33415.0,33692.0,33997.0,34289.0,34579.0,34858.0,35153.0,35446.0,35732.0,36012.0,36303.0,36607.0,36907.0,37201.0,37495.0,37795.0,38079.0,38762.0,39032.0,39313.0,39604.0,40068.0,40347.0,40640.0,40931.0,41220.0,41508.0,41799.0,42097.0,42378.0,42674.0,42968.0,43267.0,43566.0,43849.0,44128.0,44408.0,44699.0,44999.0,45272.0,45551.0,45848.0,46141.0,46422.0,46735.0,47097.0,47394.0,47696.0,47980.0,48248.0,48539.0,48835.0,49126.0,49399.0,49689.0,49984.0,50269.0,50569.0,50856.0,51148.0,51437.0,51711.0,52282.0,52564.0,53096.0,53383.0,53672.0,53959.0,54242.0,54526.0,54806.0,55087.0,55370.0,55649.0,55917.0,56205.0,56505.0,56789.0,57070.0,57343.0,57628.0,57914.0,58186.0,58467.0,58739.0,59032.0,59309.0,59604.0,59882.0,60160.0,60443.0
Episode reward,0.0,131.67112211763853,186.45909920445698,199.21147519664638,637.0689593354334,149.09205492840712,149.03577841451144,196.4031387513113,136.94551939963515,758.3016172612768,151.11401635552986,122.50136073702232,134.90241270830114,145.71728440235665,166.69887887430693,119.45298958876636,187.496225381001,162.01021927288826,187.51033391059022,152.86345983040934,133.87828008377122,143.9853452997883,180.95857914240307,162.54744994552433,185.78823289233253,122.75748444865064,186.02908846618396,185.99578613995914,151.57029503377,127.75938754676547,160.09307244138245,157.44657126014826,197.4297407336396,175.09467787149796,143.7395016873627,145.72007163850202,164.86139989333552,157.95734476400526,177.3056585574654,168.44490825313116,141.6658467014282,421.07192139248855,126.30468195344793,159.6846919698453,182.61804688211586,180.41838843025022,139.65334299904532,187.31723136672764,128.77612237873373,144.70225820486493,170.5273878143522,161.79212753653107,179.27332308301132,137.20775451867937,190.45234976434136,187.33127277155089,138.62713918466625,176.3355186009052,172.70885779083315,169.48538117624037,177.4510649410831,174.509097621268,136.9914265803509,168.98910431366693,183.6672548375751,182.77888097973133,154.9628915722498,166.4418836540504,168.23352800594782,124.18467885190927,159.2613355272584,186.58920985823215,121.25941537434277,127.90288416952892,155.30045402943273,149.90399455830723,140.7409024322443,173.99853082311037,138.5151335910722,166.70954177229146,188.0535580641139,174.283672442026,176.38124120310246,166.14385786990655,173.16869572510055,192.18688839601086,125.91116257841404,124.82276284982468,155.7310271239014,175.51555325077038,129.42065570552208,160.80898045935072,173.96525152373425,179.58606676978224,119.21578013255953,187.98180851241906,130.95529556061743,119.30117606125901,124.26851769311409,167.66448034528995,131.9816624377925,171.7605855407237,127.97486566500645,166.29003469498494,181.38366159643235,187.30972331385215,182.8262477185141,151.7711669188446,148.8824558558264,181.3553388003417,167.85790337630968,153.7106490469503,172.4483795318346,166.9792289528258,181.76323279424903,168.04789495896202,170.7556576408835,119.64847066658272,189.5375583568933,153.9952613224131,164.29003252463335,163.3319061938332,115.15848902041577,173.16116910005795,156.4857145745633,158.2581755412631,128.67490283482806,174.42743957072335,169.79599929871614,167.6103620347858,135.17991998735144,202.44481478958704,174.89165872411743,182.87486633573613,170.5882004801944,172.8194924078773,164.847743273684,168.53426101756315,152.922255652905,120.8489391780553,190.0138432956944,165.67749360386037,128.27706369648283,117.41882014162691,179.040199788476,179.5351423068025,166.86487286453576,330.2568832220038,131.95647274271946,139.9796428249213,185.93097450324302,147.92903406548345,146.33541860259402,164.78732979166426,172.36250611209678,164.76372340584982,140.1121736996824,170.85711729986974,159.29914718954547,132.86781723897025,167.99909859652013,166.2579044065074,179.58581817860951,172.5160416537662,178.83385877946074,172.04658902699683,114.7825941995711,166.57492304601814,187.56704700975234,164.10756912554632,157.32311387133598,189.28470060585994,163.43511561308384,190.4156649668362,131.77829237780085,165.6413394155843,166.218181698637,169.6535490167617,122.6089576535676,173.30668989674763,187.40152993384714,172.5195130654133,150.19558739962605,155.85313419551585,172.78605965914673,141.9222434449829,148.5886654929181,122.91145652261962,162.1796762676668,124.29727403779769,166.84064135464106,150.65842155663907,175.8137085697129,166.36117524944598
Episode feedback,0.8,0.5357142761479594,0.44285713653061237,0.61842104449446,0.7841409657086301,0.7619047498110357,0.6571428477551022,0.6493506409175241,0.685185172496571,0.6986301337962094,0.7333333251851853,0.55555554526749,0.5084745676529735,0.7377049059392639,0.5645161199271593,0.4423076838017753,0.3749999941406251,0.4915254153978743,0.453124992919922,0.30357142315051033,0.4642857059948981,0.3906249938964845,0.3333333280423281,0.36206895927467314,0.3174603124212649,0.3846153772189351,0.30645160796045795,0.30158729680020163,0.34545453917355384,0.43396225596297633,0.40350876485072346,0.3818181748760332,0.4090909028925621,0.39999999333333347,0.24137930618311543,0.3709677359521333,0.3157894681440444,0.3090909034710745,0.34426228943832315,0.4576271108876761,0.38888888168724295,0.5433070823361648,0.2830188625845498,0.3928571358418369,0.38095237490551787,0.3333333277777779,0.32142856568877565,0.4603174530108341,0.43396225596297633,0.30357142315051033,0.43333332611111125,0.24561403077870123,0.32258063995837677,0.16363636066115708,0.44615383928994096,0.403225799947971,0.3928571358418369,0.21311475060467622,0.39344261650094076,0.4482758543400715,0.3278688470841173,0.23333332944444451,0.30357142315051033,0.19999999666666674,0.2419354799687826,0.3114754047299114,0.3090909034710745,0.28070174946137283,0.42622950120935243,0.23076922633136104,0.285714280612245,0.26562499584960947,0.3137254840445984,0.2884615329142013,0.2727272677685951,0.14814814540466398,0.2586206851961951,0.3709677359521333,0.285714280612245,0.2280701714373654,0.2343749963378907,0.18333333027777785,0.23333332944444451,0.17241379013079672,0.19999999666666674,0.292307687810651,0.29629629080932796,0.16981131755072987,0.3636363570247935,0.18644067480609028,0.18518518175583,0.24137930618311543,0.2499999958333334,0.2499999958333334,0.17999999640000008,0.25806451196670144,0.4999999907407409,0.11999999760000006,0.17857142538265314,0.22950819295888208,0.25454544991735545,0.25423728382648675,0.1886792417230332,0.25423728382648675,0.21874999658203131,0.20634920307382218,0.12903225598335072,0.23214285299744905,0.2909090856198348,0.17741935197710723,0.24137930618311543,0.19642856792091845,0.18333333027777785,0.1896551691438764,0.14516128798126957,0.2711864360815858,0.09999999833333337,0.3529411695501732,0.3437499946289064,0.19999999636363644,0.1929824527546938,0.1929824527546938,0.23999999520000012,0.16666666388888896,0.32142856568877565,0.21428571045918376,0.24528301423994314,0.18644067480609028,0.2499999958333334,0.14999999750000004,0.21428571045918376,0.23809523431594867,0.19672130825047038,0.27419354396462026,0.23333332944444451,0.16949152255099115,0.19999999666666674,0.11864406578569381,0.16666666358024698,0.1568627420222992,0.16129031997918838,0.2586206851961951,0.17307691974852077,0.1999999960000001,0.19354838397502608,0.29032257596253913,0.1355932180407929,0.3928571381802722,0.20370369993141296,0.1578947340720222,0.03225806399583768,0.09090908925619838,0.14814814540466398,0.1929824527546938,0.2758620642092748,0.18644067480609028,0.33333332748538025,0.16393442354205864,0.1578947340720222,0.12727272495867772,0.16949152255099115,0.15517241111771707,0.16129031997918838,0.11864406578569381,0.16666666388888896,0.316666661388889,0.2653061170345691,0.24137930618311543,0.11290322398543187,0.21052631209602962,0.2280701714373654,0.19047618745275893,0.24999999553571436,0.15624999755859378,0.12727272495867772,0.23728813157138762,0.12280701538935061,0.1929824527546938,0.1764705847750866,0.2833333286111112,0.14516128798126957,0.16666666388888896,0.19999999636363644,0.12727272495867772,0.2499999958333334,0.0943396208615166,0.11111110905349798,0.17307691974852077,0.10526315604801481,0.13461538202662726,0.11864406578569381,0.07142857015306125,0.04838709599375652,0.1379310321046374
total seconds,0.0,3.280212163925171,16.115837335586548,30.119016647338867,101.4827516078949,153.2197585105896,178.98731875419617,203.29509687423706,229.61553168296814,269.877671957016,294.7173104286194,316.0528333187103,332.95447850227356,351.0528917312622,368.52933621406555,383.4795825481415,397.4285855293274,412.4914562702179,427.8606505393982,440.91987919807434,455.00202918052673,471.1886422634125,483.3431570529938,494.9347231388092,507.04778933525085,522.6452691555023,536.492684841156,548.3303110599518,563.0431134700775,573.0633075237274,592.8642654418945,604.6190876960754,617.565731048584,628.2710297107697,640.4722237586975,654.5523183345795,665.6801497936249,676.9324436187744,687.1495966911316,698.8603029251099,710.3800251483917,728.004828453064,737.9416332244873,751.9633865356445,763.6782870292664,775.1244673728943,794.3363630771637,807.1716570854187,818.6350440979004,829.9812550544739,841.665020942688,851.7419276237488,863.5991129875183,874.3484168052673,886.6228921413422,897.3273153305054,915.275796175003,926.5473756790161,937.0822288990021,965.7534370422363,977.3071811199188,992.135183095932,1003.7050242424011,1014.9679992198944,1026.2902619838715,1038.8619799613953,1048.1034281253815,1057.363896369934,1067.8132791519165,1077.5037333965302,1088.7199125289917,1099.1593418121338,1108.6720089912415,1118.3032357692719,1128.139765739441,1137.5139827728271,1146.0587675571442,1156.2333872318268,1167.2264847755432,1178.0824904441833,1187.8266937732697,1196.40731215477,1206.9915528297424,1214.5097725391388,1223.7927038669586,1232.1787297725677,1241.0021932125092,1249.350296497345,1258.8036651611328,1268.4586145877838,1278.103235244751,1287.1503551006317,1297.1556601524353,1306.0348303318024,1313.4545102119446,1333.9135520458221,1342.034863948822,1350.2790553569794,1359.8415427207947,1368.1815872192383,1376.7771210670471,1385.8654284477234,1394.0491344928741,1402.9465703964233,1412.507707118988,1420.500883102417,1428.3646948337555,1435.9395592212677,1444.8011758327484,1452.83549284935,1461.2744629383087,1469.5086283683777,1477.4371049404144,1485.0751957893372,1493.053682088852,1501.8631381988525,1509.2112295627594,1521.016449213028,1530.181612253189,1539.628544807434,1566.337478876114,1574.6138861179352,1583.4063699245453,1591.1878008842468,1608.3355929851532,1615.052003145218,1622.352988243103,1628.9959440231323,1634.9614555835724,1641.3362820148468,1647.21346616745,1655.8934993743896,1662.378744840622,1669.0018453598022,1675.6886713504791,1681.4367680549622,1688.1102936267853,1693.694694519043,1698.9676308631897,1703.7383441925049,1709.1861717700958,1714.3724555969238,1718.985388994217,1726.428496837616,1731.9990031719208,1737.830204963684,1743.6536793708801,1750.954339981079,1760.4103236198425,1767.0502254962921,1773.2036678791046,1778.9294295310974,1784.6124095916748,1790.2040331363678,1796.6441111564636,1801.8985652923584,1808.6549718379974,1814.609449148178,1820.0483014583588,1825.2330584526062,1831.1497991085052,1836.5344030857086,1841.3366222381592,1846.553602695465,1852.2453095912933,1866.3632609844208,1872.6723070144653,1886.1842374801636,1893.3519496917725,1901.6579451560974,1908.2232542037964,1915.2027723789215,1921.488710641861,1927.7547597885132,1933.1896302700043,1939.483811378479,1945.036247253418,1951.2334878444672,1956.8134360313416,1963.4113841056824,1969.4633796215057,1975.5547778606415,1981.8484981060028,1988.327425956726,1994.6825382709503,1999.6415758132935,2004.8316192626953,2010.6929886341095,2016.1267728805542,2021.9138374328613,2027.322210073471,2032.8225750923157,2038.2040758132935,2043.6789047718048
total minutes,0.0,0.054670202732086184,0.26859728892644247,0.5019836107889811,1.691379193464915,2.55366264184316,2.9831219792366026,3.388251614570618,3.826925528049469,4.4979611992835995,4.911955173810323,5.267547221978505,5.549241308371226,5.85088152885437,6.142155603567759,6.391326375802358,6.623809758822123,6.874857604503632,7.131010842323303,7.348664653301239,7.583367153008779,7.853144037723541,8.055719284216563,8.248912052313488,8.450796488920847,8.710754485925039,8.9415447473526,9.138838517665864,9.384051891167958,9.551055125395457,9.881071090698242,10.07698479493459,10.292762184143067,10.471183828512828,10.674537062644958,10.909205305576325,11.094669163227081,11.28220739364624,11.452493278185527,11.647671715418499,11.839667085806528,12.133413807551067,12.299027220408123,12.532723108927408,12.727971450487773,12.918741122881572,13.238939384619394,13.452860951423645,13.643917401631674,13.833020917574565,14.0277503490448,14.195698793729147,14.393318549791973,14.572473613421122,14.777048202355703,14.955455255508422,15.254596602916717,15.442456261316936,15.6180371483167,16.095890617370607,16.288453018665315,16.5355863849322,16.728417070706687,16.916133320331575,17.104837699731192,17.31436633268992,17.468390468756358,17.62273160616557,17.796887985865276,17.958395556608835,18.145331875483194,18.319322363535562,18.47786681652069,18.638387262821198,18.80232942899068,18.95856637954712,19.100979459285735,19.27055645386378,19.453774746259054,19.634708174069722,19.797111562887828,19.940121869246166,20.116525880495708,20.24182954231898,20.39654506444931,20.53631216287613,20.683369886875152,20.822504941622416,20.980061086018882,21.140976909796397,21.301720587412515,21.452505918343864,21.61926100254059,21.767247172196708,21.89090850353241,22.231892534097035,22.36724773248037,22.504650922616324,22.664025712013245,22.80302645365397,22.946285351117453,23.09775714079539,23.234152241547903,23.38244283994039,23.5417951186498,23.675014718373617,23.80607824722926,23.932325987021127,24.080019597212473,24.2139248808225,24.354574382305145,24.491810472806296,24.623951749006906,24.75125326315562,24.8842280348142,25.03105230331421,25.153520492712655,25.350274153550465,25.503026870886483,25.660475746790567,26.105624647935233,26.243564768632254,26.390106165409087,26.519796681404113,26.80559321641922,26.917533385753632,27.039216470718383,27.149932400385538,27.24935759305954,27.355604700247447,27.4535577694575,27.59822498957316,27.706312414010366,27.81669742266337,27.928144522507985,28.023946134249368,28.13517156044642,28.228244908650716,28.31612718105316,28.39563906987508,28.486436196168263,28.57287425994873,28.64975648323695,28.773808280626934,28.866650052865346,28.963836749394734,29.060894656181336,29.182572333017983,29.34017206033071,29.450837091604868,29.553394464651742,29.64882382551829,29.743540159861247,29.83673388560613,29.944068519274392,30.03164275487264,30.144249530633292,30.2434908191363,30.33413835763931,30.420550974210105,30.519163318475087,30.608906718095145,30.68894370396932,30.775893378257752,30.870755159854887,31.106054349740347,31.211205116907756,31.436403958002725,31.555865828196207,31.694299085934958,31.803720903396606,31.92004620631536,32.024811844031014,32.12924599647522,32.219827171166735,32.324730189641315,32.417270787556966,32.52055813074112,32.61355726718902,32.72352306842804,32.82438966035843,32.92591296434402,33.03080830176671,33.138790432612105,33.244708971182504,33.32735959688822,33.41386032104492,33.51154981056849,33.60211288134257,33.698563957214354,33.78870350122452,33.88037625153859,33.97006793022156,34.06131507953008
cummulative feedback,0.0,30.0,61.0,108.0,286.0,334.0,380.0,430.0,467.0,620.0,686.0,716.0,746.0,791.0,826.0,849.0,873.0,902.0,931.0,948.0,974.0,999.0,1020.0,1041.0,1061.0,1081.0,1100.0,1119.0,1138.0,1161.0,1184.0,1205.0,1232.0,1256.0,1270.0,1293.0,1311.0,1328.0,1349.0,1376.0,1397.0,1466.0,1481.0,1503.0,1527.0,1547.0,1565.0,1594.0,1617.0,1634.0,1660.0,1674.0,1694.0,1703.0,1732.0,1757.0,1779.0,1792.0,1816.0,1842.0,1862.0,1876.0,1893.0,1905.0,1920.0,1939.0,1956.0,1972.0,1998.0,2010.0,2026.0,2043.0,2059.0,2074.0,2089.0,2097.0,2112.0,2135.0,2151.0,2164.0,2179.0,2190.0,2204.0,2214.0,2226.0,2245.0,2261.0,2270.0,2290.0,2301.0,2311.0,2325.0,2340.0,2355.0,2364.0,2380.0,2407.0,2413.0,2423.0,2437.0,2451.0,2466.0,2476.0,2491.0,2505.0,2518.0,2526.0,2539.0,2555.0,2566.0,2580.0,2591.0,2602.0,2613.0,2622.0,2638.0,2644.0,2662.0,2684.0,2695.0,2706.0,2717.0,2729.0,2739.0,2757.0,2769.0,2782.0,2793.0,2808.0,2817.0,2829.0,2844.0,2856.0,2873.0,2887.0,2897.0,2909.0,2916.0,2925.0,2933.0,2943.0,2958.0,2967.0,2977.0,2989.0,3007.0,3015.0,3048.0,3059.0,3068.0,3070.0,3075.0,3083.0,3094.0,3110.0,3121.0,3140.0,3150.0,3159.0,3166.0,3176.0,3185.0,3195.0,3202.0,3212.0,3231.0,3244.0,3258.0,3265.0,3277.0,3290.0,3302.0,3316.0,3326.0,3333.0,3347.0,3354.0,3365.0,3374.0,3391.0,3400.0,3410.0,3421.0,3428.0,3443.0,3448.0,3454.0,3463.0,3469.0,3476.0,3483.0,3487.0,3490.0,3498.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
