,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197
Episode,0.0,1.0,6.0,11.0,16.0,21.0,26.0,31.0,36.0,41.0,46.0,51.0,56.0,61.0,66.0,71.0,76.0,81.0,86.0,91.0,96.0,101.0,106.0,111.0,116.0,121.0,126.0,131.0,136.0,141.0,146.0,151.0,156.0,161.0,166.0,171.0,176.0,181.0,186.0,191.0,196.0,201.0,206.0,211.0,216.0,221.0,226.0,231.0,236.0,241.0,246.0,251.0,256.0,261.0,266.0,271.0,276.0,281.0,286.0,291.0,296.0,301.0,306.0,311.0,316.0,321.0,326.0,331.0,336.0,341.0,346.0,351.0,356.0,361.0,366.0,371.0,376.0,381.0,386.0,391.0,396.0,401.0,406.0,411.0,416.0,421.0,426.0,431.0,436.0,441.0,446.0,451.0,456.0,461.0,466.0,471.0,476.0,481.0,486.0,491.0,496.0,501.0,506.0,511.0,516.0,521.0,526.0,531.0,536.0,541.0,546.0,551.0,556.0,561.0,566.0,571.0,576.0,581.0,586.0,591.0,596.0,601.0,606.0,611.0,616.0,621.0,626.0,631.0,636.0,641.0,646.0,651.0,656.0,661.0,666.0,671.0,676.0,681.0,686.0,691.0,696.0,701.0,706.0,711.0,716.0,721.0,726.0,731.0,736.0,741.0,746.0,751.0,756.0,761.0,766.0,771.0,776.0,781.0,786.0,791.0,796.0,801.0,806.0,811.0,816.0,821.0,826.0,831.0,836.0,841.0,846.0,851.0,856.0,861.0,866.0,871.0,876.0,881.0,886.0,891.0,896.0,901.0,906.0,911.0,916.0,921.0,926.0,931.0,936.0,941.0,946.0,951.0,956.0,961.0,966.0,971.0,976.0,981.0
Accumulated time steps,0.0,64.0,398.0,712.0,2135.0,2486.0,2905.0,3225.0,3705.0,4151.0,4625.0,4950.0,5288.0,5580.0,5884.0,6280.0,6577.0,6882.0,7191.0,7485.0,7763.0,8473.0,8784.0,9304.0,9680.0,9977.0,10278.0,10602.0,10892.0,11182.0,11491.0,11790.0,12089.0,12373.0,12665.0,13007.0,13296.0,13575.0,13865.0,14208.0,14671.0,14953.0,15246.0,15545.0,15845.0,16124.0,16399.0,16704.0,17016.0,17302.0,17591.0,17885.0,18184.0,18484.0,18776.0,19068.0,19352.0,19640.0,19931.0,20227.0,20511.0,20803.0,21086.0,21392.0,21684.0,21962.0,22247.0,22544.0,22818.0,23102.0,23380.0,23679.0,23968.0,24256.0,24554.0,24840.0,25126.0,25410.0,25696.0,25972.0,26259.0,26562.0,26851.0,27135.0,27408.0,27700.0,27990.0,28280.0,28568.0,29308.0,29599.0,29880.0,30165.0,30469.0,30756.0,31037.0,31380.0,31712.0,31995.0,32282.0,32566.0,32861.0,33139.0,33436.0,33806.0,34103.0,34371.0,34661.0,34938.0,35242.0,35536.0,35811.0,36097.0,36371.0,36645.0,36932.0,37222.0,37517.0,37794.0,38158.0,38453.0,38743.0,39028.0,39311.0,39611.0,39885.0,40160.0,40447.0,40734.0,41020.0,41301.0,41580.0,41874.0,42146.0,42425.0,42700.0,42982.0,43254.0,43529.0,43800.0,44080.0,44367.0,44662.0,44944.0,45228.0,45521.0,45803.0,46077.0,46356.0,46626.0,46921.0,47200.0,47486.0,47767.0,48041.0,48605.0,48887.0,49166.0,49440.0,49726.0,50007.0,50270.0,50550.0,50829.0,51134.0,51423.0,51694.0,51979.0,52260.0,52532.0,52814.0,53095.0,53389.0,53675.0,53960.0,54251.0,54530.0,54808.0,55088.0,55370.0,55650.0,55930.0,56199.0,56483.0,56764.0,57048.0,57332.0,57606.0,57887.0,58158.0,58432.0,58712.0,58992.0,59290.0,59561.0,59842.0,60125.0,60409.0
Episode reward,0.0,179.36697187196935,194.9960044326323,166.02540929747923,248.2804727948991,196.88448851808792,175.64273032854408,140.30196040380318,166.14976945923868,155.93212719796608,139.2645407574115,210.5809346040988,185.20682194833506,133.60685273540386,197.09512374600698,182.30020454344768,159.5920256882377,145.48061844030065,170.59286085887865,180.66395295623133,122.65009998576717,169.39581280583963,165.24809238043167,153.62707436768613,210.89964993113844,137.36242679661794,174.78405623850986,124.92922894688756,126.98885831421691,163.559026458204,159.54141026118162,175.7932291523641,186.6708632292738,141.71354354632408,151.411178472816,326.77609500003877,152.01019373742935,175.28256796860595,139.7729129936649,172.2788637164736,157.7495855436399,168.8318376882935,123.43762691042278,167.64242415845823,181.3498999341622,155.39844202646424,117.9509482028737,152.66054250538778,208.08739094108276,164.54038940056674,177.34098651464788,163.40470633603755,153.10298933091394,173.91779635894832,184.8166050370826,121.01556940302586,130.77688833539057,185.26494980979197,182.0677388348574,179.32311891914662,183.72276170992066,153.7672349054073,119.28226320331345,175.90060022732055,182.12254697901335,166.24848722840417,123.50453607543004,178.97010176171784,119.90098863269871,117.56849529904106,112.54509165066261,173.97676689601602,115.53047644064046,168.03406907029947,189.6554704870508,172.38580248544613,137.00635399889254,176.169074540916,159.7486110003466,141.4420924304333,162.7224292665505,190.36157754434453,158.5215393442889,172.66406381407637,164.2409019610397,174.44038108697987,130.8971798004921,174.09641602183675,132.35892290145392,182.22742563952727,158.41631802265465,159.83234338149717,162.92441303303545,180.71969027222937,179.32499985473137,125.1572932636537,276.83590313114547,119.25934573258394,160.47685110620986,134.75260345800646,168.1750351406252,166.5492387511555,147.28381521896753,178.00029311263137,311.6370621799589,149.70437347996136,170.03572141609075,124.16253990801775,137.00844276653578,191.39949747126636,173.6843641831495,158.92709599758544,174.47683632248825,180.55946659374223,162.27903980202626,187.81073987389766,182.79480090151984,173.76090004465155,131.9455360038154,129.38798295301862,125.18833739195435,154.9781673820975,187.60848364877148,137.9553990390219,186.05843503395855,151.718541767431,133.44159548344277,143.55964612858065,132.678479002711,125.70738329251189,158.41215212284564,133.27783741441107,168.98689047869726,161.11319904168752,140.28483024896428,132.234789207337,171.26907560752304,167.7887186017659,179.57533683333585,173.2330020531143,174.59061469599118,134.1706761031455,179.56663432616187,170.6251146652092,176.2596555729067,166.2854729787685,167.40030046552278,111.66571251206398,180.4796830144351,121.74252565845585,173.71156089291804,163.284628056244,178.56894369348788,169.84690281251437,117.45265237982652,166.03720872926445,121.9580501022816,127.6883337100135,152.1684136487483,177.76632820998128,158.93591952461452,117.8368275633393,134.86000627366917,174.29580425146682,189.86982488122223,119.92255512317834,120.4196181392905,175.80606423646128,177.49999413638363,148.78904495008072,156.4822739720895,127.58165028808563,170.28522816959716,131.37656843616372,165.2898310954803,120.16068681059579,136.2096562769278,127.57037786495478,120.54331190798251,151.8238484386185,171.17827419023396,187.84561885546162,164.83575998054565,166.27351743345915,122.21264018072466,127.88106921800434,158.43916281295927,125.38679544861301,130.6776233212291,127.7630468800086,129.9214956441682,176.44889223544865,178.35148456259736,158.48800863153954,137.87791140774976,124.24040524069841,170.15647316657655,126.95273610926283
Episode feedback,0.8,0.8095237966742255,0.6197183011307281,0.5245901553345876,0.8035714213966838,0.7164178997549567,0.6811594104179796,0.5999999900000001,0.6785714204931974,0.6315789362880888,0.5178571336096941,0.6976744104921581,0.538461530177515,0.5614034989227457,0.6212121117998165,0.43548386394380867,0.4545454462809919,0.5499999908333335,0.5762711766733699,0.5806451519250783,0.5961538346893493,0.43103447532699185,0.36206895927467314,0.3157894681440444,0.5616438279226873,0.43859648353339503,0.453124992919922,0.5185185089163239,0.3207547109291564,0.4999999913793105,0.48333332527777795,0.45901638591776417,0.49230768473372793,0.5185185089163239,0.4107142783801022,0.596330269758438,0.2758620642092748,0.3333333280423281,0.3571428507653063,0.22033897931628849,0.4561403428747308,0.41666665972222233,0.37037036351166,0.41379309631391215,0.2968749953613282,0.3275862012485138,0.37254901230296056,0.3593749943847657,0.32894736409279784,0.20689654815695607,0.28813558833668496,0.20338982706118938,0.3859649055093876,0.34920634366339137,0.16129031997918838,0.23529411303344877,0.24074073628257897,0.38095237490551787,0.3333333280423281,0.20967741597294492,0.41269840614764436,0.3928571358418369,0.24999999519230778,0.34426228943832315,0.30158729680020163,0.24561403077870123,0.2549019557862362,0.31249999511718757,0.37254901230296056,0.1999999960000001,0.20408162848813005,0.20338982706118938,0.2199999956000001,0.2833333286111112,0.261538457514793,0.23333332944444451,0.23214285299744905,0.20967741597294492,0.23214285299744905,0.17307691974852077,0.3389830451019823,0.276923072662722,0.1428571403061225,0.15254237029589204,0.24137930618311543,0.13333333111111115,0.24999999553571436,0.13333333111111115,0.092592590877915,0.41269840614764436,0.2678571380739797,0.1896551691438764,0.26315789012003704,0.23333332944444451,0.21311475060467622,0.24528301423994314,0.485436888490904,0.3529411695501732,0.2280701714373654,0.21818181421487612,0.3050847405917841,0.2666666622222223,0.24561403077870123,0.2539682499370119,0.4370860898206219,0.2727272677685951,0.08771929670667901,0.1886792417230332,0.25925925445816195,0.22222221869488543,0.18333333027777785,0.2363636320661158,0.18644067480609028,0.29508196237570555,0.24561403077870123,0.12698412496850595,0.30158729680020163,0.3050847405917841,0.18181817851239676,0.277777772633745,0.26415093841224646,0.12499999776785718,0.1718749973144532,0.2692307640532545,0.22950819295888208,0.2363636320661158,0.22222221810699597,0.33333332716049396,0.23214285299744905,0.23076922633136104,0.18644067480609028,0.14814814540466398,0.3965517173008325,0.24561403077870123,0.13461538202662726,0.25454544991735545,0.2666666622222223,0.2499999958333334,0.21311475060467622,0.3559321973570814,0.29310344322235443,0.24561403077870123,0.2419354799687826,0.34426228943832315,0.21666666305555562,0.3666666605555557,0.2833333286111112,0.18367346563931702,0.1803278658962645,0.19607842752787397,0.3278688470841173,0.33333332748538025,0.2666666622222223,0.23333332944444451,0.2799999944000001,0.22033897931628849,0.23076922633136104,0.31481480898491093,0.24074073628257897,0.22950819295888208,0.24561403077870123,0.3529411695501732,0.16666666358024698,0.18333333027777785,0.23809523431594867,0.1372548992695118,0.13461538202662726,0.22950819295888208,0.2786885200214997,0.16666666358024698,0.17857142538265314,0.15094339337842655,0.13333333111111115,0.18518518175583,0.1896551691438764,0.2745097985390236,0.24074073628257897,0.1886792417230332,0.2799999944000001,0.17857142538265314,0.10344827407847804,0.17460317183169569,0.28070174946137283,0.3050847405917841,0.17999999640000008,0.26415093841224646,0.30357142315051033,0.19607842752787397,0.15094339337842655,0.2884615329142013,0.3018867867568531,0.16666666388888896,0.21311475060467622,0.1578947340720222,0.21818181421487612,0.4199999916000002,0.15517241111771707,0.2692307640532545
total seconds,0.0,2.702362537384033,11.118945360183716,19.220382928848267,82.83906555175781,104.38708019256592,131.25567650794983,151.31081986427307,178.23295879364014,205.20252799987793,232.4042353630066,251.58171153068542,269.1554718017578,284.7589671611786,301.1553809642792,322.7459063529968,337.20651841163635,352.41392254829407,367.89774084091187,381.4088296890259,394.4638261795044,431.295343875885,445.57218527793884,470.88340640068054,488.3301181793213,501.229266166687,513.8122680187225,527.0768525600433,538.715494632721,551.4381177425385,563.8326370716095,577.6696856021881,590.0682134628296,602.6647899150848,613.176721572876,630.0789122581482,641.0042686462402,651.0063796043396,661.9460587501526,677.4837083816528,696.9476141929626,709.0858273506165,719.4532451629639,731.9361627101898,741.6767327785492,752.8860108852386,763.7671358585358,775.4182524681091,787.134140253067,796.7629280090332,806.1266620159149,815.8926546573639,825.8643972873688,835.5399498939514,844.2170917987823,854.2564566135406,862.9495062828064,873.5098860263824,882.7069346904755,890.96852850914,901.165997505188,912.4227666854858,921.9880001544952,932.3673415184021,942.7554664611816,953.1128203868866,961.4610352516174,972.0962002277374,982.547189950943,991.4340507984161,999.6236896514893,1009.2824745178223,1016.3116323947906,1025.8234338760376,1034.6906292438507,1042.6739766597748,1052.596345424652,1061.3512065410614,1070.7172615528107,1078.5225751399994,1086.8169221878052,1096.6655445098877,1105.5577681064606,1113.9270987510681,1122.7586917877197,1131.1825308799744,1139.4212715625763,1147.5087020397186,1156.1868340969086,1187.5334327220917,1197.1450462341309,1206.5417635440826,1216.9532840251923,1226.7144706249237,1236.5477833747864,1244.553528547287,1258.1500658988953,1271.213626384735,1280.594830274582,1289.4231176376343,1297.7141785621643,1306.2107713222504,1314.1793992519379,1322.9460394382477,1334.515044927597,1344.9987888336182,1353.9152691364288,1361.9011523723602,1369.2485136985779,1379.1412935256958,1387.4582026004791,1396.6306133270264,1405.0288853645325,1413.4857184886932,1422.2045848369598,1430.6229712963104,1440.7446639537811,1449.4824845790863,1457.8229174613953,1471.375435590744,1481.713635444641,1491.193055152893,1499.0215957164764,1507.1133348941803,1516.387763261795,1524.0952649116516,1531.2154593467712,1538.6148850917816,1545.135327577591,1551.078072309494,1558.0344631671906,1564.3656387329102,1571.5333580970764,1577.8691909313202,1583.692198753357,1589.765493631363,1596.0164186954498,1601.747584104538,1609.0584421157837,1616.2662143707275,1623.6827054023743,1630.1691541671753,1636.8851976394653,1643.1131598949432,1649.789113998413,1656.7185444831848,1662.138771533966,1669.1481075286865,1675.2283029556274,1682.267774105072,1689.8700025081635,1696.8020615577698,1704.2314171791077,1711.9847819805145,1719.4855432510376,1735.5959377288818,1742.6997473239899,1749.5354006290436,1755.7518367767334,1762.366849899292,1768.3699643611908,1775.228711605072,1781.2771272659302,1787.3920011520386,1795.2797620296478,1800.8824107646942,1805.5339014530182,1812.172686100006,1818.0424087047577,1824.7292580604553,1831.7429447174072,1836.9467959403992,1843.1027483940125,1849.8374009132385,1856.9873046875,1863.2650384902954,1869.6270446777344,1875.4094417095184,1881.4500637054443,1888.4140207767487,1894.6876928806305,1900.9393010139465,1907.3067917823792,1913.7576196193695,1920.4281995296478,1927.275033712387,1932.6847002506256,1939.3742220401764,1945.9970078468323,1952.6078350543976,1958.9146902561188,1965.5660560131073,1971.290020942688,1978.8179030418396,1985.0722033977509,1992.1206045150757,1998.7218573093414,2005.4237141609192
total minutes,0.0,0.04503937562306722,0.18531575600306194,0.3203397154808044,1.380651092529297,1.7397846698760986,2.1875946084658304,2.5218469977378843,2.9705493132273357,3.420042133331299,3.8734039227167765,4.193028525511424,4.485924530029297,4.745982786019643,5.019256349404653,5.379098439216614,5.620108640193939,5.873565375804901,6.131629014015198,6.356813828150432,6.57439710299174,7.18825573126475,7.426203087965647,7.848056773344676,8.138835302988689,8.353821102778117,8.563537800312043,8.784614209334055,8.978591577212017,9.190635295708974,9.397210617860159,9.627828093369802,9.834470224380492,10.044413165251415,10.2196120262146,10.50131520430247,10.683404477437337,10.850106326738993,11.032434312502543,11.291395139694213,11.61579356988271,11.818097122510274,11.990887419382732,12.19893604516983,12.361278879642487,12.548100181420644,12.729452264308929,12.923637541135152,13.118902337551116,13.279382133483887,13.435444366931915,13.598210910956064,13.764406621456146,13.925665831565857,14.07028486331304,14.237607610225677,14.382491771380106,14.558498100439708,14.711782244841258,14.849475475152333,15.019433291753133,15.207046111424765,15.366466669241587,15.539455691973368,15.712591107686361,15.885213673114777,16.024350587526957,16.201603337128958,16.375786499182382,16.52390084664027,16.660394827524822,16.82137457529704,16.938527206579845,17.097057231267293,17.244843820730846,17.377899610996245,17.543272423744202,17.689186775684355,17.845287692546844,17.975376252333323,18.113615369796754,18.277759075164795,18.425962801774343,18.565451645851134,18.712644863128663,18.853042181332906,18.99035452604294,19.12514503399531,19.26978056828181,19.792223878701527,19.952417437235514,20.10902939240138,20.282554733753205,20.44524117708206,20.609129722913107,20.74255880912145,20.969167764981588,21.186893773078918,21.343247171243032,21.49038529396057,21.62856964270274,21.770179522037505,21.902989987532298,22.049100657304127,22.24191741545995,22.416646480560303,22.56525448560715,22.698352539539336,22.820808561642966,22.985688225428262,23.124303376674654,23.277176888783774,23.417148089408876,23.55809530814489,23.703409747282663,23.84371618827184,24.01241106589635,24.15804140965144,24.297048624356588,24.5229239265124,24.695227257410686,24.853217585881552,24.983693261941273,25.118555581569673,25.273129387696585,25.401587748527525,25.52025765577952,25.64358141819636,25.752255459626515,25.851301205158233,25.96724105278651,26.072760645548502,26.192222634951275,26.297819848855337,26.394869979222616,26.496091560522714,26.600273644924165,26.695793068408967,26.81764070192973,26.937770239512126,27.061378423372904,27.169485902786256,27.281419960657754,27.385219331582388,27.496485233306885,27.611975741386413,27.702312858899436,27.81913512547811,27.920471715927125,28.037796235084535,28.164500041802725,28.280034359296163,28.403856952985127,28.53307969967524,28.658092387517293,28.92659896214803,29.044995788733164,29.158923343817392,29.262530612945557,29.372780831654868,29.47283273935318,29.587145193417868,29.687952121098835,29.78986668586731,29.921329367160798,30.014706846078237,30.092231690883636,30.20287810166677,30.30070681174596,30.41215430100759,30.529049078623455,30.615779932339986,30.718379139900208,30.830623348553974,30.949788411458332,31.05441730817159,31.160450744628907,31.256824028491973,31.357501061757407,31.47356701294581,31.578128214677175,31.682321683565775,31.78844652970632,31.895960326989492,32.00713665882746,32.12125056187312,32.21141167084376,32.322903700669606,32.43328346411387,32.54346391757329,32.648578170935316,32.75943426688512,32.854833682378136,32.98029838403066,33.08453672329585,33.20201007525126,33.31203095515569,33.423728569348654
cummulative feedback,0.0,51.0,95.0,127.0,217.0,265.0,312.0,348.0,405.0,441.0,470.0,530.0,565.0,597.0,638.0,665.0,690.0,723.0,757.0,793.0,824.0,849.0,870.0,888.0,929.0,954.0,983.0,1011.0,1028.0,1057.0,1086.0,1114.0,1146.0,1174.0,1197.0,1262.0,1278.0,1299.0,1319.0,1332.0,1358.0,1383.0,1403.0,1427.0,1446.0,1465.0,1484.0,1507.0,1532.0,1544.0,1561.0,1573.0,1595.0,1617.0,1627.0,1639.0,1652.0,1676.0,1697.0,1710.0,1736.0,1758.0,1771.0,1792.0,1811.0,1825.0,1838.0,1858.0,1877.0,1887.0,1897.0,1909.0,1920.0,1937.0,1954.0,1968.0,1981.0,1994.0,2007.0,2016.0,2036.0,2054.0,2062.0,2071.0,2085.0,2093.0,2107.0,2115.0,2120.0,2146.0,2161.0,2172.0,2187.0,2201.0,2214.0,2227.0,2277.0,2295.0,2308.0,2320.0,2338.0,2354.0,2368.0,2384.0,2450.0,2465.0,2470.0,2480.0,2494.0,2508.0,2519.0,2532.0,2543.0,2561.0,2575.0,2583.0,2602.0,2620.0,2630.0,2645.0,2659.0,2666.0,2677.0,2691.0,2705.0,2718.0,2730.0,2748.0,2761.0,2773.0,2784.0,2792.0,2815.0,2829.0,2836.0,2850.0,2866.0,2881.0,2894.0,2915.0,2932.0,2946.0,2961.0,2982.0,2995.0,3017.0,3034.0,3043.0,3054.0,3064.0,3084.0,3103.0,3119.0,3133.0,3147.0,3160.0,3172.0,3189.0,3202.0,3216.0,3230.0,3248.0,3257.0,3268.0,3283.0,3290.0,3297.0,3311.0,3328.0,3337.0,3347.0,3355.0,3363.0,3373.0,3384.0,3398.0,3411.0,3421.0,3435.0,3445.0,3451.0,3462.0,3478.0,3496.0,3505.0,3519.0,3536.0,3546.0,3554.0,3569.0,3585.0,3595.0,3608.0,3617.0,3629.0,3650.0,3659.0,3673.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
