,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190
Episode,0.0,1.0,6.0,11.0,16.0,21.0,26.0,31.0,36.0,41.0,46.0,51.0,56.0,61.0,66.0,71.0,76.0,81.0,86.0,91.0,96.0,101.0,106.0,111.0,116.0,121.0,126.0,131.0,136.0,141.0,146.0,151.0,156.0,161.0,166.0,171.0,176.0,181.0,186.0,191.0,196.0,201.0,206.0,211.0,216.0,221.0,226.0,231.0,236.0,241.0,246.0,251.0,256.0,261.0,266.0,271.0,276.0,281.0,286.0,291.0,296.0,301.0,306.0,311.0,316.0,321.0,326.0,331.0,336.0,341.0,346.0,351.0,356.0,361.0,366.0,371.0,376.0,381.0,386.0,391.0,396.0,401.0,406.0,411.0,416.0,421.0,426.0,431.0,436.0,441.0,446.0,451.0,456.0,461.0,466.0,471.0,476.0,481.0,486.0,491.0,496.0,501.0,506.0,511.0,516.0,521.0,526.0,531.0,536.0,541.0,546.0,551.0,556.0,561.0,566.0,571.0,576.0,581.0,586.0,591.0,596.0,601.0,606.0,611.0,616.0,621.0,626.0,631.0,636.0,641.0,646.0,651.0,656.0,661.0,666.0,671.0,676.0,681.0,686.0,691.0,696.0,701.0,706.0,711.0,716.0,721.0,726.0,731.0,736.0,741.0,746.0,751.0,756.0,761.0,766.0,771.0,776.0,781.0,786.0,791.0,796.0,801.0,806.0,811.0,816.0,821.0,826.0,831.0,836.0,841.0,846.0,851.0,856.0,861.0,866.0,871.0,876.0,881.0,886.0,891.0,896.0,901.0,906.0,911.0,916.0,921.0,926.0,931.0,936.0,941.0,946.0
Accumulated time steps,0.0,70.0,384.0,719.0,1722.0,2153.0,2582.0,3022.0,3447.0,3761.0,4205.0,4515.0,4817.0,5121.0,5672.0,5978.0,6290.0,6587.0,6877.0,7182.0,7465.0,7754.0,8056.0,8345.0,8660.0,8949.0,9240.0,9590.0,10047.0,10345.0,10673.0,10958.0,11245.0,11533.0,11810.0,12084.0,12370.0,12662.0,12949.0,13243.0,13543.0,13831.0,14122.0,14496.0,14782.0,15073.0,15372.0,15654.0,15945.0,16238.0,16598.0,16880.0,17159.0,17444.0,17730.0,18029.0,18319.0,18702.0,18987.0,19286.0,19642.0,19936.0,20286.0,20584.0,20866.0,21161.0,21449.0,21751.0,22083.0,22375.0,22673.0,23019.0,23316.0,23600.0,23890.0,24176.0,24463.0,24757.0,25055.0,25348.0,25642.0,25930.0,26214.0,26501.0,26781.0,27067.0,27362.0,27642.0,27935.0,28225.0,28523.0,28819.0,29101.0,29376.0,29668.0,29964.0,30244.0,30533.0,30823.0,31121.0,31413.0,31712.0,31998.0,32286.0,32572.0,32862.0,33154.0,33434.0,33725.0,34004.0,34298.0,34582.0,34877.0,35157.0,35443.0,35763.0,36048.0,36333.0,36624.0,37163.0,37496.0,37827.0,38234.0,38695.0,39030.0,39614.0,39905.0,40183.0,40469.0,40823.0,41116.0,41653.0,41988.0,42369.0,42652.0,42967.0,43256.0,43547.0,43830.0,44140.0,44426.0,44725.0,45021.0,45321.0,45610.0,45915.0,46211.0,46900.0,47230.0,47526.0,47817.0,48118.0,48413.0,48695.0,48975.0,49259.0,49553.0,49848.0,50141.0,50433.0,50727.0,51029.0,51328.0,51612.0,51906.0,52196.0,52543.0,52844.0,53144.0,53442.0,53743.0,54114.0,54407.0,54714.0,55016.0,55386.0,55665.0,55959.0,56257.0,56566.0,56867.0,57334.0,57687.0,58037.0,58589.0,58976.0,59308.0,59596.0,59896.0,60186.0,60470.0
Episode reward,0.0,145.50886054922188,131.18621696708485,199.5886244989878,175.9430250932793,334.83857413616306,160.74793608592648,453.32529931336495,787.1366707131032,165.47753575184623,284.2147047234206,176.74304573442947,171.66169919113028,190.01809372456887,337.4689373311646,172.64459719667977,168.6784233881069,190.24919206157477,167.38476635842844,175.3315019186893,123.78119211943329,156.97016865861738,120.1987584533616,199.8405783013319,163.85063874258816,139.4335183459536,157.17589643558972,249.11761233411016,176.85509269650228,117.85961465994727,169.6264283922667,170.0743474996514,173.39390057499628,129.635346340033,162.93787396936096,172.21593748649377,128.33560984215137,173.491837411629,131.48501279869228,161.366382019594,189.9820069437554,168.04496463538075,126.6335492107141,171.9707688548694,120.10707299319067,172.50709113335333,130.71073264639773,174.26503375370655,178.94984802235464,156.46584539122918,159.33616593925854,123.77655307313984,165.75264824913015,164.14431652635497,132.8740377296129,185.17023888599854,184.22465921822356,135.64814834502002,126.95931563162038,189.1106441267697,144.7479528764798,172.2148321044906,200.5364545226121,136.40281993981523,186.55047274294583,167.16300490182329,177.033072017142,161.54714435635083,176.31066614345934,172.87459932908638,162.4659694790715,118.71830615550188,182.42717279097351,141.63911428420127,184.51220227733515,169.71581001120097,155.9927626021556,165.23759516999542,167.9400690933485,167.61984754098825,153.8632694171524,122.09228137171554,160.3062151183659,133.0895661666331,137.86928612425984,189.7626852101992,127.99942569154965,137.73399467315673,168.33963285252355,114.00355236465661,164.46342902939995,171.49667031832962,123.05763248368262,116.3693762040182,123.6776488202893,127.64432106229297,152.26952529707444,134.6867161099862,190.83344321287905,171.06773207774427,130.58114878834758,160.91505673523045,135.44344194587168,187.36514797633873,180.9950949578809,163.4058804009276,188.62393642320086,127.6216984765036,159.15103461184623,120.90150512820163,172.25286968769043,169.6845587341415,173.9340101747706,165.3451303585414,132.75834243601335,181.6191835523653,152.40716500363595,149.7818666031922,169.8471392697155,182.69900872645798,134.45983462597445,229.0397456822954,215.9530342527632,123.18496672771077,170.64956227243425,302.3599636268004,163.77255491370067,176.01807845838027,166.78530411189413,183.0211764951201,161.58625935464693,141.36532462649865,184.88494352186586,161.89907739655285,140.63360676043197,164.6236658469742,172.60007096479436,188.66058549090053,133.21162072059965,182.57594222595867,175.76439313890376,194.91054971793915,163.23729652846652,162.59150386956236,122.18157294108961,179.42380365663163,161.91988409789903,133.0139891249461,184.09249257557997,161.6443822396579,161.52191960615565,175.72234127912319,167.1740719647933,186.10187301594206,168.88037883804145,125.95640696277344,157.08004822424496,167.48624697151993,185.47488343475882,187.49357038031445,177.3660110140327,180.80201408645533,149.8256114284869,167.18671892114355,166.26446310859242,159.88369281206013,183.10312074976557,165.70131317197738,164.41099333407922,158.18777761408742,174.3511005983232,185.69950502763078,152.28635708182628,177.27972683062885,175.7374410400659,133.8588012684107,155.8964517945341,162.7397851719132,167.41303185418113,172.43672772869778,169.90811588664405,996.265657328979,186.0989133499583,171.56957228667673,128.4864372411627,170.03226687668337,207.22228975056706,182.43562924885387,161.35972378127184,170.63502601989143,156.66453063435986
Episode feedback,0.8,0.7101449172442766,0.7068965395362666,0.6056337942868479,0.8461538353057201,0.7471264281939491,0.6551724024970276,0.7771084290535637,0.7247190970521399,0.5666666572222224,0.7999999911111112,0.5499999908333335,0.6551724024970276,0.538461530177515,0.7134502882254369,0.5333333244444446,0.39999999333333347,0.3593749943847657,0.3559321973570814,0.44444443738977085,0.5094339526521896,0.29310344322235443,0.29411764129181095,0.399999993846154,0.4999999916666668,0.38983050186727963,0.35087718682671604,0.6465517185642093,0.43548386394380867,0.5686274398308345,0.44999999250000017,0.47457626314277523,0.37288134961218056,0.48148147256515794,0.3157894681440444,0.4918032706261759,0.29629629080932796,0.38983050186727963,0.37037036351166,0.2982456088027086,0.2857142811791384,0.4237288063774779,0.25925925445816195,0.37288134961218056,0.30769230177514806,0.316666661388889,0.41818181057851256,0.21666666305555562,0.19354838397502608,0.44642856345663284,0.47368420221606666,0.3846153772189351,0.3499999941666668,0.31034482223543414,0.2280701714373654,0.2812499956054688,0.30645160796045795,0.3571428507653063,0.35849055927376305,0.4062499936523439,0.5423728721631716,0.3559321973570814,0.4423076880547338,0.4838709599375652,0.30158729680020163,0.38983050186727963,0.33870967195629564,0.2833333286111112,0.19672130825047038,0.3770491741467349,0.22413792717003575,0.3653846083579883,0.26984126555807514,0.29310344322235443,0.22222221869488543,0.2999999950000001,0.2982456088027086,0.17241379013079672,0.25423728382648675,0.23333332944444451,0.3090909034710745,0.2884615329142013,0.25423728382648675,0.3090909034710745,0.2363636320661158,0.29032257596253913,0.2830188625845498,0.32142856568877565,0.25806451196670144,0.4081632569762601,0.25423728382648675,0.23728813157138762,0.2884615329142013,0.3999999920000002,0.2692307640532545,0.16981131755072987,0.34545453917355384,0.33928570822704096,0.18749999707031256,0.22950819295888208,0.37037036351166,0.24561403077870123,0.2280701714373654,0.21874999658203131,0.2419354799687826,0.19642856792091845,0.21874999658203131,0.18518518175583,0.17241379013079672,0.21568627028066137,0.23333332944444451,0.23728813157138762,0.21666666305555562,0.31034482223543414,0.22641509006763982,0.29032257596253913,0.3090909034710745,0.2363636320661158,0.2982456088027086,0.5199999930666668,0.3749999933035716,0.5204081579550188,0.4799999952000001,0.43137254056132274,0.3559321973570814,0.5258620644322236,0.5087719208987382,0.3114754047299114,0.2833333286111112,0.29032257596253913,0.31034482223543414,0.5789473582640815,0.29508196237570555,0.3157894681440444,0.28070174946137283,0.42105262419205924,0.45901638591776417,0.26562499584960947,0.25454544991735545,0.38709676795005216,0.3333333277777779,0.16923076662721898,0.15517241111771707,0.17857142538265314,0.23076922633136104,0.22950819295888208,0.17857142538265314,0.4909090819834713,0.2622950776672938,0.2678571380739797,0.285714280612245,0.23728813157138762,0.23728813157138762,0.21311475060467622,0.2666666622222223,0.2075471658953365,0.21428571045918376,0.2711864360815858,0.19354838397502608,0.23809523431594867,0.2419354799687826,0.2622950776672938,0.25454544991735545,0.34482758026159344,0.15517241111771707,0.24137930618311543,0.2968749953613282,0.2586206851961951,0.3050847405917841,0.10714285522959188,0.22950819295888208,0.2539682499370119,0.17543859341335802,0.27419354396462026,0.19672130825047038,0.47540982827197004,0.2727272677685951,0.29310344322235443,0.29310344322235443,0.11666666472222226,0.2666666622222223,0.36866359277113553,0.30645160796045795,0.4576271108876761,0.47169810430758297,0.16949152255099115,0.4040403999591879,0.30158729680020163,0.2982456088027086,0.16666666388888896,0.21052631209602962
total seconds,0.0,4.666619777679443,18.859047651290894,32.853184938430786,97.84798431396484,125.35598158836365,151.08677697181702,181.31771731376648,208.04943537712097,226.91565489768982,253.78544116020203,269.3200569152832,286.0195195674896,299.9101972579956,329.09013390541077,348.5752158164978,362.53788447380066,375.75860381126404,387.3991994857788,401.3117895126343,411.82735562324524,422.720237493515,435.0275151729584,445.7344229221344,460.61839389801025,473.73376393318176,485.60747742652893,503.01559567451477,526.1524753570557,541.0264339447021,556.5438485145569,569.8937196731567,582.3791453838348,595.5174705982208,606.001318693161,617.7291984558105,627.609879732132,640.2376527786255,650.2680358886719,659.805459022522,671.9794867038727,682.4062216281891,692.697518825531,708.356787443161,719.2104279994965,730.1542534828186,741.1425297260284,751.7609076499939,762.8357284069061,774.4420506954193,790.1019442081451,803.905900478363,814.1754364967346,824.964766740799,836.4964601993561,847.7305133342743,857.2059071063995,873.9470112323761,882.7067806720734,893.0018322467804,907.5243349075317,917.0119204521179,931.5552232265472,941.8747751712799,951.9367406368256,961.5686595439911,971.4893486499786,980.7862243652344,994.0039558410645,1004.7043037414551,1012.9806835651398,1026.1764953136444,1035.0717113018036,1046.8120284080505,1057.612417936325,1067.1237924098969,1077.2565376758575,1085.2361133098602,1094.7173249721527,1103.0289857387543,1111.1158471107483,1120.4871261119843,1128.0059599876404,1136.8063728809357,1145.1264731884003,1153.1196200847626,1162.781634092331,1170.9579813480377,1180.4640836715698,1190.4838721752167,1199.8912925720215,1207.5632786750793,1215.3551921844482,1224.593551158905,1233.0929791927338,1242.2510623931885,1251.762570142746,1260.4249682426453,1268.7681159973145,1277.5475080013275,1286.5220193862915,1295.3986513614655,1304.5457451343536,1313.3243119716644,1321.8453352451324,1332.0514450073242,1341.28174161911,1348.702187538147,1357.0784714221954,1365.443650484085,1374.9826970100403,1383.451010465622,1392.7377338409424,1401.7641706466675,1408.0290920734406,1420.4718997478485,1429.9774904251099,1440.7883324623108,1448.9500939846039,1471.3694972991943,1488.4187786579132,1502.8855147361755,1520.0927045345306,1544.6246407032013,1558.721973657608,1584.8401753902435,1598.5472106933594,1608.163377046585,1616.814365386963,1626.6180210113525,1634.87012052536,1650.5097897052765,1660.8839900493622,1673.5751204490662,1680.7873294353485,1690.218154668808,1698.94598031044,1706.640864610672,1712.919332742691,1720.844521522522,1727.5924787521362,1735.13605093956,1742.280511379242,1749.1047930717468,1757.7974591255188,1764.2461578845978,1771.0562906265259,1791.7643160820007,1800.6506609916687,1809.4455564022064,1816.126573562622,1823.7265157699585,1830.1226131916046,1836.552889585495,1842.9912543296814,1850.2623596191406,1855.7688121795654,1863.6595540046692,1870.1480689048767,1876.9966802597046,1883.4901058673859,1890.186597585678,1896.9571678638458,1903.5003879070282,1910.4053575992584,1916.9527938365936,1925.7000036239624,1933.2223269939423,1941.0112164020538,1946.6970751285553,1952.489910364151,1963.173267841339,1969.769722700119,1975.6377499103546,1981.8905341625214,1990.5853855609894,1997.1612889766693,2003.4219863414764,2010.9030566215515,2017.5593461990356,2025.2162549495697,2036.2167661190033,2045.7831661701202,2056.009375810623,2071.6900205612183,2081.643355369568,2090.742809534073,2098.490498304367,2105.434319257736,2112.264054298401,2118.693057537079
total minutes,0.0,0.07777699629465738,0.31431746085484824,0.5475530823071798,1.6307997385660806,2.089266359806061,2.5181129495302836,3.0219619552294414,3.467490589618683,3.7819275816281634,4.229757352670034,4.4886676152547205,4.766991992791493,4.99850328763326,5.484835565090179,5.809586930274963,6.042298074563345,6.262643396854401,6.45665332476298,6.688529825210571,6.863789260387421,7.0453372915585835,7.250458586215973,7.42890704870224,7.676973231633505,7.895562732219696,8.093457957108816,8.383593261241913,8.769207922617595,9.017107232411702,9.275730808575949,9.49822866121928,9.70631908973058,9.925291176637014,10.10002197821935,10.295486640930175,10.4601646622022,10.670627546310424,10.837800598144531,10.996757650375367,11.199658111731212,11.373437027136484,11.544958647092184,11.805946457386018,11.986840466658274,12.169237558046976,12.352375495433808,12.529348460833232,12.71392880678177,12.907367511590321,13.16836573680242,13.398431674639385,13.56959060827891,13.749412779013316,13.941607669989269,14.12884188890457,14.286765118439993,14.565783520539602,14.71177967786789,14.883363870779673,15.125405581792196,15.283532007535298,15.525920387109121,15.697912919521332,15.865612343947094,16.026144325733185,16.19148914416631,16.346437072753908,16.566732597351074,16.74507172902425,16.88301139275233,17.10294158856074,17.251195188363393,17.446867140134177,17.626873632272083,17.785396540164946,17.954275627930958,18.087268555164336,18.245288749535877,18.383816428979237,18.518597451845803,18.674785435199738,18.80009933312734,18.946772881348927,19.085441219806672,19.218660334746044,19.37969390153885,19.51596635580063,19.674401394526164,19.841397869586945,19.99818820953369,20.126054644584656,20.255919869740804,20.409892519315083,20.55154965321223,20.704184373219807,20.8627095023791,21.00708280404409,21.146135266621908,21.292458466688792,21.44203365643819,21.58997752269109,21.74242908557256,21.888738532861073,22.030755587418874,22.200857416788736,22.354695693651834,22.47836979230245,22.617974523703257,22.757394174734753,22.91637828350067,23.057516841093697,23.212295564015708,23.362736177444457,23.467151534557342,23.67453166246414,23.83295817375183,24.013138874371847,24.149168233076733,24.52282495498657,24.806979644298554,25.04809191226959,25.334878408908843,25.743744011720022,25.978699560960134,26.414002923170724,26.64245351155599,26.802722950776417,26.946906089782715,27.11030035018921,27.247835342089335,27.508496495087943,27.681399834156036,27.8929186741511,28.013122157255808,28.170302577813466,28.315766338507334,28.444014410177868,28.54865554571152,28.680742025375366,28.793207979202272,28.918934182325998,29.038008522987365,29.15174655119578,29.296624318758646,29.404102631409962,29.51760484377543,29.86273860136668,30.010844349861145,30.157425940036774,30.268776226043702,30.39544192949931,30.50204355319341,30.609214826424918,30.71652090549469,30.837705993652342,30.929480202992757,31.060992566744485,31.169134481747946,31.28327800432841,31.391501764456432,31.5031099597613,31.615952797730763,31.725006465117136,31.840089293320975,31.949213230609892,32.09500006039937,32.220372116565706,32.35018694003423,32.44495125214259,32.54149850606918,32.719554464022316,32.82949537833532,32.927295831839245,33.03150890270869,33.17642309268316,33.28602148294449,33.39036643902461,33.51505094369252,33.62598910331726,33.753604249159494,33.93694610198339,34.09638610283534,34.26682293017705,34.52816700935364,34.69405592282613,34.845713492234545,34.97484163840612,35.090571987628934,35.20440090497335,35.311550958951315
cummulative feedback,0.0,49.0,90.0,133.0,199.0,264.0,302.0,431.0,560.0,594.0,666.0,699.0,737.0,772.0,894.0,926.0,950.0,973.0,994.0,1022.0,1049.0,1066.0,1081.0,1107.0,1137.0,1160.0,1180.0,1255.0,1282.0,1311.0,1338.0,1366.0,1388.0,1414.0,1432.0,1462.0,1478.0,1501.0,1521.0,1538.0,1556.0,1581.0,1595.0,1617.0,1633.0,1652.0,1675.0,1688.0,1700.0,1725.0,1752.0,1772.0,1793.0,1811.0,1824.0,1842.0,1861.0,1881.0,1900.0,1926.0,1958.0,1979.0,2025.0,2055.0,2074.0,2097.0,2118.0,2135.0,2147.0,2170.0,2183.0,2202.0,2219.0,2236.0,2250.0,2268.0,2285.0,2295.0,2310.0,2324.0,2341.0,2356.0,2371.0,2388.0,2401.0,2419.0,2434.0,2452.0,2468.0,2488.0,2503.0,2517.0,2532.0,2552.0,2566.0,2575.0,2594.0,2613.0,2625.0,2639.0,2659.0,2673.0,2686.0,2700.0,2715.0,2726.0,2740.0,2750.0,2760.0,2771.0,2785.0,2799.0,2812.0,2830.0,2842.0,2860.0,2877.0,2890.0,2907.0,2946.0,2967.0,3018.0,3066.0,3088.0,3109.0,3170.0,3199.0,3218.0,3235.0,3253.0,3271.0,3304.0,3322.0,3340.0,3356.0,3380.0,3408.0,3425.0,3439.0,3463.0,3483.0,3494.0,3503.0,3513.0,3525.0,3539.0,3549.0,3576.0,3592.0,3607.0,3623.0,3637.0,3651.0,3664.0,3680.0,3691.0,3703.0,3719.0,3731.0,3746.0,3761.0,3777.0,3791.0,3811.0,3820.0,3834.0,3853.0,3868.0,3886.0,3892.0,3906.0,3922.0,3932.0,3949.0,3961.0,3990.0,4005.0,4022.0,4039.0,4046.0,4062.0,4142.0,4161.0,4188.0,4213.0,4223.0,4263.0,4282.0,4299.0,4309.0,4321.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
