,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164
Episode,0.0,1.0,6.0,11.0,16.0,21.0,26.0,31.0,36.0,41.0,46.0,51.0,56.0,61.0,66.0,71.0,76.0,81.0,86.0,91.0,96.0,101.0,106.0,111.0,116.0,121.0,126.0,131.0,136.0,141.0,146.0,151.0,156.0,161.0,166.0,171.0,176.0,181.0,186.0,191.0,196.0,201.0,206.0,211.0,216.0,221.0,226.0,231.0,236.0,241.0,246.0,251.0,256.0,261.0,266.0,271.0,276.0,281.0,286.0,291.0,296.0,301.0,306.0,311.0,316.0,321.0,326.0,331.0,336.0,341.0,346.0,351.0,356.0,361.0,366.0,371.0,376.0,381.0,386.0,391.0,396.0,401.0,406.0,411.0,416.0,421.0,426.0,431.0,436.0,441.0,446.0,451.0,456.0,461.0,466.0,471.0,476.0,481.0,486.0,491.0,496.0,501.0,506.0,511.0,516.0,521.0,526.0,531.0,536.0,541.0,546.0,551.0,556.0,561.0,566.0,571.0,576.0,581.0,586.0,591.0,596.0,601.0,606.0,611.0,616.0,621.0,626.0,631.0,636.0,641.0,646.0,651.0,656.0,661.0,666.0,671.0,676.0,681.0,686.0,691.0,696.0,701.0,706.0,711.0,716.0,721.0,726.0,731.0,736.0,741.0,746.0,751.0,756.0,761.0,766.0,771.0,776.0,781.0,786.0,791.0,796.0,801.0,806.0,811.0,816.0
Accumulated time steps,0.0,64.0,385.0,709.0,1586.0,1899.0,2316.0,2941.0,3311.0,3721.0,4042.0,4332.0,4704.0,5052.0,5351.0,5653.0,5985.0,6264.0,6562.0,6858.0,7142.0,7434.0,7725.0,8016.0,8304.0,8655.0,8960.0,9239.0,9539.0,9826.0,10118.0,10479.0,10770.0,11052.0,11351.0,11651.0,11938.0,12237.0,12580.0,12872.0,13276.0,13562.0,13844.0,14131.0,14756.0,15060.0,15345.0,15641.0,15943.0,16242.0,16533.0,16814.0,17106.0,17395.0,17689.0,17977.0,18337.0,18630.0,18921.0,19451.0,19747.0,20492.0,21044.0,21326.0,21680.0,21976.0,22260.0,22541.0,22829.0,23114.0,23415.0,23737.0,24097.0,24380.0,24677.0,24981.0,25274.0,25562.0,25843.0,26144.0,26415.0,26699.0,26997.0,27300.0,27582.0,27867.0,28166.0,28462.0,28742.0,29032.0,29313.0,29614.0,29911.0,30202.0,30497.0,30788.0,31078.0,31356.0,31643.0,31931.0,32215.0,32521.0,32798.0,33083.0,33380.0,33786.0,34068.0,34367.0,34659.0,34944.0,35344.0,35628.0,35907.0,36189.0,36460.0,36751.0,37042.0,37333.0,37619.0,37901.0,38195.0,38488.0,38773.0,39063.0,39368.0,39668.0,39954.0,40426.0,40749.0,41041.0,41785.0,42095.0,42436.0,43065.0,43589.0,44415.0,44705.0,45482.0,46031.0,46803.0,47319.0,47872.0,48411.0,48751.0,49361.0,49734.0,50477.0,50968.0,51561.0,52768.0,53088.0,53509.0,53819.0,54172.0,54858.0,55368.0,56474.0,56969.0,57409.0,57726.0,58240.0,58559.0,58871.0,59253.0,59757.0
Episode reward,0.0,173.20748647763105,136.25615517246501,202.68147771688584,199.37470984225763,129.20413506050295,132.52786018447554,148.71207750904878,129.15577228801104,161.51551335080245,130.14424372592282,168.67464250334365,173.26618161674253,275.3441650851644,134.19476497911532,171.0975381879532,202.62909353023258,163.84235880881909,191.18179647051747,172.45411392461827,127.63052823055979,174.71626555512645,166.75835458160225,170.12424383740617,139.72570436935737,168.01100044111544,196.58861714338119,165.43941601253897,147.33481524309843,123.81654136578733,174.31486489494236,136.12604489724714,163.63251021666107,183.3269843289244,147.31904182601252,156.55116737805784,148.85606187271512,188.89434523940653,235.20160935778767,176.7981357595619,528.7845039580609,123.88857848416806,182.03520992804238,155.71038960162696,168.20204526483315,180.91933252851112,128.10657042761474,164.5787375479946,194.07689196136627,126.83706603776317,190.81694126409337,160.84976435262897,168.07000862091763,167.87687060759606,131.27892377252977,165.4918852862367,144.58486187391242,160.4003990363073,191.8237766273943,171.9121284615337,171.42039651359167,181.2966360159237,189.68427486053594,123.9640415864094,124.10989028091376,192.96517636499357,170.30264904948157,126.06079473395525,169.49039582454006,130.25245215942172,121.10574547663668,304.14723576462194,166.81867861413852,159.26983659071965,173.75379361955018,167.1460201041102,135.40993449889515,155.16025123653299,131.3448716486219,180.70412371571172,147.02914252169225,134.2593009589987,168.74074845747407,181.4681611561765,179.00356319309915,174.3377473284119,131.74984678586247,162.43183440956096,131.2777469886957,175.34951452289195,127.87449541615328,161.0483550427625,180.7429732676913,171.3456295363745,179.5983902486118,137.089954280158,165.60835140883017,134.48694228841472,134.11269766688545,173.2332999435823,167.35811562109274,180.1109456919399,117.33210563326726,169.89346149626664,181.12501642508957,144.39024816220882,129.8060674696823,158.0401991848715,158.4491211819667,159.28894352549375,164.70008322532547,151.23662102135557,122.93483595654727,123.75073701999374,150.91505917793899,165.87902702472357,133.61241469585582,161.82632316969804,123.13491359501548,160.06690422387518,169.98237310412384,173.91878572154178,146.88790434558587,126.06091664822569,190.44489154131102,141.69543866584894,124.76636724707993,910.9844017504089,166.39674094896256,169.0062983983348,164.85677445525812,177.7734623517273,168.9085418167279,118.72793949702128,168.54707507140748,195.2612373223117,118.80465484907833,168.06468593366068,167.31630418810235,1490.4053311010384,597.6900668163263,1316.3794617652654,184.6923087882493,176.61480387357844,120.68498675714687,161.39992340756436,285.0600930862784,507.8768765128884,287.85250398243255,126.43723881431717,381.25148095432604,129.2352209822939,178.39881185630384,179.43952067890686,269.09933799577294,169.75248488771444,1661.120612800324,171.36067972683296,202.85708347708714,167.64395487168719,164.91310685646008,158.81674525132777,201.64851197422038,181.3820695209524,167.52974664632592
Episode feedback,0.8,0.7619047498110357,0.8474576127549558,0.6486486398831265,0.7464788627256499,0.6964285589923472,0.6779660902039646,0.7352941068339102,0.8035714142219391,0.5614034989227457,0.5789473582640815,0.5333333244444446,0.5901639247514111,0.6880733881828129,0.6349206248425298,0.5254237199080726,0.6984126873267827,0.5892857037627554,0.5468749914550782,0.2711864360815858,0.5094339526521896,0.4918032706261759,0.48275861236623085,0.4426229435635583,0.5172413703923902,0.5333333244444446,0.47692306958579894,0.5087719208987382,0.46551723335315115,0.34615383949704154,0.39999999333333347,0.43859648353339503,0.41379309631391215,0.21311475060467622,0.4727272641322316,0.1929824527546938,0.29629629080932796,0.34920634366339137,0.4910714241868623,0.12903225598335072,0.644808739645854,0.415094331790673,0.22580644797086374,0.2586206851961951,0.40677965412237876,0.43548386394380867,0.42857142091836753,0.33333332748538025,0.4687499926757814,0.4074073998628259,0.3437499946289064,0.2280701714373654,0.25423728382648675,0.24137930618311543,0.4074073998628259,0.2586206851961951,0.44067795863257697,0.2833333286111112,0.24999999609375007,0.3965517173008325,0.3050847405917841,0.6093749904785158,0.49999999218750013,0.4727272641322316,0.5283018768244929,0.3134328311427936,0.40677965412237876,0.4423076838017753,0.4576271108876761,0.26415093841224646,0.36734693127863405,0.4624999942187501,0.44067795863257697,0.21428571045918376,0.3114754047299114,0.2711864360815858,0.23214285299744905,0.23214285299744905,0.20370369993141296,0.29032257596253913,0.22222221810699597,0.10909090710743806,0.06666666555555557,0.22222221869488543,0.22580644797086374,0.1803278658962645,0.2727272677685951,0.22413792717003575,0.2075471658953365,0.22033897931628849,0.15384615088757403,0.17543859341335802,0.22580644797086374,0.16949152255099115,0.16393442354205864,0.21428571045918376,0.1896551691438764,0.21818181421487612,0.23333332944444451,0.20338982706118938,0.22413792717003575,0.20967741597294492,0.25999999480000013,0.22413792717003575,0.17741935197710723,0.18644067480609028,0.1886792417230332,0.23214285299744905,0.19642856792091845,0.24137930618311543,0.16393442354205864,0.3090909034710745,0.23076922633136104,0.23529411303344877,0.12499999776785718,0.28070174946137283,0.12727272495867772,0.1379310321046374,0.1999999960000001,0.16071428284438782,0.3389830451019823,0.09999999833333337,0.18518518175583,0.19999999636363644,0.21538461207100598,0.18518518175583,0.20370369993141296,0.4769874457029814,0.32203389284688316,0.22950819295888208,0.35087718682671604,0.3278688470841173,0.2499999958333334,0.41176469780853536,0.38983050186727963,0.292307687810651,0.25999999480000013,0.36206895927467314,0.2833333286111112,0.47111111006419754,0.5031446509236186,0.4767801842824143,0.4843749924316408,0.316666661388889,0.31999999360000014,0.5172413703923902,0.3931623898020309,0.46999999765,0.43220338616776793,0.4615384526627221,0.4777777724691359,0.56363635338843,0.34426228943832315,0.25806451196670144,0.44086021031333106,0.43103447532699185,0.42093023157923204,0.3333333277777779,0.41538460899408297,0.38333332694444455,0.38983050186727963,0.3965517173008325,0.23529411418685128,0.30645160796045795,0.3793103382877528
total seconds,0.0,4.627446413040161,19.814422845840454,33.81534814834595,87.34146475791931,105.80620646476746,131.1386148929596,169.08142638206482,192.63178253173828,217.36940789222717,235.43081283569336,252.27996945381165,272.9153039455414,291.4694435596466,307.90163111686707,324.22897267341614,342.30627512931824,357.4000594615936,372.6215305328369,385.012131690979,397.90967059135437,409.8446705341339,422.1379499435425,434.3144094944,446.6161787509918,461.51488518714905,475.29801511764526,487.14208912849426,499.20407700538635,509.532386302948,520.1976945400238,534.565434217453,546.7870507240295,558.9306666851044,570.2463393211365,580.4935891628265,590.2788498401642,601.0805349349976,615.0371739864349,623.5493061542511,642.1798770427704,653.6399831771851,663.6313350200653,674.2610592842102,703.4111063480377,716.7734258174896,729.204840183258,740.0137898921967,751.0803809165955,760.9430661201477,771.5167336463928,781.1037194728851,791.8823502063751,803.0018751621246,814.4378304481506,825.7049508094788,840.722592830658,852.5669901371002,862.5916872024536,887.4228358268738,900.3929369449615,941.2442946434021,970.4521269798279,985.7959196567535,1004.596376657486,1017.3298671245575,1028.9771647453308,1040.2113535404205,1051.6059522628784,1062.0290038585663,1075.1069645881653,1088.3463337421417,1101.5403378009796,1110.2975542545319,1118.7687339782715,1129.7182302474976,1140.4212880134583,1149.0757513046265,1157.3884131908417,1167.6685161590576,1176.5316667556763,1184.5475840568542,1193.8368875980377,1203.8964064121246,1212.7588210105896,1221.2757194042206,1230.6897523403168,1238.8776636123657,1246.9019031524658,1255.682361125946,1263.182207107544,1270.506067276001,1278.0782804489136,1285.5240981578827,1294.95108294487,1303.1857302188873,1311.8028073310852,1320.5917887687683,1328.9313151836395,1338.6703538894653,1347.009865283966,1355.476240158081,1364.3970351219177,1371.7565984725952,1379.288732290268,1394.1851885318756,1402.7075312137604,1411.7962946891785,1421.0114169120789,1431.2507972717285,1445.7814919948578,1453.7587494850159,1461.5911405086517,1469.2159368991852,1476.875123500824,1485.7752199172974,1493.745655298233,1500.1037356853485,1508.1371228694916,1514.6155393123627,1523.0242202281952,1530.2940258979797,1538.7971019744873,1546.4795184135437,1555.348840713501,1563.403002023697,1569.5601177215576,1583.498185634613,1591.6922731399536,1599.2589650154114,1621.5386836528778,1630.4927098751068,1638.9921033382416,1657.791607618332,1671.904081583023,1698.9687292575836,1707.7248620986938,1729.8123488426208,1746.4887826442719,1771.383632183075,1788.9160635471344,1804.560069322586,1821.3416907787323,1830.5273308753967,1848.3353507518768,1858.3694927692413,1879.7555820941925,1893.962093114853,1911.7532036304474,1946.4565439224243,1956.1808834075928,1970.9770667552948,1979.1514840126038,1990.3503577709198,2012.6055374145508,2027.4144704341888,2058.0187282562256,2071.877103805542,2086.773469686508,2096.4269721508026,2111.4507813453674,2120.9693915843964,2129.719462633133,2142.4080097675323,2157.188947200775
total minutes,0.0,0.07712410688400269,0.3302403807640076,0.5635891358057658,1.4556910792986553,1.763436774412791,2.1856435815493267,2.8180237730344135,3.2105297088623046,3.6228234648704527,3.923846880594889,4.204666157563527,4.548588399092356,4.857824059327443,5.131693851947785,5.403816211223602,5.7051045854886375,5.956667657693227,6.210358842213949,6.416868861516317,6.63182784318924,6.830744508902232,7.035632499059042,7.238573491573334,7.443602979183197,7.691914753119151,7.921633585294088,8.119034818808238,8.320067950089772,8.492206438382466,8.669961575667063,8.909423903624218,9.11311751206716,9.315511111418406,9.504105655352275,9.674893152713775,9.837980830669403,10.018008915583293,10.250619566440582,10.392488435904186,10.70299795071284,10.893999719619751,11.060522250334422,11.237684321403503,11.723518439133962,11.946223763624827,12.153414003054301,12.333563164869945,12.518006348609925,12.682384435335795,12.858612227439881,13.018395324548086,13.198039170106252,13.38336458603541,13.573963840802511,13.76174918015798,14.012043213844299,14.209449835618337,14.376528120040893,14.790380597114563,15.006548949082692,15.687404910723368,16.174202116330466,16.429931994279226,16.743272944291434,16.955497785409293,17.14961941242218,17.336855892340342,17.526765871047974,17.70048339764277,17.918449409802754,18.13910556236903,18.359005630016327,18.50495923757553,18.646145566304526,18.828637170791627,19.007021466890972,19.151262521743774,19.28980688651403,19.461141935984294,19.608861112594603,19.742459734280903,19.897281459967296,20.064940106868743,20.21264701684316,20.354595323403675,20.511495872338614,20.647961060206097,20.78169838587443,20.928039352099102,21.053036785125734,21.17510112126668,21.30130467414856,21.42540163596471,21.582518049081166,21.719762170314787,21.863380122184754,22.009863146146138,22.14885525306066,22.31117256482442,22.450164421399435,22.591270669301352,22.739950585365296,22.862609974543254,22.988145538171132,23.236419808864593,23.378458853562673,23.52993824481964,23.683523615201313,23.85417995452881,24.096358199914295,24.22931249141693,24.35985234181086,24.486932281653086,24.6145853916804,24.762920331954955,24.895760921637216,25.001728928089143,25.135618714491525,25.24359232187271,25.383737003803255,25.504900431632997,25.646618366241455,25.774658640225727,25.92248067855835,26.056716700394947,26.159335295359295,26.39163642724355,26.52820455233256,26.65431608359019,27.025644727547963,27.174878497918446,27.31653505563736,27.629860126972197,27.865068026383717,28.316145487626393,28.46208103497823,28.83020581404368,29.10814637740453,29.523060536384584,29.815267725785574,30.076001155376435,30.355694846312204,30.508788847923277,30.80558917919795,30.972824879487355,31.329259701569875,31.56603488524755,31.86255339384079,32.44094239870707,32.60301472345988,32.84961777925491,32.98585806687673,33.17250596284866,33.54342562357585,33.79024117390315,34.30031213760376,34.5312850634257,34.77955782810847,34.94044953584671,35.19084635575612,35.34948985973994,35.495324377218886,35.706800162792206,35.95314912001292
cummulative feedback,0.0,48.0,98.0,146.0,199.0,238.0,278.0,328.0,373.0,405.0,438.0,470.0,506.0,581.0,621.0,652.0,696.0,729.0,764.0,780.0,807.0,837.0,865.0,892.0,922.0,954.0,985.0,1014.0,1041.0,1059.0,1083.0,1108.0,1132.0,1145.0,1171.0,1182.0,1198.0,1220.0,1275.0,1283.0,1401.0,1423.0,1437.0,1452.0,1476.0,1503.0,1527.0,1546.0,1576.0,1598.0,1620.0,1633.0,1648.0,1662.0,1684.0,1699.0,1725.0,1742.0,1758.0,1781.0,1799.0,1838.0,1870.0,1896.0,1924.0,1945.0,1969.0,1992.0,2019.0,2033.0,2051.0,2088.0,2114.0,2126.0,2145.0,2161.0,2174.0,2187.0,2198.0,2216.0,2228.0,2234.0,2238.0,2252.0,2266.0,2277.0,2292.0,2305.0,2316.0,2329.0,2337.0,2347.0,2361.0,2371.0,2381.0,2393.0,2404.0,2416.0,2430.0,2442.0,2455.0,2468.0,2481.0,2494.0,2505.0,2516.0,2526.0,2539.0,2550.0,2564.0,2574.0,2591.0,2603.0,2615.0,2622.0,2638.0,2645.0,2653.0,2663.0,2672.0,2692.0,2698.0,2708.0,2719.0,2733.0,2743.0,2754.0,2868.0,2887.0,2901.0,2921.0,2941.0,2956.0,2977.0,3000.0,3019.0,3032.0,3053.0,3070.0,3282.0,3362.0,3516.0,3547.0,3566.0,3582.0,3612.0,3658.0,3752.0,3803.0,3827.0,3870.0,3901.0,3922.0,3938.0,3979.0,4004.0,4185.0,4205.0,4232.0,4255.0,4278.0,4301.0,4317.0,4336.0,4358.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
