,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192
Episode,0.0,1.0,6.0,11.0,16.0,21.0,26.0,31.0,36.0,41.0,46.0,51.0,56.0,61.0,66.0,71.0,76.0,81.0,86.0,91.0,96.0,101.0,106.0,111.0,116.0,121.0,126.0,131.0,136.0,141.0,146.0,151.0,156.0,161.0,166.0,171.0,176.0,181.0,186.0,191.0,196.0,201.0,206.0,211.0,216.0,221.0,226.0,231.0,236.0,241.0,246.0,251.0,256.0,261.0,266.0,271.0,276.0,281.0,286.0,291.0,296.0,301.0,306.0,311.0,316.0,321.0,326.0,331.0,336.0,341.0,346.0,351.0,356.0,361.0,366.0,371.0,376.0,381.0,386.0,391.0,396.0,401.0,406.0,411.0,416.0,421.0,426.0,431.0,436.0,441.0,446.0,451.0,456.0,461.0,466.0,471.0,476.0,481.0,486.0,491.0,496.0,501.0,506.0,511.0,516.0,521.0,526.0,531.0,536.0,541.0,546.0,551.0,556.0,561.0,566.0,571.0,576.0,581.0,586.0,591.0,596.0,601.0,606.0,611.0,616.0,621.0,626.0,631.0,636.0,641.0,646.0,651.0,656.0,661.0,666.0,671.0,676.0,681.0,686.0,691.0,696.0,701.0,706.0,711.0,716.0,721.0,726.0,731.0,736.0,741.0,746.0,751.0,756.0,761.0,766.0,771.0,776.0,781.0,786.0,791.0,796.0,801.0,806.0,811.0,816.0,821.0,826.0,831.0,836.0,841.0,846.0,851.0,856.0,861.0,866.0,871.0,876.0,881.0,886.0,891.0,896.0,901.0,906.0,911.0,916.0,921.0,926.0,931.0,936.0,941.0,946.0,951.0,956.0
Accumulated time steps,0.0,62.0,381.0,713.0,1273.0,2067.0,2419.0,3164.0,3728.0,4021.0,4386.0,4728.0,5018.0,5353.0,5872.0,6174.0,6460.0,6748.0,7041.0,7328.0,7620.0,7941.0,8243.0,8536.0,8855.0,9164.0,9459.0,9755.0,10078.0,10364.0,10674.0,10968.0,11263.0,11593.0,11880.0,12179.0,12465.0,12756.0,13048.0,13334.0,13615.0,13908.0,14173.0,14458.0,14772.0,15054.0,15349.0,15634.0,15909.0,16191.0,16487.0,16759.0,17053.0,17325.0,17607.0,17877.0,18158.0,18433.0,18708.0,19008.0,19299.0,19599.0,19884.0,20157.0,20434.0,20724.0,21002.0,21269.0,21554.0,21848.0,22124.0,22416.0,22707.0,22994.0,23289.0,23618.0,23911.0,24206.0,24544.0,24897.0,25184.0,25457.0,25807.0,26089.0,26381.0,26683.0,26967.0,27429.0,27708.0,28010.0,28303.0,28591.0,28890.0,29355.0,29631.0,29995.0,30272.0,30539.0,30823.0,31256.0,31537.0,31824.0,32110.0,32464.0,32733.0,33014.0,33304.0,33585.0,33876.0,34182.0,34465.0,34744.0,35021.0,35302.0,35592.0,35879.0,36163.0,36442.0,36775.0,37064.0,37345.0,37634.0,37911.0,38200.0,38482.0,38755.0,39242.0,39527.0,40018.0,40320.0,40604.0,41131.0,41413.0,41783.0,42076.0,42354.0,42692.0,42977.0,43264.0,43560.0,43924.0,44216.0,44517.0,45162.0,45461.0,45742.0,46035.0,46321.0,46647.0,46933.0,47242.0,47536.0,47827.0,48146.0,48430.0,48753.0,49041.0,49343.0,49633.0,49928.0,50316.0,50617.0,50911.0,51202.0,51579.0,51865.0,52157.0,52475.0,52795.0,53101.0,53546.0,53832.0,54116.0,54413.0,54706.0,55005.0,55300.0,55591.0,55930.0,56217.0,56667.0,56971.0,57264.0,57547.0,57842.0,58171.0,58453.0,58737.0,59032.0,59331.0,59622.0,60019.0,60425.0
Episode reward,0.0,140.05704641541874,186.10601985370522,166.74479444349967,221.5176114069688,175.45487748984544,282.9933484419398,182.6479674537321,177.08264481664395,128.00759268250496,217.48361769531246,301.622942269363,146.28401641175077,165.93870923142737,186.26259482463755,137.08387115442778,189.79298034663495,141.88206226459906,166.79392108072872,161.7316088865174,173.54926647057047,244.55026807670654,135.26033236331244,125.22181183155995,137.15299130126013,152.89993315920532,186.5268184802291,181.19840825828175,196.25010945339474,171.63035302069574,134.9068936463807,174.1898331350265,173.2386396568229,163.3400775252417,173.97773494659143,178.81587134275645,188.90093560423907,168.7818415484639,168.70375191701447,168.93538519932153,117.64355290684136,138.26036551063896,128.74761196449512,128.34150119033384,134.8606910078095,118.63130410223283,135.54611767566567,121.5202000242213,137.91051862102418,166.7055896641127,171.08011707076795,167.726103785604,199.04017031746602,162.41581603980546,138.16332161377682,136.7952086690274,128.5603072491551,133.25128103614395,153.85344949265618,150.82633149772968,161.91469495657546,175.19147766838998,145.87670192314445,125.3181437036228,171.6438455055851,172.46558516439725,168.7157213954072,113.31299386282885,163.0528225379263,180.2171503594433,172.51918427382668,131.48635387312328,139.576010807333,169.91852252189085,183.5769902356604,132.1299692989705,163.04487732693136,154.35550402602635,156.8133919684138,176.41106687653914,120.56975043336794,158.07895731151214,163.02976181805386,148.93053673837778,177.28394309198862,184.81068212833964,118.6103090706919,142.00168097117833,160.71477681352832,138.080178663747,170.66388909970524,171.31933679478254,250.97517563873575,175.87715594847998,131.54415164222888,178.83708372844094,162.3416284125339,126.29340271052372,191.99972411216334,167.61928641940048,132.04333889659034,136.39362961653768,155.15697227359905,125.52785911787062,135.7243533974352,143.0097941558561,137.17899448889176,157.75750650137618,167.03744175890424,180.77932522308242,142.53742736967422,160.3341294919371,130.44440535906486,117.93442342282677,159.8037294966097,157.89380663436145,168.71869807303545,167.1769588514409,160.65400962306424,163.02636519187345,164.9004237174554,188.86043645857382,154.17898015172022,184.94651952104869,163.33708156158147,157.54437768176152,121.80904706957563,177.12835533489087,753.091397216557,192.3319963513193,152.524525926636,164.63258075073597,132.587512090346,181.78594645295,181.0926316517556,106.53371482264535,419.30670610872573,170.40992050719265,176.05753093461854,169.32650970745786,150.29003052839136,169.9419088761289,175.7595692297128,138.6044744957523,176.52216792839556,118.9896066931826,163.6242105310007,129.18792193539454,170.2130319430045,137.21449385654083,164.24208282603337,161.0422696833863,156.262890391107,171.16989930238938,172.5285847615022,126.7909743386109,152.01035137498948,166.8737903488056,159.96505138267682,120.50355163819053,197.90628661608582,122.76648103750388,162.86540200789483,187.56161920125638,158.15362471582466,169.26415016993127,160.96418973098434,238.6345719688045,164.9419109992327,173.59853326770642,189.30736868846208,136.3994438853998,175.56687773433543,191.44286654813808,161.3178633789832,156.10324719509575,166.64715594078535,187.78640885240907,173.7083659636359,160.54418480198342,162.0514465323162,135.10855326875273,167.51436869883798,181.0630085580504,176.6386448996282,182.1291431395491,158.37798214079936,154.76742171263513,154.1252583214767,184.30706085627213,134.36366761133254,209.159625645335,171.88330990129776
Episode feedback,0.8,0.7868852330018815,0.6999999900000001,0.7656249880371095,0.724770635552563,0.7777777669753089,0.7176470503806229,0.65151514164371,0.6349206248425298,0.685185172496571,0.5773195816771177,0.6857142791836736,0.6271186334386673,0.4237288063774779,0.4687499926757814,0.3859649055093876,0.41269840614764436,0.4999999913793105,0.5254237199080726,0.5762711766733699,0.3333333277777779,0.7319587553406314,0.285714280612245,0.37037036351166,0.46551723335315115,0.4727272641322316,0.29032257596253913,0.35483870395421446,0.44776118734684794,0.43548386394380867,0.6271186334386673,0.3114754047299114,0.45901638591776417,0.4482758543400715,0.25423728382648675,0.22950819295888208,0.4285714217687076,0.3906249938964845,0.2758620642092748,0.1896551691438764,0.3207547109291564,0.2280701714373654,0.30769230177514806,0.34545453917355384,0.24999999553571436,0.2199999956000001,0.19999999636363644,0.3846153772189351,0.22641509006763982,0.21666666305555562,0.16129031997918838,0.20689654815695607,0.32307691810650896,0.2758620642092748,0.26315789012003704,0.3571428507653063,0.1886792417230332,0.23529411303344877,0.28070174946137283,0.33928570822704096,0.24561403077870123,0.1311475388336469,0.2666666622222223,0.33962263510145974,0.21666666305555562,0.25423728382648675,0.16949152255099115,0.33999999320000013,0.36206895927467314,0.3114754047299114,0.22413792717003575,0.11111110905349798,0.15517241111771707,0.1803278658962645,0.23809523431594867,0.34545453917355384,0.24561403077870123,0.25423728382648675,0.41379309631391215,0.3709677359521333,0.34615383949704154,0.3275862012485138,0.43548386394380867,0.22222221810699597,0.2786885200214997,0.34920634366339137,0.2549019557862362,0.5517241284185496,0.2758620642092748,0.3571428507653063,0.22033897931628849,0.32203389284688316,0.4857142787755103,0.5396825311161503,0.5178571336096941,0.499999991935484,0.33333332748538025,0.3773584834460664,0.31249999511718757,0.4915254153978743,0.33928570822704096,0.43636362842975224,0.41379309631391215,0.30769230177514806,0.23076922633136104,0.316666661388889,0.33333332748538025,0.36206895927467314,0.22033897931628849,0.40983605885514657,0.2758620642092748,0.2982456088027086,0.33333332716049396,0.29411764129181095,0.1578947340720222,0.21052631209602962,0.12068965309155771,0.36206895927467314,0.34482758026159344,0.2786885200214997,0.31034482223543414,0.26562499584960947,0.3090909034710745,0.2539682499370119,0.33333332748538025,0.17857142538265314,0.2075471658953365,0.2833333286111112,0.438914025163285,0.22222221869488543,0.12962962722908097,0.3684210461680518,0.33333332716049396,0.2622950776672938,0.24590163531308795,0.39583332508680574,0.4054054017531045,0.14999999750000004,0.2499999958333334,0.1379310321046374,0.32142856568877565,0.23728813157138762,0.14754098118785278,0.4107142783801022,0.2419354799687826,0.2799999944000001,0.2280701714373654,0.22641509006763982,0.23728813157138762,0.29629629080932796,0.30357142315051033,0.2363636320661158,0.23214285299744905,0.3333333277777779,0.16666666388888896,0.3018867867568531,0.2909090856198348,0.3050847405917841,0.21052631209602962,0.23999999520000012,0.30303029843893486,0.2549019557862362,0.26315789012003704,0.20967741597294492,0.21052631209602962,0.1379310321046374,0.21052631209602962,0.34177214757250446,0.14035087473068641,0.18644067480609028,0.3709677359521333,0.17857142538265314,0.2666666622222223,0.20312499682617194,0.1929824527546938,0.285714280612245,0.20338982706118938,0.17460317183169569,0.19999999666666674,0.17543859341335802,0.26315789012003704,0.24999999553571436,0.22033897931628849,0.1311475388336469,0.2666666622222223,0.32258063995837677,0.2678571380739797,0.2727272677685951,0.285714280612245,0.2419354799687826,0.33333332748538025,0.34328357696591677,0.23333332944444451
total seconds,0.0,4.762755632400513,17.94425916671753,31.546700477600098,68.62577533721924,120.16982579231262,141.55932426452637,186.2727026939392,221.17656183242798,239.00186777114868,259.9848093986511,279.89110040664673,296.106725692749,313.932030916214,341.2333631515503,356.68806862831116,371.5697386264801,385.28693079948425,398.2123107910156,411.0737235546112,421.42277479171753,436.9376745223999,449.2451276779175,461.6570315361023,476.95385932922363,492.13508224487305,502.55005741119385,513.1235873699188,527.3430926799774,539.6981637477875,554.6731808185577,566.1714260578156,577.4272713661194,590.6811900138855,599.909773349762,610.4940311908722,621.24804854393,632.3785345554352,642.4919083118439,653.3187351226807,661.9044451713562,673.0338833332062,681.698600769043,692.4625828266144,704.1513969898224,712.4031763076782,722.6948509216309,732.4161159992218,740.4859235286713,748.9915454387665,757.259459733963,763.8951132297516,775.2363977432251,783.4733028411865,790.9218735694885,799.1665041446686,808.3677935600281,817.57271027565,827.3219952583313,837.783652305603,847.8260915279388,856.791021823883,866.5119915008545,876.3144726753235,885.2385652065277,894.1693449020386,902.137243270874,910.3587868213654,919.5844929218292,929.8268043994904,939.44571185112,948.7162840366364,956.5335137844086,966.1397883892059,975.5318961143494,988.4902186393738,997.2542726993561,1005.3338797092438,1021.0791714191437,1036.5954530239105,1048.116986989975,1058.6105773448944,1073.0455610752106,1081.655502319336,1091.7860143184662,1102.2333137989044,1111.8650150299072,1132.951560497284,1144.3802242279053,1155.8450601100922,1165.5335862636566,1175.7250909805298,1185.127678155899,1206.0392591953278,1219.4034624099731,1235.7529606819153,1247.6582996845245,1259.6725239753723,1270.496160030365,1290.9389934539795,1301.5330383777618,1311.3705019950867,1322.3439841270447,1337.6518533229828,1346.1417081356049,1357.3914301395416,1367.579178094864,1377.814549446106,1389.684080839157,1400.8886089324951,1409.9063410758972,1419.5742132663727,1429.7808952331543,1438.4399437904358,1447.8444266319275,1457.024263381958,1464.9513289928436,1473.0550389289856,1487.966588973999,1498.5061061382294,1508.1685392856598,1519.2543513774872,1529.1634492874146,1539.6788733005524,1549.7181012630463,1556.9063556194305,1574.1371409893036,1583.3045117855072,1603.7488560676575,1611.300797700882,1617.9642419815063,1635.202136039734,1642.9875209331512,1652.9858694076538,1660.4224224090576,1667.1839003562927,1675.486051082611,1682.4491620063782,1688.9174246788025,1695.3023045063019,1705.0404131412506,1710.9146361351013,1717.6686663627625,1734.1461052894592,1742.9191401004791,1750.3085651397705,1757.5417091846466,1765.7661001682281,1774.0511713027954,1780.574107170105,1788.5358901023865,1796.427706003189,1804.214147567749,1812.799082517624,1819.2605152130127,1826.435405254364,1833.7999176979065,1840.7553615570068,1847.3557143211365,1853.7594275474548,1863.424185037613,1870.3290674686432,1877.130368232727,1883.7072048187256,1891.1861152648926,1898.4484479427338,1905.7240917682648,1913.3419432640076,1921.7114577293396,1928.5401451587677,1942.599575996399,1949.722903251648,1956.337563276291,1962.5375354290009,1967.804531097412,1975.951316356659,1982.515204668045,1988.5143549442291,1997.2865154743195,2002.8650443553925,2015.050035238266,2022.4370691776276,2030.4423968791962,2037.1946318149567,2045.605289697647,2053.1014392375946,2060.1566891670227,2066.913335084915,2074.1411991119385,2079.8833718299866,2086.5260956287384,2096.723114490509,2106.6395332813263
total minutes,0.0,0.07937926054000854,0.2990709861119588,0.525778341293335,1.1437629222869874,2.002830429871877,2.3593220710754395,3.1045450448989866,3.6862760305404665,3.983364462852478,4.333080156644185,4.664851673444113,4.93511209487915,5.232200515270233,5.687222719192505,5.9448011438051855,6.192828977108002,6.421448846658071,6.636871846516927,6.851228725910187,7.0237129131952925,7.2822945753733315,7.487418794631958,7.694283858935038,7.949230988820394,8.202251370747884,8.375834290186564,8.552059789498648,8.78905154466629,8.994969395796458,9.244553013642628,9.436190434296925,9.62378785610199,9.844686500231425,9.998496222496033,10.17490051984787,10.354134142398834,10.539642242590586,10.708198471864064,10.888645585378011,11.031740752855937,11.21723138888677,11.361643346150716,11.54104304711024,11.73585661649704,11.873386271794637,12.044914182027181,12.206935266653696,12.341432058811188,12.48319242397944,12.62099099556605,12.73158522049586,12.920606629053752,13.057888380686443,13.182031226158141,13.319441735744476,13.472796559333801,13.626211837927501,13.788699920972189,13.963060871760051,14.130434858798981,14.279850363731384,14.441866525014241,14.605241211255391,14.753976086775461,14.902822415033976,15.035620721181234,15.172646447022755,15.32640821536382,15.497113406658173,15.657428530852,15.811938067277273,15.942225229740142,16.102329806486765,16.258864935239156,16.474836977322898,16.62090454498927,16.75556466182073,17.01798619031906,17.276590883731842,17.468616449832915,17.643509622414907,17.884092684586843,18.027591705322266,18.196433571974435,18.37055522998174,18.531083583831787,18.882526008288064,19.073003737131753,19.264084335168203,19.425559771060943,19.595418183008828,19.752127969264983,20.10065431992213,20.323391040166218,20.59588267803192,20.794304994742074,20.994542066256205,21.174936000506083,21.51564989089966,21.69221730629603,21.856175033251443,22.03906640211741,22.294197555383047,22.435695135593413,22.623190502325695,22.792986301581063,22.963575824101767,23.161401347319284,23.34814348220825,23.49843901793162,23.65957022110621,23.829681587219238,23.97399906317393,24.13074044386546,24.283737723032633,24.41585548321406,24.550917315483094,24.79944314956665,24.97510176897049,25.136142321427663,25.320905856291454,25.486057488123574,25.661314555009206,25.828635021050772,25.94843926032384,26.235619016488393,26.388408529758454,26.729147601127625,26.8550132950147,26.966070699691773,27.253368933995564,27.383125348885855,27.549764490127565,27.673707040150962,27.786398339271546,27.924767518043517,28.04081936677297,28.14862374464671,28.255038408438363,28.417340219020844,28.515243935585023,28.627811106046043,28.902435088157652,29.048652335007986,29.171809418996176,29.29236181974411,29.429435002803803,29.56751952171326,29.67623511950175,29.808931501706443,29.940461766719817,30.070235792795817,30.2133180419604,30.321008586883544,30.440590087572733,30.563331961631775,30.679256025950114,30.789261905352273,30.895990459124246,31.057069750626884,31.172151124477388,31.285506137212117,31.395120080312093,31.51976858774821,31.64080746571223,31.762068196137747,31.889032387733458,32.02852429548899,32.142335752646126,32.376659599939984,32.4953817208608,32.60562605460485,32.70895892381668,32.79674218495687,32.93252193927765,33.041920077800754,33.141905915737155,33.28810859123866,33.38108407258987,33.5841672539711,33.707284486293794,33.84070661465327,33.953243863582614,34.093421494960786,34.21835732062657,34.335944819450376,34.44855558474858,34.56901998519898,34.66472286383311,34.77543492714564,34.94538524150848,35.11065888802211
cummulative feedback,0.0,48.0,97.0,146.0,225.0,281.0,342.0,385.0,425.0,462.0,518.0,590.0,627.0,652.0,682.0,704.0,730.0,759.0,790.0,824.0,844.0,915.0,931.0,951.0,978.0,1004.0,1022.0,1044.0,1074.0,1101.0,1138.0,1157.0,1185.0,1211.0,1226.0,1240.0,1267.0,1292.0,1308.0,1319.0,1336.0,1349.0,1365.0,1384.0,1398.0,1409.0,1420.0,1440.0,1452.0,1465.0,1475.0,1487.0,1508.0,1524.0,1539.0,1559.0,1569.0,1581.0,1597.0,1616.0,1630.0,1638.0,1654.0,1672.0,1685.0,1700.0,1710.0,1727.0,1748.0,1767.0,1780.0,1786.0,1795.0,1806.0,1821.0,1840.0,1854.0,1869.0,1893.0,1916.0,1934.0,1953.0,1980.0,1992.0,2009.0,2031.0,2044.0,2076.0,2092.0,2112.0,2125.0,2144.0,2178.0,2212.0,2241.0,2272.0,2291.0,2311.0,2331.0,2360.0,2379.0,2403.0,2427.0,2443.0,2455.0,2474.0,2493.0,2514.0,2527.0,2552.0,2568.0,2585.0,2603.0,2618.0,2627.0,2639.0,2646.0,2667.0,2687.0,2704.0,2722.0,2739.0,2756.0,2772.0,2791.0,2801.0,2812.0,2829.0,2926.0,2940.0,2947.0,2968.0,2986.0,3002.0,3017.0,3036.0,3081.0,3090.0,3105.0,3113.0,3131.0,3145.0,3154.0,3177.0,3192.0,3206.0,3219.0,3231.0,3245.0,3261.0,3278.0,3291.0,3304.0,3324.0,3334.0,3350.0,3366.0,3384.0,3396.0,3408.0,3428.0,3441.0,3456.0,3469.0,3481.0,3489.0,3501.0,3528.0,3536.0,3547.0,3570.0,3580.0,3596.0,3609.0,3620.0,3636.0,3648.0,3659.0,3671.0,3681.0,3696.0,3710.0,3723.0,3731.0,3747.0,3767.0,3782.0,3797.0,3813.0,3828.0,3847.0,3870.0,3884.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
