,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189
Episode,0.0,1.0,6.0,11.0,16.0,21.0,26.0,31.0,36.0,41.0,46.0,51.0,56.0,61.0,66.0,71.0,76.0,81.0,86.0,91.0,96.0,101.0,106.0,111.0,116.0,121.0,126.0,131.0,136.0,141.0,146.0,151.0,156.0,161.0,166.0,171.0,176.0,181.0,186.0,191.0,196.0,201.0,206.0,211.0,216.0,221.0,226.0,231.0,236.0,241.0,246.0,251.0,256.0,261.0,266.0,271.0,276.0,281.0,286.0,291.0,296.0,301.0,306.0,311.0,316.0,321.0,326.0,331.0,336.0,341.0,346.0,351.0,356.0,361.0,366.0,371.0,376.0,381.0,386.0,391.0,396.0,401.0,406.0,411.0,416.0,421.0,426.0,431.0,436.0,441.0,446.0,451.0,456.0,461.0,466.0,471.0,476.0,481.0,486.0,491.0,496.0,501.0,506.0,511.0,516.0,521.0,526.0,531.0,536.0,541.0,546.0,551.0,556.0,561.0,566.0,571.0,576.0,581.0,586.0,591.0,596.0,601.0,606.0,611.0,616.0,621.0,626.0,631.0,636.0,641.0,646.0,651.0,656.0,661.0,666.0,671.0,676.0,681.0,686.0,691.0,696.0,701.0,706.0,711.0,716.0,721.0,726.0,731.0,736.0,741.0,746.0,751.0,756.0,761.0,766.0,771.0,776.0,781.0,786.0,791.0,796.0,801.0,806.0,811.0,816.0,821.0,826.0,831.0,836.0,841.0,846.0,851.0,856.0,861.0,866.0,871.0,876.0,881.0,886.0,891.0,896.0,901.0,906.0,911.0,916.0,921.0,926.0,931.0,936.0,941.0
Accumulated time steps,0.0,501.0,1569.0,2011.0,2489.0,2785.0,3074.0,3373.0,3675.0,3974.0,4571.0,4860.0,5645.0,5948.0,6264.0,6565.0,6881.0,7195.0,7505.0,7804.0,8234.0,8535.0,8838.0,9124.0,9462.0,9770.0,10084.0,10376.0,10670.0,10957.0,11249.0,11536.0,11836.0,12138.0,12442.0,12744.0,13044.0,13338.0,13719.0,14023.0,14319.0,14597.0,14894.0,15267.0,15555.0,16053.0,16354.0,16653.0,16968.0,17394.0,17690.0,17990.0,18277.0,18589.0,18885.0,19172.0,19441.0,19813.0,20117.0,20417.0,20713.0,21019.0,21334.0,21632.0,21924.0,22214.0,22550.0,22849.0,23146.0,23447.0,23813.0,24112.0,24412.0,24773.0,25053.0,25567.0,25858.0,26128.0,26424.0,26720.0,27010.0,27343.0,27887.0,28180.0,28490.0,28800.0,29130.0,29462.0,29761.0,30095.0,30389.0,30668.0,30948.0,31237.0,31523.0,31819.0,32102.0,32398.0,32693.0,33024.0,33308.0,33603.0,33887.0,34184.0,34479.0,34774.0,35116.0,35415.0,35713.0,36013.0,36341.0,36640.0,36925.0,37215.0,37501.0,37802.0,38088.0,38410.0,38716.0,39187.0,39479.0,39762.0,40048.0,40340.0,40671.0,40954.0,41240.0,41610.0,41913.0,42209.0,42488.0,42788.0,43087.0,43421.0,43724.0,44016.0,44291.0,44583.0,44884.0,45178.0,45473.0,45765.0,46086.0,46383.0,46681.0,46977.0,47306.0,47586.0,47886.0,48177.0,48470.0,48815.0,49180.0,49486.0,49786.0,50061.0,50351.0,50646.0,50935.0,51218.0,51561.0,51853.0,52147.0,52735.0,53035.0,53335.0,53626.0,53913.0,54200.0,54488.0,54792.0,55090.0,55393.0,55682.0,55964.0,56254.0,56542.0,56835.0,57189.0,57457.0,57742.0,58044.0,58466.0,58757.0,59032.0,59327.0,59658.0,59946.0,60262.0,60501.0
Episode reward,0.0,350.0356686587718,804.944454158225,137.01271473257376,181.5862200609065,159.1932825797104,113.6330917965017,133.4541476594493,140.56073038091895,130.8859206139919,956.0555157597612,141.77965337584973,164.59512837014898,171.96245014150148,170.2317429362225,160.63268889818963,187.61055844389216,178.7318204090219,160.34492883753546,143.5538646371128,152.33056496904933,200.79782251193137,194.35344162767956,131.99943352304135,164.3928671493685,194.1903899206981,193.99632893985375,162.92982774440594,166.1700487322551,135.80631612044166,130.17139592980104,178.6209205323596,182.0307132433257,182.60681741252085,133.22361024284862,165.9265369185644,170.93396325063867,167.96412575665917,197.51032466806072,173.57639873509703,168.5474765382991,126.45273843484387,128.1811195462198,136.8881542809233,169.1816298846255,165.0293667421363,172.7543096803154,164.74047422457116,127.34991174596291,185.34814686086213,182.26497897756812,169.86562931630164,175.0994587351308,236.52551440730807,131.55759843495872,169.26529563732277,128.3373175549465,191.17460218657723,144.27294152134547,132.45608531019846,173.65789296690897,189.2468038096862,187.69856913663304,172.1296700067554,123.39584143633171,170.72529544203192,281.7378777008571,169.9270798032571,149.75599054416685,125.5451801828554,439.9293700522298,132.9292992168467,141.20763838606703,185.27305775714467,130.45886681350405,126.45068308209804,160.44582174959623,117.32581897572041,163.91650610408314,165.2378422807273,127.7443317505535,132.5493043876103,1119.6549986006783,178.91053897643394,192.36881749858296,172.57612141417408,165.11546231027071,138.55305230757466,173.2471553978616,181.86041263601243,167.93539676662928,142.92671962039475,170.1567334341312,166.78742067250585,180.2633957176416,134.90426014100083,134.33355507484194,184.1454562697327,162.14789620040634,298.7835003139426,163.37100493839114,154.98300348342494,178.3381701173981,174.3864619197455,160.14059483959105,134.04192817300174,342.0034200121206,186.01299944085798,170.29023650321426,182.13759650991923,141.2230031154752,126.54041202512754,128.22146641704614,123.43621137693371,187.8168510715076,224.50024279284952,128.44717440961114,258.23588776883804,175.25722236625035,138.97032024292938,184.8982170825943,125.2729090606498,129.21380102715466,118.74240573837983,298.57037277067167,131.8245606558475,164.79895845799345,126.8264830358299,166.06118444883217,162.405511045199,119.61695397057161,176.35377650955294,144.40234441780262,165.3393304939959,190.87731537841293,180.4584345165098,117.81915989516651,142.34181759578217,184.2600117211975,125.51787637701395,165.6958179754618,165.6194958226361,126.66502391183899,171.490857261932,157.41721871418855,175.06356437196857,336.6727996383206,162.84101837338906,159.39613968077566,175.38118358361226,182.168516802483,188.0976829386425,133.89162244974756,190.8819032782038,170.1957377662008,126.80702672402812,131.16099134446807,154.66304236936702,170.00470455656125,124.85946747099439,164.60984058871387,181.21654160996388,185.9550614093739,1742.7919345070814,193.2018699734594,179.211647549113,182.13571695118978,133.659896703846,164.9507946036217,129.04624339122662,181.13359238311,187.63613378422227,188.06962058775088,160.8420232080846,181.6672465410234,201.191535511922,167.94096466547597,158.82016392602168,138.36736771018795,125.58210894536268,207.98830217212247,163.5892370458601,188.95839875101237,139.4114575321997,161.81985889104348,152.77639341125018,161.81894194675297,190.18795144850395,173.71096655644618,11.321419177870359
Episode feedback,0.8,0.821999998356,0.7584541026161638,0.7068965395362666,0.6129032159209159,0.6206896444708683,0.6470588108419841,0.6296296179698219,0.7068965395362666,0.624999988839286,0.7450980367807254,0.6379310234839479,0.4576271108876761,0.6129032159209159,0.5901639247514111,0.5862068864447089,0.65151514164371,0.46774192793964636,0.43103447532699185,0.5344827494054699,0.42857142091836753,0.5942028899390885,0.569230760473373,0.5357142761479594,0.5762711766733699,0.42647058196366794,0.5312499916992189,0.4576271108876761,0.42622950120935243,0.5964912176054172,0.47169810430758297,0.650793640463593,0.47619046863189735,0.49230768473372793,0.43859648353339503,0.5084745676529735,0.38983050186727963,0.6666666555555558,0.57352940333045,0.46774192793964636,0.5762711766733699,0.40384614607988184,0.55555554526749,0.7142857015306125,0.5084745676529735,0.5172413703923902,0.4285714217687076,0.5499999908333335,0.5660377251690996,0.4687499926757814,0.453124992919922,0.5937499907226564,0.5322580559313217,0.5633802737552074,0.4727272641322316,0.5666666572222224,0.48148147256515794,0.399999993846154,0.5614034989227457,0.40350876485072346,0.3499999941666668,0.3906249938964845,0.43076922414201196,0.46666665888888903,0.45283018013527965,0.5084745676529735,0.5803571376753827,0.44067795863257697,0.44642856345663284,0.44444443621399193,0.5378151215309653,0.30357142315051033,0.3275862012485138,0.384615378698225,0.3207547109291564,0.47169810430758297,0.34482758026159344,0.33333332679738575,0.4237288063774779,0.36206895927467314,0.3773584834460664,0.4821428485331634,0.5328947350891621,0.44999999250000017,0.507692299881657,0.40983605885514657,0.35087718682671604,0.3793103382877528,0.32203389284688316,0.4218749934082032,0.3965517173008325,0.44642856345663284,0.2833333286111112,0.4237288063774779,0.2786885200214997,0.43636362842975224,0.34545453917355384,0.3968253905265811,0.3684210461680518,0.5208333279079862,0.5614034989227457,0.34482758026159344,0.2419354799687826,0.2999999950000001,0.3684210461680518,0.41818181057851256,0.48695651750472596,0.31249999511718757,0.2786885200214997,0.27419354396462026,0.3157894681440444,0.26415093841224646,0.4905660284798863,0.20370369993141296,0.4062499936523439,0.42028984898130656,0.2830188625845498,0.49999999479166674,0.34426228943832315,0.24999999553571436,0.3650793592844546,0.22641509006763982,0.3018867867568531,0.35999999280000017,0.4479166620008681,0.37037036351166,0.1896551691438764,0.31481480898491093,0.3666666605555557,0.28070174946137283,0.23999999520000012,0.34426228943832315,0.28070174946137283,0.2758620642092748,0.35384614840236694,0.47692306958579894,0.2884615329142013,0.3859649055093876,0.49999999218750013,0.33962263510145974,0.40677965412237876,0.46666665888888903,0.33333332716049396,0.2999999950000001,0.36206895927467314,0.39344261650094076,0.49999999489795927,0.2586206851961951,0.2758620642092748,0.3499999941666668,0.43333332611111125,0.34920634366339137,0.3928571358418369,0.3749999941406251,0.38983050186727963,0.3018867867568531,0.41818181057851256,0.25454544991735545,0.2999999950000001,0.3018867867568531,0.3793103382877528,0.38095237490551787,0.26562499584960947,0.42329545334291063,0.261538457514793,0.3666666605555557,0.47540982827197004,0.42592591803840896,0.41379309631391215,0.29629629080932796,0.3650793592844546,0.292307687810651,0.34920634366339137,0.34482758026159344,0.27419354396462026,0.19696969398530767,0.29310344322235443,0.285714280612245,0.2727272677685951,0.3207547109291564,0.3906249938964845,0.34482758026159344,0.403225799947971,0.2909090856198348,0.3965517173008325,0.31034482223543414,0.33333332748538025,0.31249999511718757,0.27419354396462026,0.07692307100591762
total seconds,0.0,21.494162797927856,61.99461555480957,80.62307453155518,99.3532121181488,109.74957084655762,120.22138810157776,131.10093688964844,141.7786512374878,152.44332218170166,174.84416031837463,185.04537081718445,213.31594705581665,223.64674878120422,234.39505743980408,244.60435938835144,256.4014549255371,266.85175466537476,276.21166133880615,286.0147223472595,300.2464542388916,312.29176568984985,322.70465302467346,331.46594309806824,342.9690306186676,354.1494097709656,366.5621247291565,375.4614448547363,385.1664352416992,393.50178122520447,402.6273603439331,411.8656179904938,421.320595741272,430.9122941493988,440.01505732536316,448.2625653743744,459.5756776332855,470.78142189979553,483.08740162849426,492.6513981819153,501.9360601902008,511.03828740119934,521.2272357940674,532.672349691391,543.1971547603607,559.352281332016,568.4395816326141,578.6033561229706,587.9628438949585,600.9993133544922,610.5909037590027,619.4808220863342,630.2791666984558,638.761967420578,647.6263597011566,655.985821723938,665.0461492538452,675.9624626636505,684.9893686771393,693.3312821388245,701.6113545894623,709.2444441318512,718.9975988864899,728.3808612823486,735.6585397720337,744.9061777591705,757.1856851577759,765.9683058261871,775.0658395290375,782.340966463089,793.3300535678864,801.0683681964874,809.8189742565155,819.5613279342651,827.8538658618927,841.4612739086151,850.4041604995728,857.9268321990967,866.116845369339,874.2496049404144,881.2853651046753,890.6065359115601,906.1088073253632,915.4699935913086,924.3690786361694,932.178866147995,942.6914772987366,953.6035444736481,960.9124121665955,969.7500393390656,979.6938109397888,987.4748027324677,995.5052316188812,1003.3585615158081,1011.3771758079529,1019.67116522789,1027.9576375484467,1036.2506024837494,1044.151299238205,1053.7652003765106,1061.42498087883,1069.0017051696777,1076.3028037548065,1084.3182232379913,1093.8493745326996,1100.3460988998413,1109.0823967456818,1116.1803925037384,1124.9747540950775,1133.0648519992828,1142.3252487182617,1149.8148288726807,1157.6449389457703,1163.6458628177643,1170.6450958251953,1177.7187864780426,1186.7326500415802,1195.6235134601593,1203.139836549759,1215.6607394218445,1224.0392253398895,1231.452067375183,1238.30273771286,1245.8548238277435,1255.0890192985535,1263.003566980362,1270.7555801868439,1280.2345752716064,1287.844316959381,1295.7632284164429,1302.4835402965546,1309.029914855957,1318.1838130950928,1326.60107088089,1333.5579330921173,1341.470046043396,1348.798033952713,1356.051082611084,1363.7852923870087,1372.0953557491302,1380.2204239368439,1387.1601495742798,1395.772941827774,1404.5748286247253,1411.960491657257,1420.7047622203827,1428.9858605861664,1434.3766708374023,1441.801840543747,1450.7183706760406,1457.728185892105,1465.660845041275,1475.375881910324,1482.9484581947327,1491.466207742691,1498.7165360450745,1506.12783908844,1514.4612715244293,1522.1177880764008,1528.786432981491,1540.1378469467163,1547.5536441802979,1554.3710527420044,1568.0281105041504,1575.5051956176758,1583.2686371803284,1590.8828506469727,1599.3166217803955,1605.5522181987762,1612.7067589759827,1622.7560904026031,1629.9720664024353,1637.1194171905518,1644.265968799591,1650.8610677719116,1659.4152047634125,1665.9574301242828,1672.3788194656372,1681.3711469173431,1687.9409148693085,1696.1091523170471,1703.8076705932617,1714.2894759178162,1722.5327970981598,1729.4602558612823,1736.6168134212494,1745.3296313285828,1752.2375168800354,1760.5737714767456,1766.3700726032257
total minutes,0.0,0.35823604663213093,1.0332435925801595,1.343717908859253,1.6558868686358135,1.8291595141092936,2.0036898016929627,2.1850156148274738,2.3629775206247965,2.5407220363616942,2.9140693386395773,3.0840895136197406,3.555265784263611,3.7274458130200703,3.9065842906634014,4.076739323139191,4.273357582092285,4.447529244422912,4.603527688980103,4.766912039120992,5.004107570648193,5.204862761497497,5.378410883744558,5.524432384967804,5.7161505103111265,5.902490162849427,6.109368745485941,6.2576907475789385,6.419440587361653,6.5583630204200745,6.710456005732218,6.86442696650823,7.022009929021199,7.181871569156646,7.333584288756053,7.471042756239573,7.659594627221425,7.846357031663259,8.051456693808237,8.210856636365255,8.365601003170013,8.517304790019988,8.68712059656779,8.877872494856517,9.05328591267268,9.322538022200266,9.473993027210236,9.643389268716176,9.799380731582641,10.01665522257487,10.176515062650045,10.32468036810557,10.504652778307596,10.646032790342966,10.793772661685944,10.9330970287323,11.084102487564087,11.266041044394175,11.416489477952322,11.555521368980408,11.693522576491038,11.820740735530853,11.983293314774832,12.139681021372477,12.260975662867228,12.415102962652842,12.619761419296264,12.766138430436452,12.917763992150624,13.03901610771815,13.222167559464772,13.351139469941456,13.496982904275258,13.659355465571085,13.797564431031544,14.024354565143586,14.173402674992879,14.298780536651611,14.43528075615565,14.570826749006907,14.688089418411256,14.843442265192667,15.10181345542272,15.257833226521809,15.406151310602825,15.536314435799916,15.71152462164561,15.893392407894135,16.015206869443258,16.162500655651094,16.328230182329815,16.457913378874462,16.591753860314686,16.722642691930137,16.856286263465883,16.994519420464833,17.132627292474112,17.270843374729157,17.402521653970084,17.56275333960851,17.6904163479805,17.816695086161296,17.93838006258011,18.071970387299856,18.230822908878327,18.33910164833069,18.48470661242803,18.603006541728973,18.74957923491796,18.884414199988047,19.038754145304363,19.163580481211344,19.29408231576284,19.394097713629403,19.51075159708659,19.62864644130071,19.778877500693003,19.927058557669323,20.05233060916265,20.261012323697408,20.400653755664827,20.524201122919717,20.638378961881003,20.764247063795725,20.918150321642557,21.0500594496727,21.17925966978073,21.33724292119344,21.464071949323017,21.596053806940713,21.708059004942577,21.817165247599284,21.969730218251545,22.11001784801483,22.22596555153529,22.357834100723267,22.479967232545217,22.6008513768514,22.72975487311681,22.86825592915217,23.00367373228073,23.119335826237997,23.262882363796233,23.409580477078755,23.532674860954284,23.678412703673043,23.81643100976944,23.90627784729004,24.030030675729115,24.178639511267345,24.295469764868418,24.427680750687916,24.589598031838737,24.715807636578877,24.85777012904485,24.978608934084573,25.102130651474,25.241021192073823,25.368629801273347,25.47977388302485,25.668964115778603,25.7925607363383,25.90618421236674,26.13380184173584,26.258419926961263,26.38781061967214,26.514714177449545,26.655277029673258,26.75920363664627,26.878445982933044,27.045934840043387,27.166201106707256,27.28532361984253,27.40443281332652,27.51435112953186,27.656920079390208,27.765957168738048,27.872980324427285,28.022852448622384,28.132348581155142,28.268485871950784,28.396794509887695,28.571491265296935,28.708879951635996,28.82433759768804,28.94361355702082,29.088827188809713,29.203958614667258,29.34289619127909,29.439501210053763
cummulative feedback,0.0,411.0,568.0,609.0,647.0,683.0,716.0,750.0,791.0,826.0,1054.0,1091.0,1118.0,1156.0,1192.0,1226.0,1269.0,1298.0,1323.0,1354.0,1378.0,1419.0,1456.0,1486.0,1520.0,1549.0,1583.0,1610.0,1636.0,1670.0,1695.0,1736.0,1766.0,1798.0,1823.0,1853.0,1876.0,1916.0,1955.0,1984.0,2018.0,2039.0,2069.0,2109.0,2139.0,2169.0,2196.0,2229.0,2259.0,2289.0,2318.0,2356.0,2389.0,2429.0,2455.0,2489.0,2515.0,2541.0,2573.0,2596.0,2617.0,2642.0,2670.0,2698.0,2722.0,2752.0,2817.0,2843.0,2868.0,2892.0,2956.0,2973.0,2992.0,3017.0,3034.0,3059.0,3079.0,3096.0,3121.0,3142.0,3162.0,3189.0,3351.0,3378.0,3411.0,3436.0,3456.0,3478.0,3497.0,3524.0,3547.0,3572.0,3589.0,3614.0,3631.0,3655.0,3674.0,3699.0,3720.0,3770.0,3802.0,3822.0,3837.0,3855.0,3876.0,3899.0,3955.0,3975.0,3992.0,4009.0,4027.0,4041.0,4067.0,4078.0,4104.0,4133.0,4148.0,4196.0,4217.0,4231.0,4254.0,4266.0,4282.0,4300.0,4343.0,4363.0,4374.0,4391.0,4413.0,4429.0,4441.0,4462.0,4478.0,4494.0,4517.0,4548.0,4563.0,4585.0,4617.0,4635.0,4659.0,4687.0,4705.0,4723.0,4744.0,4768.0,4817.0,4832.0,4848.0,4869.0,4895.0,4917.0,4939.0,4963.0,4986.0,5002.0,5025.0,5039.0,5057.0,5073.0,5095.0,5119.0,5136.0,5285.0,5302.0,5324.0,5353.0,5376.0,5400.0,5416.0,5439.0,5458.0,5480.0,5500.0,5517.0,5530.0,5547.0,5563.0,5578.0,5595.0,5620.0,5640.0,5665.0,5681.0,5704.0,5722.0,5741.0,5761.0,5778.0,5779.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
