,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181
Episode,0.0,1.0,6.0,11.0,16.0,21.0,26.0,31.0,36.0,41.0,46.0,51.0,56.0,61.0,66.0,71.0,76.0,81.0,86.0,91.0,96.0,101.0,106.0,111.0,116.0,121.0,126.0,131.0,136.0,141.0,146.0,151.0,156.0,161.0,166.0,171.0,176.0,181.0,186.0,191.0,196.0,201.0,206.0,211.0,216.0,221.0,226.0,231.0,236.0,241.0,246.0,251.0,256.0,261.0,266.0,271.0,276.0,281.0,286.0,291.0,296.0,301.0,306.0,311.0,316.0,321.0,326.0,331.0,336.0,341.0,346.0,351.0,356.0,361.0,366.0,371.0,376.0,381.0,386.0,391.0,396.0,401.0,406.0,411.0,416.0,421.0,426.0,431.0,436.0,441.0,446.0,451.0,456.0,461.0,466.0,471.0,476.0,481.0,486.0,491.0,496.0,501.0,506.0,511.0,516.0,521.0,526.0,531.0,536.0,541.0,546.0,551.0,556.0,561.0,566.0,571.0,576.0,581.0,586.0,591.0,596.0,601.0,606.0,611.0,616.0,621.0,626.0,631.0,636.0,641.0,646.0,651.0,656.0,661.0,666.0,671.0,676.0,681.0,686.0,691.0,696.0,701.0,706.0,711.0,716.0,721.0,726.0,731.0,736.0,741.0,746.0,751.0,756.0,761.0,766.0,771.0,776.0,781.0,786.0,791.0,796.0,801.0,806.0,811.0,816.0,821.0,826.0,831.0,836.0,841.0,846.0,851.0,856.0,861.0,866.0,871.0,876.0,881.0,886.0,891.0,896.0,901.0
Accumulated time steps,0.0,501.0,951.0,1279.0,2026.0,2332.0,2635.0,2965.0,3290.0,3602.0,3892.0,4276.0,4850.0,5138.0,5471.0,5794.0,6105.0,6413.0,6838.0,7138.0,7452.0,7737.0,8040.0,8415.0,8768.0,9139.0,9489.0,9795.0,10110.0,10411.0,10738.0,11051.0,11410.0,11817.0,12176.0,12472.0,12797.0,13109.0,13414.0,13718.0,14069.0,14433.0,14730.0,15088.0,15387.0,15762.0,16113.0,16471.0,16773.0,17076.0,17623.0,17925.0,18229.0,18516.0,18999.0,19312.0,19610.0,19949.0,20246.0,20568.0,20925.0,21227.0,21525.0,21802.0,22107.0,22389.0,22729.0,23031.0,23316.0,23617.0,23964.0,24312.0,24632.0,24936.0,25247.0,25546.0,25991.0,26295.0,26601.0,26911.0,27316.0,27619.0,27910.0,28193.0,28499.0,28801.0,29216.0,29505.0,29796.0,30091.0,30383.0,30678.0,30979.0,31277.0,31671.0,31965.0,32251.0,32560.0,32857.0,33156.0,33439.0,33739.0,34019.0,34316.0,34596.0,35112.0,35418.0,35721.0,36061.0,36355.0,36764.0,37055.0,37357.0,37658.0,37953.0,38306.0,38599.0,38902.0,39252.0,39542.0,39821.0,40101.0,40395.0,40696.0,40998.0,41283.0,41578.0,42290.0,42587.0,42879.0,43165.0,43583.0,43867.0,44167.0,44452.0,44812.0,45104.0,45420.0,46158.0,46440.0,46753.0,47061.0,47428.0,47722.0,48023.0,48322.0,48626.0,49155.0,49448.0,49750.0,50047.0,50378.0,50666.0,50968.0,51248.0,51563.0,51868.0,52182.0,52469.0,53075.0,53369.0,53659.0,53941.0,54249.0,54537.0,55023.0,55365.0,55693.0,55988.0,56276.0,56620.0,56927.0,57273.0,57571.0,57876.0,58169.0,58452.0,58747.0,59141.0,59725.0,60004.0,60292.0
Episode reward,0.0,477.0437152546525,193.50601279710068,169.78722594527932,1360.3311500660977,135.45803014429532,200.38962020568732,202.13162846374368,175.91900234592845,180.86802848041776,128.04741006148672,165.6932436350199,141.61931912737333,178.56979604530486,134.966439126573,185.82754542193246,181.31260536624936,178.09391855364876,169.4117890263587,166.23213996647618,199.56093331703966,172.05562865889988,190.69510291154018,175.4390463687515,325.4122988918662,180.9451646724514,178.9698651654176,198.25280981138565,179.70854693702236,143.8198549736161,179.15369730991938,202.83247845364255,167.75228095103623,202.99657455613345,142.84947171443142,124.06085951918138,186.4063279489857,191.79690542403364,165.1966135421731,168.69756568676834,124.21247001646661,312.6048567072643,135.99414431305786,129.2012139629211,153.3173738645206,185.6680874052133,175.36289319153352,166.93647479926364,162.95072352528885,153.18558087409824,185.6518531198338,142.40692188269233,189.86747986154282,138.51286151849814,171.65563010603128,166.97228247475985,134.56355968539424,138.28264406084222,146.03341418247763,191.9071767122751,134.55370098035888,184.76039227169022,183.67124167778388,134.23599063987373,173.2189292098975,161.38090411844584,189.76507659146944,192.43579577192298,129.8949241443627,124.19427803726363,172.98533073988702,164.46334986264785,191.6160570991633,173.76727395576253,177.33823289354112,125.53275232383837,153.24851010800228,129.76540331356637,197.00163597638016,190.23127135729663,128.0502431472136,174.95355073805445,196.4038915620122,141.38729063028305,194.80799659724832,125.39579936580552,128.4019811749244,127.65590007455422,146.80912274172368,131.2701489988845,164.43622603487125,174.09235809030187,146.8318192232439,180.43950687880817,133.79692685049758,154.12692174790425,130.07264129042713,192.99498120055705,163.9335518011554,181.19282446957294,174.2502919637431,190.2848038708851,129.7241283695195,192.51124721476046,167.91255161769996,118.36023481978435,179.55973143559868,174.34076752883323,152.8165465618544,136.6523125612881,192.41800186913804,144.33150148539414,179.65298647961802,181.83756479722132,195.0694534418976,386.69669752472544,175.06069358880342,167.5472672053752,319.9497387082607,139.65327898978364,162.54042921015332,175.69513127638885,118.2660799223145,184.31268137911258,193.2750535015519,119.86429261464156,186.85465470223212,128.7094658510175,124.00847756772839,166.47211350274404,135.08196273019735,157.88221612931173,166.44567713541423,168.92462808787525,134.06552968367947,129.86599475466647,134.3657290607274,219.60872398704313,171.01221050676926,132.46596662935454,191.9766391135148,161.5799347808493,185.33148478630642,170.09746909400354,192.41622680616737,183.64389162891135,143.574976211104,1452.5940886693713,127.4326195421395,184.22374483029614,162.69148432904632,183.21657017941422,165.88983627167747,166.59464796993242,122.62901874332704,185.0838973781777,174.21640249218265,187.01914784534847,143.7675747423181,191.22938236062924,159.9881780502757,132.65944766543765,171.7282540263548,185.5165364240011,130.44827019214114,168.12345792797538,134.9963883515687,136.75261331576698,167.0226080419246,188.25802334372756,173.65217712619636,160.54714000485595,363.6533894483502,157.83102534165974,140.15460668853098,143.18762470701918,165.7807690477614,194.9696971279132,172.18221501054362,186.87594414978594,185.70042257335606,173.1358199235927
Episode feedback,0.8,0.815999998368,0.6285714195918369,0.6901408353501292,0.6883561620261776,0.6610169379488655,0.5571428491836736,0.7066666572444446,0.6617646961505192,0.5937499907226564,0.6296296179698219,0.6190476092214665,0.6885245788766463,0.499999991935484,0.5964912176054172,0.553846145325444,0.5156249919433595,0.6307692210650889,0.6774193439125913,0.499999991935484,0.6029411676038063,0.4999999916666668,0.5624999912109376,0.58730157797934,0.7203389769462799,0.6874999892578127,0.6451612799167535,0.523076915029586,0.522388051904656,0.7096774079084289,0.47619046863189735,0.5142857069387756,0.5245901553345876,0.7246376706574251,0.41666665972222233,0.4615384526627221,0.5606060521120295,0.453124992919922,0.5166666580555557,0.6271186334386673,0.5283018768244929,0.6850393646847295,0.6964285589923472,0.5087719208987382,0.578124990966797,0.523809515495087,0.6290322479188347,0.5593220244182708,0.6206896444708683,0.4999999913793105,0.44615383928994096,0.5689655074316292,0.4062499936523439,0.5614034989227457,0.4482758543400715,0.5737704823972052,0.5254237199080726,0.4561403428747308,0.2833333286111112,0.42424241781450883,0.42105262419205924,0.44615383928994096,0.6031745936004033,0.4545454462809919,0.34426228943832315,0.5172413703923902,0.4920634842529606,0.3787878730486686,0.47169810430758297,0.48148147256515794,0.38333332694444455,0.4482758543400715,0.46153845443786995,0.5666666572222224,0.39344261650094076,0.4074073998628259,0.4999999907407409,0.46296295438957497,0.33846153325443795,0.49999999242424253,0.33333332716049396,0.33870967195629564,0.40298506861216316,0.38888888168724295,0.4848484775022958,0.4074073998628259,0.42592591803840896,0.3636363570247935,0.360655731792529,0.38888888168724295,0.28070174946137283,0.5245901553345876,0.3389830451019823,0.29508196237570555,0.3999999927272729,0.34545453917355384,0.415094331790673,0.31249999511718757,0.4576271108876761,0.43749999316406263,0.633333322777778,0.39705881769031154,0.44444443621399193,0.4062499936523439,0.28813558833668496,0.37254901230296056,0.27419354396462026,0.4918032706261759,0.3965517173008325,0.3999999927272729,0.38095237490551787,0.4237288063774779,0.4838709599375652,0.4687499926757814,0.43076922414201196,0.5199999948,0.44444443738977085,0.4482758543400715,0.43478260491493387,0.3749999933035716,0.3859649055093876,0.3770491741467349,0.31999999360000014,0.43548386394380867,0.44615383928994096,0.35999999280000017,0.30158729680020163,0.4727272641322316,0.3529411695501732,0.2982456088027086,0.4642857059948981,0.29310344322235443,0.38983050186727963,0.4237288063774779,0.2363636320661158,0.3207547109291564,0.4074073998628259,0.3255813915630071,0.41935483194588985,0.3571428507653063,0.3787878730486686,0.3749999933035716,0.35483870395421446,0.47457626314277523,0.4603174530108341,0.27419354396462026,0.3559321973570814,0.40955631259537095,0.3846153772189351,0.3650793592844546,0.3965517173008325,0.3709677359521333,0.36206895927467314,0.3499999941666668,0.23999999520000012,0.38095237490551787,0.4999999916666668,0.44444443738977085,0.3793103382877528,0.44444443738977085,0.20689654815695607,0.2909090856198348,0.22033897931628849,0.384615378698225,0.2884615329142013,0.3770491741467349,0.3999999927272729,0.2678571380739797,0.38333332694444455,0.3333333280423281,0.39999999333333347,0.3684210461680518,0.47787610196569824,0.19642856792091845,0.4642857059948981,0.26315789012003704,0.26315789012003704,0.3437499946289064,0.16949152255099115,0.3968253905265811,0.38709676795005216,0.3278688470841173
total seconds,0.0,19.949079513549805,39.72918200492859,51.959089040756226,77.59440994262695,89.35941195487976,101.26914238929749,112.79054188728333,126.01055645942688,137.34354877471924,149.60949659347534,162.009516954422,181.8585503101349,191.57723736763,204.26275992393494,216.75283908843994,227.58793878555298,239.89930295944214,256.7272000312805,266.803968667984,277.0854699611664,286.3219165802002,296.6569516658783,310.27652072906494,322.5430190563202,335.44152879714966,348.5567011833191,360.77951526641846,371.57528257369995,382.9089148044586,393.89424896240234,404.56974148750305,418.2708818912506,431.41504287719727,444.0156011581421,453.81899213790894,464.932333946228,473.8618905544281,483.47415137290955,494.8882722854614,506.944167137146,518.374986410141,528.4914484024048,539.0677723884583,548.4793338775635,560.3436427116394,573.3345813751221,584.3759152889252,593.5810890197754,602.9415698051453,619.5697090625763,629.8241987228394,638.1744513511658,647.3981153964996,663.9306745529175,673.0283226966858,682.882491350174,694.2147493362427,703.645828962326,713.5122511386871,723.4456660747528,732.5696110725403,742.5449883937836,751.4465820789337,760.499835729599,769.0407474040985,780.7621047496796,789.4145226478577,798.0920698642731,806.510288476944,816.939736366272,826.456221818924,835.2806375026703,844.8413126468658,854.1541376113892,863.0288555622101,875.9323451519012,884.4511206150055,892.8258879184723,902.4020619392395,913.3661639690399,921.6183881759644,932.998788356781,941.3414032459259,949.4152574539185,956.7417893409729,968.5545938014984,976.6257557868958,984.6977531909943,991.9242751598358,999.3340854644775,1006.723494052887,1017.3972663879395,1027.3485169410706,1038.0627036094666,1045.4539387226105,1053.4607384204865,1062.0471589565277,1070.3416423797607,1078.66428232193,1087.2213141918182,1095.1337597370148,1102.2340066432953,1110.2103381156921,1118.0100343227386,1132.83309841156,1141.7187764644623,1149.4085783958435,1159.8882582187653,1167.5031366348267,1179.3591396808624,1186.362812280655,1195.1485908031464,1202.163183927536,1208.7131984233856,1218.6098971366882,1227.4671883583069,1236.1086761951447,1244.7565751075745,1252.9030230045319,1260.464904308319,1269.0253422260284,1276.178694486618,1283.7396667003632,1291.8523070812225,1300.2326560020447,1307.6285545825958,1325.8912813663483,1336.7857475280762,1344.9463007450104,1352.925701379776,1364.2883050441742,1372.100709438324,1380.0064380168915,1386.93865609169,1395.5025098323822,1404.281434059143,1411.592423915863,1430.2642629146576,1436.6863777637482,1443.6539475917816,1452.6234073638916,1461.799459695816,1468.9419825077057,1476.5961830615997,1483.6617953777313,1491.106368780136,1503.8830637931824,1511.2566697597504,1521.6004765033722,1531.3209519386292,1540.3209381103516,1548.1605536937714,1556.3642716407776,1563.2924497127533,1570.177163362503,1579.0443758964539,1587.013451576233,1594.8521716594696,1609.8863723278046,1616.4509868621826,1623.4745016098022,1630.4801106452942,1637.7697875499725,1644.1902997493744,1656.4185914993286,1663.5104866027832,1671.444790840149,1678.3841898441315,1685.3157939910889,1693.4108390808105,1701.4590861797333,1710.1547825336456,1719.3606641292572,1727.5413205623627,1733.5569245815277,1740.7171194553375,1747.4672389030457,1757.8599762916565,1771.723257303238,1779.560846567154,1787.0899503231049
total minutes,0.0,0.3324846585591634,0.6621530334154765,0.8659848173459371,1.2932401657104493,1.4893235325813294,1.6878190398216248,1.8798423647880553,2.100175940990448,2.2890591462453207,2.493491609891256,2.7001586159070334,3.0309758385022483,3.192953956127167,3.404379332065582,3.6125473181406655,3.7931323130925496,3.9983217159907025,4.278786667188009,4.446732811133066,4.61809116601944,4.772031943003337,4.9442825277646385,5.171275345484416,5.375716984272003,5.590692146619161,5.809278353055318,6.012991921106974,6.192921376228332,6.3818152467409766,6.564904149373373,6.7428290247917175,6.971181364854177,7.190250714619954,7.400260019302368,7.563649868965149,7.748872232437134,7.897698175907135,8.057902522881825,8.248137871424357,8.449069452285766,8.639583106835683,8.808190806706746,8.984462873140972,9.141322231292724,9.339060711860657,9.555576356252034,9.739598588148754,9.89301815032959,10.049026163419088,10.326161817709606,10.49706997871399,10.636240855852764,10.78996858994166,11.065511242548626,11.21713871161143,11.381374855836233,11.570245822270712,11.727430482705435,11.891870852311452,12.057427767912547,12.209493517875671,12.375749806563059,12.524109701315561,12.674997262159984,12.817345790068309,13.012701745827993,13.156908710797628,13.301534497737885,13.4418381412824,13.6156622727712,13.774270363648732,13.921343958377838,14.08068854411443,14.235902293523152,14.383814259370167,14.598872419198354,14.74085201025009,14.880431465307872,15.040034365653991,15.222769399484,15.360306469599406,15.54997980594635,15.689023387432098,15.823587624231974,15.945696489016216,16.142576563358308,16.277095929781595,16.411629219849903,16.53207125266393,16.655568091074624,16.77872490088145,16.956621106465658,17.122475282351175,17.301045060157776,17.424232312043507,17.557678973674776,17.700785982608796,17.83902737299601,17.97773803869883,18.120355236530305,18.252229328950246,18.370566777388255,18.503505635261536,18.633500572045644,18.880551640192667,19.028646274407706,19.156809639930724,19.331470970312754,19.458385610580443,19.655985661347707,19.772713538010915,19.91914318005244,20.036053065458933,20.145219973723094,20.310164952278136,20.45778647263845,20.60181126991908,20.745942918459573,20.88171705007553,21.007748405138653,21.15042237043381,21.2696449081103,21.39566111167272,21.530871784687044,21.670544266700745,21.793809243043263,22.098188022772472,22.27976245880127,22.415771679083505,22.548761689662932,22.738138417402904,22.8683451573054,23.000107300281524,23.115644268194835,23.258375163873037,23.404690567652384,23.526540398597717,23.837737715244295,23.944772962729136,24.060899126529694,24.21039012273153,24.3633243282636,24.48236637512843,24.609936384359994,24.727696589628856,24.851772813002267,25.06471772988637,25.187611162662506,25.36000794172287,25.52201586564382,25.672015635172524,25.80267589489619,25.939404527346294,26.054874161879223,26.16961938937505,26.317406264940896,26.450224192937217,26.58086952765783,26.831439538796744,26.940849781036377,27.05790836016337,27.174668510754902,27.296163125832877,27.403171662489573,27.60697652498881,27.725174776713054,27.85741318066915,27.973069830735525,28.08859656651815,28.223513984680174,28.357651436328887,28.502579708894093,28.656011068820952,28.792355342706045,28.89261540969213,29.01195199092229,29.124453981717426,29.297666271527607,29.528720955053966,29.659347442785897,29.78483250538508
cummulative feedback,0.0,408.0,452.0,501.0,702.0,741.0,780.0,833.0,878.0,916.0,950.0,989.0,1031.0,1062.0,1096.0,1132.0,1165.0,1206.0,1248.0,1279.0,1320.0,1350.0,1386.0,1423.0,1508.0,1552.0,1592.0,1626.0,1661.0,1705.0,1735.0,1771.0,1803.0,1853.0,1878.0,1902.0,1939.0,1968.0,1999.0,2036.0,2064.0,2151.0,2190.0,2219.0,2256.0,2289.0,2328.0,2361.0,2397.0,2426.0,2455.0,2488.0,2514.0,2546.0,2572.0,2607.0,2638.0,2664.0,2681.0,2709.0,2733.0,2762.0,2800.0,2825.0,2846.0,2876.0,2907.0,2932.0,2957.0,2983.0,3006.0,3032.0,3062.0,3096.0,3120.0,3142.0,3169.0,3194.0,3216.0,3249.0,3267.0,3288.0,3315.0,3336.0,3368.0,3390.0,3413.0,3433.0,3455.0,3476.0,3492.0,3524.0,3544.0,3562.0,3584.0,3603.0,3625.0,3645.0,3672.0,3700.0,3738.0,3765.0,3789.0,3815.0,3832.0,3851.0,3868.0,3898.0,3921.0,3943.0,3967.0,3992.0,4022.0,4052.0,4080.0,4132.0,4160.0,4186.0,4236.0,4257.0,4279.0,4302.0,4318.0,4345.0,4374.0,4392.0,4411.0,4437.0,4455.0,4472.0,4498.0,4515.0,4538.0,4563.0,4576.0,4593.0,4615.0,4643.0,4669.0,4689.0,4714.0,4735.0,4757.0,4785.0,4814.0,4831.0,4852.0,4972.0,4992.0,5015.0,5038.0,5061.0,5082.0,5103.0,5115.0,5139.0,5169.0,5197.0,5219.0,5247.0,5259.0,5275.0,5288.0,5313.0,5328.0,5351.0,5373.0,5388.0,5411.0,5432.0,5456.0,5477.0,5531.0,5542.0,5568.0,5583.0,5598.0,5620.0,5630.0,5655.0,5679.0,5699.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
