,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192
Episode,0.0,1.0,6.0,11.0,16.0,21.0,26.0,31.0,36.0,41.0,46.0,51.0,56.0,61.0,66.0,71.0,76.0,81.0,86.0,91.0,96.0,101.0,106.0,111.0,116.0,121.0,126.0,131.0,136.0,141.0,146.0,151.0,156.0,161.0,166.0,171.0,176.0,181.0,186.0,191.0,196.0,201.0,206.0,211.0,216.0,221.0,226.0,231.0,236.0,241.0,246.0,251.0,256.0,261.0,266.0,271.0,276.0,281.0,286.0,291.0,296.0,301.0,306.0,311.0,316.0,321.0,326.0,331.0,336.0,341.0,346.0,351.0,356.0,361.0,366.0,371.0,376.0,381.0,386.0,391.0,396.0,401.0,406.0,411.0,416.0,421.0,426.0,431.0,436.0,441.0,446.0,451.0,456.0,461.0,466.0,471.0,476.0,481.0,486.0,491.0,496.0,501.0,506.0,511.0,516.0,521.0,526.0,531.0,536.0,541.0,546.0,551.0,556.0,561.0,566.0,571.0,576.0,581.0,586.0,591.0,596.0,601.0,606.0,611.0,616.0,621.0,626.0,631.0,636.0,641.0,646.0,651.0,656.0,661.0,666.0,671.0,676.0,681.0,686.0,691.0,696.0,701.0,706.0,711.0,716.0,721.0,726.0,731.0,736.0,741.0,746.0,751.0,756.0,761.0,766.0,771.0,776.0,781.0,786.0,791.0,796.0,801.0,806.0,811.0,816.0,821.0,826.0,831.0,836.0,841.0,846.0,851.0,856.0,861.0,866.0,871.0,876.0,881.0,886.0,891.0,896.0,901.0,906.0,911.0,916.0,921.0,926.0,931.0,936.0,941.0,946.0,951.0,956.0
Accumulated time steps,0.0,501.0,1112.0,1744.0,2110.0,2489.0,2866.0,3220.0,3543.0,3898.0,4210.0,4694.0,5013.0,5320.0,5607.0,5958.0,6315.0,6621.0,7376.0,7915.0,8224.0,8517.0,8796.0,9079.0,9362.0,9657.0,9958.0,10255.0,10547.0,10849.0,11146.0,11454.0,11755.0,12056.0,12352.0,12652.0,12940.0,13238.0,13522.0,13818.0,14121.0,14408.0,14700.0,15022.0,15310.0,15600.0,15893.0,16172.0,16451.0,16740.0,17020.0,17742.0,18050.0,18321.0,18613.0,18887.0,19174.0,19449.0,19747.0,20034.0,20324.0,20602.0,20897.0,21189.0,21486.0,21759.0,22059.0,22341.0,22638.0,22935.0,23224.0,23511.0,23803.0,24097.0,24388.0,24677.0,25048.0,25336.0,25618.0,25905.0,26180.0,26462.0,26760.0,27046.0,27345.0,27638.0,27928.0,28227.0,28507.0,28792.0,29094.0,29364.0,29657.0,29937.0,30223.0,30525.0,30823.0,31111.0,31411.0,31710.0,31989.0,32277.0,32562.0,32848.0,33124.0,33402.0,33676.0,33970.0,34265.0,34616.0,34882.0,35172.0,35458.0,35743.0,36083.0,36376.0,36669.0,36947.0,37235.0,37545.0,37834.0,38110.0,38550.0,38832.0,39442.0,39754.0,40092.0,40393.0,40703.0,40994.0,41285.0,41581.0,41886.0,42184.0,42484.0,42772.0,43067.0,43454.0,43755.0,44054.0,44342.0,44645.0,44926.0,45224.0,45526.0,45810.0,46092.0,46449.0,46733.0,47027.0,47315.0,47615.0,47896.0,48185.0,48499.0,48847.0,49150.0,49513.0,49803.0,50104.0,50391.0,50677.0,50971.0,51267.0,51553.0,51830.0,52115.0,52395.0,52681.0,52968.0,53258.0,53558.0,53841.0,54132.0,54413.0,54699.0,54989.0,55278.0,55581.0,55862.0,56140.0,56433.0,56710.0,57010.0,57308.0,57608.0,58463.0,58778.0,59080.0,59367.0,59680.0,59980.0,60260.0
Episode reward,0.0,1079.5270810446445,858.9002270530771,294.5406071939369,212.80360378671628,197.2139491020453,160.07929150539553,168.23205316233344,173.6971759027351,183.94327193470716,138.23511324550265,200.33748791874447,138.53065236909322,141.2520188417284,167.21090919339633,160.66524536200438,187.24782011097534,182.7371550064595,166.7099998127943,155.3470990508887,205.62659882461958,132.77755534722831,122.37602428677387,163.26521245377398,118.6652059700503,178.4422985647704,177.08392670210003,177.26817607971694,136.07939170195954,179.78885326418902,147.50846519583064,174.40792202981083,183.29323241785403,162.52171332516147,167.60485078056004,170.87002448406994,165.3971338903956,159.1718934576054,125.19225002513367,164.8763729663517,171.4222061196954,131.761880494075,137.63234124567524,338.5313766456845,112.14525809458411,140.1972004035792,126.43741984086603,126.37262437469303,125.00422181049738,183.6101633304221,159.64618134925357,1541.9274317850113,165.08149837128678,126.71919928541506,187.1060042096795,138.6753732080462,174.5300600775775,159.9080436093446,190.4544295062242,159.62015122892038,159.40665613942318,186.35637006488943,184.87926747728432,149.50853340161353,158.39118894323602,117.32859680920208,122.6333851449481,171.97774461735008,175.89419727004696,123.1793157691534,173.67112169778724,165.14732158207985,168.33584872939366,161.39045916336974,167.30473713041545,177.10186675214015,190.3578957872622,133.63164353780957,134.71881310622993,126.5256675537304,117.53320546700668,140.67689535522555,189.91360549975434,128.2887524383714,190.6075355054412,176.6148303788406,167.0934586934633,161.89921725378113,177.61749821848295,135.76519809707887,169.52198302075254,138.1516137574425,181.904087895046,156.9556305409386,161.7054183794808,169.77181487774195,165.21790931700488,160.90925328197818,172.65953648966044,191.88252515806386,155.00993303474266,165.8810351039366,155.18091948142376,167.63679334487983,186.71085715602754,162.00763966324797,117.17270260037888,163.78016799348424,171.16951979097428,148.30628454216782,155.43586264858726,178.016455408383,177.8609289338644,125.58184377743675,120.14855565921616,159.94726372322762,182.7536623902435,184.71707242035632,131.14020086755247,164.78414554649964,173.4387671065752,153.87850527964088,184.26300254691503,120.55963064395016,165.9874198339408,179.88015515959847,168.16370738977832,198.9185820736789,169.01662850923282,156.10600220079866,181.70833456574871,115.8409316296115,179.38292311759295,179.69251106606663,142.6826892998855,158.54904923257823,156.3679524332333,387.7985460074282,187.81902713030368,167.6881788024667,159.79631248349554,192.40140577334603,143.9478904798997,137.62384586427115,166.2451654226333,112.85245169662602,159.0773111415492,117.70348119328382,162.6457038722526,134.66346883650354,176.55878177735016,170.82914655531724,168.6571070479571,156.81733697013993,117.17293846155714,397.40365271332433,122.9045505748734,189.67404222615235,183.5297059055895,178.59767202319514,159.23584200206315,165.05310897579912,184.8191062216997,171.88708875691472,128.89488749411044,132.88255377144776,170.29199931796728,135.98243780117832,167.98157872151074,178.04733337083337,175.11184144410532,137.65958558002268,143.64587461217022,176.99720805748447,134.21250359716748,162.40282028756332,129.1071938572982,120.92283461844819,212.23916358192554,169.11249648688013,175.59834813985793,149.82284791134367,127.33026451956155,177.5235687680866,160.10103063434883,172.9568644445,291.51950217477133,220.8151141976506,193.00776659562516,131.6629914694867,174.42442113284065,183.4249847803384,168.692481501741
Episode feedback,0.8,0.783999998432,0.7226562471771241,0.7482993146374196,0.734177205896491,0.6578947281855957,0.6486486398831265,0.584615375621302,0.4603174530108341,0.49230768473372793,0.41379309631391215,0.7183098490378895,0.6101694811835682,0.6551724024970276,0.47619046863189735,0.38333332694444455,0.453124992919922,0.49999999218750013,0.4915254153978743,0.624999988839286,0.7611940184896415,0.44444443621399193,0.5686274398308345,0.6140350769467531,0.4399999912000002,0.4918032706261759,0.5833333236111113,0.47540982827197004,0.33333332748538025,0.41269840614764436,0.4576271108876761,0.41666665972222233,0.29032257596253913,0.47368420221606666,0.3389830451019823,0.29508196237570555,0.2833333286111112,0.43859648353339503,0.43396225596297633,0.4237288063774779,0.2711864360815858,0.3999999927272729,0.3571428507653063,0.564814809585048,0.45098038331411017,0.3559321973570814,0.6415094218583128,0.3999999927272729,0.4074073998628259,0.26984126555807514,0.32142856568877565,0.647999998704,0.593220328928469,0.618181806942149,0.41269840614764436,0.44642856345663284,0.38333332694444455,0.3684210461680518,0.384615378698225,0.35087718682671604,0.49122806155740245,0.3333333280423281,0.34920634366339137,0.31481480898491093,0.33333332748538025,0.4999999900000002,0.43137254056132274,0.4576271108876761,0.3278688470841173,0.43396225596297633,0.316666661388889,0.3275862012485138,0.41379309631391215,0.29310344322235443,0.29310344322235443,0.21311475060467622,0.4687499926757814,0.3999999927272729,0.41818181057851256,0.44444443621399193,0.3529411695501732,0.43859648353339503,0.3968253905265811,0.33962263510145974,0.3437499946289064,0.2786885200214997,0.21666666305555562,0.3684210461680518,0.29032257596253913,0.4107142783801022,0.18644067480609028,0.42857142091836753,0.3174603124212649,0.42105262419205924,0.3157894681440444,0.3050847405917841,0.25423728382648675,0.22413792717003575,0.25423728382648675,0.3333333280423281,0.19642856792091845,0.10344827407847804,0.2363636320661158,0.2758620642092748,0.22580644797086374,0.30357142315051033,0.3877550941274471,0.22413792717003575,0.34482758026159344,0.3090909034710745,0.40350876485072346,0.26984126555807514,0.29032257596253913,0.46296295438957497,0.37254901230296056,0.33333332748538025,0.30645160796045795,0.32258063995837677,0.4727272641322316,0.41379309631391215,0.23728813157138762,0.2727272677685951,0.14516128798126957,0.39215685505574793,0.2982456088027086,0.29032257596253913,0.43333332611111125,0.3787878730486686,0.3389830451019823,0.3571428507653063,0.32258063995837677,0.33999999320000013,0.25806451196670144,0.24590163531308795,0.285714280612245,0.23214285299744905,0.3749999933035716,0.45695363935792294,0.2812499956054688,0.27419354396462026,0.2982456088027086,0.523076915029586,0.35185184533607694,0.24561403077870123,0.2586206851961951,0.4285714198250731,0.30357142315051033,0.3653846083579883,0.26315789012003704,0.2363636320661158,0.34426228943832315,0.32258063995837677,0.2711864360815858,0.18181817851239676,0.3137254840445984,0.4496123996154078,0.5849056493414029,0.44615383928994096,0.2419354799687826,0.21311475060467622,0.3275862012485138,0.23333332944444451,0.384615378698225,0.2622950776672938,0.37037036351166,0.21818181421487612,0.20338982706118938,0.21428571045918376,0.32203389284688316,0.32258063995837677,0.22950819295888208,0.2678571380739797,0.2280701714373654,0.23809523431594867,0.33928570822704096,0.20338982706118938,0.25454544991735545,0.2692307640532545,0.35820894987747837,0.2666666622222223,0.360655731792529,0.3275862012485138,0.24074073628257897,0.27419354396462026,0.1896551691438764,0.28813558833668496,0.4210526278855033,0.4166666608796297,0.30769230295857997,0.29629629080932796,0.39344261650094076,0.3114754047299114,0.2666666622222223
total seconds,0.0,18.549569606781006,42.56435585021973,64.83601689338684,79.06473088264465,93.47398495674133,109.30066156387329,121.6152594089508,132.17381596565247,143.77648258209229,155.67735028266907,173.65787482261658,185.1983723640442,196.59531474113464,206.4329330921173,219.90790247917175,231.15703415870667,242.41898250579834,268.69836688041687,288.480101108551,299.6312906742096,308.6998064517975,317.63240218162537,325.6706473827362,334.36154294013977,342.3036677837372,351.09970688819885,359.3511836528778,367.09854340553284,375.40192890167236,384.1997663974762,392.4467930793762,399.3552601337433,407.2255802154541,415.5377833843231,423.4224441051483,430.6992938518524,440.5505065917969,448.01410150527954,455.0941479206085,463.9284656047821,471.3103926181793,480.5160963535309,489.4393148422241,499.37024998664856,506.92176127433777,515.4785685539246,521.8281903266907,529.0337994098663,537.1032981872559,544.2905848026276,568.9078452587128,581.1236252784729,589.364369392395,597.3429179191589,605.3229212760925,613.7183048725128,620.2369849681854,627.6066138744354,635.8137657642365,644.37131690979,651.6075437068939,659.5485084056854,667.3071649074554,675.2404096126556,682.4482879638672,691.4311447143555,698.6968576908112,707.7931745052338,715.0901622772217,722.5004682540894,730.3163664340973,737.3811836242676,744.169046163559,751.4890356063843,758.8793909549713,769.0170984268188,778.6546137332916,785.7020568847656,794.5202369689941,801.5904221534729,807.5792679786682,814.3228931427002,821.5016438961029,828.5688235759735,835.9191753864288,842.0558319091797,848.9352443218231,855.9656264781952,863.5812120437622,871.0158357620239,878.1268179416656,886.0183064937592,892.1976866722107,899.0673494338989,906.7209935188293,912.5021023750305,918.9447417259216,924.9435596466064,932.2509829998016,937.9085102081299,944.1313984394073,950.3996284008026,956.7797157764435,962.997273683548,969.90016913414,976.4967248439789,982.6437246799469,989.2807426452637,998.9010508060455,1006.2399368286133,1012.0628035068512,1018.8510344028473,1025.2159216403961,1033.6172578334808,1041.9121448993683,1048.299748659134,1055.2961602210999,1062.8136413097382,1069.9077925682068,1076.2534475326538,1082.7666556835175,1093.4671585559845,1101.1376914978027,1117.8370542526245,1125.9003102779388,1134.9520680904388,1142.6688978672028,1151.0821254253387,1158.2766494750977,1165.2511014938354,1172.1110835075378,1178.3771226406097,1184.9296748638153,1192.0435609817505,1198.2887501716614,1204.5881390571594,1213.9511549472809,1221.9918460845947,1229.3468499183655,1235.8176927566528,1244.2574298381805,1250.5396819114685,1256.5452539920807,1263.807942390442,1270.791705608368,1276.837626695633,1285.9505858421326,1295.10018992424,1302.2394053936005,1308.4582176208496,1314.6030642986298,1321.0825934410095,1327.2022376060486,1335.0080342292786,1343.537701368332,1351.8384504318237,1359.9696476459503,1365.9055733680725,1373.44273853302,1380.651550769806,1387.2925543785095,1394.616018295288,1402.5888113975525,1409.667843580246,1415.9908180236816,1422.6658391952515,1428.4655964374542,1435.3643944263458,1441.9284915924072,1447.2095007896423,1453.0390326976776,1459.2619013786316,1465.6516695022583,1471.6481487751007,1478.5324971675873,1484.1172888278961,1490.3289828300476,1496.7532286643982,1504.4272589683533,1511.0060868263245,1517.4683673381805,1524.6255226135254,1530.8204431533813,1537.7403328418732,1543.723194360733,1566.1252372264862,1576.4645388126373,1583.9942848682404,1591.0114789009094,1598.5805397033691,1606.1297681331635,1612.4132761955261
total minutes,0.0,0.3091594934463501,0.7094059308369954,1.0806002815564473,1.3177455147107442,1.5578997492790223,1.8216776927312215,2.02692099014918,2.2028969327608743,2.396274709701538,2.5946225047111513,2.8942979137102762,3.0866395394007364,3.276588579018911,3.4405488848686216,3.665131707986196,3.8526172359784443,4.040316375096639,4.4783061146736145,4.808001685142517,4.99385484457016,5.144996774196625,5.293873369693756,5.427844123045603,5.572692382335663,5.705061129728953,5.851661781469981,5.98918639421463,6.11830905675888,6.256698815027873,6.403329439957937,6.540779884656271,6.6559210022290545,6.787093003590901,6.925629723072052,7.057040735085805,7.178321564197541,7.342508443196615,7.466901691754659,7.584902465343475,7.732141093413035,7.855173210302989,8.008601605892181,8.157321914037068,8.322837499777476,8.448696021238963,8.591309475898743,8.697136505444844,8.817229990164439,8.951721636454264,9.07150974671046,9.481797420978546,9.685393754641215,9.82273948987325,9.955715298652649,10.088715354601542,10.22863841454188,10.33728308280309,10.46011023124059,10.596896096070607,10.7395219484965,10.860125728448232,10.992475140094758,11.121786081790924,11.254006826877594,11.37413813273112,11.523852411905924,11.644947628180185,11.796552908420562,11.918169371287028,12.041674470901489,12.171939440568288,12.289686393737792,12.402817436059316,12.524817260106405,12.647989849249521,12.81695164044698,12.97757689555486,13.09503428141276,13.242003949483236,13.359840369224548,13.459654466311138,13.572048219045003,13.691694064935048,13.809480392932892,13.93198625644048,14.034263865152996,14.148920738697052,14.266093774636586,14.39302020072937,14.516930596033733,14.635446965694427,14.766971774895985,14.869961444536845,14.984455823898315,15.112016558647156,15.208368372917175,15.315745695432026,15.415725994110108,15.537516383330027,15.63180850346883,15.735523307323456,15.839993806680043,15.946328596274059,16.049954561392465,16.165002818902334,16.274945414066316,16.377395411332447,16.48801237742106,16.648350846767425,16.77066561381022,16.867713391780853,16.98085057338079,17.086932027339934,17.22695429722468,17.365202414989472,17.47166247765223,17.588269337018332,17.713560688495637,17.831796542803446,17.937557458877563,18.046110928058624,18.22445264259974,18.352294858296712,18.630617570877074,18.76500517129898,18.915867801507314,19.044481631120046,19.184702090422313,19.304610824584962,19.420851691563925,19.53518472512563,19.639618710676828,19.748827914396923,19.867392683029173,19.97147916952769,20.07646898428599,20.23251924912135,20.36653076807658,20.48911416530609,20.596961545944215,20.73762383063634,20.842328031857807,20.94242089986801,21.063465706507365,21.179861760139467,21.280627111593883,21.432509764035544,21.585003165404,21.70399008989334,21.807636960347494,21.910051071643828,22.018043224016825,22.120037293434144,22.25013390382131,22.39229502280553,22.530640840530396,22.666160794099174,22.765092889467876,22.890712308883668,23.010859179496766,23.12154257297516,23.24360030492147,23.376480189959207,23.494464059670765,23.59984696706136,23.711097319920857,23.807759940624237,23.922739907105765,24.03214152654012,24.12015834649404,24.21731721162796,24.32103168964386,24.42752782503764,24.52746914625168,24.642208286126454,24.7352881471316,24.838816380500795,24.945887144406637,25.073787649472553,25.18343478043874,25.291139455636344,25.41042537689209,25.513674052556357,25.629005547364553,25.728719906012216,26.1020872871081,26.274408980210623,26.399904747804005,26.516857981681824,26.643008995056153,26.768829468886057,26.873554603258768
cummulative feedback,0.0,392.0,577.0,687.0,745.0,795.0,843.0,881.0,910.0,942.0,966.0,1017.0,1053.0,1091.0,1121.0,1144.0,1173.0,1205.0,1234.0,1269.0,1320.0,1344.0,1373.0,1408.0,1430.0,1460.0,1495.0,1524.0,1543.0,1569.0,1596.0,1621.0,1639.0,1666.0,1686.0,1704.0,1721.0,1746.0,1769.0,1794.0,1810.0,1832.0,1852.0,1913.0,1936.0,1957.0,1991.0,2013.0,2035.0,2052.0,2070.0,2394.0,2429.0,2463.0,2489.0,2514.0,2537.0,2558.0,2583.0,2603.0,2631.0,2652.0,2674.0,2691.0,2710.0,2735.0,2757.0,2784.0,2804.0,2827.0,2846.0,2865.0,2889.0,2906.0,2923.0,2936.0,2966.0,2988.0,3011.0,3035.0,3053.0,3078.0,3103.0,3121.0,3143.0,3160.0,3173.0,3194.0,3212.0,3235.0,3246.0,3270.0,3290.0,3314.0,3332.0,3350.0,3365.0,3378.0,3393.0,3414.0,3425.0,3431.0,3444.0,3460.0,3474.0,3491.0,3510.0,3523.0,3543.0,3560.0,3583.0,3600.0,3618.0,3643.0,3662.0,3681.0,3700.0,3720.0,3746.0,3770.0,3784.0,3799.0,3808.0,3828.0,3845.0,3863.0,3889.0,3914.0,3934.0,3954.0,3974.0,3991.0,4007.0,4022.0,4038.0,4051.0,4072.0,4141.0,4159.0,4176.0,4193.0,4227.0,4246.0,4260.0,4275.0,4296.0,4313.0,4332.0,4347.0,4360.0,4381.0,4401.0,4417.0,4427.0,4443.0,4501.0,4532.0,4561.0,4576.0,4589.0,4608.0,4622.0,4647.0,4663.0,4683.0,4695.0,4707.0,4719.0,4738.0,4758.0,4772.0,4787.0,4800.0,4815.0,4834.0,4846.0,4860.0,4874.0,4898.0,4914.0,4936.0,4955.0,4968.0,4985.0,4996.0,5013.0,5061.0,5091.0,5111.0,5127.0,5151.0,5170.0,5186.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
