,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190
Episode,0.0,1.0,6.0,11.0,16.0,21.0,26.0,31.0,36.0,41.0,46.0,51.0,56.0,61.0,66.0,71.0,76.0,81.0,86.0,91.0,96.0,101.0,106.0,111.0,116.0,121.0,126.0,131.0,136.0,141.0,146.0,151.0,156.0,161.0,166.0,171.0,176.0,181.0,186.0,191.0,196.0,201.0,206.0,211.0,216.0,221.0,226.0,231.0,236.0,241.0,246.0,251.0,256.0,261.0,266.0,271.0,276.0,281.0,286.0,291.0,296.0,301.0,306.0,311.0,316.0,321.0,326.0,331.0,336.0,341.0,346.0,351.0,356.0,361.0,366.0,371.0,376.0,381.0,386.0,391.0,396.0,401.0,406.0,411.0,416.0,421.0,426.0,431.0,436.0,441.0,446.0,451.0,456.0,461.0,466.0,471.0,476.0,481.0,486.0,491.0,496.0,501.0,506.0,511.0,516.0,521.0,526.0,531.0,536.0,541.0,546.0,551.0,556.0,561.0,566.0,571.0,576.0,581.0,586.0,591.0,596.0,601.0,606.0,611.0,616.0,621.0,626.0,631.0,636.0,641.0,646.0,651.0,656.0,661.0,666.0,671.0,676.0,681.0,686.0,691.0,696.0,701.0,706.0,711.0,716.0,721.0,726.0,731.0,736.0,741.0,746.0,751.0,756.0,761.0,766.0,771.0,776.0,781.0,786.0,791.0,796.0,801.0,806.0,811.0,816.0,821.0,826.0,831.0,836.0,841.0,846.0,851.0,856.0,861.0,866.0,871.0,876.0,881.0,886.0,891.0,896.0,901.0,906.0,911.0,916.0,921.0,926.0,931.0,936.0,941.0,946.0
Accumulated time steps,0.0,501.0,907.0,1393.0,2003.0,2364.0,2730.0,3067.0,3713.0,4048.0,4350.0,4646.0,4941.0,5228.0,5535.0,5826.0,6132.0,6422.0,6728.0,7026.0,7326.0,7622.0,7926.0,8209.0,8490.0,8779.0,9076.0,9489.0,9766.0,10073.0,10373.0,11099.0,11529.0,11831.0,12452.0,13071.0,13368.0,13662.0,13970.0,14280.0,14549.0,14857.0,15141.0,15422.0,15708.0,15982.0,16275.0,16569.0,16850.0,17135.0,17430.0,17719.0,17995.0,18283.0,18578.0,18857.0,19154.0,19457.0,19755.0,20092.0,20393.0,20692.0,20990.0,21285.0,21573.0,21869.0,22163.0,22453.0,22795.0,23081.0,23362.0,23651.0,23955.0,24239.0,24508.0,24794.0,25081.0,25365.0,25656.0,25946.0,26253.0,26551.0,26828.0,27132.0,27414.0,27698.0,27989.0,28276.0,28553.0,28844.0,29132.0,29418.0,29715.0,30106.0,30397.0,30702.0,30992.0,31285.0,31581.0,31879.0,32167.0,32638.0,32941.0,33238.0,33533.0,33823.0,34094.0,34372.0,34660.0,34944.0,35232.0,35515.0,35806.0,36108.0,36586.0,36900.0,37184.0,37473.0,37763.0,38222.0,38505.0,38807.0,39093.0,39439.0,39724.0,40024.0,40378.0,40662.0,40949.0,41231.0,41523.0,41811.0,42103.0,42402.0,42686.0,42976.0,43263.0,43558.0,43857.0,44155.0,44443.0,44720.0,45157.0,45451.0,45739.0,46030.0,46318.0,46600.0,46900.0,47266.0,47555.0,48278.0,48557.0,48836.0,49192.0,49505.0,49797.0,50087.0,50369.0,50648.0,51008.0,51299.0,51594.0,51873.0,52151.0,52430.0,52765.0,53052.0,53352.0,53639.0,53925.0,54538.0,54838.0,55291.0,55590.0,55879.0,56174.0,56477.0,56778.0,57079.0,57390.0,57673.0,57974.0,58269.0,58560.0,58855.0,59154.0,59452.0,59734.0,60020.0,60501.0
Episode reward,0.0,402.0288011690447,189.9860408646325,192.10605027386777,187.1697507445607,228.28680249542657,163.78898386353418,165.81042978496066,177.28319282922675,193.18760562340813,132.30073288672364,132.95030434957815,170.68631704677392,154.95258395848623,166.3464408964617,158.95029882904942,135.57448240512588,164.8050380359943,196.49295733409494,176.5078737154283,168.61530880412198,139.76857236788217,161.15643014270933,137.5494659911294,119.1411798264487,126.53541318053831,148.3513021423552,160.66783169069132,150.94917120556974,127.68386873776129,188.15978011997856,1757.719457952631,179.81000667048804,167.7356718069918,123.41769967374961,171.61126410863835,179.45591422810713,177.64373495305765,170.56395091173982,180.13205789158525,129.027111801087,181.51545328295853,125.06035232724523,170.03406651167597,127.46201273643246,163.8141035608091,152.5964195652662,168.75896021339858,166.39982073193605,159.08519843054742,168.73343395115006,159.5679970085976,178.89111933094918,160.15582777834217,172.73162507343318,182.58252557305528,133.69281581273086,169.3764125922018,177.4967090370752,190.8682397229781,195.92614058890527,177.55644812386075,120.11914882470201,152.01003877186716,154.0493832838143,183.8477193299146,176.63720586888067,120.32023859159982,153.2869290135638,170.5891133396985,117.70194206841015,193.53939448622054,188.6687698901276,156.2197099310648,147.96255404322568,126.65770728201528,161.41892129637316,169.89017867337904,164.30124513268132,163.18860539489208,177.9486758386751,120.88200001927898,135.93739017786228,160.94057923899177,178.85001448109023,120.44991942939045,193.65604830343074,145.83603296476224,127.4847698190303,168.00793145036636,179.3392578321769,167.3792773835618,185.565781934094,122.26464980039557,168.34363531666207,192.81703073309671,123.47638558866181,159.90642560970062,133.36898895085315,166.92398892435068,124.56709951050526,1053.6030782416192,191.12434378409125,156.19052288579664,141.6319169547359,162.55816719103132,128.6148219128823,176.8770521667804,159.89822919110466,170.6496258185724,161.58996675385373,184.29328353159747,180.46083187289994,188.6784331100762,190.22284642355896,203.04265896134956,189.76648754025896,179.9884608459247,117.61158301980016,131.1840779855561,121.44775823511506,178.92577926451617,159.61412485784666,144.29069470584434,123.38004899731791,179.9964111962529,171.15756975262494,184.89486320417413,130.9239706377203,153.77715896039481,167.79789127857612,119.79430927285256,169.84351001604276,138.37235280126035,132.26026375425735,196.66158933255645,135.0650874398354,178.20397159856606,181.9004045132968,166.8086905417894,112.77236606017667,131.31842833921795,160.70442165322322,175.44982092805384,172.62852945805895,159.97520408703403,173.47907660459896,123.36779527098143,176.31909614898203,113.92356992060589,170.42217786433878,2026.8422172479263,165.07312950209467,133.5443241080062,141.23713014621222,182.1057074703849,181.58798499730594,181.20608788381574,124.67967200062003,128.6382618538047,150.8713554548028,139.98348675039253,164.04143830996696,173.51499854692284,165.69841652887322,160.08518834901446,191.93687590527577,185.18562305736725,252.7321331696206,139.33951629940464,131.18776283280883,142.01975227044016,172.28648765812335,148.29683416592303,136.3213829253205,164.14842092458167,174.9633938289582,169.11581821438827,182.2446558232934,184.55125106537383,170.36658973082476,165.0441685353759,167.4208419984805,180.69405326842264,136.31656842509312,142.94028522726862,123.44359672760149,139.12562798430346,133.45989737516072,153.6644979058599,71.8159035058772
Episode feedback,0.8,0.853999998292,0.7272727206611571,0.5571428491836736,0.6969696864095503,0.804597691901176,0.5593220244182708,0.44999999250000017,0.6984126873267827,0.538461530177515,0.5178571336096941,0.42857142091836753,0.5833333236111113,0.4642857059948981,0.6190476092214665,0.40350876485072346,0.3928571358418369,0.4838709599375652,0.49230768473372793,0.6166666563888891,0.43333332611111125,0.47368420221606666,0.5084745676529735,0.42857142091836753,0.4999999900000002,0.415094331790673,0.2727272677685951,0.44067795863257697,0.3818181748760332,0.6666666543209879,0.44444443738977085,0.685999998628,0.5373134248162176,0.6166666563888891,0.49999999038461557,0.593220328928469,0.403225799947971,0.7166666547222225,0.48333332527777795,0.46774192793964636,0.415094331790673,0.3709677359521333,0.4423076838017753,0.46551723335315115,0.3773584834460664,0.43859648353339503,0.32142856568877565,0.40677965412237876,0.29310344322235443,0.3157894681440444,0.38983050186727963,0.41379309631391215,0.2833333286111112,0.4561403428747308,0.42622950120935243,0.29032257596253913,0.55555554526749,0.46551723335315115,0.5081967129803818,0.3906249938964845,0.4848484775022958,0.33870967195629564,0.3653846083579883,0.2909090856198348,0.3928571358418369,0.43548386394380867,0.6499999891666669,0.1764705847750866,0.2727272677685951,0.3333333277777779,0.3999999920000002,0.5294117569204153,0.33846153325443795,0.3749999933035716,0.2678571380739797,0.3962264076183697,0.4642857059948981,0.28813558833668496,0.38983050186727963,0.40677965412237876,0.3389830451019823,0.17999999640000008,0.30357142315051033,0.3389830451019823,0.3278688470841173,0.33333332679738575,0.43076922414201196,0.32727272132231416,0.31481480898491093,0.3275862012485138,0.25806451196670144,0.44067795863257697,0.22580644797086374,0.47058822606689754,0.40677965412237876,0.5624999912109376,0.3653846083579883,0.32142856568877565,0.3818181748760332,0.3050847405917841,0.33962263510145974,0.5739130409829868,0.43076922414201196,0.3090909034710745,0.4642857059948981,0.26315789012003704,0.33333332716049396,0.3114754047299114,0.1428571403061225,0.3389830451019823,0.3684210461680518,0.34920634366339137,0.24590163531308795,0.3333333280423281,0.399999993846154,0.39705881769031154,0.3906249938964845,0.32258063995837677,0.3137254840445984,0.35087718682671604,0.34615383949704154,0.41935483194588985,0.4915254153978743,0.4482758543400715,0.3529411695501732,0.25806451196670144,0.48333332527777795,0.3174603124212649,0.34545453917355384,0.26315789012003704,0.3050847405917841,0.3999999920000002,0.37288134961218056,0.285714280612245,0.33962263510145974,0.199999996923077,0.277777772633745,0.43548386394380867,0.25806451196670144,0.32203389284688316,0.2549019557862362,0.25925925445816195,0.3859649055093876,0.2499999958333334,0.37288134961218056,0.28070174946137283,0.3333333277777779,0.30769230177514806,0.2499999958333334,0.37999999240000015,0.2999999950000001,0.443999999112,0.2711864360815858,0.4107142783801022,0.4561403428747308,0.360655731792529,0.27419354396462026,0.4426229435635583,0.33962263510145974,0.45283018013527965,0.3090909034710745,0.285714280612245,0.2758620642092748,0.2999999950000001,0.28813558833668496,0.26315789012003704,0.276923072662722,0.27419354396462026,0.3599999952000001,0.2982456088027086,0.20370369993141296,0.33928570822704096,0.24590163531308795,0.38983050186727963,0.33333332748538025,0.2999999950000001,0.2968749953613282,0.29310344322235443,0.22580644797086374,0.2419354799687826,0.3278688470841173,0.1896551691438764,0.19047618745275893,0.3650793592844546,0.1428571403061225,0.18644067480609028,0.2692307640532545,0.2982456088027086,0.2727272677685951,0.1896551691438764,0.3913043393194709
total seconds,0.0,21.4313542842865,37.672754764556885,57.438501834869385,80.12441396713257,94.22070050239563,106.4170548915863,120.63444304466248,145.27256321907043,157.96087670326233,168.57843279838562,177.39669585227966,186.8865556716919,196.44618844985962,206.00098991394043,215.27786016464233,224.54325771331787,233.30883121490479,243.10315585136414,254.19761085510254,263.2771053314209,272.43637561798096,281.46071791648865,289.6293649673462,297.4756808280945,304.1594521999359,312.03052949905396,325.2334313392639,333.0667760372162,342.8230712413788,351.4935054779053,374.9184968471527,391.4621424674988,401.9924535751343,422.1575665473938,442.88924288749695,454.2783749103546,464.3451724052429,475.0567367076874,484.6411008834839,493.08604669570923,501.4284245967865,509.8578951358795,519.4731953144073,526.4170300960541,535.7282340526581,543.8696439266205,551.4508969783783,558.3673658370972,565.4391989707947,574.7454841136932,581.3481874465942,591.060784816742,599.2751762866974,607.6346409320831,615.7178978919983,624.4780337810516,633.798721075058,642.0906739234924,652.4927823543549,662.2059302330017,670.207427740097,677.688952922821,685.3034133911133,693.0090560913086,699.5475912094116,707.4437851905823,712.9001307487488,721.2442696094513,730.1932618618011,737.452707529068,745.788681268692,753.7723190784454,762.3798282146454,769.8381760120392,777.6458837985992,784.6008894443512,791.6911780834198,798.5449678897858,805.3142640590668,813.6619334220886,820.9312882423401,827.1651010513306,834.1764180660248,841.3991866111755,848.9767246246338,855.3729462623596,861.9888446331024,869.446040391922,876.0571212768555,881.9799716472626,889.5329620838165,895.9564740657806,906.7696266174316,914.8400688171387,923.1282770633698,929.8947117328644,938.6478729248047,945.9306857585907,952.7674901485443,959.0018420219421,971.4105498790741,979.9181208610535,987.3093247413635,995.6738250255585,1002.506352186203,1009.3655245304108,1015.8144552707672,1021.5782208442688,1027.8653452396393,1035.1373286247253,1042.1503324508667,1048.6585433483124,1055.606735944748,1070.2424461841583,1080.2469882965088,1087.3957047462463,1094.9488072395325,1101.6564600467682,1114.860867023468,1121.5390884876251,1128.3215157985687,1136.5110664367676,1145.5941181182861,1152.5281221866608,1159.7348828315735,1168.7107095718384,1175.6953947544098,1182.2197852134705,1189.0180461406708,1196.154684305191,1203.8186466693878,1210.5049464702606,1217.0560834407806,1223.9790563583374,1230.8975942134857,1237.9185626506805,1246.030448436737,1252.990339756012,1259.0314011573792,1265.9350757598877,1272.280711889267,1284.3114304542542,1291.2270381450653,1298.681011915207,1305.4392230510712,1311.9871792793274,1319.0577552318573,1326.8166100978851,1337.473022222519,1344.1382982730865,1364.1975948810577,1371.4037442207336,1378.8736057281494,1387.5818722248077,1395.3476576805115,1403.6608123779297,1410.9880590438843,1417.6692066192627,1425.38818526268,1435.5450286865234,1441.4590101242065,1448.8034694194794,1455.8054056167603,1462.7032420635223,1469.480747461319,1478.5323467254639,1485.0899722576141,1492.2679443359375,1498.5343880653381,1505.4767904281616,1520.0484850406647,1527.8569955825806,1538.068154335022,1546.2266993522644,1553.6601204872131,1561.109789133072,1567.9414715766907,1575.0114016532898,1581.5626964569092,1589.078132390976,1595.6051704883575,1603.928248167038,1610.5862939357758,1616.0636653900146,1622.3094356060028,1629.3165137767792,1637.1396253108978,1642.898452758789,1649.293937444687,1661.2330079078674
total minutes,0.0,0.35718923807144165,0.627879246075948,0.9573083639144897,1.3354068994522095,1.5703450083732604,1.7736175815264383,2.0105740507443746,2.4212093869845073,2.6326812783877056,2.8096405466397605,2.9566115975379943,3.1147759278615315,3.2741031408309937,3.433349831899007,3.587964336077372,3.742387628555298,3.888480520248413,4.051719264189402,4.236626847585042,4.387951755523682,4.540606260299683,4.691011965274811,4.827156082789103,4.957928013801575,5.069324203332266,5.200508824984232,5.420557188987732,5.551112933953603,5.713717854022979,5.858225091298421,6.248641614119212,6.52436904112498,6.699874226252238,7.035959442456563,7.381487381458283,7.57130624850591,7.739086206754049,7.917612278461457,8.077351681391399,8.218100778261821,8.357140409946442,8.497631585597992,8.657886588573456,8.773617168267569,8.928803900877634,9.064494065443675,9.190848282972972,9.306122763951619,9.423986649513244,9.579091401894887,9.689136457443237,9.851013080279033,9.98791960477829,10.12724401553472,10.261964964866639,10.407967229684195,10.563312017917633,10.701511232058207,10.874879705905915,11.036765503883363,11.170123795668284,11.294815882047017,11.421723556518554,11.550150934855143,11.65912652015686,11.790729753176372,11.881668845812479,12.020737826824188,12.169887697696685,12.290878458817799,12.4298113544782,12.562871984640758,12.70633047024409,12.83063626686732,12.960764729976654,13.076681490739187,13.194852968056997,13.309082798163097,13.421904400984447,13.561032223701478,13.682188137372334,13.786085017522176,13.902940301100413,14.023319776852926,14.14961207707723,14.256215771039328,14.36648074388504,14.490767339865366,14.600952021280925,14.699666194121043,14.825549368063609,14.932607901096343,15.112827110290528,15.247334480285645,15.385471284389496,15.49824519554774,15.644131215413411,15.765511429309845,15.879458169142405,15.983364033699036,16.1901758313179,16.331968681017557,16.45515541235606,16.594563750425973,16.708439203103385,16.822758742173512,16.930240921179454,17.026303680737815,17.13108908732732,17.25228881041209,17.369172207514445,17.47764238913854,17.593445599079132,17.837374103069305,18.00411647160848,18.123261745770773,18.24914678732554,18.36094100077947,18.581014450391134,18.69231814146042,18.80535859664281,18.941851107279458,19.093235301971436,19.208802036444347,19.328914713859557,19.478511826197305,19.59492324590683,19.703663086891176,19.816967435677846,19.935911405086518,20.063644111156464,20.17508244117101,20.284268057346345,20.399650939305623,20.514959903558097,20.63197604417801,20.767174140612283,20.883172329266866,20.98385668595632,21.09891792933146,21.204678531487783,21.405190507570904,21.52045063575109,21.644683531920116,21.75732038418452,21.86645298798879,21.984295920530954,22.113610168298084,22.29121703704198,22.402304971218108,22.73662658135096,22.856729070345562,22.981226762135822,23.12636453708013,23.25579429467519,23.394346872965496,23.516467650731403,23.627820110321046,23.756469754378,23.925750478108725,24.024316835403443,24.146724490324655,24.263423426946005,24.378387367725374,24.49134579102198,24.64220577875773,24.751499537626902,24.87113240559896,24.9755731344223,25.09127984046936,25.334141417344412,25.464283259709678,25.63446923891703,25.770444989204407,25.89433534145355,26.0184964855512,26.13235785961151,26.25019002755483,26.35937827428182,26.4846355398496,26.59341950813929,26.73213746945063,26.843104898929596,26.93439442316691,27.03849059343338,27.155275229612986,27.2856604218483,27.38164087931315,27.488232290744783,27.68721679846446
cummulative feedback,0.0,427.0,507.0,546.0,592.0,662.0,695.0,722.0,766.0,801.0,830.0,854.0,889.0,915.0,954.0,977.0,999.0,1029.0,1061.0,1098.0,1124.0,1151.0,1181.0,1205.0,1230.0,1252.0,1267.0,1293.0,1314.0,1350.0,1378.0,1721.0,1757.0,1794.0,1820.0,1855.0,1880.0,1923.0,1952.0,1981.0,2003.0,2026.0,2049.0,2076.0,2096.0,2121.0,2139.0,2163.0,2180.0,2198.0,2221.0,2245.0,2262.0,2288.0,2314.0,2332.0,2362.0,2389.0,2420.0,2445.0,2477.0,2498.0,2517.0,2533.0,2555.0,2582.0,2621.0,2630.0,2645.0,2665.0,2685.0,2721.0,2743.0,2764.0,2779.0,2800.0,2826.0,2843.0,2866.0,2890.0,2910.0,2919.0,2936.0,2956.0,2976.0,2993.0,3021.0,3039.0,3056.0,3075.0,3091.0,3117.0,3131.0,3155.0,3179.0,3215.0,3234.0,3252.0,3273.0,3291.0,3309.0,3441.0,3469.0,3486.0,3512.0,3527.0,3545.0,3564.0,3572.0,3592.0,3613.0,3635.0,3650.0,3671.0,3697.0,3724.0,3749.0,3769.0,3785.0,3805.0,3823.0,3849.0,3878.0,3904.0,3922.0,3938.0,3967.0,3987.0,4006.0,4021.0,4039.0,4059.0,4081.0,4097.0,4115.0,4128.0,4143.0,4170.0,4186.0,4205.0,4218.0,4232.0,4254.0,4269.0,4291.0,4307.0,4327.0,4343.0,4358.0,4377.0,4395.0,4617.0,4633.0,4656.0,4682.0,4704.0,4721.0,4748.0,4766.0,4790.0,4807.0,4823.0,4839.0,4857.0,4874.0,4889.0,4907.0,4924.0,4951.0,4968.0,4979.0,4998.0,5013.0,5036.0,5055.0,5073.0,5092.0,5109.0,5123.0,5138.0,5158.0,5169.0,5181.0,5204.0,5212.0,5223.0,5237.0,5254.0,5269.0,5280.0,5298.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
