,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180
Episode,0.0,1.0,6.0,11.0,16.0,21.0,26.0,31.0,36.0,41.0,46.0,51.0,56.0,61.0,66.0,71.0,76.0,81.0,86.0,91.0,96.0,101.0,106.0,111.0,116.0,121.0,126.0,131.0,136.0,141.0,146.0,151.0,156.0,161.0,166.0,171.0,176.0,181.0,186.0,191.0,196.0,201.0,206.0,211.0,216.0,221.0,226.0,231.0,236.0,241.0,246.0,251.0,256.0,261.0,266.0,271.0,276.0,281.0,286.0,291.0,296.0,301.0,306.0,311.0,316.0,321.0,326.0,331.0,336.0,341.0,346.0,351.0,356.0,361.0,366.0,371.0,376.0,381.0,386.0,391.0,396.0,401.0,406.0,411.0,416.0,421.0,426.0,431.0,436.0,441.0,446.0,451.0,456.0,461.0,466.0,471.0,476.0,481.0,486.0,491.0,496.0,501.0,506.0,511.0,516.0,521.0,526.0,531.0,536.0,541.0,546.0,551.0,556.0,561.0,566.0,571.0,576.0,581.0,586.0,591.0,596.0,601.0,606.0,611.0,616.0,621.0,626.0,631.0,636.0,641.0,646.0,651.0,656.0,661.0,666.0,671.0,676.0,681.0,686.0,691.0,696.0,701.0,706.0,711.0,716.0,721.0,726.0,731.0,736.0,741.0,746.0,751.0,756.0,761.0,766.0,771.0,776.0,781.0,786.0,791.0,796.0,801.0,806.0,811.0,816.0,821.0,826.0,831.0,836.0,841.0,846.0,851.0,856.0,861.0,866.0,871.0,876.0,881.0,886.0,891.0,896.0
Accumulated time steps,0.0,501.0,1096.0,1923.0,2258.0,2853.0,3212.0,3593.0,3921.0,4228.0,4545.0,5421.0,5780.0,6159.0,6458.0,6931.0,7240.0,7525.0,7816.0,8113.0,8393.0,8700.0,8981.0,9269.0,9567.0,9864.0,10151.0,10436.0,10722.0,11458.0,11931.0,12214.0,12545.0,12847.0,13138.0,13428.0,13731.0,14464.0,14765.0,15063.0,15368.0,15660.0,16037.0,16338.0,16668.0,16983.0,17287.0,18031.0,18354.0,18653.0,19015.0,19309.0,19783.0,20080.0,20372.0,20655.0,20948.0,21244.0,21523.0,21820.0,22545.0,22839.0,23132.0,23476.0,23765.0,24509.0,24844.0,25144.0,25422.0,25725.0,26005.0,26385.0,26670.0,26970.0,27267.0,27551.0,27842.0,28169.0,28470.0,28760.0,29154.0,29436.0,29717.0,30084.0,30374.0,30656.0,30953.0,31256.0,31547.0,31824.0,32115.0,32399.0,32690.0,32960.0,33255.0,33611.0,33896.0,34198.0,34494.0,34784.0,35076.0,35354.0,35632.0,35907.0,36187.0,36491.0,36773.0,37060.0,37353.0,37950.0,38239.0,38525.0,38818.0,39261.0,39549.0,39841.0,40116.0,40450.0,40796.0,41143.0,41447.0,41741.0,42030.0,42325.0,42617.0,42915.0,43204.0,43506.0,43790.0,44067.0,44348.0,44637.0,44928.0,45297.0,45595.0,45895.0,46248.0,46553.0,47141.0,47440.0,47728.0,48016.0,48308.0,48638.0,48974.0,49274.0,49599.0,49890.0,50180.0,50469.0,50813.0,51100.0,51369.0,51900.0,52189.0,52483.0,52771.0,53116.0,53407.0,53721.0,54008.0,54284.0,54636.0,54938.0,55244.0,55528.0,55814.0,56173.0,56476.0,56779.0,57064.0,57360.0,57730.0,58024.0,58330.0,58605.0,58875.0,59153.0,59450.0,59737.0,60279.0
Episode reward,0.0,284.6420544706553,234.62963526182023,191.68910446977418,149.4242882096198,227.8511936046956,138.8816944835562,164.52712485328757,135.64743240134882,196.78466533492465,181.42301826907507,2059.3145742730085,176.74516242002932,125.72209757087468,186.05547396713112,121.92174281745177,162.04709106577948,140.00393098725218,122.11162223005495,172.75536574511736,165.1237557107015,173.79360791649577,114.96991967060465,150.56033781839443,171.14355490252177,155.50354441884724,149.69834947207025,184.70055896202757,169.16755234606006,177.54399744530713,365.96610250999856,124.79861743673248,253.22641757579873,192.95069492772978,172.32673602848448,170.6287251984783,164.67507860838265,167.8622631721991,141.31857745488918,158.80128355041754,169.01547640677907,172.9589737497469,169.1497628098027,192.180420762943,129.99140900964434,167.1007172304665,125.55293568298548,135.04452973524457,130.0151299947777,132.53693546009268,140.0845063715217,124.51733665265003,196.25286250441698,173.17221993339646,124.32504168912146,126.63531127535603,166.55294003279693,164.79630644821964,184.12623052004076,137.69287684322242,1644.5899306983463,126.2921730180925,161.76221372120733,139.36040159424738,123.7783200483797,126.21034204910322,175.60264469443808,149.54727683991143,166.86912010027066,183.8209460526511,126.62087770918565,135.77638646152533,167.5490810935892,139.63888911939785,168.7294038528825,124.87738434442596,166.46760344412152,140.05132202044325,172.61717984458465,171.08715417006346,139.87187654192985,186.81592525728425,139.20248420759287,181.77860665029317,129.33356096841385,118.78584051482424,185.2434886934462,125.38911519820603,162.42088270364198,162.78677211142266,175.34856436907393,129.95707099011517,135.5283708647779,131.19947066771329,123.98876297943907,224.61334034801618,140.12323999176522,162.90128222061927,190.80463172755768,141.6680417836476,173.72761302441717,121.29145737782049,122.61784611415584,138.09146212920365,131.1339584916074,175.57746453516737,181.10824323218839,178.39583298313545,132.44309828925,1260.6267474376618,127.02554541148403,139.31958629407208,185.66653613397392,169.91434703542092,197.51349428768563,158.1930354651531,113.46837632158802,135.4749225236028,181.3537448533538,186.56789028372444,174.1118158523822,164.6895833305961,163.2358164323891,163.96222427085485,175.6075268298792,176.54466710607718,183.82270496806154,196.48372681921882,164.732550349475,163.53055698921906,172.80180762656906,168.8355117906927,175.1802208615382,180.65526047947046,157.05764585076324,157.9846803620144,282.09829178725005,168.73186107459335,243.89234916614325,194.15108425017291,135.06809389604933,190.48317021529834,188.85177059492534,432.2369029638282,178.1807910045191,174.53001635633862,165.88008998868267,167.53189745032373,173.03898170299868,134.6834386486465,124.7179011595234,135.21868770772173,117.52327260478309,189.7448973970991,159.62359935230538,143.4098884693445,169.28675139384498,130.29622040050245,165.85462886639598,151.15022256019833,181.47376007757688,170.69090383168626,565.1977211960168,135.02017806685106,191.83376447974234,164.19159132201918,166.7194160098249,171.78052118694802,187.72683006831724,140.43241729362768,189.50751846377284,171.7977368080628,249.43589794597924,156.94045039824886,182.9222398117024,124.12963318866079,126.40860799672988,179.39328839971037,164.04687141478823,172.17641551211057,124.46917871447069
Episode feedback,0.8,0.801999998396,0.7391304267485823,0.7066666572444446,0.6769230665088759,0.7017543798091721,0.5245901553345876,0.5833333236111113,0.5161290239334029,0.522388051904656,0.6031745936004033,0.709999998225,0.6666666577777779,0.5925925816186559,0.553846145325444,0.5576922969674558,0.6440677856937663,0.7288135469692619,0.5294117543252598,0.5322580559313217,0.5423728721631716,0.40983605885514657,0.35999999280000017,0.5263157802400741,0.4576271108876761,0.48275861236623085,0.5254237199080726,0.46774192793964636,0.3793103382877528,0.41269840614764436,0.5892857090242347,0.6346153724112429,0.5959595899398021,0.523076915029586,0.3559321973570814,0.4237288063774779,0.6206896444708683,0.6206896444708683,0.57142856122449,0.43859648353339503,0.4915254153978743,0.5322580559313217,0.593220328928469,0.6307692210650889,0.5357142761479594,0.5593220244182708,0.3773584834460664,0.39999999333333347,0.4642857059948981,0.5535714186862247,0.624999988839286,0.5769230658284026,0.5147058747837372,0.4426229435635583,0.5185185089163239,0.3846153772189351,0.34482758026159344,0.4237288063774779,0.38095237490551787,0.4642857059948981,0.601999998796,0.45283018013527965,0.3793103382877528,0.3965517173008325,0.4599999908000002,0.5925925816186559,0.4285714217687076,0.6140350769467531,0.39999999333333347,0.5555555467372135,0.3207547109291564,0.6071428463010207,0.4838709599375652,0.5333333244444446,0.3965517173008325,0.38888888168724295,0.4576271108876761,0.5087719208987382,0.3770491741467349,0.48275861236623085,0.4576271108876761,0.43749999316406263,0.43636362842975224,0.523809515495087,0.2727272677685951,0.4423076838017753,0.453124992919922,0.35185184533607694,0.3793103382877528,0.34482758026159344,0.45901638591776417,0.48148147256515794,0.2982456088027086,0.3818181748760332,0.3846153772189351,0.49275361604704904,0.5087719208987382,0.2758620642092748,0.4843749924316408,0.2982456088027086,0.3333333277777779,0.3137254840445984,0.23999999520000012,0.44642856345663284,0.47169810430758297,0.3278688470841173,0.47619046863189735,0.403225799947971,0.3636363570247935,0.5372340411243776,0.4074073998628259,0.4642857059948981,0.4603174530108341,0.43333332611111125,0.34848484320477513,0.5178571336096941,0.4489795826738861,0.4107142783801022,0.46774192793964636,0.38095237490551787,0.3499999941666668,0.4915254153978743,0.3157894681440444,0.32142856568877565,0.3499999941666668,0.5166666580555557,0.31249999511718757,0.399999993846154,0.3559321973570814,0.2586206851961951,0.19672130825047038,0.39344261650094076,0.3114754047299114,0.39344261650094076,0.3275862012485138,0.3157894681440444,0.3846153796844182,0.4426229435635583,0.4387755057267806,0.507692299881657,0.41818181057851256,0.3749999941406251,0.35384614840236694,0.4117647018454441,0.2833333286111112,0.43749999316406263,0.3437499946289064,0.4915254153978743,0.38333332694444455,0.30357142315051033,0.24528301423994314,0.2909090856198348,0.28571427988338205,0.4603174530108341,0.47368420221606666,0.4561403428747308,0.4482758543400715,0.29629629080932796,0.34482758026159344,0.24999999553571436,0.41935483194588985,0.3499999941666668,0.4461538427218935,0.3636363570247935,0.2812499956054688,0.3275862012485138,0.3389830451019823,0.3499999941666668,0.32812499487304697,0.3859649055093876,0.38095237490551787,0.28813558833668496,0.4316546731535635,0.32727272132231416,0.2857142811791384,0.35849055927376305,0.2884615329142013,0.2999999950000001,0.35087718682671604,0.33870967195629564,0.24528301423994314
total seconds,0.0,20.663503885269165,44.00178623199463,76.62231874465942,90.28226232528687,110.07361102104187,122.8282732963562,137.1899778842926,146.51078963279724,156.72670435905457,168.61277413368225,200.23167967796326,214.06350374221802,229.05255651474,241.71676015853882,258.4481475353241,268.80200576782227,278.6691617965698,287.80034852027893,297.5286831855774,308.01163148880005,317.24128556251526,325.40315866470337,334.11380314826965,341.9779622554779,350.27139496803284,359.7747735977173,367.8450667858124,376.0790979862213,400.5733916759491,419.07297253608704,428.6865963935852,441.7753257751465,450.9382562637329,461.13703775405884,469.0639522075653,479.1728491783142,501.7927176952362,512.009528875351,521.7840738296509,532.4611520767212,541.761949300766,554.142627954483,566.2496485710144,576.9181797504425,586.7154951095581,594.7773611545563,619.5138230323792,629.7256898880005,639.842983007431,651.6631627082825,662.3900117874146,676.6427392959595,685.8732781410217,694.6606552600861,703.5827758312225,711.8731679916382,719.5525839328766,728.6019086837769,737.0911023616791,757.092127084732,767.4623720645905,776.4022097587585,785.386465549469,795.9813396930695,818.4251968860626,828.1257672309875,838.2268171310425,847.6012852191925,856.6763908863068,865.093386888504,877.0339336395264,887.2717387676239,897.0486915111542,904.6616101264954,914.7007052898407,922.4946868419647,932.1842746734619,940.3509056568146,949.962201833725,961.5687069892883,969.5623269081116,979.357634305954,991.8275005817413,998.5432951450348,1005.7159559726715,1014.0853002071381,1023.276453256607,1032.0075302124023,1039.7146306037903,1048.0698609352112,1056.452689409256,1063.5641784667969,1070.1692638397217,1078.6976840496063,1089.078816652298,1097.3236067295074,1104.4838922023773,1115.2765913009644,1124.1805250644684,1132.9296946525574,1143.304046869278,1151.26602268219,1158.2097253799438,1165.7813143730164,1172.996833562851,1180.4440667629242,1187.2903757095337,1194.5614569187164,1210.1007251739502,1220.8754127025604,1229.1763076782227,1237.9172534942627,1250.2400965690613,1259.2040846347809,1266.926290512085,1274.737648487091,1283.60782122612,1292.6593549251556,1303.6486711502075,1312.9029729366302,1320.2414832115173,1327.6105787754059,1336.2643973827362,1343.405921459198,1351.353057384491,1359.5443398952484,1366.600037097931,1375.9826381206512,1382.4896643161774,1389.7705998420715,1397.1454577445984,1405.808317899704,1414.2776463031769,1421.6202919483185,1429.4332444667816,1437.8780767917633,1445.1714930534363,1460.9105806350708,1469.872545003891,1477.487986087799,1484.2656285762787,1491.3772542476654,1500.3929357528687,1507.7945942878723,1515.323566198349,1523.2474138736725,1532.0161991119385,1539.6679799556732,1547.5638473033905,1556.65256357193,1563.8620629310608,1570.7902619838715,1584.7976925373077,1591.7503373622894,1601.1565458774567,1608.3979880809784,1617.7618157863617,1625.2564764022827,1632.0979361534119,1639.6013488769531,1646.7693853378296,1656.5273656845093,1664.1124892234802,1671.1245739459991,1679.6300950050354,1687.3484001159668,1697.6547467708588,1705.5216681957245,1712.635124206543,1720.2112531661987,1728.1788501739502,1737.437047958374,1746.6077048778534,1753.60870718956,1759.8138589859009,1765.9671258926392,1772.9698278903961,1780.491780281067,1787.4538190364838,1799.6059954166412
total minutes,0.0,0.34439173142115276,0.7333631038665771,1.2770386457443237,1.5047043720881144,1.834560183684031,2.0471378882726032,2.286499631404877,2.4418464938799542,2.612111739317576,2.8102129022280375,3.3371946612993875,3.5677250623703003,3.8175426085789996,4.0286126693089805,4.307469125588735,4.480033429463704,4.64448602994283,4.796672475337982,4.95881138642629,5.133527191480001,5.287354759375254,5.423385977745056,5.568563385804494,5.699632704257965,5.837856582800547,5.996246226628622,6.130751113096873,6.267984966437022,6.676223194599151,6.984549542268117,7.144776606559754,7.362922096252442,7.515637604395549,7.685617295900981,7.8177325367927555,7.986214152971903,8.36321196158727,8.533492147922516,8.696401230494182,8.87435253461202,9.029365821679432,9.235710465908051,9.43749414285024,9.61530299584071,9.778591585159301,9.912956019242605,10.325230383872986,10.495428164800009,10.664049716790517,10.861052711804708,11.039833529790242,11.27737898826599,11.431221302350362,11.5776775876681,11.726379597187043,11.864552799860636,11.992543065547943,12.143365144729614,12.284851706027984,12.618202118078868,12.79103953440984,12.940036829312643,13.089774425824483,13.266355661551158,13.640419948101044,13.80209612051646,13.97044695218404,14.126688086986542,14.277939848105113,14.4182231148084,14.61723222732544,14.787862312793731,14.950811525185904,15.077693502108255,15.245011754830678,15.37491144736608,15.536404577891032,15.672515094280243,15.832703363895416,16.026145116488138,16.15937211513519,16.322627238432567,16.53045834302902,16.642388252417245,16.761932599544526,16.901421670118967,17.054607554276785,17.20012550354004,17.328577176729837,17.467831015586853,17.6075448234876,17.72606964111328,17.836154397328695,17.978294734160105,18.151313610871632,18.288726778825126,18.40806487003962,18.587943188349406,18.736342084407806,18.88216157754262,19.055067447821298,19.187767044703165,19.303495422999063,19.429688572883606,19.549947226047514,19.67406777938207,19.788172928492227,19.90935761531194,20.168345419565835,20.347923545042672,20.486271794637045,20.63195422490438,20.837334942817687,20.986734743913015,21.115438175201415,21.24562747478485,21.393463687102,21.54432258208593,21.72747785250346,21.881716215610503,22.004024720191957,22.126842979590098,22.27107328971227,22.390098690986633,22.522550956408182,22.659072331587474,22.776667284965516,22.93304396867752,23.041494405269624,23.162843330701193,23.285757629076638,23.430138631661734,23.57129410505295,23.693671532471974,23.823887407779694,23.964634613196054,24.086191550890604,24.34850967725118,24.49787575006485,24.624799768129986,24.737760476271312,24.856287570794425,25.00654892921448,25.129909904797874,25.255392769972485,25.38745689789454,25.533603318532307,25.66113299926122,25.792730788389843,25.9442093928655,26.06436771551768,26.17983769973119,26.413294875621794,26.52917228937149,26.685942431290943,26.806633134682972,26.962696929772694,27.087607940038044,27.20163226922353,27.326689147949217,27.44615642229716,27.608789428075156,27.73520815372467,27.85207623243332,27.99383491675059,28.122473335266115,28.294245779514313,28.42536113659541,28.543918736775716,28.670187552769978,28.802980836232503,28.95728413263957,29.11012841463089,29.226811786492664,29.33023098309835,29.432785431543987,29.5494971315066,29.674863004684447,29.790896983941398,29.99343325694402
cummulative feedback,0.0,401.0,469.0,522.0,566.0,646.0,678.0,713.0,745.0,780.0,818.0,1102.0,1152.0,1184.0,1220.0,1249.0,1287.0,1330.0,1357.0,1390.0,1422.0,1447.0,1465.0,1495.0,1522.0,1550.0,1581.0,1610.0,1632.0,1658.0,1724.0,1757.0,1816.0,1850.0,1871.0,1896.0,1932.0,1968.0,2000.0,2025.0,2054.0,2087.0,2122.0,2163.0,2193.0,2226.0,2246.0,2270.0,2296.0,2327.0,2362.0,2392.0,2427.0,2454.0,2482.0,2502.0,2522.0,2547.0,2571.0,2597.0,2898.0,2922.0,2944.0,2967.0,2990.0,3022.0,3049.0,3084.0,3108.0,3143.0,3160.0,3194.0,3224.0,3256.0,3279.0,3300.0,3327.0,3356.0,3379.0,3407.0,3434.0,3462.0,3486.0,3519.0,3534.0,3557.0,3586.0,3605.0,3627.0,3647.0,3675.0,3701.0,3718.0,3739.0,3759.0,3793.0,3822.0,3838.0,3869.0,3886.0,3906.0,3922.0,3934.0,3959.0,3984.0,4004.0,4034.0,4059.0,4079.0,4281.0,4303.0,4329.0,4358.0,4384.0,4407.0,4436.0,4458.0,4481.0,4510.0,4534.0,4555.0,4584.0,4602.0,4620.0,4641.0,4672.0,4692.0,4718.0,4739.0,4754.0,4766.0,4790.0,4809.0,4833.0,4852.0,4870.0,4900.0,4927.0,4970.0,5003.0,5026.0,5050.0,5073.0,5115.0,5132.0,5160.0,5182.0,5211.0,5234.0,5251.0,5264.0,5280.0,5294.0,5323.0,5350.0,5376.0,5402.0,5418.0,5438.0,5452.0,5478.0,5499.0,5557.0,5577.0,5595.0,5614.0,5634.0,5655.0,5676.0,5698.0,5722.0,5739.0,5799.0,5817.0,5835.0,5854.0,5869.0,5887.0,5907.0,5928.0,5941.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
