,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187
Episode,0.0,1.0,6.0,11.0,16.0,21.0,26.0,31.0,36.0,41.0,46.0,51.0,56.0,61.0,66.0,71.0,76.0,81.0,86.0,91.0,96.0,101.0,106.0,111.0,116.0,121.0,126.0,131.0,136.0,141.0,146.0,151.0,156.0,161.0,166.0,171.0,176.0,181.0,186.0,191.0,196.0,201.0,206.0,211.0,216.0,221.0,226.0,231.0,236.0,241.0,246.0,251.0,256.0,261.0,266.0,271.0,276.0,281.0,286.0,291.0,296.0,301.0,306.0,311.0,316.0,321.0,326.0,331.0,336.0,341.0,346.0,351.0,356.0,361.0,366.0,371.0,376.0,381.0,386.0,391.0,396.0,401.0,406.0,411.0,416.0,421.0,426.0,431.0,436.0,441.0,446.0,451.0,456.0,461.0,466.0,471.0,476.0,481.0,486.0,491.0,496.0,501.0,506.0,511.0,516.0,521.0,526.0,531.0,536.0,541.0,546.0,551.0,556.0,561.0,566.0,571.0,576.0,581.0,586.0,591.0,596.0,601.0,606.0,611.0,616.0,621.0,626.0,631.0,636.0,641.0,646.0,651.0,656.0,661.0,666.0,671.0,676.0,681.0,686.0,691.0,696.0,701.0,706.0,711.0,716.0,721.0,726.0,731.0,736.0,741.0,746.0,751.0,756.0,761.0,766.0,771.0,776.0,781.0,786.0,791.0,796.0,801.0,806.0,811.0,816.0,821.0,826.0,831.0,836.0,841.0,846.0,851.0,856.0,861.0,866.0,871.0,876.0,881.0,886.0,891.0,896.0,901.0,906.0,911.0,916.0,921.0,926.0,931.0
Accumulated time steps,0.0,60.0,384.0,712.0,1545.0,2317.0,2691.0,3108.0,3598.0,4056.0,4404.0,4714.0,5132.0,5446.0,5798.0,6090.0,6830.0,7198.0,7495.0,7818.0,8103.0,8406.0,8711.0,9073.0,9368.0,9742.0,10331.0,10631.0,10927.0,11213.0,11636.0,11937.0,12208.0,12490.0,12784.0,13145.0,13442.0,13783.0,14091.0,14379.0,15039.0,15344.0,15633.0,15921.0,16406.0,16921.0,17215.0,17514.0,17949.0,18246.0,18554.0,18835.0,19111.0,19452.0,19956.0,20240.0,20524.0,20862.0,21148.0,21446.0,21721.0,22043.0,22328.0,22652.0,22944.0,23225.0,23510.0,23787.0,24083.0,24414.0,24693.0,24978.0,25273.0,25573.0,25861.0,26159.0,26497.0,26789.0,27093.0,27390.0,27720.0,28002.0,28294.0,28570.0,28853.0,29163.0,29461.0,29742.0,30033.0,30299.0,30601.0,30892.0,31181.0,31465.0,31763.0,32039.0,32337.0,32632.0,32927.0,33214.0,33500.0,33794.0,34073.0,34357.0,34635.0,34937.0,35222.0,35510.0,35801.0,36083.0,36371.0,36673.0,36973.0,37264.0,37563.0,37847.0,38121.0,38396.0,38679.0,38964.0,39246.0,39544.0,39817.0,40109.0,40408.0,40735.0,41018.0,41327.0,41620.0,42004.0,42285.0,42590.0,42891.0,43187.0,43466.0,43750.0,44049.0,44351.0,44874.0,45171.0,45490.0,45787.0,46078.0,46363.0,46670.0,46957.0,47270.0,47571.0,47856.0,48161.0,48522.0,48810.0,49107.0,49398.0,49684.0,49976.0,50282.0,50568.0,50863.0,51160.0,51461.0,51760.0,52065.0,52352.0,52756.0,53314.0,53694.0,53995.0,54287.0,54592.0,54903.0,55206.0,55541.0,55837.0,56222.0,56584.0,56874.0,57157.0,57483.0,57782.0,58077.0,58361.0,58719.0,59017.0,59319.0,59617.0,59916.0,60207.0
Episode reward,0.0,136.91840750494416,130.55642483767747,200.3347090657171,159.33350353674018,180.03494998625206,130.244339086652,158.01237926614283,129.4583357173561,202.56493029152432,143.099647447505,179.9653476261587,196.18142989583,162.76924316868914,146.74336199765645,130.08828813271336,159.48166836571392,143.53878386566183,115.00124103099401,137.4910575893065,161.92887798399565,187.60923955879397,166.68778489448712,132.52426603622854,159.88955289504474,140.54256903308234,125.26477345389193,173.835251612299,156.82285707288736,136.82597113953906,186.11590240912645,162.8497755477809,128.29345666204725,172.15433293284767,175.38398127003762,178.76267396429134,161.0872356512826,299.89743098994717,159.6092799128809,183.45262747010082,154.5232139456854,141.45481723794242,189.29634134821615,173.33545262557283,334.1096735406386,756.8199286377603,176.24183327680734,154.4450569605769,138.3470704434958,182.52035299112399,171.05434305933827,146.20724356437904,132.35054217797105,162.7280475953518,173.38884951700518,164.639980512145,167.60023370585358,175.65836122150893,176.487011910244,162.41806567579266,131.2271932007219,133.98843802614402,127.87207739073617,170.50439233083952,175.18941615074232,145.89643490207925,123.18837208365116,122.55409403160579,172.20961642733744,189.5739375273671,159.19519318396064,179.70481076180118,164.89537090593404,179.04398349594928,156.0332613084369,186.17727882282944,531.0007270896316,121.78039869950356,178.59517777362578,163.88461655017153,162.60812238303134,138.4968384857705,173.27455397335146,157.3492561189113,123.58780761284852,134.8137754399067,185.67186151571266,132.25099986235543,139.75102396868863,115.7978304138394,134.7926988522205,117.2702546579883,161.82569105738344,163.20734822766943,186.56518393269036,166.21669855228606,184.83509227860029,181.96026583002566,168.19760017084027,130.88699883293992,173.82472684353564,186.3548919415738,167.05482097049926,127.0762988059808,139.91474850196718,188.20853340394396,172.4547849448553,167.04948834688463,152.2594709830121,125.63675563235101,187.3502262093894,176.08500180157364,180.0381822803651,159.415741024292,181.67867383932952,172.70407727432865,120.49998493178111,110.4788065278138,160.68053135812187,153.6416758955878,156.72399253618144,163.50162838993754,160.30450741334306,140.78228976277427,182.32478241860326,285.18520209139064,162.69087058051585,184.0763575094006,175.9819962981665,166.32129761542225,136.54197407774464,181.56516220194757,135.29413652475645,162.2603223630678,165.14046933564558,121.66920713990494,184.57465353218856,170.5188976042273,135.5997587732493,186.22795153033363,200.34139030260707,132.62017157986753,178.14431783349946,135.9588022875256,190.37928108231225,155.62262698582157,175.42336340700032,168.93934111146254,134.3281866839922,177.62556533849474,177.64517119026593,159.1361773117423,158.81143955354537,134.0216536288072,199.22846644448484,178.17090219181793,176.1146164244602,157.73730928807083,174.47969049655043,129.5325386453485,186.84321468781135,182.8308206133503,187.01880903819082,168.48559404746476,150.30254621698774,139.91279612582827,182.67131566296064,184.4097410819552,182.96921665070832,149.2148357980733,185.3703718546396,172.14625557436187,191.09418959874506,132.60594369624425,147.06094789293763,138.24921305958793,162.80448051799354,129.00172066666917,129.92448258456633,119.76928664963805,180.2930363204242,135.40505889771876,191.95929690904242,158.20592375662955,156.85542898126033,169.06711984944215,153.10846024407053,173.9333852347971
Episode feedback,0.8,0.8305084604998566,0.8499999858333336,0.5769230695266273,0.6794871707758056,0.676190469750567,0.5694444365354939,0.49999999324324335,0.7288135469692619,0.6164383477200227,0.6617646961505192,0.8593749865722659,0.569230760473373,0.7017543736534321,0.41666665972222233,0.6034482654577885,0.6724137815101072,0.633333322777778,0.37254901230296056,0.6071428463010207,0.3684210461680518,0.3968253905265811,0.3157894681440444,0.6607142739158166,0.5344827494054699,0.584615375621302,0.5535714186862247,0.45901638591776417,0.5178571336096941,0.5409835976887934,0.47540982827197004,0.4237288063774779,0.45283018013527965,0.28813558833668496,0.39999999333333347,0.3770491741467349,0.41379309631391215,0.644859807057385,0.3928571358418369,0.38709676795005216,0.5614034989227457,0.34482758026159344,0.30158729680020163,0.3499999941666668,0.5999999945454546,0.7052631541828255,0.5245901553345876,0.32727272132231416,0.44642856345663284,0.3174603124212649,0.3770491741467349,0.41818181057851256,0.48148147256515794,0.40677965412237876,0.42622950120935243,0.2280701714373654,0.41379309631391215,0.3050847405917841,0.316666661388889,0.38983050186727963,0.35849055927376305,0.277777772633745,0.4615384526627221,0.3666666605555557,0.41666665972222233,0.22222221810699597,0.3269230706360948,0.40384614607988184,0.22033897931628849,0.24999999609375007,0.28070174946137283,0.27419354396462026,0.1929824527546938,0.2999999950000001,0.24999999553571436,0.22580644797086374,0.49999999561403513,0.31481480898491093,0.2539682499370119,0.41666665972222233,0.29310344322235443,0.2982456088027086,0.3499999941666668,0.2982456088027086,0.23076922633136104,0.31034482223543414,0.3174603124212649,0.14814814540466398,0.24561403077870123,0.21153845747041428,0.3090909034710745,0.23529411303344877,0.28070174946137283,0.3965517173008325,0.20967741597294492,0.41935483194588985,0.23809523431594867,0.32812499487304697,0.3499999941666668,0.32142856568877565,0.14516128798126957,0.23809523431594867,0.20338982706118938,0.35185184533607694,0.12727272495867772,0.15624999755859378,0.2666666622222223,0.18644067480609028,0.16363636066115708,0.22222221810699597,0.25806451196670144,0.18333333027777785,0.29508196237570555,0.17241379013079672,0.16129031997918838,0.23728813157138762,0.23529411303344877,0.31249999348958346,0.23214285299744905,0.19999999636363644,0.17857142538265314,0.1929824527546938,0.24561403077870123,0.1355932180407929,0.20312499682617194,0.24137930757035278,0.1311475388336469,0.30158729680020163,0.19047618745275893,0.25423728382648675,0.4107142783801022,0.23809523431594867,0.26315789012003704,0.23728813157138762,0.23728813157138762,0.17307691974852077,0.3235294070069205,0.21666666305555562,0.30357142315051033,0.19047618745275893,0.2537313394965472,0.12499999776785718,0.22222221869488543,0.21428571045918376,0.33333332828282836,0.29310344322235443,0.09677419198751304,0.29508196237570555,0.2280701714373654,0.24590163531308795,0.19672130825047038,0.22413792717003575,0.23728813157138762,0.2758620642092748,0.22388059367342397,0.17460317183169569,0.3770491741467349,0.3157894681440444,0.29508196237570555,0.12727272495867772,0.15384615147928998,0.2539682499370119,0.17460317183169569,0.18333333027777785,0.4062499936523439,0.2982456088027086,0.384615378698225,0.24999999609375007,0.26562499584960947,0.32142856568877565,0.2539682499370119,0.19047618745275893,0.3134328311427936,0.19999999636363644,0.360655731792529,0.2586206851961951,0.3333333277777779,0.35185184533607694,0.22222221810699597,0.23076922633136104,0.26984126555807514,0.34482758026159344,0.30769230295857997,0.30357142315051033,0.41379309631391215,0.27419354396462026,0.33928570822704096,0.19672130825047038
total seconds,0.0,4.7617902755737305,18.491289377212524,30.904030799865723,85.49739265441895,131.9812662601471,154.71362233161926,178.25105476379395,210.5753288269043,241.78712439537048,262.36017084121704,283.39211654663086,305.8047685623169,324.38101291656494,342.28849816322327,358.4983034133911,399.8502199649811,419.30983710289,436.7687647342682,453.7295472621918,465.1535995006561,478.6172113418579,491.3756945133209,507.67727994918823,521.457225561142,541.4787130355835,575.1347901821136,592.1813335418701,606.7052865028381,618.8099050521851,640.9293079376221,654.2349004745483,665.7582757472992,680.2986817359924,692.7353150844574,710.9725358486176,723.7613153457642,737.3988893032074,750.6043698787689,762.425411939621,796.1622836589813,809.1023058891296,821.2918167114258,832.9742834568024,855.0755679607391,882.879720211029,896.1914892196655,909.2746384143829,926.3750953674316,938.6777591705322,950.6033976078033,960.9332134723663,971.5381956100464,985.9157972335815,1010.2039723396301,1020.3187808990479,1030.9100766181946,1044.5010306835175,1053.5179958343506,1064.2438299655914,1074.7730741500854,1086.9717547893524,1096.9931724071503,1109.4741830825806,1119.4090161323547,1130.3865637779236,1140.647712945938,1150.11989736557,1160.5575966835022,1173.452953338623,1183.0393931865692,1193.3201196193695,1202.5732283592224,1212.7225770950317,1221.3184070587158,1232.3271224498749,1247.1729469299316,1258.087320804596,1268.035028219223,1278.6006526947021,1291.1726970672607,1302.380434513092,1312.9913129806519,1322.8422222137451,1333.0401272773743,1344.32710146904,1354.0184404850006,1364.4175140857697,1374.7287831306458,1382.6487548351288,1391.663402557373,1400.1482157707214,1410.2127330303192,1421.1554775238037,1430.742745399475,1441.3590331077576,1450.642404794693,1460.40859913826,1470.4429483413696,1479.639517068863,1486.6908404827118,1495.6669311523438,1504.483282327652,1512.5058908462524,1520.4954288005829,1527.5323033332825,1536.3421766757965,1545.3328592777252,1552.8729786872864,1561.6571543216705,1569.91597366333,1578.7351608276367,1587.5926048755646,1596.6577780246735,1604.7479493618011,1612.5799052715302,1619.131024837494,1629.038377046585,1638.1147170066833,1645.8742065429688,1655.1784670352936,1662.672420501709,1670.1174230575562,1677.8871281147003,1684.5751402378082,1692.7699992656708,1699.8780879974365,1707.052203655243,1713.73033452034,1722.4359703063965,1728.5510070323944,1736.9668009281158,1743.7788381576538,1750.9698882102966,1757.4060921669006,1764.7361340522766,1772.1404597759247,1778.366693019867,1793.490693807602,1801.5983064174652,1809.4136958122253,1816.257999420166,1823.657588005066,1830.9377417564392,1839.0084428787231,1846.2572350502014,1853.3952655792236,1860.8465933799744,1867.300906419754,1874.3898251056671,1884.5822644233704,1890.775881767273,1898.9069707393646,1907.0695168972015,1913.4395956993103,1919.880012512207,1926.5340631008148,1932.939020872116,1939.5122332572937,1945.817727804184,1951.5312356948853,1959.273508310318,1966.0348088741302,1972.7105464935303,1986.610029220581,2003.2726550102234,2014.9993343353271,2022.495887041092,2030.9451684951782,2038.1856286525726,2045.3217720985413,2053.098952293396,2062.041788339615,2070.2631180286407,2082.5061933994293,2093.5658555030823,2100.9581089019775,2110.101060152054,2118.5827684402466,2125.510039329529,2132.1625101566315,2139.0498208999634,2149.582680463791,2156.9662053585052,2165.95565199852,2174.0157177448273,2181.576282262802,2187.878506422043
total minutes,0.0,0.07936317125956217,0.3081881562868754,0.5150671799977621,1.4249565442403158,2.1996877710024516,2.5785603721936545,2.970850912729899,3.5095888137817384,4.029785406589508,4.372669514020284,4.723201942443848,5.096746142705282,5.406350215276082,5.704808302720388,5.974971723556519,6.664170332749685,6.988497285048167,7.279479412237803,7.5621591210365295,7.752559991677602,7.976953522364298,8.189594908555348,8.461287999153138,8.690953759352366,9.024645217259724,9.585579836368561,9.869688892364502,10.111754775047302,10.313498417536417,10.682155132293701,10.90391500790914,11.095971262454986,11.338311362266541,11.545588584740957,11.849542264143626,12.06268858909607,12.28998148838679,12.510072831312815,12.707090198993683,13.269371394316355,13.485038431485494,13.68819694519043,13.88290472428004,14.25125946601232,14.714662003517152,14.936524820327758,15.154577306906383,15.439584922790527,15.644629319508871,15.843389960130056,16.01555355787277,16.19230326016744,16.431929953893025,16.83673287232717,17.005313014984132,17.181834610303245,17.40835051139196,17.558633263905843,17.737397166093192,17.912884569168092,18.116195913155874,18.28321954011917,18.491236384709676,18.656816935539247,18.83977606296539,19.010795215765636,19.168664956092833,19.342626611391704,19.557549222310385,19.717323219776155,19.888668660322825,20.042887139320374,20.21204295158386,20.35530678431193,20.538785374164583,20.786215782165527,20.968122013409932,21.13391713698705,21.310010878245034,21.519544951121013,21.7063405752182,21.88318854967753,22.047370370229086,22.217335454622905,22.405451691150667,22.566974008083342,22.740291901429494,22.912146385510763,23.044145913918815,23.194390042622885,23.33580359617869,23.50354555050532,23.68592462539673,23.845712423324585,24.02265055179596,24.177373413244883,24.340143318971,24.50738247235616,24.66065861781438,24.778180674711862,24.927782185872395,25.074721372127534,25.20843151410421,25.341590480009714,25.458871722221375,25.605702944596608,25.755547654628753,25.88121631145477,26.02761923869451,26.165266227722167,26.312252680460613,26.459876747926078,26.610962967077892,26.74579915603002,26.876331754525502,26.9855170806249,27.150639617443083,27.30191195011139,27.431236775716147,27.58630778392156,27.711207008361818,27.835290384292602,27.964785468578338,28.076252337296804,28.212833321094514,28.33130146662394,28.450870060920714,28.562172242005666,28.707266171773274,28.80918345053991,28.949446682135264,29.062980635960898,29.18283147017161,29.29010153611501,29.412268900871275,29.535674329598745,29.63944488366445,29.891511563460032,30.026638440291087,30.156894930203755,30.270966657002766,30.394293133417765,30.51562902927399,30.650140714645385,30.770953917503356,30.88992109298706,31.01410988966624,31.121681773662566,31.239830418427786,31.40970440705617,31.51293136278788,31.648449512322745,31.784491948286693,31.89065992832184,31.998000208536784,32.10890105168025,32.2156503478686,32.32520388762156,32.43029546340306,32.52552059491475,32.654558471838634,32.767246814568836,32.87850910822551,33.11016715367635,33.38787758350372,33.58332223892212,33.7082647840182,33.849086141586305,33.96976047754288,34.08869620164236,34.2183158715566,34.36736313899358,34.504385300477345,34.708436556657155,34.8927642583847,35.01596848169962,35.16835100253423,35.30971280733744,35.42516732215881,35.536041835943855,35.650830348332725,35.82637800772985,35.949436755975086,36.099260866642,36.23359529574712,36.35960470438003,36.46464177370071
cummulative feedback,0.0,49.0,100.0,145.0,198.0,269.0,310.0,347.0,390.0,435.0,480.0,535.0,572.0,612.0,637.0,672.0,711.0,749.0,768.0,802.0,823.0,848.0,866.0,903.0,934.0,972.0,1003.0,1031.0,1060.0,1093.0,1122.0,1147.0,1171.0,1188.0,1212.0,1235.0,1259.0,1328.0,1350.0,1374.0,1406.0,1426.0,1445.0,1466.0,1532.0,1666.0,1698.0,1716.0,1741.0,1761.0,1784.0,1807.0,1833.0,1857.0,1883.0,1896.0,1920.0,1938.0,1957.0,1980.0,1999.0,2014.0,2038.0,2060.0,2085.0,2097.0,2114.0,2135.0,2148.0,2164.0,2180.0,2197.0,2208.0,2226.0,2240.0,2254.0,2311.0,2328.0,2344.0,2369.0,2386.0,2403.0,2424.0,2441.0,2453.0,2471.0,2491.0,2499.0,2513.0,2524.0,2541.0,2553.0,2569.0,2592.0,2605.0,2631.0,2646.0,2667.0,2688.0,2706.0,2715.0,2730.0,2742.0,2761.0,2768.0,2778.0,2794.0,2805.0,2814.0,2826.0,2842.0,2853.0,2871.0,2881.0,2891.0,2905.0,2917.0,2932.0,2945.0,2956.0,2966.0,2977.0,2991.0,2999.0,3012.0,3033.0,3041.0,3060.0,3072.0,3087.0,3110.0,3125.0,3140.0,3154.0,3168.0,3177.0,3199.0,3212.0,3229.0,3241.0,3258.0,3265.0,3279.0,3291.0,3313.0,3330.0,3336.0,3354.0,3367.0,3382.0,3394.0,3407.0,3421.0,3437.0,3452.0,3463.0,3486.0,3504.0,3522.0,3529.0,3539.0,3555.0,3566.0,3577.0,3603.0,3620.0,3645.0,3661.0,3678.0,3696.0,3712.0,3724.0,3745.0,3756.0,3778.0,3793.0,3813.0,3832.0,3844.0,3856.0,3873.0,3893.0,3913.0,3930.0,3954.0,3971.0,3990.0,4002.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
