,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185
Episode,0.0,1.0,6.0,11.0,16.0,21.0,26.0,31.0,36.0,41.0,46.0,51.0,56.0,61.0,66.0,71.0,76.0,81.0,86.0,91.0,96.0,101.0,106.0,111.0,116.0,121.0,126.0,131.0,136.0,141.0,146.0,151.0,156.0,161.0,166.0,171.0,176.0,181.0,186.0,191.0,196.0,201.0,206.0,211.0,216.0,221.0,226.0,231.0,236.0,241.0,246.0,251.0,256.0,261.0,266.0,271.0,276.0,281.0,286.0,291.0,296.0,301.0,306.0,311.0,316.0,321.0,326.0,331.0,336.0,341.0,346.0,351.0,356.0,361.0,366.0,371.0,376.0,381.0,386.0,391.0,396.0,401.0,406.0,411.0,416.0,421.0,426.0,431.0,436.0,441.0,446.0,451.0,456.0,461.0,466.0,471.0,476.0,481.0,486.0,491.0,496.0,501.0,506.0,511.0,516.0,521.0,526.0,531.0,536.0,541.0,546.0,551.0,556.0,561.0,566.0,571.0,576.0,581.0,586.0,591.0,596.0,601.0,606.0,611.0,616.0,621.0,626.0,631.0,636.0,641.0,646.0,651.0,656.0,661.0,666.0,671.0,676.0,681.0,686.0,691.0,696.0,701.0,706.0,711.0,716.0,721.0,726.0,731.0,736.0,741.0,746.0,751.0,756.0,761.0,766.0,771.0,776.0,781.0,786.0,791.0,796.0,801.0,806.0,811.0,816.0,821.0,826.0,831.0,836.0,841.0,846.0,851.0,856.0,861.0,866.0,871.0,876.0,881.0,886.0,891.0,896.0,901.0,906.0,911.0,916.0,921.0
Accumulated time steps,0.0,57.0,383.0,719.0,1491.0,1839.0,2212.0,2993.0,3305.0,3855.0,4177.0,4471.0,4860.0,5155.0,5512.0,5821.0,6332.0,6705.0,7068.0,7402.0,7702.0,8060.0,8452.0,8816.0,9114.0,9431.0,9854.0,10147.0,10481.0,10849.0,11144.0,11444.0,11817.0,12107.0,12382.0,12685.0,12977.0,13273.0,13724.0,14113.0,14407.0,14717.0,15019.0,15305.0,15588.0,15868.0,16154.0,16435.0,16719.0,17007.0,17308.0,17595.0,17883.0,18169.0,18443.0,18724.0,19178.0,19740.0,20019.0,20316.0,20589.0,20872.0,21223.0,21501.0,21789.0,22075.0,22354.0,22641.0,22918.0,23204.0,23483.0,23753.0,24454.0,24747.0,25033.0,25305.0,25586.0,25873.0,26161.0,26478.0,26759.0,27047.0,27475.0,27758.0,28040.0,28325.0,28596.0,28884.0,29170.0,29458.0,29745.0,30037.0,30324.0,30603.0,30895.0,31162.0,31747.0,32031.0,32325.0,32609.0,32893.0,33176.0,33461.0,33753.0,34033.0,34328.0,34638.0,34941.0,35235.0,35524.0,35810.0,36087.0,36392.0,36671.0,36975.0,37262.0,37551.0,37850.0,38154.0,38441.0,38730.0,39056.0,39349.0,39625.0,39902.0,40182.0,40477.0,40815.0,41120.0,41445.0,42004.0,42296.0,42694.0,42993.0,43415.0,43692.0,44101.0,44402.0,44714.0,45013.0,45353.0,45656.0,45984.0,46350.0,46643.0,47039.0,47383.0,47689.0,48241.0,48580.0,48915.0,49223.0,49509.0,49995.0,50299.0,50594.0,50902.0,51181.0,51480.0,52031.0,52338.0,52724.0,53024.0,53354.0,53638.0,53931.0,54249.0,54642.0,55050.0,55388.0,55726.0,56033.0,56334.0,56662.0,56948.0,57233.0,57526.0,57879.0,58180.0,58474.0,58776.0,59075.0,59366.0,59664.0,59933.0,60220.0
Episode reward,0.0,129.7913992062986,139.81175176669333,194.18357736735373,265.2520177890818,202.6991282694593,143.41673304269113,147.02367813288458,125.73365998557385,796.7106423251855,125.76455731116027,142.84902866816984,168.5713472365599,126.87873925925838,138.80103035558002,139.1256088516876,127.88666480037777,213.27082693152983,187.2423580170875,123.03969705238951,188.21517799828922,129.0114336241232,419.624369842861,156.72443164129422,188.83543501920576,179.73208093079927,181.64528623844805,161.7800325052438,162.33617559455007,147.9626972847393,188.01230217184408,159.22493885346213,144.84007119563634,156.61191286144282,120.53817808519527,190.85818767883526,169.1053275548322,159.07554891946347,374.21103154518426,193.36165127246923,186.90137151340375,164.30676975735312,126.76531849661886,157.56521567841077,177.2361436425398,164.41036555980003,174.07690168249928,191.2567509674107,151.0039419941672,140.79799157450543,185.55835528221385,184.5938823567933,175.9996295859779,160.8593268273415,173.74327829322627,133.2751493627335,159.1512787921357,126.7196765109201,152.41021413251826,143.30273396643446,131.08517358976488,170.57847195414857,181.09582043320745,139.39802778490275,116.4912506461013,185.35756597344655,192.0642259778346,135.79714506250897,170.0147390904944,158.32246724858362,158.3052503062694,126.82363567986826,116.46558686784432,180.34246842765202,194.47546699313173,134.68725983385136,131.7751280489314,162.59719356514455,128.03375735222082,125.05952837305529,168.36713495923226,168.68243445367327,141.57676206329404,181.05286480071248,127.36380424856054,126.29795262619177,123.72502876858475,187.82082887137642,114.72313188607806,160.0024627753399,165.48313513912586,130.4671519100525,166.18365122533447,158.6243174151094,169.70917583130387,165.59704061399518,122.61496963762742,169.56205037253847,166.34585352335722,127.0573352896761,143.97858940383813,176.70994181416265,193.03326492236218,137.53688689083606,155.16900753334923,185.7226861799403,185.22442035630533,179.67103423998645,170.54177007137355,179.26736998068233,121.88277279556894,137.8019182653795,131.85548774660367,169.33551048102262,240.24662833979806,145.6934066525799,134.81989919262097,174.87875093726836,132.30665684933496,155.09755951650308,159.73311300818574,146.46905741115182,129.7021492484825,132.42308659884606,168.12632755106335,125.4777473339749,162.09292065392745,182.3540513874236,160.668063286399,174.041267730925,187.79507479038082,158.54779968890833,287.5025676252411,181.51793980548896,402.1882611955756,169.98771915813563,164.50982467748887,170.93457776030496,189.249715679545,181.52341514788424,180.62683322504142,190.6509054694245,165.50258495518756,345.20821149216596,161.8625832347974,324.8880752933392,183.25865837117937,178.24609521506255,167.1144000439083,170.10643283948536,192.77923038599135,183.63908167300988,170.89772211532195,122.29978253705825,188.79359385599665,170.8936161437212,197.16900878502372,163.94251343650322,156.63266511980993,149.6979334597749,157.12349545683296,258.28394779420194,186.38518885218835,174.25006875828885,171.50726272498864,157.68219222397494,181.41348070026697,164.95823264469337,232.13131893059835,302.7506292238032,162.2742910430826,162.06398997082175,183.28924750597164,165.49739397799496,117.11621165355247,159.42272976707957,127.31719514367136,171.46337626823976,198.10234862850928,153.037796689888,179.9954184245152,177.2589706841898,127.55750419115074,154.2954262561601,134.27470239542978,156.57130936464037
Episode feedback,0.8,0.7857142716836738,0.6406249899902345,0.46575341827735045,0.662499995859375,0.7101449172442766,0.7230769119526629,0.6718749895019533,0.6724137815101072,0.7499999972426471,0.6964285589923472,0.523076915029586,0.6031745936004033,0.5535714186862247,0.6393442518140287,0.633333322777778,0.5892857037627554,0.743119259237438,0.42424241781450883,0.415094331790673,0.58730157797934,0.6428571313775513,0.6058394116362087,0.6229508094598228,0.5156249919433595,0.403225799947971,0.4218749934082032,0.47368420221606666,0.5172413703923902,0.4999999907407409,0.5312499916992189,0.5593220244182708,0.5084745676529735,0.32142856568877565,0.49999999038461557,0.44444443738977085,0.3793103382877528,0.3859649055093876,0.5869565174858223,0.46478872584804615,0.538461530177515,0.6190476116780046,0.4423076838017753,0.5614034989227457,0.46666665888888903,0.5263157802400741,0.4838709599375652,0.3906249938964845,0.4909090819834713,0.3999999927272729,0.39344261650094076,0.453124992919922,0.48333332527777795,0.5263157802400741,0.40983605885514657,0.3275862012485138,0.49122806155740245,0.5094339526521896,0.3571428507653063,0.2982456088027086,0.4074073998628259,0.32203389284688316,0.4426229435635583,0.2982456088027086,0.31999999360000014,0.30158729680020163,0.41269840614764436,0.41818181057851256,0.24137930618311543,0.30357142315051033,0.3571428507653063,0.2075471658953365,0.5686274398308345,0.4838709599375652,0.523809515495087,0.32727272132231416,0.3749999933035716,0.4999999913793105,0.3018867867568531,0.45098038331411017,0.3793103382877528,0.25423728382648675,0.3684210461680518,0.3114754047299114,0.46296295438957497,0.40384614607988184,0.3137254840445984,0.2539682499370119,0.33333332679738575,0.1929824527546938,0.38333332694444455,0.20370369993141296,0.34482758026159344,0.3928571358418369,0.34426228943832315,0.33333332748538025,0.4545454462809919,0.32203389284688316,0.33333332748538025,0.22641509006763982,0.3050847405917841,0.316666661388889,0.261538457514793,0.21818181421487612,0.24999999553571436,0.2419354799687826,0.38095237490551787,0.29508196237570555,0.37288134961218056,0.2622950776672938,0.1764705847750866,0.23214285299744905,0.5370370270919069,0.3050847405917841,0.40449437747759126,0.32727272132231416,0.33928570822704096,0.24590163531308795,0.46296295438957497,0.16071428284438782,0.1379310321046374,0.2909090856198348,0.29629629080932796,0.21818181421487612,0.2758620642092748,0.15384615088757403,0.3571428507653063,0.24590163531308795,0.25454544991735545,0.18644067480609028,0.34920634366339137,0.3999999927272729,0.46666666148148156,0.360655731792529,0.4519230725776628,0.24561403077870123,0.35087718682671604,0.5087719208987382,0.3174603124212649,0.3114754047299114,0.3278688470841173,0.22222221869488543,0.35087718682671604,0.45977010965781484,0.24561403077870123,0.3786407730229051,0.360655731792529,0.2499999958333334,0.2280701714373654,0.2758620642092748,0.26984126555807514,0.2786885200214997,0.37288134961218056,0.35999999280000017,0.35483870395421446,0.4482758543400715,0.2812499956054688,0.26315789012003704,0.2909090856198348,0.2363636320661158,0.4107142783801022,0.36893203525308704,0.15873015621063244,0.36206895927467314,0.22033897931628849,0.23214285299744905,0.2711864360815858,0.28070174946137283,0.3956043912570946,0.3578947330747923,0.4999999913793105,0.25454544991735545,0.2622950776672938,0.42105262419205924,0.23999999520000012,0.3090909034710745,0.35849055927376305,0.3050847405917841,0.32812499487304697,0.2727272677685951,0.3114754047299114,0.316666661388889,0.19230768860946754,0.20370369993141296,0.25925925445816195,0.32142856568877565
total seconds,0.0,4.7611799240112305,20.197412490844727,33.15100598335266,83.60772824287415,103.86548972129822,127.86170077323914,175.3146378993988,195.15707778930664,230.8683145046234,252.54932022094727,269.9714856147766,293.5486304759979,311.09289479255676,333.4747359752655,349.4344713687897,377.581885099411,401.7675976753235,422.66853952407837,441.4904568195343,456.29849791526794,476.416241645813,498.7618522644043,521.238025188446,534.4543583393097,549.8645038604736,573.5670695304871,584.7794868946075,604.6837935447693,623.9508275985718,640.8677554130554,655.8542301654816,676.0093269348145,690.6493773460388,703.7833626270294,716.9327285289764,730.0868442058563,743.8082218170166,766.8055853843689,789.2672564983368,804.66730260849,822.0379564762115,837.8104588985443,853.3199594020844,866.2853374481201,879.0409529209137,892.9078822135925,905.9748907089233,917.4647080898285,928.1463670730591,939.6585984230042,951.7969596385956,964.552460193634,977.1905701160431,988.9782032966614,1001.2001144886017,1023.6549601554871,1051.047147989273,1066.0736224651337,1079.0084025859833,1090.644505739212,1101.044971704483,1117.3199336528778,1127.376591205597,1136.4098546504974,1147.7416367530823,1158.9602813720703,1169.1424379348755,1179.5474605560303,1189.562964439392,1199.6634802818298,1209.657249212265,1239.6276142597198,1252.1233553886414,1264.332321882248,1275.0228154659271,1285.4782280921936,1295.7820358276367,1304.8154377937317,1317.274263381958,1328.6913068294525,1339.369570016861,1356.5928525924683,1367.5362749099731,1380.1205790042877,1391.7637388706207,1402.75372838974,1412.2075397968292,1422.2402424812317,1431.7243132591248,1442.0107288360596,1453.5637259483337,1464.2117247581482,1474.6302073001862,1486.0478377342224,1496.9714238643646,1522.51167178154,1531.5692536830902,1542.562334537506,1552.0081641674042,1562.3951737880707,1571.616605758667,1580.420264005661,1590.2342817783356,1599.6868810653687,1609.0516228675842,1620.0419354438782,1630.9457545280457,1639.810908317566,1649.220226764679,1659.7436921596527,1670.3348562717438,1681.5576605796814,1693.5109343528748,1706.3268785476685,1716.0458190441132,1724.842381477356,1734.4641077518463,1747.439706325531,1756.7081117630005,1765.2281024456024,1776.8745560646057,1787.4013419151306,1796.21480178833,1805.974137544632,1812.9446196556091,1820.3537604808807,1828.5310366153717,1836.6018443107605,1845.2858717441559,1860.8161878585815,1868.9840092658997,1881.7630558013916,1890.3655786514282,1902.281341791153,1912.3610553741455,1924.473909854889,1933.4919183254242,1942.815271139145,1951.1322877407074,1960.765149116516,1968.4859583377838,1976.8208816051483,1989.6626136302948,1996.494220495224,2007.7427871227264,2018.5185828208923,2024.9399178028107,2040.4478967189789,2049.2424840927124,2056.0958075523376,2061.8633778095245,2066.4989910125732,2074.507916688919,2079.2753455638885,2083.491697072983,2087.6755833625793,2091.7289786338806,2095.5186314582825,2103.795461177826,2108.3101971149445,2113.9888455867767,2117.471472978592,2122.7795956134796,2126.589149951935,2130.50959277153,2134.9330670833588,2140.7849838733673,2146.6148748397827,2151.4759619235992,2156.5286452770233,2161.0247185230255,2165.2306666374207,2170.1073191165924,2173.7011308670044,2177.332087993622,2181.290209054947,2187.2249224185944,2191.728937625885,2195.6177616119385,2199.495351791382,2203.179460287094,2207.017355442047,2210.6148693561554,2214.256049633026,2218.1236515045166
total minutes,0.0,0.0793529987335205,0.33662354151407875,0.552516766389211,1.3934621373812357,1.7310914953549703,2.1310283462206523,2.9219106316566466,3.2526179631551106,3.8478052417437234,4.209155337015788,4.499524760246277,4.892477174599965,5.184881579875946,5.557912266254425,5.823907856146494,6.293031418323517,6.696126627922058,7.0444756587346395,7.358174280325572,7.604974965254466,7.940270694096883,8.312697537740071,8.687300419807434,8.907572638988494,9.16440839767456,9.559451158841451,9.746324781576792,10.078063225746154,10.399180459976197,10.681129256884256,10.930903836091359,11.266822115580242,11.510822955767313,11.72972271045049,11.948878808816273,12.168114070097605,12.396803696950277,12.780093089739482,13.154454274972279,13.411121710141499,13.700632607936859,13.963507648309072,14.221999323368072,14.438088957468668,14.650682548681894,14.881798036893208,15.099581511815389,15.291078468163809,15.469106117884317,15.660976640383403,15.863282660643259,16.075874336560567,16.286509501934052,16.482970054944357,16.686668574810028,17.06091600259145,17.517452466487885,17.76789370775223,17.983473376433054,18.17740842898687,18.350749528408052,18.62199889421463,18.789609853426615,18.94016424417496,19.12902727921804,19.316004689534505,19.48570729891459,19.659124342600503,19.8260494073232,19.994391338030496,20.16095415353775,20.660460237661997,20.86872258981069,21.072205364704132,21.250380257765453,21.424637134869894,21.596367263793944,21.746923963228863,21.954571056365968,22.14485511382421,22.32282616694768,22.609880876541137,22.792271248499553,23.00200965007146,23.196062314510346,23.379228806495668,23.536792329947154,23.704004041353862,23.86207188765208,24.03351214726766,24.226062099138897,24.403528745969137,24.57717012166977,24.76746396223704,24.949523731072745,25.375194529692333,25.526154228051503,25.709372242291767,25.866802736123404,26.03991956313451,26.193610095977782,26.340337733427685,26.503904696305593,26.661448017756143,26.81752704779307,27.000698924064636,27.182429242134095,27.330181805292764,27.487003779411317,27.662394869327546,27.83891427119573,28.025961009661355,28.22518223921458,28.43878130912781,28.60076365073522,28.7473730246226,28.907735129197437,29.123995105425518,29.278468529383343,29.420468374093375,29.614575934410095,29.790022365252177,29.936913363138835,30.0995689590772,30.21574366092682,30.339229341348013,30.47551727692286,30.610030738512673,30.754764529069266,31.01360313097636,31.149733487764994,31.36271759668986,31.506092977523803,31.70468902985255,31.872684256235758,32.07456516424815,32.224865305423734,32.38025451898575,32.518871462345125,32.679419151941936,32.80809930562973,32.94701469341914,33.161043560504915,33.2749036749204,33.46237978537877,33.641976380348204,33.74899863004684,34.007464945316315,34.15404140154521,34.26826345920563,34.36438963015874,34.44164985020955,34.57513194481532,34.65458909273148,34.72486161788304,34.79459305604299,34.86214964389801,34.925310524304706,35.0632576862971,35.13850328524907,35.23314742644628,35.29119121630986,35.37965992689133,35.443152499198916,35.50849321285884,35.582217784722644,35.67974973122279,35.776914580663046,35.85793269872666,35.94214408795039,36.01707864205043,36.08717777729034,36.16845531860987,36.22835218111674,36.288868133227034,36.354836817582445,36.453748706976576,36.52881562709808,36.593629360198975,36.658255863189694,36.71965767145157,36.78362259070079,36.84358115593592,36.90426749388377,36.96872752507527
cummulative feedback,0.0,44.0,85.0,119.0,225.0,274.0,321.0,364.0,403.0,607.0,646.0,680.0,718.0,749.0,788.0,826.0,859.0,940.0,968.0,990.0,1027.0,1063.0,1146.0,1184.0,1217.0,1242.0,1269.0,1296.0,1326.0,1353.0,1387.0,1420.0,1450.0,1468.0,1494.0,1522.0,1544.0,1566.0,1647.0,1680.0,1715.0,1767.0,1790.0,1822.0,1850.0,1880.0,1910.0,1935.0,1962.0,1984.0,2008.0,2037.0,2066.0,2096.0,2121.0,2140.0,2168.0,2195.0,2215.0,2232.0,2254.0,2273.0,2300.0,2317.0,2333.0,2352.0,2378.0,2401.0,2415.0,2432.0,2452.0,2463.0,2492.0,2522.0,2555.0,2573.0,2594.0,2623.0,2639.0,2662.0,2684.0,2699.0,2720.0,2739.0,2764.0,2785.0,2801.0,2817.0,2834.0,2845.0,2868.0,2879.0,2899.0,2921.0,2942.0,2961.0,2986.0,3005.0,3024.0,3036.0,3054.0,3073.0,3090.0,3102.0,3116.0,3131.0,3155.0,3173.0,3195.0,3211.0,3220.0,3233.0,3262.0,3280.0,3316.0,3334.0,3353.0,3368.0,3393.0,3402.0,3410.0,3426.0,3442.0,3454.0,3470.0,3478.0,3498.0,3513.0,3527.0,3538.0,3560.0,3582.0,3624.0,3646.0,3693.0,3707.0,3727.0,3756.0,3776.0,3795.0,3815.0,3829.0,3849.0,3889.0,3903.0,3942.0,3964.0,3979.0,3992.0,4008.0,4025.0,4042.0,4064.0,4082.0,4104.0,4130.0,4148.0,4163.0,4179.0,4192.0,4215.0,4253.0,4263.0,4284.0,4297.0,4310.0,4326.0,4342.0,4378.0,4412.0,4441.0,4455.0,4471.0,4495.0,4507.0,4524.0,4543.0,4561.0,4582.0,4597.0,4616.0,4635.0,4645.0,4656.0,4670.0,4688.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
