,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
Episode,0.0,1.0,6.0,11.0,16.0,21.0,26.0,31.0,36.0,41.0,46.0,51.0,56.0,61.0,66.0,71.0,76.0,81.0,86.0,91.0,96.0,101.0,106.0,111.0,116.0,121.0,126.0,131.0,136.0,141.0,146.0,151.0,156.0,161.0,166.0,171.0,176.0,181.0,186.0,191.0,196.0,201.0,206.0,211.0,216.0,221.0,226.0,231.0,236.0,241.0,246.0,251.0,256.0,261.0,266.0,271.0,276.0,281.0,286.0,291.0,296.0,301.0,306.0,311.0,316.0,321.0,326.0,331.0,336.0,341.0,346.0,351.0,356.0,361.0,366.0,371.0,376.0,381.0,386.0,391.0,396.0,401.0,406.0,411.0,416.0,421.0,426.0,431.0,436.0,441.0,446.0,451.0,456.0,461.0,466.0,471.0,476.0,481.0,486.0,491.0,496.0,501.0,506.0,511.0,516.0,521.0,526.0,531.0,536.0,541.0,546.0,551.0,556.0,561.0,566.0,571.0,576.0,581.0,586.0,591.0,596.0,601.0,606.0,611.0,616.0,621.0,626.0,631.0,636.0,641.0,646.0,651.0,656.0,661.0,666.0,671.0,676.0,681.0,686.0,691.0,696.0,701.0,706.0,711.0,716.0,721.0,726.0,731.0,736.0,741.0,746.0,751.0,756.0,761.0,766.0,771.0,776.0,781.0,786.0,791.0,796.0,801.0,806.0,811.0,816.0,821.0,826.0,831.0,836.0,841.0,846.0,851.0,856.0,861.0,866.0,871.0,876.0,881.0,886.0,891.0,896.0,901.0,906.0,911.0,916.0,921.0,926.0,931.0,936.0,941.0,946.0,951.0,956.0,961.0,966.0,971.0,976.0,981.0,986.0,991.0
Accumulated time steps,0.0,65.0,400.0,726.0,1543.0,2105.0,2520.0,2897.0,3223.0,3590.0,3927.0,4252.0,4574.0,4873.0,5168.0,5448.0,5778.0,6081.0,6429.0,7001.0,7383.0,7688.0,7993.0,8291.0,8597.0,8889.0,9242.0,9533.0,9824.0,10110.0,10446.0,10853.0,11206.0,11514.0,11813.0,12099.0,12382.0,12679.0,12979.0,13278.0,13558.0,13828.0,14123.0,14423.0,14805.0,15098.0,15374.0,15640.0,15937.0,16209.0,16490.0,16799.0,17080.0,17350.0,17633.0,17925.0,18204.0,18488.0,18772.0,19044.0,19336.0,19634.0,19930.0,20211.0,20509.0,20789.0,21076.0,21361.0,21645.0,21932.0,22221.0,22502.0,22788.0,23071.0,23333.0,23622.0,23916.0,24251.0,24528.0,24810.0,25094.0,25378.0,25659.0,25953.0,26246.0,26547.0,26827.0,27108.0,27408.0,27705.0,27982.0,28272.0,28549.0,28830.0,29115.0,29406.0,29692.0,29976.0,30269.0,30561.0,30844.0,31133.0,31419.0,31718.0,32005.0,32285.0,32569.0,32862.0,33156.0,33439.0,33732.0,34017.0,34301.0,34583.0,34876.0,35149.0,35443.0,35730.0,36001.0,36290.0,36576.0,36871.0,37156.0,37437.0,37843.0,38137.0,38441.0,38731.0,39011.0,39304.0,39591.0,39868.0,40165.0,40437.0,40726.0,41037.0,41333.0,41608.0,41892.0,42177.0,42458.0,42742.0,43020.0,43313.0,43581.0,43875.0,44158.0,44444.0,44731.0,45083.0,45382.0,45754.0,46085.0,46576.0,46856.0,47134.0,47469.0,47751.0,48296.0,48591.0,48878.0,49165.0,49453.0,49743.0,50024.0,50305.0,50586.0,51196.0,51480.0,51766.0,52077.0,52391.0,52680.0,52988.0,53277.0,53560.0,53843.0,54130.0,54411.0,54704.0,54996.0,55303.0,55588.0,55871.0,56158.0,56430.0,56711.0,56989.0,57268.0,57545.0,57823.0,58112.0,58394.0,58670.0,58949.0,59227.0,59517.0,59788.0,60080.0,60353.0
Episode reward,0.0,145.34998540745275,187.88639601595563,152.19578371572445,184.6862061249339,148.01773630441846,236.2350307124346,421.8640272172356,160.0082793361683,165.5045976155918,181.83410493465172,174.0197709362485,122.2924318099808,174.67682884994693,131.53734127711445,127.50836914080327,132.21366455463922,179.53060459291666,157.1705238849431,1826.031475410954,238.90273729503159,185.38320870610568,166.6246351460816,172.67457642848257,187.14906336152544,136.87984946259922,562.3996573874956,130.4651333255538,134.71243589917043,165.29925000667544,167.34479024890442,163.71513727177745,172.58916391514384,170.590282398267,149.5192532192098,188.51102130185592,140.5425529165539,189.2472182588296,175.92767983880157,177.7170167237334,131.11127667661881,160.78421092378645,182.85558734628222,173.72407689278378,162.1195945817849,161.63944185163223,135.19153379222945,122.90376018903743,172.09607451854086,139.0540205321089,175.3088681945126,166.61108676596172,186.39343435144045,132.0321460753928,131.57095540955882,159.20434768032368,131.16186141991437,146.09211384063744,130.9838195083106,116.16112291473301,162.8269170224494,183.87922305926688,186.20471803479234,135.04798870378823,180.1313030198209,167.12680093428247,163.15733301894144,172.5243633351398,158.22439948810828,119.58595908347762,179.90296430410382,118.16474724397655,119.9287591733683,124.70604552620033,107.5762027984373,118.99933142781612,177.1326658977281,161.16117324902615,113.26238523013964,164.88240710857409,147.08249917366507,156.8118884407748,120.48114332357858,146.606824201518,161.0226010047425,163.7089216887236,174.53956912098153,132.07761661645725,123.06472406964284,151.0904053597058,132.53375801168076,156.3652947049386,161.82107079561194,123.8207951656091,154.26827161251472,173.49274252421918,157.35441714127666,157.0162284205648,183.37627360316486,154.1546651171302,169.2771452693381,180.38207366556574,166.23702144675153,190.8843673416679,176.67378296117514,158.05508153573703,177.61694903496806,170.14059192464168,134.1485636145459,126.99148107926945,166.21031276558816,122.04737459048118,128.85631228951064,126.22789439232231,147.82517990202655,142.55790281794387,176.36477019669576,177.92123656345905,117.87353600600404,182.8091500248022,175.7067606009297,184.61079243659242,139.43592004961093,167.48538178780012,239.62833408088196,164.0999582980805,186.91767764212423,176.1503202404441,167.82413651163915,172.88570174395062,127.68340280154777,153.4358646868336,187.30209415501776,117.05071753131197,122.4552606482508,153.0022019313286,133.02853162712088,182.93546210266214,174.23987935554422,155.20984783186822,176.7271689554613,188.62855943152758,173.5414274553632,166.99806107142592,138.10537369820997,190.56255847389428,131.74799121251996,178.59027702504397,145.05400098865334,173.47328289599957,147.60419291370926,127.62767833162617,126.73894909389173,201.63707166729975,138.32848151589684,126.3280062235582,299.1908742661955,155.66734116165028,123.51719379430816,176.14719221358396,162.6129787054325,157.7863824987915,187.99345100688768,172.081368608528,175.44745441508184,139.1005689959784,119.52503769309976,133.27387110419875,117.48696531476381,164.33524782313316,179.04238535033997,132.42309566850338,181.33825370055902,189.86450054464987,170.36882218031903,127.96829251813395,168.29192839187706,123.53289878778865,128.90939834387544,182.29888805948494,129.41015997279345,192.13499869970693,133.331009286912,151.09926988187647,179.83591513708345,140.1127789162263,155.18093376615244,156.04399661739046,172.59223028331732,181.79403471096296,131.32520020934396,170.1902239526763,154.09384244506114,120.04703534594493,183.88410030536437,154.14370583150637,156.20524454784655,120.69440316124526,189.0667386003528,124.2649676016887
Episode feedback,0.8,0.7343749885253908,0.49999999242424253,0.5937499907226564,0.7848101166479732,0.7428571322448981,0.8156028310950154,0.7368420987996307,0.5084745676529735,0.553846145325444,0.523076915029586,0.5079364998740238,0.5789473582640815,0.45901638591776417,0.56363635338843,0.4999999907407409,0.6551724024970276,0.3709677359521333,0.43103447532699185,0.6746987931484976,0.6043955977538945,0.4516128959417275,0.6140350769467531,0.499999991935484,0.47692306958579894,0.5357142761479594,0.6030534305110425,0.4999999907407409,0.5178571336096941,0.3389830451019823,0.5166666580555557,0.48275861236623085,0.5333333244444446,0.44615383928994096,0.6101694811835682,0.3906249938964845,0.2830188625845498,0.4603174530108341,0.38709676795005216,0.39999999333333347,0.43396225596297633,0.2727272677685951,0.27419354396462026,0.3559321973570814,0.4821428485331634,0.3793103382877528,0.4107142783801022,0.5490195970780472,0.39344261650094076,0.4909090819834713,0.6499999891666669,0.31034482223543414,0.4838709599375652,0.41818181057851256,0.44444443621399193,0.36206895927467314,0.37037036351166,0.23214285299744905,0.3818181748760332,0.5199999896000003,0.42105262419205924,0.403225799947971,0.4285714217687076,0.3090909034710745,0.29032257596253913,0.22413792717003575,0.2499999958333334,0.29508196237570555,0.4107142783801022,0.3137254840445984,0.2419354799687826,0.21568627028066137,0.33962263510145974,0.3018867867568531,0.3404255246717974,0.2549019557862362,0.34426228943832315,0.5087719208987382,0.28571427988338205,0.1355932180407929,0.33962263510145974,0.2363636320661158,0.3269230706360948,0.12962962722908097,0.20689654815695607,0.2280701714373654,0.20338982706118938,0.35185184533607694,0.30769230177514806,0.3999999927272729,0.29629629080932796,0.21818181421487612,0.2982456088027086,0.30769230177514806,0.24999999553571436,0.1896551691438764,0.21428571045918376,0.285714280612245,0.12903225598335072,0.16363636066115708,0.3793103382877528,0.19672130825047038,0.2280701714373654,0.1718749973144532,0.23333332944444451,0.2280701714373654,0.29508196237570555,0.16949152255099115,0.2727272677685951,0.22222221810699597,0.20689654815695607,0.23076922633136104,0.2830188625845498,0.30769230177514806,0.2363636320661158,0.11111110905349798,0.27419354396462026,0.2499999958333334,0.31999999360000014,0.30303029843893486,0.19999999666666674,0.2539682499370119,0.28070174946137283,0.3389830451019823,0.4999999943181819,0.21052631209602962,0.30158729680020163,0.2711864360815858,0.11666666472222226,0.18333333027777785,0.16071428284438782,0.25454544991735545,0.30645160796045795,0.3061224427321951,0.21153845747041428,0.2363636320661158,0.19999999636363644,0.14754098118785278,0.22033897931628849,0.2363636320661158,0.18333333027777785,0.15873015621063244,0.3389830451019823,0.35087718682671604,0.1428571403061225,0.15624999755859378,0.33333332716049396,0.14754098118785278,0.2280701714373654,0.19999999666666674,0.16363636066115708,0.3269230706360948,0.13207546920612323,0.199999996923077,0.2075471658953365,0.21153845747041428,0.372093018929151,0.25454544991735545,0.3846153772189351,0.38333332694444455,0.24561403077870123,0.21428571045918376,0.24999999609375007,0.20338982706118938,0.23333332944444451,0.17857142538265314,0.21568627028066137,0.34545453917355384,0.2549019557862362,0.15517241111771707,0.14516128798126957,0.33333332716049396,0.22580644797086374,0.18749999707031256,0.15254237029589204,0.18518518175583,0.17241379013079672,0.21568627028066137,0.24074073628257897,0.2419354799687826,0.12962962722908097,0.2343749963378907,0.1454545428099174,0.24074073628257897,0.14999999750000004,0.24999999553571436,0.25454544991735545,0.2363636320661158,0.17460317183169569,0.19672130825047038,0.2363636320661158,0.3275862012485138,0.12499999776785718,0.2745097985390236,0.2419354799687826,0.1454545428099174,0.19642856792091845,0.07999999840000004,0.12698412496850595,0.34615383949704154
total seconds,0.0,4.325923919677734,18.44085669517517,31.918648958206177,84.45561122894287,120.72418546676636,148.0565447807312,172.15471982955933,193.53009605407715,214.5271656513214,232.59477519989014,249.47904181480408,266.53257989883423,282.2507061958313,301.09619140625,314.61396050453186,331.4416217803955,344.5611846446991,363.529545545578,393.51645708084106,413.5018448829651,430.05810284614563,444.77999901771545,458.47344613075256,472.10124135017395,487.0536777973175,504.8736686706543,521.328775882721,533.9858477115631,547.246422290802,565.0205857753754,586.2044155597687,603.6549229621887,619.2410972118378,632.6184663772583,643.7608156204224,655.7962687015533,668.1620070934296,680.4855189323425,691.9394285678864,702.591728925705,712.6683406829834,722.2835874557495,734.0112557411194,753.8804752826691,767.6322507858276,780.1496715545654,793.109231710434,807.0431838035583,818.7819323539734,832.9424617290497,846.3855600357056,858.7853043079376,871.3038403987885,882.8719506263733,892.7106189727783,902.9239764213562,914.1751043796539,926.0024290084839,938.149010181427,950.9046759605408,962.576934337616,973.9176754951477,983.8455035686493,994.6654105186462,1005.0663595199585,1014.5829916000366,1024.4923963546753,1034.9853630065918,1045.0073487758636,1055.9556756019592,1066.2660822868347,1077.5042910575867,1087.8116281032562,1098.1353964805603,1107.6867053508759,1118.4732022285461,1134.212485074997,1144.4934694766998,1153.7756938934326,1163.0818467140198,1173.0590560436249,1182.35289645195,1190.0299422740936,1200.251127243042,1208.3232924938202,1215.961848974228,1225.3198549747467,1235.1649825572968,1244.5121693611145,1253.3551723957062,1263.0835654735565,1272.2523832321167,1280.5104403495789,1289.0929689407349,1296.989287853241,1305.2728242874146,1314.0162596702576,1321.9589848518372,1330.64479637146,1339.2754335403442,1347.9279901981354,1358.7961983680725,1369.2237884998322,1377.206976890564,1384.782434463501,1393.2003536224365,1401.9705715179443,1410.9325594902039,1419.4699716567993,1427.9266622066498,1437.153256893158,1443.8061804771423,1452.3230261802673,1460.556020975113,1467.38729929924,1475.5183773040771,1484.7103443145752,1493.1502528190613,1501.7537295818329,1509.1620209217072,1517.9552879333496,1526.5546975135803,1534.4014809131622,1551.2306027412415,1560.0750398635864,1568.375468969345,1576.9160029888153,1584.8342082500458,1592.801879644394,1601.6422441005707,1610.0055503845215,1618.3666064739227,1625.2994940280914,1630.9205300807953,1638.886066198349,1645.7662568092346,1652.3038947582245,1657.9254677295685,1664.587005853653,1671.1273925304413,1677.3583734035492,1684.3858678340912,1691.6063902378082,1697.3975477218628,1703.8887922763824,1709.8255829811096,1716.340840101242,1722.7897505760193,1731.9302532672882,1739.940013885498,1749.806560754776,1759.46151804924,1773.7737662792206,1781.6319243907928,1787.8795373439789,1795.2195601463318,1802.3295421600342,1816.2797691822052,1823.4700927734375,1829.9522898197174,1837.3838822841644,1845.8182458877563,1853.339650630951,1859.4289474487305,1865.677550315857,1872.3721952438354,1887.2408661842346,1894.0470464229584,1900.8723862171173,1907.2760956287384,1914.5792224407196,1921.1965162754059,1927.695678472519,1932.93771982193,1938.912230014801,1944.9335021972656,1951.303792476654,1957.1275582313538,1963.8362829685211,1970.2847502231598,1976.8213574886322,1983.2775135040283,1989.412692785263,1995.222020149231,2000.7127957344055,2007.00382065773,2013.2343890666962,2019.5158290863037,2025.9485356807709,2031.6620180606842,2039.0692291259766,2045.546231508255,2050.635134935379,2056.9587993621826,2063.194452524185,2069.666091442108,2075.8774042129517,2081.263860464096,2087.930187702179
total minutes,0.0,0.0720987319946289,0.30734761158625284,0.5319774826367696,1.4075935204823813,2.012069757779439,2.4676090796788532,2.8692453304926553,3.225501600901286,3.575452760855357,3.876579586664836,4.157984030246735,4.44220966498057,4.704178436597188,5.018269856770833,5.243566008408864,5.524027029673259,5.742686410744985,6.058825759092967,6.558607618014018,6.891697414716085,7.167635047435761,7.412999983628591,7.641224102179209,7.868354022502899,8.11756129662196,8.414561144510905,8.688812931378683,8.899764128526051,9.1207737048467,9.417009762922923,9.770073592662811,10.060915382703145,10.320684953530629,10.54364110628764,10.72934692700704,10.929937811692556,11.136033451557159,11.341425315539043,11.532323809464772,11.709862148761749,11.877805678049723,12.03805979092916,12.233520929018656,12.564674588044484,12.79387084643046,13.002494525909423,13.2184871951739,13.450719730059307,13.64636553923289,13.882374362150829,14.106426000595093,14.313088405132294,14.52173067331314,14.714532510439556,14.878510316212973,15.048732940355936,15.236251739660899,15.433373816808064,15.635816836357117,15.848411266009013,16.042948905626933,16.23196125825246,16.397425059477488,16.577756841977436,16.751105991999307,16.909716526667278,17.07487327257792,17.249756050109863,17.416789146264396,17.599261260032655,17.771101371447244,17.958404850959777,18.13019380172094,18.302256608009337,18.461445089181264,18.641220037142435,18.903541417916617,19.074891157944997,19.229594898223876,19.384697445233662,19.550984267393748,19.7058816075325,19.833832371234895,20.0041854540507,20.13872154156367,20.26603081623713,20.421997582912446,20.586083042621613,20.74186948935191,20.88925287326177,21.051392757892607,21.204206387201946,21.34184067249298,21.484882815678915,21.61648813088735,21.75454707145691,21.900270994504293,22.03264974753062,22.177413272857667,22.321257225672404,22.465466503302256,22.64660330613454,22.820396474997203,22.953449614842732,23.07970724105835,23.220005893707274,23.36617619196574,23.515542658170066,23.657832860946655,23.798777703444163,23.952554281552633,24.063436341285705,24.205383769671123,24.342600349585215,24.45645498832067,24.591972955067952,24.74517240524292,24.885837546984355,25.02922882636388,25.15270034869512,25.29925479888916,25.442578291893007,25.57335801521937,25.85384337902069,26.00125066439311,26.139591149489085,26.28193338314692,26.413903470834097,26.54669799407323,26.694037401676177,26.833425839742024,26.97277677456538,27.08832490046819,27.182008834679923,27.314767769972484,27.429437613487245,27.53839824597041,27.63209112882614,27.743116764227548,27.852123208840688,27.955972890059154,28.073097797234855,28.193439837296804,28.289959128697713,28.398146537939706,28.49709304968516,28.605680668354033,28.71316250960032,28.86550422112147,28.99900023142497,29.163442679246266,29.324358634154002,29.562896104653678,29.693865406513215,29.797992289066315,29.920326002438863,30.038825702667236,30.271329486370085,30.391168212890626,30.499204830328623,30.623064704736073,30.763637431462605,30.888994177182514,30.99048245747884,31.094625838597615,31.206203254063926,31.45401443640391,31.567450773715972,31.681206436951957,31.78793492714564,31.909653707345328,32.019941937923434,32.12826130787531,32.21562866369883,32.315203833580014,32.415558369954425,32.5217298746109,32.61879263718923,32.73060471614202,32.838079170385996,32.947022624810536,33.05462522506714,33.156878213087715,33.25370033582052,33.345213262240094,33.45006367762883,33.55390648444494,33.65859715143839,33.765808928012845,33.861033634344736,33.98448715209961,34.09243719180425,34.17725224892298,34.28264665603638,34.38657420873642,34.49443485736847,34.59795673688253,34.68773100773493,34.79883646170298
cummulative feedback,0.0,47.0,80.0,118.0,180.0,232.0,347.0,431.0,461.0,497.0,531.0,563.0,596.0,624.0,655.0,682.0,720.0,743.0,768.0,992.0,1047.0,1075.0,1110.0,1141.0,1172.0,1202.0,1281.0,1308.0,1337.0,1357.0,1388.0,1416.0,1448.0,1477.0,1513.0,1538.0,1553.0,1582.0,1606.0,1630.0,1653.0,1668.0,1685.0,1706.0,1733.0,1755.0,1778.0,1806.0,1830.0,1857.0,1896.0,1914.0,1944.0,1967.0,1991.0,2012.0,2032.0,2045.0,2066.0,2092.0,2116.0,2141.0,2168.0,2185.0,2203.0,2216.0,2231.0,2249.0,2272.0,2288.0,2303.0,2314.0,2332.0,2348.0,2364.0,2377.0,2398.0,2427.0,2441.0,2449.0,2467.0,2480.0,2497.0,2504.0,2516.0,2529.0,2541.0,2560.0,2576.0,2598.0,2614.0,2626.0,2643.0,2659.0,2673.0,2684.0,2696.0,2712.0,2720.0,2729.0,2751.0,2763.0,2776.0,2787.0,2801.0,2814.0,2832.0,2842.0,2857.0,2869.0,2881.0,2893.0,2908.0,2924.0,2937.0,2943.0,2960.0,2975.0,2991.0,3011.0,3023.0,3039.0,3055.0,3075.0,3119.0,3131.0,3150.0,3166.0,3173.0,3184.0,3193.0,3207.0,3226.0,3241.0,3252.0,3265.0,3276.0,3285.0,3298.0,3311.0,3322.0,3332.0,3352.0,3372.0,3380.0,3390.0,3408.0,3417.0,3430.0,3442.0,3451.0,3468.0,3475.0,3488.0,3499.0,3510.0,3542.0,3556.0,3576.0,3599.0,3613.0,3625.0,3641.0,3653.0,3667.0,3677.0,3688.0,3707.0,3720.0,3729.0,3738.0,3756.0,3770.0,3782.0,3791.0,3801.0,3811.0,3822.0,3835.0,3850.0,3857.0,3872.0,3880.0,3893.0,3902.0,3916.0,3930.0,3943.0,3954.0,3966.0,3979.0,3998.0,4005.0,4019.0,4034.0,4042.0,4053.0,4057.0,4065.0,4083.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
