,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192
Episode,0.0,1.0,6.0,11.0,16.0,21.0,26.0,31.0,36.0,41.0,46.0,51.0,56.0,61.0,66.0,71.0,76.0,81.0,86.0,91.0,96.0,101.0,106.0,111.0,116.0,121.0,126.0,131.0,136.0,141.0,146.0,151.0,156.0,161.0,166.0,171.0,176.0,181.0,186.0,191.0,196.0,201.0,206.0,211.0,216.0,221.0,226.0,231.0,236.0,241.0,246.0,251.0,256.0,261.0,266.0,271.0,276.0,281.0,286.0,291.0,296.0,301.0,306.0,311.0,316.0,321.0,326.0,331.0,336.0,341.0,346.0,351.0,356.0,361.0,366.0,371.0,376.0,381.0,386.0,391.0,396.0,401.0,406.0,411.0,416.0,421.0,426.0,431.0,436.0,441.0,446.0,451.0,456.0,461.0,466.0,471.0,476.0,481.0,486.0,491.0,496.0,501.0,506.0,511.0,516.0,521.0,526.0,531.0,536.0,541.0,546.0,551.0,556.0,561.0,566.0,571.0,576.0,581.0,586.0,591.0,596.0,601.0,606.0,611.0,616.0,621.0,626.0,631.0,636.0,641.0,646.0,651.0,656.0,661.0,666.0,671.0,676.0,681.0,686.0,691.0,696.0,701.0,706.0,711.0,716.0,721.0,726.0,731.0,736.0,741.0,746.0,751.0,756.0,761.0,766.0,771.0,776.0,781.0,786.0,791.0,796.0,801.0,806.0,811.0,816.0,821.0,826.0,831.0,836.0,841.0,846.0,851.0,856.0,861.0,866.0,871.0,876.0,881.0,886.0,891.0,896.0,901.0,906.0,911.0,916.0,921.0,926.0,931.0,936.0,941.0,946.0,951.0,956.0
Accumulated time steps,0.0,64.0,390.0,744.0,1465.0,2030.0,2422.0,2776.0,3201.0,3567.0,3911.0,4243.0,4558.0,4874.0,5169.0,5509.0,5833.0,6138.0,6432.0,6729.0,7025.0,7321.0,7619.0,7908.0,8200.0,8493.0,8785.0,9069.0,9435.0,9764.0,10058.0,10346.0,10635.0,10934.0,11225.0,11517.0,11816.0,12097.0,12378.0,12672.0,13154.0,13452.0,13953.0,14261.0,14557.0,14851.0,15147.0,15441.0,15718.0,16009.0,16308.0,16591.0,16888.0,17170.0,17446.0,17752.0,18041.0,18338.0,18633.0,18928.0,19214.0,19494.0,19783.0,20079.0,20383.0,20658.0,21005.0,21289.0,21569.0,21863.0,22242.0,22527.0,22812.0,23091.0,23385.0,23679.0,23980.0,24279.0,24714.0,24998.0,25278.0,25566.0,25859.0,26161.0,26454.0,26745.0,27026.0,27311.0,27595.0,27884.0,28173.0,28469.0,28750.0,29029.0,29318.0,29609.0,29882.0,30184.0,30458.0,30744.0,31030.0,31311.0,31602.0,31877.0,32143.0,32430.0,32721.0,32994.0,33280.0,33577.0,33876.0,34160.0,34450.0,34769.0,35058.0,35331.0,35620.0,35946.0,36239.0,36515.0,36810.0,37106.0,37437.0,37726.0,38018.0,38310.0,38590.0,38875.0,39157.0,39431.0,39701.0,39984.0,40275.0,40560.0,40848.0,41128.0,41401.0,41697.0,41990.0,42275.0,42570.0,43031.0,43332.0,43627.0,43912.0,44213.0,44564.0,44906.0,45196.0,45494.0,45780.0,46086.0,46375.0,46665.0,46953.0,47238.0,47527.0,47824.0,48131.0,48420.0,49012.0,49302.0,49585.0,49883.0,50165.0,50447.0,50747.0,51022.0,51316.0,51592.0,51886.0,52174.0,52465.0,52740.0,53034.0,53327.0,53602.0,55159.0,55946.0,56236.0,56560.0,56992.0,57262.0,57560.0,57845.0,58135.0,58422.0,59069.0,59350.0,59635.0,59922.0,60225.0,60501.0
Episode reward,0.0,134.6377522375065,137.80829966522037,150.93905176352382,436.5646046296305,181.8456921943766,128.1757328549545,179.05987125607518,145.1645477037077,190.22300122864974,199.18604576217817,129.54681067158833,137.9588409867751,162.40719355926447,129.81656682612302,171.13190818787984,197.58833504992677,180.3036535332098,159.96121650054522,138.09978753805524,166.80934537277514,179.1833699675084,151.3755246361475,181.100928612981,163.1607903761917,167.34513253965872,182.92490398219715,173.3652255781495,188.11014228087134,167.97986806004292,157.06495198665593,194.59021917461925,167.80158155457917,179.82228167864275,179.71638058529936,182.66001142770176,167.28487387482363,161.50467001855176,153.88439749250443,161.84987021715824,176.9564179663105,190.68177362229838,1400.7436075867986,195.10667845303678,187.72156309283096,178.4377984362198,140.43617331037095,156.23941809959362,123.24938249203355,133.6398397471659,169.04030560052206,180.55326127974985,137.65932212820147,125.08075074673536,176.32903235173427,168.76924152031106,134.94406315048442,164.1948211234448,156.6787724328877,178.15805845492164,161.39524430109694,141.9333334049217,171.58122078200077,142.9092205610965,167.27864321530737,166.63271304207768,179.96044078342828,134.27151334148385,124.97764685397239,183.3453720995906,704.221236739109,159.6394259311426,122.9228899570238,167.1301900484152,188.88708998591875,166.08571163524633,191.05361926266153,177.2050902571508,146.54859322493618,128.1358651561959,156.62404652215525,176.2826240158361,183.6042284657215,187.16293263813515,184.02891059974434,149.51313323282628,143.4551867760855,121.6468873736019,170.4862451030877,174.85278633690547,159.4050733459489,158.53848697080906,121.59270160138688,146.0062939533172,176.69878844939953,161.45249316361733,123.57691752498303,185.32231555270116,120.47897462334696,167.08439276753336,163.77976214700482,163.3944004781364,163.76656485504344,179.92773009281711,123.54461354917831,177.69591682545476,163.6605213878555,157.49816213812343,146.04216601000266,170.30398884725795,169.32157734121992,124.52436603985961,157.82304273597762,129.86149306695623,167.05189812826754,121.51624532292472,166.25599924408897,311.57605613547923,168.55373294405356,159.0836517233406,130.28446303813055,159.10998534445673,159.49519683647353,115.59028469971923,178.84506986249042,181.95203802547385,151.25241936538688,169.50538777061598,170.90492078647836,125.19779721215342,146.16852744379128,123.96656376536484,163.32890471601644,126.31649583093318,156.08762738748365,123.33656649128869,152.3221423536822,181.05457865794043,164.3932270772245,159.37987744056792,111.91334254474113,130.94003211933423,176.0224750421006,164.77649138494866,161.08960605712235,165.9987049654296,137.16258180576418,166.17262853487088,189.0653901897755,166.0363019942543,160.57714150391877,183.06767556280963,147.68551534858085,160.42258245919317,185.55686066276073,152.07094190567125,178.44511435769624,177.74313711478973,186.5085654488896,157.69309712785736,212.81558471998974,160.30611042976014,149.3416239318957,177.5870599035316,160.52812893269143,171.86147764459903,125.2741586171652,128.14493653140872,181.48566108577796,118.9869629547999,174.0222869606638,163.13223692476598,162.03294225250846,117.46948271773732,164.6720337601075,168.09065668555985,169.8646105821699,1297.2887593978028,177.0451784715192,147.78005938944295,177.90541272883695,220.41541490848624,124.60092213784966,171.75071149917187,119.38703618755024,179.5644311403536,178.1079198739383,161.47819530412605,132.53573937937483,122.18945982696209,184.14339883488685,187.53098247939738,1.6145147575825431
Episode feedback,0.8,0.841269827916352,0.5999999900000001,0.38805969570060156,0.7553516796472426,0.7931034391597306,0.6724137815101072,0.6406249899902345,0.4426229435635583,0.538461530177515,0.7073170645449138,0.6393442518140287,0.6666666565656567,0.5322580559313217,0.5272727176859506,0.6349206248425298,0.695652163831128,0.6349206248425298,0.40350876485072346,0.42105262419205924,0.6610169379488655,0.5245901553345876,0.56363635338843,0.4999999916666668,0.3793103382877528,0.5333333244444446,0.5079364998740238,0.44067795863257697,0.5967741839229971,0.3965517173008325,0.5272727176859506,0.4218749934082032,0.38983050186727963,0.3709677359521333,0.39999999333333347,0.403225799947971,0.3793103382877528,0.4237288063774779,0.34545453917355384,0.43859648353339503,0.403225799947971,0.3437499946289064,0.5571955698996474,0.292307687810651,0.4285714217687076,0.26562499584960947,0.3684210461680518,0.3928571358418369,0.49999999038461557,0.4915254153978743,0.42622950120935243,0.3770491741467349,0.35087718682671604,0.3018867867568531,0.2622950776672938,0.3499999941666668,0.28070174946137283,0.1896551691438764,0.44067795863257697,0.2499999958333334,0.3859649055093876,0.3636363570247935,0.34426228943832315,0.32203389284688316,0.43333332611111125,0.4561403428747308,0.3278688470841173,0.41666665972222233,0.33962263510145974,0.25806451196670144,0.551282047748192,0.2586206851961951,0.3529411695501732,0.24561403077870123,0.2968749953613282,0.21666666305555562,0.18181817906336092,0.16393442354205864,0.39999999333333347,0.3965517173008325,0.32142856568877565,0.4516128959417275,0.43548386394380867,0.26984126555807514,0.30158729680020163,0.24999999553571436,0.43859648353339503,0.30769230177514806,0.40677965412237876,0.29508196237570555,0.25454544991735545,0.14035087473068641,0.29999999400000016,0.29629629080932796,0.25806451196670144,0.3157894681440444,0.43396225596297633,0.3114754047299114,0.23529411303344877,0.1929824527546938,0.3571428507653063,0.3157894681440444,0.21052631209602962,0.32258063995837677,0.24999999519230778,0.2786885200214997,0.36206895927467314,0.24999999553571436,0.3859649055093876,0.28813558833668496,0.32203389284688316,0.19230768860946754,0.35087718682671604,0.3999999927272729,0.32203389284688316,0.2692307640532545,0.24137930618311543,0.4803921521530181,0.23728813157138762,0.29310344322235443,0.32727272132231416,0.25454544991735545,0.24561403077870123,0.29411764129181095,0.24590163531308795,0.20967741597294492,0.21818181421487612,0.25423728382648675,0.22413792717003575,0.16981131755072987,0.20370369993141296,0.25925925445816195,0.22033897931628849,0.31481480898491093,0.20370369993141296,0.23529411303344877,0.30357142315051033,0.17460317183169569,0.18333333027777785,0.23214285299744905,0.3469387684298211,0.3636363570247935,0.24590163531308795,0.22413792717003575,0.3157894681440444,0.3278688470841173,0.33333332748538025,0.20689654815695607,0.33870967195629564,0.2758620642092748,0.22413792717003575,0.19047618745275893,0.3275862012485138,0.24137930618311543,0.27419354396462026,0.17857142538265314,0.3333333277777779,0.17741935197710723,0.20634920307382218,0.30357142315051033,0.43243242658875103,0.26315789012003704,0.19999999636363644,0.24590163531308795,0.1929824527546938,0.13333333111111115,0.2075471658953365,0.22222221810699597,0.17741935197710723,0.0784313710111496,0.11475409647944104,0.28070174946137283,0.15517241111771707,0.14285713994169102,0.29310344322235443,0.14999999750000004,0.20338982706118938,0.43310657498161775,0.38461538038884197,0.36206895927467314,0.360655731792529,0.33333332921810704,0.30769230177514806,0.15254237029589204,0.2199999956000001,0.2419354799687826,0.19672130825047038,0.4642857059948981,0.2678571380739797,0.24528301423994314,0.27419354396462026,0.2343749963378907,0.499999750000125
total seconds,0.0,5.1597230434417725,18.309525728225708,32.22344779968262,75.60507416725159,111.29353213310242,134.67151737213135,157.46828508377075,182.21992349624634,203.64380407333374,223.28859043121338,241.27022051811218,259.8051497936249,276.1396493911743,293.18977212905884,312.8538820743561,331.095068693161,349.706707239151,365.597736120224,380.45832872390747,396.6079123020172,411.78445839881897,426.15093326568604,438.6190073490143,451.6522271633148,465.7094326019287,480.36551666259766,492.0257661342621,513.4838597774506,530.2340261936188,543.4585602283478,556.403012752533,568.1716773509979,580.4415020942688,593.8866255283356,605.468519449234,616.5053141117096,627.1175880432129,637.054934501648,647.8723940849304,671.1108560562134,684.0243268013,706.4944961071014,719.4295089244843,730.2734477519989,740.4171419143677,751.3089797496796,761.6573181152344,771.8321077823639,783.7168879508972,796.7079420089722,808.1403458118439,818.5747482776642,829.0956709384918,838.3011260032654,848.4600367546082,857.4802515506744,868.5192201137543,879.6598916053772,889.3573617935181,900.1516678333282,908.7786319255829,919.819028377533,931.4467813968658,943.2871973514557,954.6282517910004,969.0805253982544,980.5965082645416,991.0609676837921,1002.4012668132782,1018.4460635185242,1028.4711096286774,1037.8921105861664,1047.7622179985046,1058.5555846691132,1068.130005121231,1078.0243079662323,1087.2630052566528,1104.9844105243683,1117.1695742607117,1128.8893921375275,1139.8363382816315,1152.0277891159058,1162.9239037036896,1173.200877904892,1182.8804414272308,1193.069165468216,1203.1609077453613,1212.3240008354187,1221.2424516677856,1231.3549501895905,1241.8551635742188,1251.0597252845764,1259.705478668213,1269.5504343509674,1280.0350668430328,1291.2423396110535,1301.6485168933868,1312.0511519908905,1322.2026813030243,1333.1600902080536,1343.494194984436,1352.8148379325867,1362.276635169983,1371.572592973709,1380.8672075271606,1390.995584487915,1400.0376138687134,1409.0843179225922,1420.8887526988983,1431.951265335083,1441.0611793994904,1450.4352297782898,1464.344223022461,1474.5794324874878,1484.417601108551,1493.2292914390564,1504.3610427379608,1512.6958301067352,1522.6901741027832,1533.3045740127563,1544.348200559616,1554.5905928611755,1563.7728209495544,1573.9869804382324,1582.3961470127106,1591.7799730300903,1601.8819029331207,1610.8327479362488,1619.843347787857,1629.878785610199,1638.1690728664398,1645.3051159381866,1652.443570137024,1660.0982685089111,1666.4261178970337,1673.4194025993347,1681.2104551792145,1688.3746831417084,1694.349274635315,1701.656795501709,1713.8232345581055,1720.4847300052643,1728.2050766944885,1734.7913587093353,1743.0543885231018,1752.4858689308167,1762.2976145744324,1769.021919965744,1776.4296288490295,1783.9861924648285,1790.9821155071259,1797.3733513355255,1803.6177151203156,1811.5102331638336,1818.8092279434204,1825.6135249137878,1831.8509459495544,1838.05202627182,1845.8937842845917,1863.0389986038208,1870.9962215423584,1878.2843327522278,1884.4082860946655,1891.3169147968292,1897.7350616455078,1904.1359224319458,1909.9660654067993,1916.238200187683,1922.1237466335297,1927.4459731578827,1933.7797112464905,1939.8463542461395,1945.5830402374268,1953.2316987514496,1959.8225450515747,1965.120218038559,2006.1730952262878,2027.9575655460358,2038.0890686511993,2048.0896191596985,2059.108309030533,2066.7931292057037,2074.1294791698456,2081.388551712036,2088.7904963493347,2095.8129262924194,2113.7115569114685,2120.5920236110687,2127.5692331790924,2134.090477705002,2140.8964042663574,2149.052294254303
total minutes,0.0,0.08599538405736287,0.30515876213709514,0.5370574633280436,1.2600845694541931,1.8548922022183736,2.2445252895355225,2.624471418062846,3.036998724937439,3.394063401222229,3.72147650718689,4.021170341968537,4.330085829893748,4.602327489852906,4.886496202150981,5.214231367905935,5.518251144886017,5.828445120652517,6.093295602003733,6.3409721453984575,6.610131871700287,6.863074306646983,7.1025155544281,7.310316789150238,7.5275371193885805,7.761823876698812,8.006091944376628,8.200429435571035,8.558064329624177,8.837233769893647,9.057642670472463,9.27338354587555,9.469527955849966,9.67402503490448,9.89811042547226,10.091141990820567,10.275088568528494,10.451959800720214,10.617582241694132,10.79787323474884,11.185180934270223,11.400405446688334,11.774908268451691,11.99049181540807,12.171224129199981,12.340285698572794,12.521816329161327,12.694288635253907,12.863868463039399,13.061948132514953,13.278465700149535,13.469005763530731,13.642912471294403,13.818261182308197,13.971685433387757,14.141000612576802,14.291337525844574,14.475320335229238,14.660998193422953,14.822622696558634,15.002527797222138,15.146310532093048,15.33031713962555,15.524113023281098,15.721453289190928,15.91047086318334,16.151342089970907,16.34327513774236,16.51768279472987,16.706687780221305,16.97410105864207,17.141185160477956,17.298201843102774,17.46270363330841,17.642593077818553,17.80216675202052,17.967071799437203,18.12105008761088,18.416406842072806,18.619492904345194,18.814823202292125,18.99727230469386,19.200463151931764,19.38206506172816,19.55334796508153,19.71467402378718,19.88448609113693,20.052681795756023,20.205400013923644,20.35404086112976,20.522582503159843,20.697586059570312,20.850995421409607,20.995091311136882,21.159173905849457,21.333917780717215,21.520705660184223,21.694141948223113,21.867519199848175,22.036711355050404,22.219334836800893,22.391569916407267,22.546913965543112,22.704610586166382,22.859543216228484,23.01445345878601,23.18325974146525,23.333960231145223,23.484738632043204,23.681479211648305,23.865854422251385,24.01768632332484,24.17392049630483,24.40573705037435,24.576323874791463,24.740293351809182,24.887154857317608,25.07268404563268,25.211597168445586,25.37816956837972,25.55507623354594,25.739136675993603,25.909843214352925,26.06288034915924,26.233116340637206,26.37326911687851,26.529666217168174,26.698031715552013,26.847212465604148,26.997389129797618,27.16464642683665,27.30281788110733,27.42175193230311,27.5407261689504,27.66830447514852,27.773768631617227,27.89032337665558,28.02017425298691,28.139578052361806,28.23915457725525,28.36094659169515,28.563720575968425,28.674745500087738,28.80341794490814,28.913189311822254,29.05090647538503,29.20809781551361,29.371626909573873,29.483698666095734,29.60716048081716,29.733103207747142,29.849701925118765,29.95622252225876,30.060295252005258,30.191837219397225,30.31348713239034,30.426892081896465,30.53084909915924,30.63420043786367,30.764896404743194,31.050649976730348,31.183270359039305,31.304738879203796,31.406804768244424,31.521948579947153,31.628917694091797,31.735598707199095,31.83276775677999,31.937303336461387,32.035395777225496,32.12409955263138,32.22966185410817,32.33077257076899,32.42638400395711,32.553861645857495,32.66370908419291,32.75200363397598,33.436218253771465,33.799292759100595,33.968151144186656,34.13482698599498,34.31847181717555,34.44655215342839,34.56882465283076,34.6898091952006,34.81317493915558,34.93021543820699,35.22852594852448,35.34320039351781,35.45948721965154,35.5681746284167,35.681606737772626,35.81753823757172
cummulative feedback,0.0,53.0,89.0,115.0,362.0,431.0,470.0,511.0,538.0,573.0,631.0,670.0,714.0,747.0,776.0,816.0,864.0,904.0,927.0,951.0,990.0,1022.0,1053.0,1083.0,1105.0,1137.0,1169.0,1195.0,1232.0,1255.0,1284.0,1311.0,1334.0,1357.0,1381.0,1406.0,1428.0,1453.0,1472.0,1497.0,1522.0,1544.0,1695.0,1714.0,1741.0,1758.0,1779.0,1801.0,1827.0,1856.0,1882.0,1905.0,1925.0,1941.0,1957.0,1978.0,1994.0,2005.0,2031.0,2046.0,2068.0,2088.0,2109.0,2128.0,2154.0,2180.0,2200.0,2225.0,2243.0,2259.0,2345.0,2360.0,2378.0,2392.0,2411.0,2424.0,2436.0,2446.0,2470.0,2493.0,2511.0,2539.0,2566.0,2583.0,2602.0,2616.0,2641.0,2657.0,2681.0,2699.0,2713.0,2721.0,2736.0,2752.0,2768.0,2786.0,2809.0,2828.0,2840.0,2851.0,2871.0,2889.0,2901.0,2921.0,2934.0,2951.0,2972.0,2986.0,3008.0,3025.0,3044.0,3054.0,3074.0,3096.0,3115.0,3129.0,3143.0,3192.0,3206.0,3223.0,3241.0,3255.0,3269.0,3284.0,3299.0,3312.0,3324.0,3339.0,3352.0,3361.0,3372.0,3386.0,3399.0,3416.0,3427.0,3439.0,3456.0,3467.0,3478.0,3491.0,3508.0,3528.0,3543.0,3556.0,3574.0,3594.0,3613.0,3625.0,3646.0,3662.0,3675.0,3687.0,3706.0,3720.0,3737.0,3747.0,3767.0,3778.0,3791.0,3808.0,3840.0,3855.0,3866.0,3881.0,3892.0,3900.0,3911.0,3923.0,3934.0,3938.0,3945.0,3961.0,3970.0,3977.0,3994.0,4003.0,4015.0,4206.0,4241.0,4262.0,4284.0,4311.0,4327.0,4336.0,4347.0,4362.0,4374.0,4400.0,4415.0,4428.0,4445.0,4460.0,4461.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
