,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183
Episode,0.0,1.0,6.0,11.0,16.0,21.0,26.0,31.0,36.0,41.0,46.0,51.0,56.0,61.0,66.0,71.0,76.0,81.0,86.0,91.0,96.0,101.0,106.0,111.0,116.0,121.0,126.0,131.0,136.0,141.0,146.0,151.0,156.0,161.0,166.0,171.0,176.0,181.0,186.0,191.0,196.0,201.0,206.0,211.0,216.0,221.0,226.0,231.0,236.0,241.0,246.0,251.0,256.0,261.0,266.0,271.0,276.0,281.0,286.0,291.0,296.0,301.0,306.0,311.0,316.0,321.0,326.0,331.0,336.0,341.0,346.0,351.0,356.0,361.0,366.0,371.0,376.0,381.0,386.0,391.0,396.0,401.0,406.0,411.0,416.0,421.0,426.0,431.0,436.0,441.0,446.0,451.0,456.0,461.0,466.0,471.0,476.0,481.0,486.0,491.0,496.0,501.0,506.0,511.0,516.0,521.0,526.0,531.0,536.0,541.0,546.0,551.0,556.0,561.0,566.0,571.0,576.0,581.0,586.0,591.0,596.0,601.0,606.0,611.0,616.0,621.0,626.0,631.0,636.0,641.0,646.0,651.0,656.0,661.0,666.0,671.0,676.0,681.0,686.0,691.0,696.0,701.0,706.0,711.0,716.0,721.0,726.0,731.0,736.0,741.0,746.0,751.0,756.0,761.0,766.0,771.0,776.0,781.0,786.0,791.0,796.0,801.0,806.0,811.0,816.0,821.0,826.0,831.0,836.0,841.0,846.0,851.0,856.0,861.0,866.0,871.0,876.0,881.0,886.0,891.0,896.0,901.0,906.0,911.0
Accumulated time steps,0.0,72.0,398.0,716.0,2126.0,2687.0,2998.0,3395.0,3726.0,4029.0,4330.0,4645.0,4935.0,5225.0,5519.0,5806.0,6095.0,6387.0,6768.0,7050.0,7346.0,7638.0,7932.0,8235.0,8531.0,8834.0,9127.0,9422.0,9707.0,9997.0,10285.0,10575.0,10873.0,11150.0,11466.0,11765.0,12110.0,12399.0,12723.0,13005.0,13300.0,13589.0,13924.0,14213.0,14495.0,14789.0,15073.0,15364.0,15659.0,15963.0,16255.0,16608.0,16899.0,17192.0,17519.0,17816.0,18152.0,18455.0,18770.0,19068.0,19354.0,19649.0,19944.0,20236.0,20794.0,21123.0,21427.0,21715.0,22010.0,22292.0,22592.0,22893.0,23199.0,23491.0,24028.0,24337.0,24625.0,24912.0,25643.0,25960.0,26271.0,26589.0,26876.0,27169.0,27458.0,27747.0,28035.0,28482.0,28772.0,29072.0,29348.0,29631.0,29923.0,30204.0,30485.0,30759.0,31041.0,31341.0,31727.0,32025.0,32311.0,32589.0,32937.0,33232.0,33530.0,33824.0,34181.0,34470.0,34755.0,35048.0,35335.0,35623.0,35896.0,36189.0,36478.0,36767.0,37049.0,37336.0,37629.0,37915.0,38203.0,38490.0,38772.0,39051.0,39335.0,39624.0,39899.0,40268.0,40784.0,41065.0,41361.0,41661.0,41953.0,42290.0,42591.0,42976.0,43276.0,44058.0,44363.0,44701.0,45086.0,45525.0,45813.0,46119.0,46395.0,46685.0,47112.0,47510.0,48359.0,48796.0,49156.0,49460.0,49770.0,50084.0,50386.0,50830.0,51132.0,51490.0,51791.0,52444.0,52772.0,53134.0,53516.0,53897.0,54185.0,54500.0,54820.0,55106.0,55411.0,55711.0,56021.0,56429.0,56733.0,57100.0,57397.0,57705.0,58003.0,58296.0,58623.0,58927.0,59219.0,59628.0,60151.0,60501.0
Episode reward,0.0,145.49714693260574,138.7296195933076,197.59287294461186,216.71711267872942,302.8021602118432,131.7254237573143,181.40783652852,171.43325516646686,133.93053640496692,188.12270449929116,181.0329446250939,165.5673242752475,132.5144630267935,160.70479918448748,177.10053353033712,136.1425470775148,174.90252451427926,189.9490827680632,136.19041799424915,137.93774810079762,168.32379648431265,159.848373687145,128.89063237492664,137.29249065965462,183.85137166189173,164.39876478340696,157.86441430927206,139.03530612220052,175.10934783318964,166.8409256069975,157.4246197404718,167.32500944905544,100.35774946067176,160.95009222986192,178.63742892568163,160.8766011613062,167.4104980160779,145.23425605003433,174.38511878310612,169.81373392649937,155.21117305856566,177.11606178412788,167.10187426431978,158.09340133171222,173.53453479954632,141.76575023731093,134.51617445381711,166.23323953268726,168.42952690901373,188.90238120608336,146.2039651600148,180.09089377054846,164.78696365142824,119.83029919315638,146.68024972631216,118.43019868597835,187.99500945291368,195.46387371491502,195.30223826766493,163.14647695427377,126.32606837169043,181.05888133886242,131.4459574289217,140.69472785786553,140.16938401132012,187.7286832146295,169.88868574036428,176.32040452579278,125.4796857749337,152.83596822176793,182.27057382992373,188.64847473025378,173.4972400328233,326.9831879214071,195.42082737501025,153.8727708414743,127.87306306066934,150.19040760869873,127.89164742504612,229.7017973623485,130.00175508225195,190.0738149898312,174.37604235211685,135.5528087436417,167.23856448438335,139.36287997728542,135.1329023581223,141.20279061501319,140.38138751376977,141.07230045791508,177.1656786797084,130.03009444031952,179.04596222087875,125.41351637221587,176.84457843249876,121.05179354782811,133.82799246559557,452.34780498589583,173.331952054681,134.39945267632078,131.11286503264222,146.10077508583112,175.33117700208646,175.6537711110727,188.75246520508787,192.63710763256648,166.9613543455754,140.15681859012446,173.68603138777422,156.0260921435821,131.26429443483735,138.61093341756114,179.58947097999933,167.71402793250465,170.8254893614936,134.0063113296405,159.99893869638382,142.04141515506905,133.94236465840737,131.6942778693214,159.88055509105743,179.37970868549198,117.6517272462334,161.57125913559724,135.13151153533025,169.89682494802503,174.4034860730446,170.53804094658145,159.92027970492592,181.2508881291394,171.18916768258467,128.70102768278664,173.669092188392,183.4904109489883,142.4755433629067,158.81104231228954,282.6969015434036,184.69488487088285,172.6130141731941,171.2950936333253,167.03499575522568,166.57357041603476,177.680900486795,125.87957229369164,175.80428478348415,592.1082537016141,462.2822550135249,183.05931122456934,185.6149369608234,284.02826789095957,173.97639433031983,185.63210336062818,188.0711171902124,166.44018607246795,925.3658906874775,160.0009562767104,347.8709308990225,172.04085577074852,170.71659827995157,188.2979446420913,186.9189534909336,199.14124406347793,171.56846614929634,141.9648813873612,300.62771122932367,160.44826052413828,152.6459370647217,165.16380076929767,181.7858260614824,182.09463725026927,702.8548057186724,127.01697001995853,170.79452068174172,189.68092930372592,179.99747566258944,177.31038264483126,129.4808063742295,185.34830382358672,121.11294288602318,189.45611887251636,170.99297410824204,173.23715301636588,2.411649072019586
Episode feedback,0.8,0.6619718216623688,0.4516128959417275,0.7042253421940093,0.7558139446998379,0.7569444391878859,0.6545454426446283,0.6491228013234842,0.47619046863189735,0.5438596395814098,0.3968253905265811,0.6451612799167535,0.38983050186727963,0.5535714186862247,0.31034482223543414,0.5245901553345876,0.49999999107142873,0.2999999950000001,0.6190476092214665,0.3157894681440444,0.3275862012485138,0.38983050186727963,0.2982456088027086,0.5087719208987382,0.33928570822704096,0.36923076355029594,0.32203389284688316,0.29310344322235443,0.32727272132231416,0.29508196237570555,0.3050847405917841,0.2678571380739797,0.29310344322235443,0.5106382870076961,0.38983050186727963,0.32258063995837677,0.6455696120813973,0.3859649055093876,0.5178571336096941,0.3666666605555557,0.35483870395421446,0.34545453917355384,0.40983605885514657,0.2758620642092748,0.17857142538265314,0.316666661388889,0.2909090856198348,0.2363636320661158,0.11864406578569381,0.15254237029589204,0.21874999658203131,0.33333332716049396,0.30158729680020163,0.2982456088027086,0.41176469780853536,0.40983605885514657,0.415094331790673,0.26562499584960947,0.28787878351698815,0.32307691810650896,0.43103447532699185,0.29629629080932796,0.3749999941406251,0.3636363570247935,0.5344827494054699,0.5172413703923902,0.2812499956054688,0.3559321973570814,0.24590163531308795,0.21818181421487612,0.26315789012003704,0.25806451196670144,0.23809523431594867,0.3389830451019823,0.5813953420767983,0.5147058747837372,0.5454545355371903,0.2830188625845498,0.6101694811835682,0.41818181057851256,0.5142857069387756,0.42592591803840896,0.1406249978027344,0.316666661388889,0.32142856568877565,0.34482758026159344,0.25454544991735545,0.32142856568877565,0.2758620642092748,0.3389830451019823,0.30357142315051033,0.2786885200214997,0.22222221810699597,0.2786885200214997,0.30769230177514806,0.18333333027777785,0.2549019557862362,0.28070174946137283,0.5816993426032723,0.3333333277777779,0.2678571380739797,0.2727272677685951,0.31034482223543414,0.360655731792529,0.2499999958333334,0.199999996923077,0.19047618745275893,0.23728813157138762,0.19642856792091845,0.2833333286111112,0.18181817851239676,0.22222221810699597,0.2363636320661158,0.2999999950000001,0.29310344322235443,0.25423728382648675,0.09090908925619838,0.16071428284438782,0.12068965309155771,0.20370369993141296,0.22222221810699597,0.22413792717003575,0.19672130825047038,0.19607842752787397,0.17543859341335802,0.21153845747041428,0.1355932180407929,0.32203389284688316,0.14999999750000004,0.26315789012003704,0.26984126555807514,0.3333333277777779,0.24074073628257897,0.38333332694444455,0.19047618745275893,0.42105262419205924,0.42857142091836753,0.4799999952000001,0.43548386394380867,0.38983050186727963,0.21311475060467622,0.3666666605555557,0.28813558833668496,0.34426228943832315,0.2830188625845498,0.29508196237570555,0.4218749967041016,0.39873417469155586,0.3650793592844546,0.261538457514793,0.43478260491493387,0.18333333027777785,0.29032257596253913,0.30158729680020163,0.3389830451019823,0.4299065400471657,0.3275862012485138,0.3908045932091426,0.316666661388889,0.23333332944444451,0.2857142811791384,0.2857142811791384,0.25757575367309465,0.14754098118785278,0.37037036351166,0.43209876009754616,0.24561403077870123,0.42857142091836753,0.18644067480609028,0.20967741597294492,0.27419354396462026,0.49999999695121955,0.16981131755072987,0.2833333286111112,0.21874999658203131,0.25806451196670144,0.22950819295888208,0.092592590877915,0.31460673803812655,0.25925925445816195,0.2343749963378907,0.29508196237570555,0.2833333286111112,0.9999996666667778
total seconds,0.0,3.9312801361083984,17.429354429244995,30.711729049682617,116.47973823547363,153.27148914337158,172.7156183719635,197.5435130596161,219.08319520950317,235.12148904800415,251.25480222702026,267.1903786659241,280.0128002166748,292.95053005218506,305.09468483924866,318.80233788490295,332.12098717689514,344.25289487838745,362.92958760261536,373.22035813331604,385.40265583992004,396.32082629203796,407.898973941803,420.0568609237671,431.47820258140564,445.6177635192871,457.0354108810425,468.5444025993347,479.3302438259125,491.2660217285156,502.7450156211853,514.5659716129303,524.4630181789398,535.4381358623505,548.1121213436127,559.9542107582092,576.7925884723663,589.1141715049744,606.6725895404816,617.3830432891846,627.5881357192993,638.5064232349396,651.7603325843811,662.793874502182,672.1108253002167,682.1079032421112,690.7315022945404,699.863772392273,708.1352379322052,716.5420897006989,724.5376665592194,738.4729385375977,748.0157186985016,757.2817897796631,770.2914490699768,781.8563189506531,796.3646767139435,806.5840818881989,816.9001705646515,826.6543979644775,837.7948553562164,847.5411529541016,856.9099490642548,864.8145184516907,890.6348302364349,907.7403409481049,919.6266057491302,930.8326926231384,940.0021743774414,947.9152634143829,956.5700588226318,965.524215221405,975.019195318222,984.8497586250305,1009.6190168857574,1024.560345172882,1035.982922077179,1046.7522020339966,1082.8154940605164,1097.8655121326447,1111.1250267028809,1125.3448131084442,1137.1126866340637,1148.3999638557434,1158.0927340984344,1166.9455392360687,1176.1893994808197,1194.7697899341583,1203.4220309257507,1214.0768117904663,1222.1221067905426,1232.1398758888245,1241.133294582367,1248.5626628398895,1257.8717489242554,1266.943608045578,1275.8701844215393,1284.8053901195526,1300.8506050109863,1311.8212759494781,1321.2102138996124,1329.9521944522858,1343.6076264381409,1354.1738028526306,1364.1292035579681,1373.7571671009064,1386.5477681159973,1395.5367686748505,1405.5124464035034,1415.1234579086304,1423.1946814060211,1432.3583180904388,1439.8630936145782,1448.8109636306763,1457.7625813484192,1466.4400470256805,1473.5177118778229,1481.7917273044586,1490.1173515319824,1498.7329514026642,1505.8035979270935,1515.0238845348358,1526.2678499221802,1534.8673212528229,1542.510159254074,1551.170026063919,1558.049554347992,1568.1482179164886,1583.2582278251648,1589.4796154499054,1596.7501621246338,1603.0366790294647,1609.713014125824,1619.7032952308655,1626.7852597236633,1638.1521039009094,1645.894012928009,1669.392023563385,1678.8857958316803,1689.3784351348877,1699.8870532512665,1713.6556367874146,1721.2738151550293,1728.624592781067,1736.314572095871,1743.767112493515,1756.9959628582,1767.9342513084412,1790.034256696701,1803.4833016395569,1813.5809893608093,1821.9841253757477,1830.5300753116608,1838.10915184021,1845.1648879051208,1856.9523754119873,1865.4990446567535,1875.7767350673676,1883.599736213684,1898.4224982261658,1907.5260179042816,1917.7540183067322,1927.6176359653473,1937.1233794689178,1945.3448815345764,1953.8075783252716,1962.160057067871,1969.4117913246155,1976.1155743598938,1983.9366974830627,1990.4144909381866,2001.4032304286957,2007.9487340450287,2017.4333202838898,2024.5068225860596,2031.8469471931458,2039.1791870594025,2046.7905068397522,2054.4296464920044,2061.8015525341034,2067.793621301651,2078.3647751808167,2091.977124452591,2102.034463405609
total minutes,0.0,0.06552133560180665,0.2904892404874166,0.5118621508280436,1.941328970591227,2.554524819056193,2.878593639532725,3.2923918843269346,3.651386586825053,3.9186914841334026,4.187580037117004,4.453172977765401,4.666880003611246,4.882508834203084,5.084911413987478,5.313372298081716,5.535349786281586,5.737548247973124,6.048826460043589,6.220339302221934,6.423377597332001,6.6053471048673,6.798316232363383,7.000947682062785,7.19130337635676,7.426962725321451,7.617256848017375,7.809073376655578,7.988837397098541,8.187767028808594,8.379083593686422,8.576099526882171,8.74105030298233,8.923968931039175,9.135202022393544,9.332570179303486,9.613209807872773,9.818569525082905,10.111209825674694,10.289717388153075,10.459802261988322,10.641773720582327,10.862672209739685,11.046564575036367,11.201847088336944,11.368465054035187,11.512191704909007,11.664396206537882,11.802253965536753,11.942368161678313,12.07562777598699,12.307882308959961,12.466928644975026,12.621363162994385,12.838190817832947,13.030938649177552,13.272744611899059,13.44306803146998,13.615002842744191,13.777573299407958,13.963247589270274,14.125685882568359,14.281832484404246,14.413575307528179,14.843913837273915,15.129005682468414,15.327110095818837,15.51387821038564,15.66670290629069,15.798587723573048,15.94283431371053,16.092070253690085,16.250319921970366,16.414162643750508,16.826983614762625,17.07600575288137,17.26638203461965,17.445870033899944,18.046924901008605,18.297758535544077,18.518750445048013,18.755746885140738,18.95187811056773,19.139999397595723,19.30154556830724,19.449092320601146,19.603156658013663,19.91282983223597,20.05703384876251,20.234613529841106,20.368701779842375,20.535664598147076,20.685554909706116,20.80937771399816,20.96452914873759,21.115726800759635,21.26450307369232,21.41342316865921,21.680843416849772,21.863687932491302,22.020170231660206,22.165869907538095,22.393460440635682,22.569563380877177,22.735486725966137,22.895952785015105,23.109129468599956,23.25894614458084,23.42520744005839,23.58539096514384,23.719911356767017,23.872638634840648,23.997718226909637,24.146849393844604,24.296043022473654,24.44066745042801,24.55862853129705,24.696528788407644,24.835289192199706,24.978882523377738,25.096726632118227,25.2503980755806,25.437797498703002,25.581122020880382,25.708502654234568,25.852833767731983,25.967492572466533,26.135803631941478,26.387637130419414,26.49132692416509,26.61250270207723,26.717277983824413,26.8285502354304,26.995054920514423,27.113087662061055,27.302535065015157,27.431566882133485,27.823200392723084,27.981429930528005,28.15630725224813,28.331450887521108,28.560927279790242,28.687896919250488,28.81040987968445,28.93857620159785,29.06278520822525,29.28326604763667,29.465570855140687,29.83390427827835,30.05805502732595,30.226349822680156,30.366402089595795,30.50883458852768,30.635152530670165,30.752748131752014,30.949206256866454,31.091650744279224,31.262945584456126,31.393328936894736,31.640374970436095,31.792100298404694,31.96256697177887,32.12696059942245,32.285389657815294,32.42241469224294,32.56345963875453,32.70266761779785,32.82352985541026,32.9352595726649,33.06561162471771,33.17357484896978,33.35672050714493,33.46581223408381,33.62388867139816,33.74178037643433,33.86411578655243,33.98631978432338,34.11317511399587,34.240494108200075,34.36335920890172,34.46322702169418,34.639412919680275,34.86628540754318,35.03390772342682
cummulative feedback,0.0,47.0,75.0,125.0,190.0,299.0,335.0,409.0,439.0,470.0,495.0,535.0,558.0,589.0,607.0,639.0,667.0,685.0,724.0,742.0,761.0,784.0,801.0,830.0,849.0,873.0,892.0,909.0,927.0,945.0,963.0,978.0,995.0,1019.0,1042.0,1062.0,1113.0,1135.0,1164.0,1186.0,1208.0,1227.0,1252.0,1268.0,1278.0,1297.0,1313.0,1326.0,1333.0,1342.0,1356.0,1374.0,1393.0,1410.0,1431.0,1456.0,1478.0,1495.0,1514.0,1535.0,1560.0,1576.0,1600.0,1620.0,1651.0,1681.0,1699.0,1720.0,1735.0,1747.0,1762.0,1778.0,1793.0,1813.0,1863.0,1898.0,1928.0,1943.0,1979.0,2002.0,2038.0,2061.0,2070.0,2089.0,2107.0,2127.0,2141.0,2159.0,2175.0,2195.0,2212.0,2229.0,2241.0,2258.0,2274.0,2285.0,2298.0,2314.0,2403.0,2423.0,2438.0,2453.0,2471.0,2493.0,2508.0,2521.0,2533.0,2547.0,2558.0,2575.0,2585.0,2597.0,2610.0,2628.0,2645.0,2660.0,2665.0,2674.0,2681.0,2692.0,2704.0,2717.0,2729.0,2739.0,2749.0,2760.0,2768.0,2787.0,2796.0,2811.0,2828.0,2848.0,2861.0,2884.0,2896.0,2920.0,2944.0,2992.0,3019.0,3042.0,3055.0,3077.0,3094.0,3115.0,3130.0,3148.0,3202.0,3265.0,3288.0,3305.0,3355.0,3366.0,3384.0,3403.0,3423.0,3515.0,3534.0,3568.0,3587.0,3601.0,3619.0,3637.0,3654.0,3663.0,3683.0,3718.0,3732.0,3756.0,3767.0,3780.0,3797.0,3879.0,3888.0,3905.0,3919.0,3935.0,3949.0,3954.0,3982.0,3996.0,4011.0,4029.0,4046.0,4049.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
