,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194
Episode,0.0,1.0,6.0,11.0,16.0,21.0,26.0,31.0,36.0,41.0,46.0,51.0,56.0,61.0,66.0,71.0,76.0,81.0,86.0,91.0,96.0,101.0,106.0,111.0,116.0,121.0,126.0,131.0,136.0,141.0,146.0,151.0,156.0,161.0,166.0,171.0,176.0,181.0,186.0,191.0,196.0,201.0,206.0,211.0,216.0,221.0,226.0,231.0,236.0,241.0,246.0,251.0,256.0,261.0,266.0,271.0,276.0,281.0,286.0,291.0,296.0,301.0,306.0,311.0,316.0,321.0,326.0,331.0,336.0,341.0,346.0,351.0,356.0,361.0,366.0,371.0,376.0,381.0,386.0,391.0,396.0,401.0,406.0,411.0,416.0,421.0,426.0,431.0,436.0,441.0,446.0,451.0,456.0,461.0,466.0,471.0,476.0,481.0,486.0,491.0,496.0,501.0,506.0,511.0,516.0,521.0,526.0,531.0,536.0,541.0,546.0,551.0,556.0,561.0,566.0,571.0,576.0,581.0,586.0,591.0,596.0,601.0,606.0,611.0,616.0,621.0,626.0,631.0,636.0,641.0,646.0,651.0,656.0,661.0,666.0,671.0,676.0,681.0,686.0,691.0,696.0,701.0,706.0,711.0,716.0,721.0,726.0,731.0,736.0,741.0,746.0,751.0,756.0,761.0,766.0,771.0,776.0,781.0,786.0,791.0,796.0,801.0,806.0,811.0,816.0,821.0,826.0,831.0,836.0,841.0,846.0,851.0,856.0,861.0,866.0,871.0,876.0,881.0,886.0,891.0,896.0,901.0,906.0,911.0,916.0,921.0,926.0,931.0,936.0,941.0,946.0,951.0,956.0,961.0,966.0
Accumulated time steps,0.0,67.0,379.0,677.0,1553.0,2007.0,2642.0,3091.0,3448.0,3860.0,4250.0,4644.0,5126.0,5468.0,5997.0,6433.0,6739.0,7038.0,7321.0,7613.0,7904.0,8183.0,8525.0,8975.0,9253.0,9536.0,9829.0,10108.0,10598.0,10968.0,11271.0,11568.0,11865.0,12158.0,12438.0,12712.0,12988.0,13281.0,13569.0,13862.0,14167.0,14463.0,14754.0,15038.0,15342.0,15626.0,15998.0,16287.0,16623.0,16999.0,17296.0,17572.0,17861.0,18170.0,18464.0,18764.0,19064.0,19352.0,19650.0,19937.0,20328.0,20604.0,20883.0,21183.0,21472.0,21777.0,22079.0,22454.0,22757.0,23054.0,23362.0,24125.0,24420.0,24745.0,25034.0,25368.0,25652.0,25937.0,26232.0,26521.0,26833.0,27152.0,27442.0,27733.0,28018.0,28297.0,28586.0,28871.0,29168.0,29455.0,29753.0,30041.0,30322.0,30594.0,30873.0,31163.0,31451.0,31738.0,32019.0,32320.0,32602.0,32891.0,33277.0,33560.0,33844.0,34124.0,34425.0,34711.0,35001.0,35308.0,35611.0,35886.0,36173.0,36461.0,36743.0,37029.0,37324.0,37610.0,37907.0,38190.0,38477.0,38766.0,39060.0,39354.0,39637.0,39926.0,40223.0,40502.0,40798.0,41095.0,41386.0,41663.0,41973.0,42273.0,42543.0,42839.0,43132.0,43431.0,43711.0,43996.0,44272.0,44557.0,44838.0,45109.0,45732.0,46018.0,46310.0,46605.0,46893.0,47187.0,47491.0,47770.0,48053.0,48354.0,48676.0,48971.0,49266.0,49544.0,49842.0,50140.0,50405.0,50704.0,50993.0,51273.0,51585.0,51884.0,52184.0,52474.0,52773.0,53082.0,53369.0,53660.0,53958.0,54266.0,54551.0,54850.0,55134.0,55419.0,55705.0,55996.0,56288.0,56585.0,56868.0,57154.0,57449.0,57728.0,58012.0,58309.0,58613.0,58897.0,59184.0,59476.0,59764.0,60052.0,60460.0
Episode reward,0.0,142.32665662685565,124.71171420250447,121.03336237917516,436.93282392507126,151.32032034411128,205.26223181218757,136.56328273653182,149.5232725987973,163.7040442577736,165.75364447924707,375.7478410400102,177.80416527656413,164.61344149471833,142.2508419110011,164.71584815650183,212.24602830609592,182.94260900481083,118.64083019132075,140.94310903204257,142.85627066138775,133.05387643420428,268.5832494161116,190.65584617350606,126.07196988354814,127.16551972697958,170.94322748718878,160.92579332672344,117.88720596301201,258.4966902363466,164.71155857421817,188.6834393563386,151.94575625289272,126.489096388744,134.65672768937617,145.30033553038342,132.69122834640694,160.280643559886,169.97758161876453,119.79910820253977,125.94899213176554,139.05096105620683,164.4514261893643,125.50494021305207,136.35404938792664,159.0819514405906,171.13697050664265,173.52919610803346,194.9708609977323,186.34295774284882,157.4600230563476,124.76659808876693,178.1164428584649,194.7811191734991,177.92740990698718,152.75035335735436,119.61877683879524,153.89858110677136,175.2768223795792,175.8062397230928,122.81773062626115,116.13343987853429,133.82934691276898,180.73485887744897,166.65345609153553,186.11031450013186,166.4960661210359,152.37089811087196,126.8106391109222,178.2332185714855,159.48636794904067,176.3568430529637,181.23867819277888,164.03451964846172,162.06464941431585,151.65050772577902,125.92761100152124,131.11845442480237,180.01389136828638,174.04787213590782,169.632143141329,182.8154769426296,179.27328832679945,178.35441423043704,183.7702145521889,161.95967112301597,179.1529183257429,159.7740706887035,177.7812748171774,163.57816424178492,166.21206511401954,174.27305073341412,158.47932592444172,124.12015770564521,155.59466173107035,180.01145612387594,166.74889527874518,137.76148040822812,184.8632899653531,182.27326312942435,167.99826227707908,176.4614086913658,132.0011344782011,133.33035981214957,158.31243053701658,119.70535233641365,170.9171026158155,139.51795107038294,187.579269381487,188.37790494126935,169.36632242746043,133.3180185019423,118.19700325955381,137.10934917670565,137.87086834483702,180.02082965938112,136.683704889267,165.24206031733542,176.6541518736452,164.73867262113714,164.44814555510476,169.49745297764804,163.82024876970692,132.45796266740473,167.50731544147348,134.77886324302892,126.59075775191317,130.1429974898526,141.88744320165668,176.09067054383695,158.35363746484063,156.15327969623814,190.7507590837112,185.00378993474357,174.44265733339466,142.84082993400824,128.55001620404994,170.9088054371381,130.8776893955105,136.99532912432454,134.54357004120163,131.58993318998338,138.45480775697553,123.0617660937427,195.61749446271097,131.23858692284932,132.85929221791534,133.37792658441415,187.4254572697118,121.13059634654091,181.1262818960098,169.47522221641174,166.81109766157076,180.67439983250887,150.402158694961,175.9625985752544,186.89294714671416,143.42284255473183,135.01546642208316,175.79506777633011,122.56946579545712,190.9286267882914,196.23510110780055,166.42347360414644,190.30473506318702,172.0262109970926,176.52251558404026,183.9227572288005,190.60782587546655,179.23434630056852,168.81837802073207,176.2623255114597,164.6553692125293,138.25924568917847,144.17404692984172,179.32228768672542,131.96223817357733,139.52067023077961,123.1355049903696,193.65886761554054,132.2366503267556,138.06298730339492,163.7135926124167,134.63561481523007,171.25720591165356,138.54938952288035,188.58165520215132,129.46731766558918,172.96104310744485,129.8624398887192,134.59809651063742,162.1578279990289,147.61741284330043,158.88800434531407,192.8498280098583
Episode feedback,0.8,0.8181818057851242,0.6964285589923472,0.7037036906721539,0.7431693948460689,0.6575342375680242,0.681818174070248,0.6721311365224404,0.6129032159209159,0.6885245788766463,0.6395348762844782,0.7052631504709143,0.7070706999285788,0.6949152424590637,0.6999999883333335,0.49122806155740245,0.5820895435509024,0.3650793592844546,0.4615384526627221,0.5344827494054699,0.593220328928469,0.3275862012485138,0.7457627055443838,0.6825396717057195,0.5185185089163239,0.3018867867568531,0.2622950776672938,0.3749999933035716,0.3653846083579883,0.6610169435507038,0.4561403428747308,0.41935483194588985,0.48275861236623085,0.45283018013527965,0.3636363570247935,0.24074073628257897,0.4074073998628259,0.3389830451019823,0.25806451196670144,0.33333332679738575,0.49999999038461557,0.35087718682671604,0.2586206851961951,0.4074073998628259,0.3389830451019823,0.3571428507653063,0.43333332611111125,0.25423728382648675,0.36923076355029594,0.38709676795005216,0.32142856568877565,0.2884615329142013,0.24590163531308795,0.31249999511718757,0.4516128959417275,0.26315789012003704,0.24999999519230778,0.16071428284438782,0.2622950776672938,0.21666666305555562,0.4615384526627221,0.29999999400000016,0.2363636320661158,0.19354838397502608,0.2758620642092748,0.3174603124212649,0.1379310321046374,0.3090909034710745,0.3962264076183697,0.17741935197710723,0.316666661388889,0.47540982827197004,0.44444443738977085,0.4561403428747308,0.3157894681440444,0.3749999941406251,0.3653846083579883,0.26415093841224646,0.2419354799687826,0.2786885200214997,0.36206895927467314,0.1803278658962645,0.32258063995837677,0.20967741597294492,0.22580644797086374,0.2280701714373654,0.24590163531308795,0.1578947340720222,0.19672130825047038,0.24561403077870123,0.31034482223543414,0.13333333111111115,0.21428571045918376,0.24999999519230778,0.1929824527546938,0.25806451196670144,0.25423728382648675,0.26315789012003704,0.33870967195629564,0.25806451196670144,0.23728813157138762,0.19999999666666674,0.3818181748760332,0.32142856568877565,0.285714280612245,0.2549019557862362,0.19999999666666674,0.21428571045918376,0.08064515998959419,0.19047618745275893,0.19672130825047038,0.18181817851239676,0.03999999920000002,0.34545453917355384,0.1428571403061225,0.12903225598335072,0.23214285299744905,0.2280701714373654,0.19672130825047038,0.17241379013079672,0.08928571269132657,0.2833333286111112,0.11864406578569381,0.22222221810699597,0.13333333111111115,0.17857142538265314,0.22641509006763982,0.14814814540466398,0.22413792717003575,0.24590163531308795,0.11864406578569381,0.1578947340720222,0.24615384236686397,0.34920634366339137,0.11475409647944104,0.11864406578569381,0.29629629080932796,0.23333332944444451,0.19999999636363644,0.1929824527546938,0.26315789012003704,0.18181817851239676,0.17543859341335802,0.22641509006763982,0.4795918318408997,0.24999999553571436,0.09090908925619838,0.23214285299744905,0.2857142811791384,0.2075471658953365,0.07936507810531622,0.32203389284688316,0.24137930618311543,0.11290322398543187,0.1428571403061225,0.16393442354205864,0.19047618745275893,0.18181817851239676,0.22413792717003575,0.1803278658962645,0.26415093841224646,0.21874999658203131,0.15151514921946743,0.22033897931628849,0.09374999853515628,0.09999999833333337,0.24590163531308795,0.15873015621063244,0.2343749963378907,0.2419354799687826,0.14999999750000004,0.1803278658962645,0.050847456765297346,0.18644067480609028,0.21052631209602962,0.09836065412523519,0.22222221810699597,0.10526315604801481,0.17307691974852077,0.18749999707031256,0.12727272495867772,0.12280701538935061,0.11290322398543187,0.08771929670667901,0.1803278658962645,0.17543859341335802,0.20967741597294492,0.16666666358024698,0.11290322398543187,0.20370369993141296,0.21818181421487612,0.12280701538935061,0.19642856792091845,0.1355932180407929,0.21538461207100598
total seconds,0.0,4.857566833496094,19.112298011779785,32.17501759529114,90.5349063873291,120.68910789489746,160.40817737579346,186.19117259979248,205.79174780845642,231.23756337165833,252.38994431495667,276.8633916378021,304.64323234558105,324.8861117362976,353.0046944618225,379.96492075920105,394.85611939430237,409.5299017429352,422.0381546020508,434.96128702163696,448.6447858810425,459.3319044113159,477.3372724056244,503.1872146129608,518.2713558673859,530.8403930664062,542.6740574836731,554.3285899162292,577.0893123149872,595.4713594913483,611.557859659195,625.674158334732,638.8812475204468,650.8466596603394,661.4263579845428,671.0622305870056,681.5054726600647,693.3774201869965,703.919112443924,714.1164703369141,725.7552363872528,738.7634289264679,748.7861895561218,759.9587616920471,769.7379095554352,780.9522039890289,795.9168183803558,806.381810426712,819.1970226764679,837.6270976066589,848.3349568843842,859.1618006229401,866.7956042289734,877.8332395553589,887.929940700531,898.7866339683533,907.7973232269287,916.5820648670197,926.2629351615906,935.1432113647461,951.7161509990692,962.1013798713684,971.1148180961609,981.0258331298828,989.7199666500092,1000.4750239849091,1008.8233599662781,1023.5411903858185,1035.0406727790833,1045.1364526748657,1055.9454338550568,1090.7456016540527,1104.3239116668701,1118.2615439891815,1130.2260143756866,1146.3288915157318,1157.3916418552399,1166.191953420639,1176.8833677768707,1187.3879551887512,1197.6971526145935,1208.3964350223541,1218.7798237800598,1228.350756406784,1238.2850308418274,1245.0848269462585,1253.0423743724823,1260.7978568077087,1269.3708863258362,1278.376145362854,1288.3828282356262,1295.9949281215668,1305.0421786308289,1313.1702988147736,1320.7721083164215,1328.8664574623108,1338.0638871192932,1346.6625401973724,1356.5593194961548,1365.326428413391,1373.5790400505066,1382.278566122055,1397.2234303951263,1406.2621672153473,1414.4497215747833,1423.6305930614471,1432.8013534545898,1440.1523625850677,1447.905591726303,1456.4768550395966,1465.5638127326965,1473.4232535362244,1480.111721277237,1488.8526158332825,1497.782250404358,1505.3307592868805,1511.6872808933258,1519.33762383461,1526.558341741562,1533.4489381313324,1541.0402309894562,1549.5945472717285,1556.4836874008179,1564.2292110919952,1571.0506625175476,1579.4936699867249,1585.612025976181,1591.3263034820557,1597.861147403717,1604.3402106761932,1610.0742778778076,1615.7571470737457,1621.7102189064026,1628.9504115581512,1634.594520330429,1639.1409747600555,1647.1040139198303,1653.4062452316284,1660.2512969970703,1665.379329442978,1671.2994084358215,1678.0107326507568,1684.9609067440033,1691.480477809906,1707.987762928009,1715.2727584838867,1721.739886522293,1728.2240767478943,1735.2497918605804,1741.5705151557922,1748.7750253677368,1755.942153930664,1762.246933221817,1767.881341934204,1775.1209225654602,1781.7998116016388,1788.1095132827759,1792.9806849956512,1798.667888879776,1804.9231369495392,1810.9975726604462,1818.135558605194,1823.1184525489807,1829.644415140152,1835.4728827476501,1840.7649159431458,1846.9351851940155,1853.2670295238495,1859.9558713436127,1866.526765346527,1872.2003057003021,1878.449767589569,1884.9415364265442,1891.0599715709686,1896.9718339443207,1904.1700382232666,1909.9377908706665,1915.901992559433,1922.2478909492493,1928.5404124259949,1934.03955411911,1939.7535977363586,1944.9684209823608,1950.2984066009521,1956.3817088603973,1961.9394941329956,1967.7115597724915,1973.9109258651733,1979.1907465457916,1984.9223132133484,1991.0377531051636,1997.3501524925232,2003.1849293708801,2008.888390302658,2019.6543753147125
total minutes,0.0,0.0809594472249349,0.3185383001963297,0.5362502932548523,1.508915106455485,2.0114851315816242,2.673469622929891,3.1031862099965415,3.4298624634742736,3.8539593895276387,4.206499071915944,4.614389860630036,5.077387205759684,5.414768528938294,5.883411574363708,6.332748679320018,6.580935323238373,6.825498362382253,7.033969243367513,7.249354783693949,7.477413098017375,7.655531740188598,7.955621206760407,8.38645357688268,8.637855931123097,8.847339884440105,9.044567624727884,9.238809831937154,9.618155205249787,9.924522658189138,10.192630994319916,10.427902638912201,10.648020792007447,10.847444327672322,11.023772633075714,11.184370509783427,11.358424544334412,11.55629033644994,11.731985207398733,11.901941172281902,12.095920606454213,12.312723815441132,12.479769825935364,12.665979361534118,12.828965159257253,13.015870066483815,13.265280306339264,13.439696840445201,13.653283711274465,13.96045162677765,14.13891594807307,14.319363343715668,14.446593403816223,14.630553992589315,14.79883234500885,14.979777232805889,15.129955387115478,15.276367747783661,15.43771558602651,15.585720189412434,15.861935849984487,16.03502299785614,16.185246968269347,16.350430552164713,16.495332777500153,16.674583733081818,16.813722666104635,17.059019839763643,17.250677879651388,17.41894087791443,17.599090564250947,18.17909336090088,18.40539852778117,18.63769239981969,18.83710023959478,19.105481525262196,19.289860697587333,19.43653255701065,19.61472279628118,19.789799253145855,19.961619210243224,20.1399405837059,20.312997063000996,20.472512606779734,20.63808384736379,20.75141378243764,20.884039572874705,21.013297613461813,21.156181438763937,21.3062690893809,21.473047137260437,21.599915468692778,21.75070297718048,21.886171646912892,22.012868471940358,22.147774291038512,22.301064785321554,22.44437566995621,22.60932199160258,22.75544047355652,22.892984000841775,23.03797610203425,23.287057173252105,23.437702786922454,23.574162026246388,23.72717655102412,23.8800225575765,24.002539376417797,24.131759862105053,24.274614250659944,24.42606354554494,24.55705422560374,24.66852868795395,24.81421026388804,24.963037506739298,25.088845988114674,25.194788014888765,25.322293730576835,25.442639029026033,25.557482302188873,25.68400384982427,25.826575787862144,25.941394790013632,26.070486851533254,26.184177708625793,26.324894499778747,26.42686709960302,26.52210505803426,26.631019123395284,26.73900351126989,26.83457129796346,26.929285784562428,27.028503648440044,27.149173525969186,27.243242005507152,27.319016246000924,27.451733565330507,27.556770753860473,27.67085494995117,27.756322157382964,27.854990140597025,27.966845544179282,28.08268177906672,28.191341296831766,28.466462715466818,28.587879308064778,28.69566477537155,28.803734612464904,28.92082986434301,29.026175252596538,29.146250422795614,29.265702565511067,29.370782220363616,29.464689032236734,29.585348709424338,29.69666352669398,29.801825221379598,29.883011416594186,29.977798147996268,30.08205228249232,30.183292877674102,30.30225931008657,30.385307542483012,30.4940735856692,30.591214712460836,30.679415265719097,30.782253086566925,30.88778382539749,30.999264522393545,31.10877942244212,31.20333842833837,31.30749612649282,31.415692273775736,31.51766619284948,31.616197232405344,31.73616730372111,31.832296514511107,31.93169987599055,32.037464849154155,32.14234020709991,32.233992568651836,32.32922662893931,32.41614034970601,32.5049734433492,32.606361814339955,32.69899156888326,32.79519266287486,32.898515431086224,32.98651244242986,33.082038553555805,33.18396255175273,33.28916920820872,33.38641548951467,33.48147317171097,33.66090625524521
cummulative feedback,0.0,54.0,93.0,131.0,267.0,315.0,375.0,416.0,454.0,496.0,551.0,618.0,688.0,729.0,771.0,799.0,838.0,861.0,885.0,916.0,951.0,970.0,1058.0,1101.0,1129.0,1145.0,1161.0,1182.0,1201.0,1279.0,1305.0,1331.0,1359.0,1383.0,1403.0,1416.0,1438.0,1458.0,1474.0,1491.0,1517.0,1537.0,1552.0,1574.0,1594.0,1614.0,1640.0,1655.0,1679.0,1703.0,1721.0,1736.0,1751.0,1771.0,1799.0,1814.0,1827.0,1836.0,1852.0,1865.0,1889.0,1904.0,1917.0,1929.0,1945.0,1965.0,1973.0,1990.0,2011.0,2022.0,2041.0,2070.0,2098.0,2124.0,2142.0,2166.0,2185.0,2199.0,2214.0,2231.0,2252.0,2263.0,2283.0,2296.0,2310.0,2323.0,2338.0,2347.0,2359.0,2373.0,2391.0,2399.0,2411.0,2424.0,2435.0,2451.0,2466.0,2481.0,2502.0,2518.0,2532.0,2544.0,2565.0,2583.0,2599.0,2612.0,2624.0,2636.0,2641.0,2653.0,2665.0,2675.0,2677.0,2696.0,2704.0,2712.0,2725.0,2738.0,2750.0,2760.0,2765.0,2782.0,2789.0,2801.0,2809.0,2819.0,2831.0,2839.0,2852.0,2867.0,2874.0,2883.0,2899.0,2921.0,2928.0,2935.0,2951.0,2965.0,2976.0,2987.0,3002.0,3012.0,3022.0,3034.0,3081.0,3095.0,3100.0,3113.0,3131.0,3142.0,3147.0,3166.0,3180.0,3187.0,3195.0,3205.0,3217.0,3227.0,3240.0,3251.0,3265.0,3279.0,3289.0,3302.0,3308.0,3314.0,3329.0,3339.0,3354.0,3369.0,3378.0,3389.0,3392.0,3403.0,3415.0,3421.0,3433.0,3439.0,3448.0,3460.0,3467.0,3474.0,3481.0,3486.0,3497.0,3507.0,3520.0,3529.0,3536.0,3547.0,3559.0,3566.0,3577.0,3585.0,3599.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
