,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162
Episode,0.0,1.0,6.0,11.0,16.0,21.0,26.0,31.0,36.0,41.0,46.0,51.0,56.0,61.0,66.0,71.0,76.0,81.0,86.0,91.0,96.0,101.0,106.0,111.0,116.0,121.0,126.0,131.0,136.0,141.0,146.0,151.0,156.0,161.0,166.0,171.0,176.0,181.0,186.0,191.0,196.0,201.0,206.0,211.0,216.0,221.0,226.0,231.0,236.0,241.0,246.0,251.0,256.0,261.0,266.0,271.0,276.0,281.0,286.0,291.0,296.0,301.0,306.0,311.0,316.0,321.0,326.0,331.0,336.0,341.0,346.0,351.0,356.0,361.0,366.0,371.0,376.0,381.0,386.0,391.0,396.0,401.0,406.0,411.0,416.0,421.0,426.0,431.0,436.0,441.0,446.0,451.0,456.0,461.0,466.0,471.0,476.0,481.0,486.0,491.0,496.0,501.0,506.0,511.0,516.0,521.0,526.0,531.0,536.0,541.0,546.0,551.0,556.0,561.0,566.0,571.0,576.0,581.0,586.0,591.0,596.0,601.0,606.0,611.0,616.0,621.0,626.0,631.0,636.0,641.0,646.0,651.0,656.0,661.0,666.0,671.0,676.0,681.0,686.0,691.0,696.0,701.0,706.0,711.0,716.0,721.0,726.0,731.0,736.0,741.0,746.0,751.0,756.0,761.0,766.0,771.0,776.0,781.0,786.0,791.0,796.0,801.0,806.0
Accumulated time steps,0.0,70.0,419.0,1360.0,2262.0,2602.0,3222.0,3556.0,3866.0,4171.0,4463.0,4749.0,5039.0,5542.0,5870.0,6174.0,6508.0,6797.0,7091.0,7418.0,7709.0,8003.0,8302.0,8585.0,8876.0,9145.0,9432.0,9714.0,10472.0,10782.0,11059.0,11361.0,11655.0,11939.0,12229.0,12537.0,12823.0,13207.0,13499.0,13786.0,14068.0,14362.0,14647.0,14923.0,15212.0,15511.0,15815.0,16120.0,16404.0,16707.0,17097.0,17404.0,17744.0,18024.0,18320.0,18599.0,18894.0,19646.0,19937.0,20237.0,20529.0,20814.0,21160.0,21449.0,21724.0,22009.0,22307.0,22593.0,22889.0,23166.0,23466.0,23739.0,24141.0,24470.0,24770.0,25073.0,25362.0,25647.0,25958.0,26250.0,26533.0,26823.0,27108.0,27393.0,27700.0,27995.0,28284.0,28575.0,28865.0,29161.0,29454.0,29727.0,30004.0,30295.0,30599.0,30900.0,31188.0,31475.0,31761.0,32037.0,32319.0,32605.0,32895.0,33178.0,33456.0,33741.0,34034.0,34317.0,34618.0,34919.0,35218.0,35507.0,35802.0,36096.0,36385.0,36668.0,36945.0,37227.0,37520.0,37808.0,38093.0,38375.0,38661.0,38950.0,39233.0,39521.0,40041.0,40461.0,40926.0,41323.0,41617.0,41931.0,42344.0,42944.0,43580.0,44076.0,44510.0,45067.0,45502.0,46281.0,47193.0,47557.0,48019.0,48652.0,49051.0,49428.0,50071.0,50711.0,51307.0,51710.0,52289.0,52613.0,53590.0,53983.0,54478.0,55389.0,55694.0,56400.0,57343.0,58483.0,58987.0,59617.0,60259.0
Episode reward,0.0,141.16397221824562,198.55567362011942,191.96296815921934,152.74678576694635,147.8393958493657,192.24561472005885,167.77313824959737,185.62633750409995,126.4007336388717,116.5550656167168,157.32097768685017,159.453820104043,127.199382690948,196.91476095303426,166.90054402883433,176.20070452396774,145.94407640904652,163.54281189980694,173.19203228789823,175.99119423193915,179.7630938076027,171.12568673689546,124.86233580036317,186.7651790094542,119.76999348793171,169.04814063788712,150.18694851957656,179.03729549617114,166.62575845308345,123.90837110204146,176.11996850510417,128.16914636539894,161.40911277131212,158.30492099675948,188.5628472104687,180.80399905621982,164.77300359884063,185.99574724058684,164.79146576211335,121.72566263827787,182.0282460387793,117.45003100772423,127.97048408365457,181.18702690130647,167.0627454198089,189.62196180535364,170.63463977340007,128.03241218156396,133.78451189317752,714.5430392903738,171.0400988150872,178.85750047314914,165.05987944291502,180.85280830744927,171.87493821875174,163.70689307908413,166.22727915542174,123.16416763118569,137.2334018664189,136.80754864907553,163.47230820287493,142.80713872928266,144.13044935273436,126.21001237915326,158.51697904730997,126.63600862867611,163.23603818889086,174.0491488270523,158.37522887011554,172.15376872093535,164.35374496294403,162.28983796588383,198.3390756412191,137.7233829915115,190.8258262931765,178.63670171849984,165.1575229220447,180.2865029895276,131.5425252030209,185.67603651431352,132.36962197545927,119.52338245444751,163.03622115013715,360.3851831354098,121.03677898711766,176.06902593425292,174.1181698918365,130.35213606814946,187.6463396311748,171.77761701299778,120.6054406461569,138.9874492561391,161.3190434245128,153.85817048521565,170.43685580196657,180.77837251328305,173.47797972379533,174.35301745335124,181.22235707238477,167.58862154017658,131.31509920022722,129.93115994294448,139.5744385305683,126.49892143378962,129.07542427447643,189.0096218469833,181.9285861419582,167.37921967871384,187.5218228886783,131.54880982094835,159.77231607982606,158.98283155146476,164.26403947848434,156.38909781668582,126.5354338838703,143.97219739559796,159.26234536941655,174.49234287533685,153.31155402521142,129.47274813858408,164.43555121651897,135.85658589592455,141.91465798688688,122.49167949671407,188.11550396425756,149.34141802243283,151.26791935466457,136.7523858099599,175.51172589764482,133.70840769567727,201.8420838956744,135.38121660105097,151.49931372893963,246.67988753848465,269.739622889497,149.43399302748344,289.0665160517781,176.7285800373343,191.4628452610904,163.3015687317335,139.06657269320385,173.1337924760111,1308.4042913864198,151.28255406922625,194.3885511940969,458.1028769216833,137.8889318492897,120.76610504777399,224.9723101502016,132.5625755902636,206.63851895280905,634.2212984727553,136.99469706543655,179.13716500499285,1653.5493437945945,145.04980323653282,153.32135865847465,141.67972385330674,265.5160906676854,333.99883337070906,168.64801675186163,681.3797092683443
Episode feedback,0.8,0.8695652047889101,0.7916666556712965,0.7155963237101255,0.7222222121913582,0.7540983482934698,0.7121212013314969,0.6499999891666669,0.6615384513609469,0.6296296179698219,0.4999999900000002,0.49122806155740245,0.46551723335315115,0.48148147256515794,0.6511627831260142,0.4999999913793105,0.507692299881657,0.5535714186862247,0.43103447532699185,0.37288134961218056,0.6393442518140287,0.3968253905265811,0.43333332611111125,0.3962264076183697,0.5468749914550782,0.31999999360000014,0.3333333277777779,0.3999999927272729,0.5882352854671282,0.41379309631391215,0.4423076838017753,0.2539682499370119,0.4074073998628259,0.33333332748538025,0.35087718682671604,0.35384614840236694,0.38333332694444455,0.38333332694444455,0.41269840614764436,0.33333332748538025,0.42307691494082855,0.2968749953613282,0.33962263510145974,0.4821428485331634,0.3968253905265811,0.22413792717003575,0.298507458231232,0.3559321973570814,0.2075471658953365,0.2727272677685951,0.6558441515854276,0.2499999958333334,0.5081967129803818,0.28813558833668496,0.2419354799687826,0.3499999941666668,0.26315789012003704,0.40677965412237876,0.538461528106509,0.3636363570247935,0.21428571045918376,0.3157894681440444,0.44067795863257697,0.38333332694444455,0.24074073628257897,0.35087718682671604,0.4727272641322316,0.30357142315051033,0.2666666622222223,0.24999999553571436,0.3114754047299114,0.12499999776785718,0.4482758543400715,0.3283582040543552,0.3684210461680518,0.22727272382920116,0.2539682499370119,0.1896551691438764,0.30158729680020163,0.20370369993141296,0.1428571405895692,0.28070174946137283,0.33333332679738575,0.29310344322235443,0.49999999404761913,0.3137254840445984,0.2833333286111112,0.2833333286111112,0.22222221810699597,0.18461538177514797,0.29310344322235443,0.1372548992695118,0.24561403077870123,0.48275861236623085,0.21428571045918376,0.23333332944444451,0.21311475060467622,0.19999999666666674,0.21666666305555562,0.2539682499370119,0.20338982706118938,0.25925925445816195,0.22222221810699597,0.08928571269132657,0.23076922633136104,0.34545453917355384,0.23809523431594867,0.27419354396462026,0.19672130825047038,0.22222221869488543,0.22222221810699597,0.2586206851961951,0.40350876485072346,0.1896551691438764,0.23214285299744905,0.16981131755072987,0.23728813157138762,0.1929824527546938,0.16393442354205864,0.16363636066115708,0.22222221810699597,0.22033897931628849,0.1929824527546938,0.2678571380739797,0.26415093841224646,0.24999999609375007,0.41538460899408297,0.48529411051038074,0.49999999242424253,0.47619046863189735,0.49999999107142873,0.40298506861216316,0.4642857059948981,0.553846145325444,0.5543478200614368,0.51999999584,0.4218749934082032,0.4202898520268851,0.486111104359568,0.5797101365259401,0.4925373060815328,0.47368420221606666,0.40677965412237876,0.48192770939178403,0.46969696258034904,0.384615378698225,0.4810810784806428,0.46969696258034904,0.41176469780853536,0.4626865637112943,0.39344261650094076,0.535353529945924,0.537091986536819,0.49999999264705897,0.43478260239445504,0.441999999116,0.42622950120935243,0.5428571351020409,0.48333332527777795,0.4360465090927529,0.4713375766156842,0.46268656025840954,0.40853658287477695
total seconds,0.0,5.182778596878052,19.463345766067505,76.95295357704163,133.30869126319885,155.68876314163208,192.0343701839447,210.3374993801117,226.8441767692566,243.3663845062256,260.0567994117737,275.6630861759186,290.6003794670105,318.88316535949707,336.09358167648315,352.18883514404297,369.331524848938,382.8788409233093,399.1316542625427,415.34838032722473,428.15453696250916,442.6079263687134,454.8088912963867,467.1186122894287,479.2167224884033,488.6697008609772,499.9834282398224,513.1059703826904,553.0670232772827,569.2566974163055,581.7837784290314,594.5991134643555,606.509477853775,618.5826106071472,628.6738226413727,639.3306908607483,650.729466676712,667.4723489284515,680.4473955631256,691.9069247245789,704.6396906375885,717.9037220478058,729.7249205112457,741.235595703125,752.8174333572388,761.6462576389313,772.1710031032562,781.2855899333954,791.087317943573,801.9788966178894,817.2396099567413,828.3720736503601,845.3939807415009,857.2347519397736,865.6812024116516,876.6803724765778,886.7162408828735,923.2957425117493,936.2902617454529,947.4248383045197,956.5874543190002,966.4120490550995,980.85307097435,989.7529859542847,999.258154630661,1010.5850620269775,1021.8541188240051,1032.148708820343,1041.063635110855,1050.940803527832,1059.8204510211945,1068.7376902103424,1084.2536821365356,1097.9977669715881,1107.4671006202698,1115.1430094242096,1124.4793417453766,1133.4131970405579,1143.227992773056,1151.7725322246552,1161.3261029720306,1168.9396929740906,1176.4603760242462,1186.1468119621277,1197.558329820633,1207.6134359836578,1215.7610311508179,1223.7222950458527,1233.0612635612488,1241.6215353012085,1250.5169262886047,1258.9860212802887,1267.1066184043884,1277.0947499275208,1286.4453365802765,1295.083785533905,1303.526261806488,1312.5569922924042,1319.8261375427246,1328.3446593284607,1336.5921800136566,1345.5424754619598,1353.5765480995178,1363.016909122467,1370.5958232879639,1379.0705981254578,1387.231129169464,1396.1195232868195,1404.331204175949,1411.9790408611298,1420.5611844062805,1429.8483448028564,1438.7206087112427,1446.6906938552856,1454.3026456832886,1463.003257036209,1471.1248857975006,1479.0200955867767,1487.92924118042,1495.3304629325867,1503.2130229473114,1511.3318374156952,1519.5992634296417,1527.1339886188507,1536.1122779846191,1545.3091711997986,1564.053584575653,1579.0845539569855,1595.8466346263885,1608.5290884971619,1619.3314898014069,1632.3806245326996,1646.5106835365295,1666.1032733917236,1684.9881012439728,1703.3237056732178,1717.4096927642822,1735.415293931961,1751.7381393909454,1777.6183104515076,1807.2454988956451,1820.8586015701294,1836.922427892685,1857.4371700286865,1873.197093963623,1885.7556698322296,1907.259471654892,1927.729650735855,1946.5319633483887,1961.4856190681458,1981.295910358429,1993.6059186458588,2024.0292809009552,2038.0809009075165,2052.819761991501,2081.9751484394073,2092.6569242477417,2113.098208427429,2141.288072824478,2174.869573354721,2191.803205728531,2210.6032145023346,2230.9030799865723
total minutes,0.0,0.08637964328130086,0.3243890961011251,1.282549226284027,2.221811521053314,2.5948127190272015,3.200572836399078,3.505624989668528,3.78073627948761,4.056106408437093,4.334279990196228,4.594384769598643,4.843339657783508,5.314719422658285,5.601559694608053,5.869813919067383,6.155525414148967,6.381314015388488,6.652194237709045,6.922473005453745,7.135908949375152,7.37679877281189,7.580148188273112,7.785310204823812,7.986945374806722,8.14449501434962,8.333057137330373,8.551766173044841,9.217783721288045,9.487611623605092,9.696396307150524,9.909985224405924,10.108491297562917,10.309710176785787,10.477897044022878,10.655511514345806,10.845491111278534,11.124539148807525,11.340789926052093,11.531782078742982,11.743994843959808,11.965062034130096,12.162082008520763,12.353926595052084,12.546957222620646,12.694104293982187,12.869516718387604,13.021426498889923,13.184788632392884,13.36631494363149,13.620660165945688,13.806201227506001,14.089899679025015,14.287245865662893,14.428020040194193,14.611339541276296,14.778604014714558,15.38826237519582,15.604837695757547,15.790413971741994,15.943124238650004,16.10686748425166,16.347551182905832,16.49588309923808,16.654302577177685,16.843084367116294,17.030901980400085,17.20247848033905,17.351060585180917,17.5156800587972,17.663674183686574,17.81229483683904,18.070894702275595,18.2999627828598,18.45778501033783,18.585716823736828,18.74132236242294,18.890219950675963,19.053799879550933,19.19620887041092,19.355435049533845,19.482328216234844,19.607672933737437,19.76911353270213,19.95930549701055,20.12689059972763,20.262683852513632,20.395371584097543,20.551021059354145,20.693692255020142,20.841948771476744,20.98310035467148,21.118443640073142,21.284912498792014,21.440755609671275,21.584729758898415,21.7254376967748,21.87594987154007,21.997102292378745,22.139077655474345,22.276536333560944,22.425707924365998,22.559609134991963,22.716948485374452,22.843263721466066,22.984509968757628,23.120518819491068,23.26865872144699,23.405520069599152,23.532984014352163,23.676019740104675,23.830805746714272,23.978676811854044,24.111511564254762,24.23837742805481,24.383387617270152,24.51874809662501,24.65033492644628,24.79882068634033,24.92217438220978,25.05355038245519,25.18886395692825,25.326654390494028,25.45223314364751,25.601871299743653,25.755152853329978,26.06755974292755,26.31807589928309,26.59744391043981,26.808818141619366,26.98885816335678,27.20634374221166,27.441844725608824,27.768387889862062,28.08313502073288,28.388728427886964,28.623494879404703,28.92358823219935,29.19563565651576,29.62697184085846,30.120758314927418,30.347643359502158,30.615373798211415,30.957286167144776,31.219951566060384,31.429261163870493,31.787657860914866,32.12882751226425,32.44219938913981,32.691426984469096,33.02159850597381,33.226765310764314,33.73382134834925,33.968015015125275,34.21366269985835,34.69958580732346,34.87761540412903,35.218303473790485,35.68813454707463,36.24782622257869,36.53005342880885,36.843386908372246,37.181717999776204
cummulative feedback,0.0,60.0,117.0,195.0,247.0,293.0,340.0,379.0,422.0,456.0,481.0,509.0,536.0,562.0,618.0,647.0,680.0,711.0,736.0,758.0,797.0,822.0,848.0,869.0,904.0,920.0,940.0,962.0,1002.0,1026.0,1049.0,1065.0,1087.0,1106.0,1126.0,1149.0,1172.0,1195.0,1221.0,1240.0,1262.0,1281.0,1299.0,1326.0,1351.0,1364.0,1384.0,1405.0,1416.0,1431.0,1532.0,1547.0,1578.0,1595.0,1610.0,1631.0,1646.0,1670.0,1698.0,1718.0,1730.0,1748.0,1774.0,1797.0,1810.0,1830.0,1856.0,1873.0,1889.0,1903.0,1922.0,1929.0,1955.0,1977.0,1998.0,2013.0,2029.0,2040.0,2059.0,2070.0,2079.0,2095.0,2112.0,2129.0,2171.0,2187.0,2204.0,2221.0,2233.0,2245.0,2262.0,2269.0,2283.0,2311.0,2323.0,2337.0,2350.0,2362.0,2375.0,2391.0,2403.0,2417.0,2429.0,2434.0,2446.0,2465.0,2480.0,2497.0,2509.0,2523.0,2535.0,2550.0,2573.0,2584.0,2597.0,2606.0,2620.0,2631.0,2641.0,2650.0,2662.0,2675.0,2686.0,2701.0,2715.0,2731.0,2758.0,2791.0,2824.0,2854.0,2882.0,2909.0,2935.0,2971.0,3022.0,3087.0,3114.0,3172.0,3207.0,3247.0,3280.0,3307.0,3331.0,3491.0,3522.0,3547.0,3636.0,3667.0,3688.0,3750.0,3774.0,3827.0,4008.0,4042.0,4072.0,4293.0,4319.0,4357.0,4386.0,4461.0,4535.0,4566.0,4633.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
