,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191
Episode,0.0,1.0,6.0,11.0,16.0,21.0,26.0,31.0,36.0,41.0,46.0,51.0,56.0,61.0,66.0,71.0,76.0,81.0,86.0,91.0,96.0,101.0,106.0,111.0,116.0,121.0,126.0,131.0,136.0,141.0,146.0,151.0,156.0,161.0,166.0,171.0,176.0,181.0,186.0,191.0,196.0,201.0,206.0,211.0,216.0,221.0,226.0,231.0,236.0,241.0,246.0,251.0,256.0,261.0,266.0,271.0,276.0,281.0,286.0,291.0,296.0,301.0,306.0,311.0,316.0,321.0,326.0,331.0,336.0,341.0,346.0,351.0,356.0,361.0,366.0,371.0,376.0,381.0,386.0,391.0,396.0,401.0,406.0,411.0,416.0,421.0,426.0,431.0,436.0,441.0,446.0,451.0,456.0,461.0,466.0,471.0,476.0,481.0,486.0,491.0,496.0,501.0,506.0,511.0,516.0,521.0,526.0,531.0,536.0,541.0,546.0,551.0,556.0,561.0,566.0,571.0,576.0,581.0,586.0,591.0,596.0,601.0,606.0,611.0,616.0,621.0,626.0,631.0,636.0,641.0,646.0,651.0,656.0,661.0,666.0,671.0,676.0,681.0,686.0,691.0,696.0,701.0,706.0,711.0,716.0,721.0,726.0,731.0,736.0,741.0,746.0,751.0,756.0,761.0,766.0,771.0,776.0,781.0,786.0,791.0,796.0,801.0,806.0,811.0,816.0,821.0,826.0,831.0,836.0,841.0,846.0,851.0,856.0,861.0,866.0,871.0,876.0,881.0,886.0,891.0,896.0,901.0,906.0,911.0,916.0,921.0,926.0,931.0,936.0,941.0,946.0,951.0
Accumulated time steps,0.0,63.0,391.0,722.0,1499.0,2181.0,2958.0,3295.0,3668.0,4161.0,4484.0,4832.0,5117.0,5411.0,5705.0,5991.0,6277.0,6566.0,6850.0,7139.0,7637.0,8092.0,8448.0,8750.0,9094.0,9396.0,9677.0,9954.0,10233.0,10529.0,10850.0,11185.0,11477.0,11753.0,12042.0,12343.0,12628.0,12920.0,13207.0,13477.0,13767.0,14054.0,14338.0,14624.0,14969.0,15255.0,15554.0,15842.0,16134.0,16418.0,16703.0,16993.0,17287.0,17577.0,17867.0,18158.0,18432.0,18731.0,19013.0,19296.0,19578.0,19869.0,20142.0,20422.0,20708.0,20997.0,21281.0,21570.0,21857.0,22140.0,22424.0,22703.0,22988.0,23253.0,23521.0,23813.0,24089.0,24395.0,24681.0,24986.0,25286.0,25566.0,25843.0,26126.0,26409.0,26713.0,27004.0,27281.0,27563.0,27878.0,28186.0,28468.0,28751.0,29045.0,29340.0,29645.0,29925.0,30223.0,31049.0,31436.0,31735.0,32036.0,32317.0,32591.0,32906.0,33189.0,33476.0,33737.0,34015.0,34293.0,34570.0,34864.0,35142.0,35426.0,35723.0,35998.0,36287.0,36574.0,36845.0,37132.0,37871.0,38168.0,38458.0,38733.0,39021.0,39299.0,39587.0,39868.0,40151.0,40447.0,40736.0,41042.0,41334.0,41688.0,41995.0,42592.0,42896.0,43181.0,43475.0,43745.0,44339.0,44623.0,44923.0,45227.0,45507.0,45813.0,46140.0,46438.0,46743.0,47047.0,47345.0,47630.0,47915.0,48219.0,48517.0,48938.0,49226.0,49533.0,49884.0,50166.0,50464.0,50748.0,51045.0,51343.0,51644.0,51933.0,52234.0,52522.0,52844.0,53136.0,53426.0,53733.0,54036.0,54332.0,54684.0,54977.0,55267.0,55552.0,55846.0,56145.0,56430.0,56711.0,57009.0,57303.0,57667.0,58006.0,58286.0,58583.0,58866.0,59610.0,60125.0,60467.0
Episode reward,0.0,144.76367679288464,169.41086081673384,179.12481174479976,211.06020913110544,166.72247944521342,139.72519713826406,128.0619099941226,229.153024858237,173.81227722542366,170.2008099061392,173.54064712814628,119.01937466073132,169.20150175549645,132.44917994791967,157.38106345253362,166.86738876353968,178.0763944710715,117.88846672722278,158.1035027509627,901.8634904961663,212.66196491020634,172.50322981326212,185.10259042921933,147.78287740365812,179.16269652301844,126.51678969730668,166.1427008940062,141.53798181834634,154.74664141511153,130.30511086178882,145.84514975108178,135.02310135792843,170.22471485343985,167.76870314702197,185.6802489122608,171.6959961074306,161.5338248661323,126.98211266527605,170.7607131180994,182.4057558890493,157.43378327150572,158.02988059140634,173.9166720013244,137.33851926639937,158.28415894640244,171.9852065250434,134.83454835662093,161.54806078464821,123.69334224632773,168.253824370816,183.75536154396391,159.31845866760946,133.07909731977892,153.18984085754434,171.58454824652344,114.26649780418202,189.3278871243282,165.859020309817,129.16384780233875,138.52595699079706,189.79929375822132,127.19673346871362,149.44352697118885,174.28600017281383,153.1869720979232,115.06531414626511,156.09925660157668,143.49926270499026,125.84023400780994,164.79989111992148,125.10485994238977,182.76749350397017,152.04031353756676,118.05377774915121,153.28716685565263,159.53299377026647,197.2900873231835,165.02684313469052,191.1960341626158,180.62347340850965,177.67071973965665,139.9808123033913,188.9033949384207,154.08646675789052,165.47329762503892,182.89356071795783,155.9220544338891,117.14976187823201,180.52575702998743,140.66640144689154,138.0700807821058,121.09420326097346,172.385780610463,168.63055613547965,172.1822162666858,128.6363215885147,191.09683119957018,149.8325913874232,216.59015282747373,188.93764139642946,144.95052991391233,133.93817995277985,130.17473237332257,123.91312137723746,156.276190010314,132.96894679264508,166.3204892613994,124.96800026669797,166.8620833246322,117.94900829979815,189.31263870345376,147.91916543605845,169.54684039548846,136.56975981350433,120.3495223664272,124.20801409554163,126.92468512848477,130.10715838265827,176.28669172515293,159.70371295259721,139.15218223850943,181.25644650992476,157.80875931245527,133.37305202300377,183.90652746456195,169.7954669147329,146.37294431455763,120.63434494486594,160.4788678514255,178.41949152476857,176.36190915174126,186.92592081983406,193.6465233757366,166.66947234743722,139.19022805658233,161.65476269981173,139.41314292113904,180.89877316015333,160.17137362124734,173.07561877992322,119.29151811984013,138.88638827931786,186.84660182329276,125.57420148222059,196.99472309923766,158.1504180986085,167.85221217497093,169.39451896748943,144.09489886693655,121.94271705728666,175.74067793493455,148.64829546440765,164.83670506573696,162.4560478948317,173.76183693525573,186.60545260309024,187.60108592524037,188.65992505349402,167.2572056448761,160.23847926681506,135.8883672385708,164.46582074148805,183.86478596419738,188.65238981793584,163.38868092716157,175.73691951410092,182.72979459472725,184.38462274204744,180.81689201544881,157.81316743588997,180.60484733866215,165.55590845486296,192.74574000599594,161.75024885582766,160.66590055286207,133.3723263732652,167.41522506624997,185.88423676687606,171.06544987937366,124.01621560268555,159.3845250662604,171.82631730110404,176.84127435071738,492.23821125256666,164.5301979665338,155.47983956726551,192.42946375701015,120.62214853396115,1594.716304560646,168.70007673420707,167.96074582837798
Episode feedback,0.8,0.8548386958896985,0.6811594104179796,0.5797101365259401,0.6951219427424153,0.7571428463265308,0.7241379185493463,0.5833333236111113,0.76422763606319,0.5806451519250783,0.7166666547222225,0.7258064399063477,0.6799999864000003,0.5967741839229971,0.4999999907407409,0.5892857037627554,0.5084745676529735,0.5245901553345876,0.5192307592455624,0.33928570822704096,0.6714801419802161,0.6914893543458579,0.46774192793964636,0.5312499916992189,0.6545454426446283,0.41666665972222233,0.4999999907407409,0.35087718682671604,0.35185184533607694,0.4727272641322316,0.47368420221606666,0.523809515495087,0.593220328928469,0.3793103382877528,0.38983050186727963,0.27419354396462026,0.28813558833668496,0.48275861236623085,0.48076922152366885,0.3333333277777779,0.3968253905265811,0.42857142091836753,0.2678571380739797,0.2499999958333334,0.33928570822704096,0.33928570822704096,0.3499999941666668,0.4107142783801022,0.40350876485072346,0.48148147256515794,0.18333333027777785,0.3174603124212649,0.42105262419205924,0.26315789012003704,0.20370369993141296,0.11864406578569381,0.1999999960000001,0.276923072662722,0.3157894681440444,0.277777772633745,0.16071428284438782,0.32812499487304697,0.3207547109291564,0.277777772633745,0.2666666622222223,0.35087718682671604,0.3999999920000002,0.2280701714373654,0.3559321973570814,0.2692307640532545,0.26315789012003704,0.2830188625845498,0.3709677359521333,0.20370369993141296,0.15999999680000007,0.1896551691438764,0.3157894681440444,0.30769230295857997,0.31034482223543414,0.3650793592844546,0.2539682499370119,0.24590163531308795,0.28070174946137283,0.33870967195629564,0.3090909034710745,0.3050847405917841,0.3278688470841173,0.3050847405917841,0.17307691974852077,0.453124992919922,0.3684210461680518,0.23214285299744905,0.34615383949704154,0.20338982706118938,0.25423728382648675,0.4237288063774779,0.2884615329142013,0.32307691810650896,0.3636363570247935,0.43617020812584884,0.37313432278903996,0.40350876485072346,0.32727272132231416,0.2830188625845498,0.3018867867568531,0.24999999553571436,0.3207547109291564,0.3050847405917841,0.22641509006763982,0.29508196237570555,0.24489795418575605,0.276923072662722,0.21818181421487612,0.39999999333333347,0.30357142315051033,0.45283018013527965,0.19230768860946754,0.24528301423994314,0.18518518175583,0.16666666388888896,0.32142856568877565,0.3684210461680518,0.3333333280423281,0.30357142315051033,0.32142856568877565,0.2857142811791384,0.1311475388336469,0.1896551691438764,0.23529411303344877,0.17543859341335802,0.14754098118785278,0.19672130825047038,0.19354838397502608,0.4107142820471939,0.19672130825047038,0.35087718682671604,0.4576271108876761,0.24999999553571436,0.22580644797086374,0.2678571380739797,0.2666666622222223,0.3137254840445984,0.4237288063774779,0.3333333280423281,0.22641509006763982,0.261538457514793,0.32142856568877565,0.31034482223543414,0.22033897931628849,0.19642856792091845,0.11538461316568052,0.21666666305555562,0.2909090856198348,0.22413792717003575,0.052631578024007405,0.2999999950000001,0.24999999609375007,0.21874999658203131,0.2857142811791384,0.2622950776672938,0.1929824527546938,0.21818181421487612,0.26315789012003704,0.24590163531308795,0.19047618745275893,0.29310344322235443,0.2622950776672938,0.16129031997918838,0.22222221869488543,0.20967741597294492,0.2586206851961951,0.26562499584960947,0.25423728382648675,0.26562499584960947,0.2982456088027086,0.2280701714373654,0.19999999636363644,0.2499999958333334,0.15624999755859378,0.2999999950000001,0.15094339337842655,0.24561403077870123,0.20338982706118938,0.11475409647944104,0.39285713934948985,0.24137930618311543,0.09090908925619838,0.17460317183169569,0.19607842752787397,0.373999999252,0.37288134961218056,0.2758620642092748
total seconds,0.0,4.7755043506622314,19.72141671180725,31.01190948486328,83.0077748298645,124.12324213981628,173.88092470169067,192.9928605556488,214.94347190856934,242.42893505096436,257.92610716819763,277.6734161376953,293.5397093296051,309.07682180404663,324.13394594192505,338.7711703777313,353.1566038131714,366.9111678600311,381.46504402160645,394.51590299606323,419.84903931617737,448.82702445983887,469.53729224205017,484.8318314552307,503.275616645813,516.1756303310394,528.7853395938873,539.9382948875427,550.4688665866852,563.1191005706787,578.7518758773804,596.5555305480957,609.2051768302917,621.1119430065155,635.0496325492859,647.6294014453888,657.485907793045,670.3834321498871,682.4998528957367,692.1516246795654,704.4607727527618,715.1744964122772,725.1736481189728,735.7840988636017,750.9259009361267,761.8866765499115,774.3930690288544,785.837611913681,797.3916852474213,810.0163340568542,819.9466595649719,829.9168348312378,841.2053401470184,850.9093415737152,861.2350137233734,871.2589201927185,880.7133765220642,890.522394657135,899.8918676376343,910.4975688457489,920.6954894065857,931.0485718250275,940.7248549461365,950.9244637489319,962.0510346889496,974.142608165741,984.5492675304413,994.8018431663513,1005.5254702568054,1014.7191226482391,1023.8504319190979,1033.963086605072,1044.0538883209229,1053.9761345386505,1061.9431557655334,1071.7091555595398,1082.8424985408783,1096.2437965869904,1104.985965013504,1113.9669082164764,1124.4414422512054,1135.1061971187592,1143.0883347988129,1152.5684208869934,1161.3002452850342,1173.2103390693665,1182.6543881893158,1191.513088941574,1199.6273591518402,1213.7974858283997,1225.0533244609833,1234.8965067863464,1243.3128576278687,1254.0896534919739,1265.6514387130737,1277.090782880783,1287.438848733902,1297.065907239914,1336.3350903987885,1354.839483499527,1368.0577101707458,1379.7298376560211,1389.4089486598969,1400.3422300815582,1411.5706458091736,1420.5828487873077,1429.6958224773407,1438.7660732269287,1448.9148697853088,1457.553328037262,1466.9732263088226,1476.511332988739,1485.7720165252686,1495.8078291416168,1504.7226412296295,1513.2572836875916,1521.7650501728058,1530.4295814037323,1539.8955702781677,1549.5277659893036,1578.9844062328339,1590.6268515586853,1602.8232655525208,1612.32102227211,1623.2519552707672,1633.015519618988,1641.2550058364868,1649.6187102794647,1658.0522842407227,1665.0960791110992,1671.467473745346,1677.1515917778015,1684.6714069843292,1694.813045501709,1702.497538805008,1718.523811340332,1726.0183839797974,1733.5016551017761,1739.5695481300354,1745.9722747802734,1761.1622395515442,1767.9729115962982,1776.046863079071,1784.9347488880157,1791.9556856155396,1799.7219517230988,1807.9321548938751,1816.4780399799347,1823.0911130905151,1831.0447161197662,1837.658551454544,1843.5183589458466,1850.7549004554749,1857.203463792801,1863.5778748989105,1874.3778128623962,1881.1851708889008,1887.2815358638763,1896.0103764533997,1902.9737362861633,1909.4502074718475,1915.1472039222717,1922.2961642742157,1928.1674275398254,1934.8499472141266,1940.8815913200378,1947.913501739502,1954.2865567207336,1963.5225234031677,1971.2758491039276,1978.5912582874298,1985.7300879955292,1992.7886505126953,1999.7051973342896,2008.5759601593018,2015.3416483402252,2021.9573123455048,2028.2838621139526,2033.894539117813,2041.00896525383,2047.3171260356903,2053.417764902115,2060.2422199249268,2066.9775829315186,2075.4900674819946,2083.6093621253967,2088.956937789917,2093.920863866806,2100.6074571609497,2118.149703502655,2131.00443482399,2140.00243973732
total minutes,0.0,0.07959173917770386,0.32869027853012084,0.5168651580810547,1.383462913831075,2.0687207023302716,2.8980154116948444,3.21654767592748,3.5823911984761554,4.040482250849406,4.2987684528032934,4.627890268961589,4.8923284888267515,5.151280363400777,5.402232432365418,5.646186172962189,5.88594339688619,6.115186131000518,6.3577507336934405,6.575265049934387,6.997483988602956,7.480450407663981,7.825621537367502,8.080530524253845,8.387926944096883,8.60292717218399,8.813088993231455,8.998971581459045,9.174481109778087,9.385318342844645,9.64586459795634,9.942592175801595,10.153419613838196,10.351865716775258,10.584160542488098,10.793823357423147,10.958098463217418,11.173057202498118,11.374997548262279,11.535860411326091,11.741012879212697,11.91957494020462,12.086227468649547,12.263068314393362,12.515431682268778,12.698111275831858,12.906551150480906,13.097293531894683,13.289861420790354,13.500272234280905,13.665777659416198,13.831947247187296,14.020089002450307,14.18182235956192,14.353916895389556,14.520982003211975,14.678556275367736,14.84203991095225,14.998197793960571,15.174959480762482,15.344924823443096,15.517476197083791,15.678747582435609,15.848741062482198,16.034183911482494,16.235710136095683,16.40915445884069,16.58003071943919,16.758757837613423,16.911985377470653,17.0641738653183,17.232718110084534,17.40089813868205,17.56626890897751,17.699052596092223,17.861819259325664,18.047374975681304,18.270729943116507,18.416432750225066,18.566115136941274,18.740690704186758,18.918436618645988,19.05147224664688,19.20947368144989,19.355004088083902,19.553505651156108,19.71090646982193,19.85855148235957,19.993789319197337,20.229958097139995,20.417555407683054,20.58160844643911,20.72188096046448,20.90149422486623,21.094190645217896,21.284846381346384,21.457314145565032,21.617765120665233,22.272251506646473,22.58065805832545,22.8009618361791,22.995497294267018,23.156815810998282,23.33903716802597,23.52617743015289,23.676380813121796,23.828263707955678,23.979434553782145,24.14858116308848,24.2925554672877,24.44955377181371,24.608522216478985,24.762866942087808,24.930130485693613,25.07871068716049,25.220954728126525,25.36275083621343,25.507159690062206,25.664926171302795,25.825462766488393,26.316406770547232,26.510447525978087,26.713721092542013,26.8720170378685,27.05419925451279,27.216925326983134,27.35425009727478,27.493645171324413,27.634204737345378,27.751601318518322,27.857791229089102,27.952526529630024,28.077856783072153,28.24688409169515,28.374958980083466,28.642063522338866,28.766973066329957,28.89169425169627,28.992825802167257,29.099537913004557,29.352703992525736,29.466215193271637,29.60078105131785,29.748912481466927,29.865928093592327,29.995365862051646,30.132202581564584,30.27463399966558,30.38485188484192,30.517411935329438,30.6276425242424,30.725305982430775,30.84591500759125,30.95339106321335,31.059631248315174,31.23963021437327,31.35308618148168,31.454692264397938,31.600172940889994,31.716228938102724,31.82417012453079,31.919120065371196,32.038269404570265,32.13612379233042,32.247499120235446,32.34802652200063,32.465225028991696,32.57144261201223,32.7253753900528,32.85459748506546,32.97652097145716,33.095501466592154,33.21314417521159,33.32841995557149,33.47626600265503,33.58902747233709,33.69928853909175,33.80473103523254,33.89824231863022,34.01681608756383,34.12195210059484,34.22362941503525,34.33737033208211,34.44962638219197,34.59150112469991,34.72682270208995,34.81594896316528,34.89868106444677,35.01012428601583,35.30249505837758,35.51674058039983,35.66670732895533
cummulative feedback,0.0,53.0,100.0,140.0,197.0,250.0,292.0,327.0,421.0,457.0,500.0,545.0,579.0,616.0,643.0,676.0,706.0,738.0,765.0,784.0,970.0,1035.0,1064.0,1098.0,1134.0,1159.0,1186.0,1206.0,1225.0,1251.0,1278.0,1311.0,1346.0,1368.0,1391.0,1408.0,1425.0,1453.0,1478.0,1498.0,1523.0,1547.0,1562.0,1577.0,1596.0,1615.0,1636.0,1659.0,1682.0,1708.0,1719.0,1739.0,1763.0,1778.0,1789.0,1796.0,1806.0,1824.0,1842.0,1857.0,1866.0,1887.0,1904.0,1919.0,1935.0,1955.0,1975.0,1988.0,2009.0,2023.0,2038.0,2053.0,2076.0,2087.0,2095.0,2106.0,2124.0,2144.0,2162.0,2185.0,2201.0,2216.0,2232.0,2253.0,2270.0,2288.0,2308.0,2326.0,2335.0,2364.0,2385.0,2398.0,2416.0,2428.0,2443.0,2468.0,2483.0,2504.0,2524.0,2565.0,2590.0,2613.0,2631.0,2646.0,2662.0,2676.0,2693.0,2711.0,2723.0,2741.0,2753.0,2771.0,2783.0,2807.0,2824.0,2848.0,2858.0,2871.0,2881.0,2891.0,2909.0,2930.0,2951.0,2968.0,2986.0,3004.0,3012.0,3023.0,3035.0,3045.0,3054.0,3066.0,3078.0,3124.0,3136.0,3156.0,3183.0,3197.0,3211.0,3226.0,3242.0,3258.0,3283.0,3304.0,3316.0,3333.0,3351.0,3369.0,3382.0,3393.0,3399.0,3412.0,3428.0,3441.0,3444.0,3462.0,3478.0,3492.0,3510.0,3526.0,3537.0,3549.0,3564.0,3579.0,3591.0,3608.0,3624.0,3634.0,3648.0,3661.0,3676.0,3693.0,3708.0,3725.0,3742.0,3755.0,3766.0,3781.0,3791.0,3809.0,3817.0,3831.0,3843.0,3850.0,3894.0,3908.0,3913.0,3924.0,3934.0,4121.0,4143.0,4159.0
e,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
buffer size,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
