,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Accumulated time steps,0.0,1000.0,1970.0,2969.0,3968.0,4967.0,5966.0,6965.0,7964.0,8963.0,9962.0,10961.0,11960.0,12959.0,13958.0,14957.0,15956.0,16955.0,17954.0,18953.0,19952.0
Episode reward,0.0,-67.17171541619594,55.704524614646424,-38.535947919205434,-35.03646129598339,-37.039752084730736,-33.31527168034086,-35.92633111912842,-37.104249897196254,-36.152950631535994,-34.82850442732708,-35.873382579244726,-33.125563837126066,-36.181704167244874,-36.02262184381544,-36.03363700999284,-33.11733877047607,-36.26315463566185,-35.50460647028509,-33.302912405269204,-38.14815315641091
Episode feedback,0.8,0.0150300601051803,0.36738906050837045,0.21442885750057228,0.15430861707985108,0.10220440871522604,0.06913827648382938,0.03607214425243272,0.02905811620334858,0.0100200400701202,0.0050100200350601,0.00801603205609616,0.0050100200350601,0.00100200400701202,0.0,0.00100200400701202,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,44.35021734237671,105.40751576423645,162.0028781890869,215.5964388847351,266.59437108039856,316.18250703811646,364.3249444961548,412.09796595573425,458.87301111221313,505.5193614959717,552.3170092105865,599.1747000217438,645.9516484737396,692.7089667320251,739.4124653339386,786.3399012088776,833.394122838974,880.4993448257446,927.4634761810303,974.5455453395844
total minutes,0.0,0.7391702890396118,1.756791929403941,2.7000479698181152,3.593273981412252,4.443239518006643,5.2697084506352745,6.072082408269247,6.868299432595571,7.647883518536886,8.425322691599527,9.20528348684311,9.986245000362397,10.76586080789566,11.545149445533752,12.323541088898976,13.10566502014796,13.889902047316234,14.674989080429077,15.457724603017171,16.24242575565974
cummulative feedback,0.0,15.0,371.0,585.0,739.0,841.0,910.0,946.0,975.0,985.0,990.0,998.0,1003.0,1004.0,1004.0,1005.0,1005.0,1005.0,1005.0,1005.0,1005.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,969.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
