,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Accumulated time steps,0.0,1000.0,1999.0,2925.0,3924.0,4923.0,5922.0,6921.0,7920.0,8919.0,9918.0,10917.0,11916.0,12915.0,13914.0,14913.0,15912.0,16911.0,17910.0,18909.0,19908.0
Episode reward,0.0,-52.012103039264915,-25.45278658252476,53.13981196118293,-24.172103480486303,-48.744578658613804,-22.81905187931168,-39.04682007862313,-28.893602023737056,-35.792692847487075,-19.723537213770605,-30.726312507632393,-39.20159312111135,-35.71487826162709,-36.85270970477502,-31.227788138996047,-31.595891567515977,-41.10706616876507,-46.26020997224069,-47.08881356045332,-40.79257848799038
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,42.98911738395691,86.08437705039978,125.58578181266785,169.19240307807922,211.75656914710999,254.69502782821655,297.58785676956177,340.5262351036072,383.1989178657532,426.46718406677246,469.2305989265442,511.6953618526459,559.3185670375824,602.0319135189056,644.9866299629211,687.6187558174133,730.279500246048,773.734384059906,816.811598777771,860.362877368927
total minutes,0.0,0.7164852897326152,1.434739617506663,2.093096363544464,2.8198733846346538,3.5292761524518332,4.2449171304702755,4.959797612826029,5.675437251726787,6.386648631095886,7.107786401112874,7.82050998210907,8.528256030877431,9.32197611729304,10.033865225315093,10.749777166048686,11.46031259695689,12.1713250041008,12.8955730676651,13.613526646296183,14.339381289482116
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,925.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
