,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Accumulated time steps,0.0,1000.0,1864.0,2691.0,3040.0,3677.0,4133.0,5096.0,6095.0,7025.0,8024.0,9013.0,10012.0,11011.0,12010.0,13009.0,14008.0,15007.0,16006.0,17005.0,18004.0,19003.0
Episode reward,0.0,-55.58286654928212,56.799107582169555,60.23783930321828,83.57135141309698,69.11103545838516,79.30467575015476,59.51727733412542,-42.71327061697094,62.228856249731095,-44.6071728509808,60.34856942063211,-42.00647332748175,-39.82608939664769,-39.987260900130615,-42.24864815982751,-38.925755237721766,-39.57566185092831,-38.83497194805197,-40.678278738165474,-42.58960334707756,-41.35759649410392
Episode feedback,0.8,0.3246492982718945,0.2896871375554031,0.16949152521853325,0.1321839076661382,0.12264150924112971,0.1142857140345369,0.08731808722732008,0.04709418832956494,0.035522066700191535,0.026052104182312522,0.014170040471487814,0.012024048084144241,0.00400801602804808,0.0050100200350601,0.0,0.0050100200350601,0.00100200400701202,0.00100200400701202,0.00100200400701202,0.0,0.0
total seconds,0.0,59.26916432380676,111.40587377548218,156.96435356140137,176.000004529953,210.03406643867493,234.19642186164856,282.92230248451233,331.4791271686554,376.36640071868896,424.0251829624176,470.72078347206116,518.1011848449707,565.1017384529114,612.1950352191925,659.1231241226196,706.2189238071442,753.2753987312317,800.3795807361603,847.2745654582977,893.6217458248138,940.200014591217
total minutes,0.0,0.9878194053967794,1.856764562924703,2.6160725593566894,2.9333334088325502,3.5005677739779153,3.9032736976941425,4.715371708075206,5.52465211947759,6.2727733453114825,7.06708638270696,7.845346391201019,8.635019747416179,9.418362307548524,10.203250586986542,10.98538540204366,11.770315396785737,12.554589978853862,13.339659678936005,14.121242757638296,14.893695763746898,15.670000243186951
cummulative feedback,0.0,324.0,574.0,714.0,760.0,838.0,890.0,974.0,1021.0,1054.0,1080.0,1094.0,1106.0,1110.0,1115.0,1115.0,1120.0,1121.0,1122.0,1123.0,1123.0,1123.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,863.0,826.0,348.0,636.0,455.0,962.0,998.0,929.0,998.0,988.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
