,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Accumulated time steps,0.0,438.0,873.0,1327.0,2064.0,2672.0,3588.0,4587.0,5174.0,6173.0,7172.0,8171.0,9170.0,10169.0,11168.0,12167.0,13166.0,14165.0,15164.0,16007.0,17006.0,18005.0,19004.0
Episode reward,0.0,79.59071528030124,80.11677851529612,82.65878226052457,69.40599569477078,77.58588876974784,64.50375067007312,-31.070888278255655,80.93937291555852,-30.387724083801114,-31.699359940058834,-31.339331023399236,-26.420774060346098,-30.51149285503045,-29.001060915733483,-31.40745153098482,-31.980171369209163,-31.474116418310984,-29.500809973445193,74.0056374358407,-30.18204185732869,-27.642512248188755,-31.041286087028176
Episode feedback,0.8,0.43348623753787563,0.36175115124020474,0.3885209704447661,0.2296195649054082,0.23064250373864498,0.16939890691868972,0.11823647282741837,0.09215017049121131,0.06913827648382938,0.03907815627346878,0.01703406811920434,0.02104208414725242,0.007014028049084141,0.007014028049084141,0.00400801602804808,0.0030060120210360602,0.00100200400701202,0.00100200400701202,0.0,0.0,0.0,0.0
total seconds,0.0,27.732945203781128,55.39997863769531,84.8252923488617,126.8204710483551,161.5684404373169,211.0196192264557,262.3882064819336,292.2690966129303,341.906800031662,390.3085603713989,437.51634216308594,485.31773376464844,532.2616424560547,578.9526467323303,625.3696393966675,672.2622375488281,719.0948438644409,766.1425929069519,805.9810190200806,852.9332616329193,899.8806278705597,946.1760199069977
total minutes,0.0,0.4622157533963521,0.9233329772949219,1.4137548724810283,2.113674517472585,2.692807340621948,3.5169936537742617,4.373136774698893,4.871151610215505,5.698446667194366,6.505142672856649,7.291939036051432,8.088628896077473,8.871027374267578,9.649210778872172,10.422827323277792,11.204370625813802,11.984914064407349,12.769043215115865,13.43301698366801,14.215554360548655,14.998010464509328,15.769600331783295
cummulative feedback,0.0,189.0,346.0,522.0,691.0,831.0,986.0,1104.0,1158.0,1227.0,1266.0,1283.0,1304.0,1311.0,1318.0,1322.0,1325.0,1326.0,1327.0,1327.0,1327.0,1327.0,1327.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,436.0,434.0,453.0,736.0,607.0,915.0,998.0,586.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,842.0,998.0,998.0,998.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
