,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Accumulated time steps,0.0,542.0,805.0,1060.0,1608.0,2333.0,2690.0,3147.0,3595.0,3762.0,3994.0,4342.0,4778.0,5777.0,6496.0,6895.0,7731.0,8730.0,9729.0,10457.0,11013.0,12012.0,12549.0,13074.0,14073.0,14483.0,15337.0,16323.0,17322.0,18321.0,18847.0,19598.0
Episode reward,0.0,75.29277919618042,88.77861579923069,87.5879562409123,74.238696670095,66.60424742723092,80.83403525917075,81.22374207951717,82.3521880461861,91.04456127220462,90.92156462042861,84.74082500840628,79.57497212852836,-40.14119204739888,71.48383940364738,87.56321795499058,64.36131280778389,-32.51055308125556,-33.78562777065575,75.28259264999164,82.93672731135003,-29.758252919835932,85.09997531987626,81.31720720871863,-31.754824244275706,87.58226843605162,73.35933996410805,71.9787628800236,-28.79478321637606,-36.91293828653783,83.29380123157614,79.35193077298318
Episode feedback,0.8,0.44999999916666666,0.3931297694918711,0.22440944793539588,0.24131627012556442,0.1616022097215439,0.1713483141254261,0.12719298217720837,0.14988814284141355,0.12048192698504863,0.09523809482580911,0.0749279536745592,0.08965517220768926,0.03807615226645676,0.05013927569618485,0.05527638177066236,0.026347305357667897,0.01603206411219232,0.01703406811920434,0.00825309489923921,0.0018018017985553122,0.00200400801402404,0.001865671638310314,0.003816793885845813,0.00200400801402404,0.004889975538166319,0.0011723329411813214,0.0,0.0,0.00100200400701202,0.0,0.0
total seconds,0.0,34.866392374038696,52.425394773483276,67.51324582099915,98.99151825904846,138.22130751609802,158.1139509677887,182.4194369316101,206.9048192501068,216.48996329307556,229.16925954818726,246.98357939720154,269.5373613834381,317.93882846832275,353.38186502456665,373.5324876308441,414.0438723564148,461.3988404273987,508.9221386909485,543.6727910041809,570.5342075824738,617.466726064682,643.237637758255,668.5296204090118,714.8730018138885,734.5576906204224,774.2639398574829,820.143474817276,866.7242164611816,913.4750702381134,938.5923063755035,973.8907072544098
total minutes,0.0,0.5811065395673116,0.8737565795580546,1.1252207636833191,1.6498586376508078,2.3036884586016337,2.6352325161298116,3.0403239488601685,3.448413654168447,3.6081660548845926,3.8194876591364544,4.116392989953359,4.492289356390635,5.298980474472046,5.889697750409444,6.225541460514068,6.900731205940247,7.689980673789978,8.482035644849141,9.061213183403016,9.508903459707897,10.291112101078033,10.720627295970917,11.142160340150197,11.914550030231476,12.24262817700704,12.904398997624716,13.669057913621266,14.44540360768636,15.224584503968556,15.643205106258392,16.231511787573496
cummulative feedback,0.0,243.0,346.0,403.0,535.0,652.0,713.0,771.0,838.0,858.0,880.0,906.0,945.0,983.0,1019.0,1041.0,1063.0,1079.0,1096.0,1102.0,1103.0,1105.0,1106.0,1108.0,1110.0,1112.0,1113.0,1113.0,1113.0,1114.0,1114.0,1114.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,540.0,262.0,254.0,547.0,724.0,356.0,456.0,447.0,166.0,231.0,347.0,435.0,998.0,718.0,398.0,835.0,998.0,998.0,727.0,555.0,998.0,536.0,524.0,998.0,409.0,853.0,985.0,998.0,998.0,525.0,750.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
