,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Accumulated time steps,0.0,466.0,1101.0,1360.0,1813.0,2080.0,2456.0,2816.0,3631.0,3884.0,4260.0,5083.0,5436.0,5953.0,6691.0,7690.0,8339.0,9043.0,9686.0,9913.0,10419.0,11000.0,11925.0,12653.0,13338.0,14086.0,14580.0,15579.0,16219.0,17218.0,17958.0,18852.0,19851.0
Episode reward,0.0,77.76019226416707,68.08323800632627,87.35031289634023,79.59330705714774,87.41083276856033,82.52693434207272,84.63182390723166,63.6598919068507,88.61583912090896,81.69995473221496,67.86861177831213,85.13931837792703,79.69015114725165,72.4042882722747,-31.967691113500273,77.9378031086793,76.17575833241695,83.28611590626463,91.90317057702079,84.03769673406309,80.96224435012155,72.37206075362687,78.83152088686735,79.92815710810791,76.7667658402897,87.72560743384109,-30.715518798748313,78.24278860576806,-25.214624533566813,77.04123964729499,73.82699595009731,-29.53497360183867
Episode feedback,0.8,0.4116379301473321,0.2523659302013156,0.31782945613244395,0.23672566319308483,0.21804511196223642,0.20266666612622222,0.16155988812935965,0.11793611779123327,0.13095238043272864,0.08266666644622223,0.07055961061975717,0.059659090739604854,0.056201550278679166,0.04341926724095079,0.0150300601051803,0.016975308615778846,0.015647226151284173,0.014018691566949078,0.01769911496593312,0.00990099007940398,0.005172413784185493,0.005411255405399074,0.0,0.0014619883019561576,0.0013386880838839516,0.002028397561808524,0.00200400801402404,0.0031298904489360088,0.0,0.0,0.0,0.0
total seconds,0.0,29.64837884902954,66.85272240638733,83.54269576072693,110.13297390937805,125.9604070186615,147.81019282341003,167.9054856300354,210.2056634426117,224.14113235473633,243.5588264465332,284.55005502700806,303.25298380851746,329.12998509407043,365.16311383247375,412.69590187072754,444.08822083473206,477.7666189670563,508.6501772403717,520.2906942367554,544.7916696071625,572.7113344669342,616.5923802852631,651.2564561367035,683.6947596073151,719.2738983631134,742.9391598701477,789.648113489151,819.9083731174469,866.3513910770416,901.1584570407867,942.8955481052399,989.7619409561157
total minutes,0.0,0.49413964748382566,1.1142120401064555,1.3923782626787822,1.835549565156301,2.0993401169776917,2.4635032137235005,2.79842476050059,3.503427724043528,3.7356855392456056,4.059313774108887,4.742500917116801,5.0542163968086244,5.485499751567841,6.086051897207896,6.878265031178793,7.401470347245534,7.962776982784272,8.477502954006194,8.671511570612589,9.079861160119375,9.545188907782236,10.276539671421052,10.854274268945058,11.394912660121918,11.98789830605189,12.382319331169128,13.16080189148585,13.665139551957449,14.439189851284027,15.019307617346445,15.714925801753997,16.496032349268596
cummulative feedback,0.0,191.0,351.0,433.0,540.0,598.0,674.0,732.0,828.0,861.0,892.0,950.0,971.0,1000.0,1032.0,1047.0,1058.0,1069.0,1078.0,1082.0,1087.0,1090.0,1095.0,1095.0,1096.0,1097.0,1098.0,1100.0,1102.0,1102.0,1102.0,1102.0,1102.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,464.0,634.0,258.0,452.0,266.0,375.0,359.0,814.0,252.0,375.0,822.0,352.0,516.0,737.0,998.0,648.0,703.0,642.0,226.0,505.0,580.0,924.0,727.0,684.0,747.0,493.0,998.0,639.0,998.0,739.0,893.0,998.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
