,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Accumulated time steps,0.0,983.0,1309.0,2207.0,2611.0,3170.0,4169.0,4602.0,5163.0,5826.0,6744.0,7101.0,7766.0,8414.0,9260.0,9889.0,10888.0,11387.0,11945.0,12355.0,13020.0,14019.0,14693.0,15170.0,16169.0,16717.0,17575.0,18119.0,18887.0,19362.0
Episode reward,0.0,42.90537571182566,85.57995733258767,52.90380740427484,90.68835906586955,71.34825866792988,-16.468485467919862,68.08060149482708,67.53940396191292,82.26292407396531,84.77946282497152,82.67845850677621,72.05880593607894,69.29959070384805,47.84254529864491,68.56469924407916,-37.077689435531624,83.71539754581525,86.56491915718108,84.95413405024776,80.95459806391725,-36.455135076379975,66.40885997391902,88.60035367756757,-32.66592893182097,76.4813549015238,59.5357682434379,81.59939856658158,83.7702591897411,77.26119374592443
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,40.81163024902344,55.54700016975403,96.7369601726532,115.59746980667114,140.18566727638245,183.1892523765564,202.1140124797821,227.27530074119568,256.4866235256195,296.8261423110962,312.69859862327576,341.76078248023987,370.195823431015,406.12265062332153,433.08990478515625,475.80774998664856,498.08711886405945,522.2667546272278,540.3588325977325,568.786041021347,611.4406042098999,640.6156008243561,661.6901261806488,704.3489153385162,728.1535112857819,765.4523777961731,790.4505929946899,823.9348528385162,845.2572288513184
total minutes,0.0,0.680193837483724,0.9257833361625671,1.61228266954422,1.9266244967778523,2.3364277879397073,3.05315420627594,3.3685668746630353,3.787921679019928,4.274777058760325,4.947102371851603,5.211643310387929,5.6960130413373316,6.1699303905169165,6.768710843722025,7.2181650797526045,7.930129166444143,8.301451981067657,8.704445910453796,9.005980543295543,9.479767350355784,10.190676736831666,10.676926680405934,11.02816876967748,11.73914858897527,12.135891854763031,12.757539629936218,13.174176549911499,13.732247547308605,14.087620480855305
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,981.0,325.0,897.0,403.0,558.0,998.0,432.0,560.0,662.0,917.0,356.0,664.0,647.0,845.0,628.0,998.0,498.0,557.0,409.0,664.0,998.0,673.0,476.0,998.0,547.0,857.0,543.0,767.0,474.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
