,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Accumulated time steps,0.0,468.0,1234.0,1513.0,1886.0,2241.0,2603.0,3150.0,3623.0,3993.0,4992.0,5991.0,6990.0,7455.0,7972.0,8466.0,8960.0,9959.0,10768.0,11497.0,12074.0,12696.0,13695.0,14234.0,14879.0,15370.0,15793.0,16640.0,17603.0,18237.0,19236.0
Episode reward,0.0,80.1295825220955,63.21816316867702,85.4190965787349,81.70343641292358,82.82291654170781,82.9751323511207,75.02898318796798,77.3420699725707,83.5757874299141,-35.87406082249866,-40.61815374165893,-37.54025526276821,89.13965331306075,77.56362178251858,78.88499675552309,83.85559572242056,-33.3911390108121,68.27423193053022,78.34671055258872,75.99205104562068,79.0392687526242,-27.06037351602339,84.70032173523289,81.184731253083,82.09243971314116,87.3301222752048,72.90385911252065,74.84775529811105,79.03700143199934,-31.153908660044117
Episode feedback,0.8,0.4506437758569876,0.2732026140219574,0.19064748132860618,0.20967741879118973,0.17514124244310383,0.1495844871202646,0.1630036627051215,0.12711864379847745,0.0921409211595097,0.06312625244175726,0.048096192336576964,0.035070140245420704,0.023706896500631687,0.03875968984736494,0.018255578056276717,0.026369168303510816,0.012024048084144241,0.0049504950433781,0.0027472527434790482,0.003472222216194059,0.0032206119110779197,0.0030060120210360602,0.0,0.0,0.002040816322365681,0.00236966824083017,0.0011820330955295117,0.0,0.0,0.0
total seconds,0.0,30.122112274169922,75.32550048828125,91.51202630996704,113.10067868232727,133.26766729354858,153.18638706207275,183.24507546424866,208.49357175827026,227.84716534614563,277.27201294898987,326.1450457572937,374.2763612270355,397.15941882133484,422.7468526363373,446.81400895118713,471.05187702178955,518.6716148853302,556.9090304374695,591.4220812320709,619.2183301448822,648.7763931751251,696.0533058643341,721.7997345924377,752.3730101585388,775.6833970546722,795.983512878418,835.6384429931641,880.3143725395203,910.4530367851257,957.0543398857117
total minutes,0.0,0.5020352045694987,1.255425008138021,1.5252004384994506,1.8850113113721212,2.2211277882258096,2.553106451034546,3.054084591070811,3.4748928626378377,3.797452755769094,4.621200215816498,5.435750762621562,6.237939353783926,6.619323647022247,7.045780877272288,7.446900149186452,7.850864617029826,8.644526914755504,9.281817173957824,9.857034687201182,10.320305502414703,10.812939886252085,11.600888431072235,12.02999557654063,12.53955016930898,12.928056617577871,13.266391881306966,13.927307383219402,14.671906208992004,15.174217279752096,15.95090566476186
cummulative feedback,0.0,210.0,419.0,472.0,550.0,612.0,666.0,755.0,815.0,849.0,912.0,960.0,995.0,1006.0,1026.0,1035.0,1048.0,1060.0,1064.0,1066.0,1068.0,1070.0,1073.0,1073.0,1073.0,1074.0,1075.0,1076.0,1076.0,1076.0,1076.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,466.0,765.0,278.0,372.0,354.0,361.0,546.0,472.0,369.0,998.0,998.0,998.0,464.0,516.0,493.0,493.0,998.0,808.0,728.0,576.0,621.0,998.0,538.0,644.0,490.0,422.0,846.0,962.0,633.0,998.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
