,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Accumulated time steps,0.0,683.0,1187.0,1596.0,1932.0,2588.0,3027.0,3880.0,4383.0,5050.0,6049.0,6857.0,7263.0,8002.0,9001.0,9994.0,10328.0,10906.0,11640.0,12634.0,13633.0,14632.0,15286.0,15874.0,16844.0,17843.0,18842.0,19802.0
Episode reward,0.0,86.79166611078152,73.8882251039786,88.62595458667786,83.72212330393081,64.39181106756325,88.61876515531489,65.17715691115185,74.02028678294224,87.56634941294445,-27.364868289397215,38.146510833858294,86.94141936406254,54.77710334169349,-52.18120282294646,81.4230339990904,86.29528508059904,84.00530106435893,63.010816052410796,78.73949604010693,-48.272788462609824,-11.112804810856588,71.83092292390344,65.19557632408694,73.42243727717381,-64.58824633078937,-20.43413666328793,79.2215336973395
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,29.865259170532227,51.99800753593445,70.45873355865479,85.98451447486877,113.88257360458374,133.5716004371643,170.8134274482727,192.83851718902588,221.7839322090149,264.3494300842285,299.81752848625183,317.63966846466064,349.6497678756714,392.42465257644653,435.4943730831146,450.4231095314026,475.5435380935669,507.1911311149597,550.2856960296631,596.0365028381348,639.1426486968994,667.5962424278259,693.248293876648,734.7783534526825,778.3384356498718,821.8320796489716,863.6018075942993
total minutes,0.0,0.49775431950887045,0.8666334589322408,1.1743122259775798,1.433075241247813,1.898042893409729,2.226193340619405,2.8468904574712117,3.2139752864837647,3.696398870150248,4.405823834737142,4.996958808104197,5.293994474411011,5.8274961312611895,6.540410876274109,7.258239551385244,7.5070518255233765,7.925725634892782,8.453185518582663,9.171428267161051,9.933941713968913,10.652377478281657,11.126604040463766,11.554138231277467,12.246305890878041,12.972307260831197,13.69720132748286,14.393363459904988
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,681.0,503.0,408.0,335.0,655.0,438.0,852.0,502.0,666.0,998.0,807.0,405.0,738.0,998.0,992.0,333.0,577.0,733.0,993.0,998.0,998.0,653.0,587.0,969.0,998.0,998.0,959.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
