,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3572.0,4076.0,4396.0,5218.0,5626.0,6488.0,6894.0,7372.0,7707.0,8197.0,8861.0,9658.0,10382.0,11381.0,12380.0,13379.0,13931.0,14275.0,15274.0,16273.0,17272.0,18271.0,19270.0
Episode reward,0.0,-51.95895783367089,-48.61391718426665,-50.86425643199673,69.40798995465377,78.27315708075758,81.70904161566551,53.87353386103642,89.3743698424676,69.31331849984825,76.87020706939275,78.84987713909244,83.2596042064416,71.80706716632112,67.333769594637,58.897040301868806,77.06310029379804,-62.3706911364182,-22.26862644931697,-33.05159083892758,79.53478288227201,87.73486121849646,-34.81154449468523,-29.346601205362454,-29.62190109712215,-30.398695515505807,-34.58162159550384
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,42.68220782279968,87.33938598632812,131.35538268089294,156.84812188148499,179.92924976348877,194.4591109752655,230.77228355407715,249.03148460388184,287.76254510879517,306.54321098327637,328.48106241226196,344.108686208725,366.1865985393524,395.4584467411041,429.725465297699,461.9958097934723,506.5189652442932,550.0468821525574,594.4068722724915,619.2354497909546,635.044576883316,679.4702184200287,723.8539667129517,768.6174416542053,813.1202864646912,857.2702536582947
total minutes,0.0,0.7113701303799947,1.4556564331054687,2.1892563780148824,2.6141353646914163,2.9988208293914793,3.240985182921092,3.846204725901286,4.150524743398031,4.796042418479919,5.10905351638794,5.474684373537699,5.735144770145416,6.103109975655873,6.590974112351735,7.162091088294983,7.699930163224538,8.441982754071553,9.167448035875957,9.906781204541524,10.320590829849243,10.584076281388601,11.32450364033381,12.064232778549194,12.810290694236755,13.55200477441152,14.287837560971578
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,573.0,503.0,319.0,821.0,407.0,861.0,405.0,477.0,334.0,489.0,663.0,796.0,723.0,998.0,998.0,998.0,551.0,343.0,998.0,998.0,998.0,998.0,998.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
