,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Accumulated time steps,0.0,331.0,744.0,1285.0,1611.0,2135.0,2565.0,2929.0,3475.0,3992.0,4302.0,4613.0,4970.0,5386.0,5929.0,6320.0,7140.0,7780.0,8344.0,8843.0,9405.0,10200.0,10693.0,11656.0,12655.0,13654.0,14649.0,15648.0,16647.0,17646.0,18463.0,19336.0
Episode reward,0.0,85.62602053285809,92.50732221758969,88.70206082602573,82.59102748850808,86.6639240925515,92.32841732841806,92.17592085571633,74.6902618528035,77.36671938641958,94.28513552727857,85.58295769279292,90.01867055363148,88.67300838389846,86.50782645491,82.07216135852283,84.26929372766965,67.1332699884868,85.31709787258708,71.53819146556943,77.74696337391603,66.40862596523104,73.36342024912794,79.15429265787984,-39.638591343749695,-43.61254179959037,54.894883158083225,-48.351745713827455,-50.769965925305044,-28.88389455031697,58.73140138037821,76.77655610924138
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,14.048139810562134,32.373204946517944,55.91834020614624,70.5800929069519,93.09773254394531,112.55918860435486,129.2195041179657,152.73172760009766,175.29128170013428,189.18021416664124,203.52013397216797,219.28075742721558,237.96836757659912,261.49228835105896,279.1198604106903,314.2265477180481,342.0451672077179,367.44163966178894,389.3545866012573,413.6501159667969,448.2465560436249,470.0363404750824,511.99558687210083,555.7875084877014,598.8603131771088,641.5111200809479,685.6140854358673,728.6530163288116,772.1808643341064,810.1946141719818,851.3717374801636
total minutes,0.0,0.2341356635093689,0.539553415775299,0.931972336769104,1.1763348817825316,1.551628875732422,1.8759864767392476,2.153658401966095,2.545528793334961,2.9215213616689044,3.1530035694440204,3.392002232869466,3.654679290453593,3.9661394596099853,4.358204805850983,4.651997673511505,5.237109128634135,5.700752786795298,6.124027327696482,6.489243110020955,6.894168599446615,7.4707759340604145,7.8339390079180395,8.53325978120168,9.26312514146169,9.98100521961848,10.691852001349131,11.426901423931122,12.144216938813527,12.869681072235107,13.50324356953303,14.189528958002727
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,329.0,412.0,540.0,325.0,523.0,429.0,363.0,545.0,516.0,309.0,310.0,356.0,415.0,542.0,390.0,819.0,639.0,563.0,498.0,561.0,794.0,492.0,962.0,998.0,998.0,994.0,998.0,998.0,998.0,816.0,872.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
