,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Accumulated time steps,0.0,556.0,1322.0,1965.0,2314.0,2654.0,3241.0,3704.0,3942.0,4183.0,4617.0,5210.0,5845.0,6508.0,7094.0,8093.0,9092.0,9843.0,10443.0,11185.0,12184.0,13183.0,14182.0,15040.0,15623.0,16622.0,17621.0,18620.0,19619.0
Episode reward,0.0,77.74900389463781,80.65697672834682,90.748415209324,93.22870034708158,87.4227720889118,85.55717376563265,80.26050123032277,87.79682165170865,88.09065803796476,78.9303943213537,81.81937659986167,79.79399012996687,90.72882169938879,76.94133116023869,-35.16973830235514,-55.193777704621084,61.167988249355126,68.31688785732112,69.43668371242794,-58.401316051488514,-33.40431107883664,-44.71330406820265,56.488795121518315,72.92155525132067,-41.24724676581099,-28.010001204576657,-31.120069952047217,-55.57900134542675
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,23.203401803970337,55.4411346912384,82.87206888198853,98.23383855819702,113.31018710136414,138.49834179878235,158.27857851982117,169.10911560058594,179.98863410949707,198.57346773147583,224.06460547447205,250.68599200248718,279.2369329929352,304.2649612426758,347.0240638256073,388.89248919487,421.35109543800354,447.68384647369385,479.08200001716614,522.2607083320618,564.6995418071747,606.6856906414032,643.5778486728668,668.4532136917114,710.2051765918732,751.4769983291626,793.4477660655975,835.0788083076477
total minutes,0.0,0.38672336339950564,0.9240189115206401,1.381201148033142,1.637230642636617,1.888503118356069,2.3083056966463724,2.6379763086636863,2.8184852600097656,2.999810568491618,3.309557795524597,3.734410091241201,4.17809986670812,4.653948883215587,5.071082687377929,5.783734397093455,6.4815414865811665,7.022518257300059,7.461397441228231,7.984700000286102,8.704345138867696,9.411659030119578,10.11142817735672,10.726297477881113,11.140886894861858,11.836752943197887,12.524616638819376,13.224129434426626,13.917980138460795
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,554.0,765.0,642.0,348.0,339.0,586.0,462.0,237.0,240.0,433.0,592.0,634.0,662.0,585.0,998.0,998.0,750.0,599.0,741.0,998.0,998.0,998.0,857.0,582.0,998.0,998.0,998.0,998.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
