,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Accumulated time steps,0.0,1000.0,1890.0,2889.0,3234.0,4233.0,5008.0,5335.0,6090.0,6661.0,7056.0,8055.0,8725.0,9201.0,9853.0,10175.0,11154.0,11935.0,12898.0,13897.0,14896.0,15749.0,16748.0,17378.0,18142.0,19096.0
Episode reward,0.0,-60.68887222972761,55.8606712525866,-51.877242758275926,85.85023324411827,-44.57536158404221,66.59395745659214,87.16710995686155,73.94047708930763,84.68425667535988,92.06645248903835,-21.782833875158303,87.86287775708814,86.30291083716419,84.61808691122108,89.17611379615853,74.79942221839522,85.0817816415648,72.41830457748947,-21.36103596343233,-20.38665078455316,81.29950487098533,-17.267053905806783,88.3683610541843,84.55115181867629,85.4192926126541
Episode feedback,0.8,0.00801603205609616,0.2497187848709575,0.1352705409466227,0.19186046455854516,0.11322645279235827,0.07881136940722046,0.05521472375701005,0.05172413786243483,0.035087719236688214,0.022842639535932387,0.01803607212621636,0.022421524630162146,0.018947368381163437,0.013824884771390347,0.006230529575605827,0.007157464205360466,0.002564102560815253,0.004158004153681908,0.0,0.0030060120210360602,0.0023474178376204015,0.0,0.0,0.0,0.0
total seconds,0.0,43.640108823776245,94.00465369224548,146.57939743995667,166.10874032974243,217.518648147583,256.64996695518494,273.59717988967896,310.914763212204,338.9200646877289,358.46544098854065,406.2002866268158,438.7807402610779,462.07539772987366,493.37358689308167,509.4336121082306,555.6548981666565,592.7047257423401,637.7823951244354,684.3372297286987,731.0767910480499,771.1935286521912,818.0526463985443,847.8591358661652,883.7882132530212,928.4846398830414
total minutes,0.0,0.7273351470629374,1.5667442282040913,2.4429899573326113,2.768479005495707,3.6253108024597167,4.2774994492530825,4.559952998161316,5.1819127202034,5.648667744795481,5.974424016475678,6.770004777113597,7.313012337684631,7.701256628831228,8.222893114884695,8.490560201803843,9.260914969444276,9.878412095705668,10.629706585407257,11.405620495478312,12.184613184134166,12.853225477536519,13.634210773309071,14.130985597769419,14.729803554217021,15.47474399805069
cummulative feedback,0.0,8.0,230.0,365.0,431.0,544.0,605.0,623.0,662.0,682.0,691.0,709.0,724.0,733.0,742.0,744.0,751.0,753.0,757.0,757.0,760.0,762.0,762.0,762.0,762.0,762.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,889.0,998.0,344.0,998.0,774.0,326.0,754.0,570.0,394.0,998.0,669.0,475.0,651.0,321.0,978.0,780.0,962.0,998.0,998.0,852.0,998.0,629.0,763.0,953.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
