,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
Accumulated time steps,0.0,1000.0,1359.0,1704.0,2052.0,2670.0,3027.0,3721.0,3951.0,4798.0,5228.0,5586.0,5865.0,6366.0,7045.0,7518.0,7984.0,8499.0,8969.0,9260.0,9694.0,10000.0,10561.0,10844.0,11697.0,12314.0,12988.0,13558.0,14282.0,14936.0,15696.0,16678.0,17677.0,18547.0,19013.0
Episode reward,0.0,-55.04670735501114,83.16755475370695,83.5895041737713,82.99091434068797,71.39617853610152,87.9760006036785,75.0408891067709,89.13152443486949,67.63124193394367,81.36542571417961,86.25156219182084,94.16117836498938,88.36449085956534,81.50222118930401,85.96245901605722,85.5233680240429,86.0612543263129,84.5052072262686,91.59001318581724,87.4730241978963,87.56212210058332,84.37260177537901,90.61589573190656,67.74913913739863,80.66200665388217,77.40021935914928,82.75814286992258,78.09629464636922,78.24207403458749,77.1734122225136,73.86459475515719,-33.338902009480805,72.93722068561812,85.61642285200232
Episode feedback,0.8,0.27254508990726944,0.3379888258715396,0.26162790621619797,0.21902017227948078,0.18962722821778408,0.1629213478569625,0.13852813832824223,0.10480349299212449,0.09929078002447898,0.06993006976706277,0.05042016792599393,0.05035971204906579,0.03999999992,0.04572271379686915,0.02754237282300345,0.01720430103827032,0.015564202304349802,0.0021321961575006478,0.031034482651605234,0.013856812901023526,0.013114754055361463,0.008928571412627552,0.01773049639102661,0.005868544594051004,0.0032467532414825434,0.007429420494161337,0.003514938482399054,0.0,0.004594180697405543,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,56.28136396408081,78.80613231658936,99.39700770378113,119.64304876327515,153.59368777275085,173.33370184898376,210.16893100738525,222.58890175819397,265.99574160575867,288.04184794425964,306.31580781936646,320.7315950393677,345.56502318382263,379.1568341255188,402.4270157814026,425.2233648300171,450.32666063308716,472.8495407104492,487.5857355594635,508.92278146743774,524.2249372005463,551.2230651378632,565.4491109848022,605.8981783390045,635.4668560028076,667.2614231109619,694.2361874580383,728.2069861888885,758.8456900119781,794.5615694522858,840.4756605625153,887.079840183258,927.8521773815155,949.9059188365936
total minutes,0.0,0.9380227327346802,1.3134355386098227,1.6566167950630188,1.9940508127212524,2.559894796212514,2.888895030816396,3.502815516789754,3.709815029303233,4.433262360095978,4.80069746573766,5.105263463656107,5.345526583989462,5.759417053063711,6.319280568758646,6.707116929690043,7.087056080500285,7.505444343884786,7.880825678507487,8.126428925991059,8.48204635779063,8.73708228667577,9.187051085631053,9.424151849746703,10.098302972316741,10.59111426671346,11.121023718516032,11.57060312430064,12.136783103148142,12.647428166866302,13.242692824204763,14.007927676041922,14.784664003054301,15.464202956358593,15.831765313943228
cummulative feedback,0.0,272.0,393.0,483.0,559.0,676.0,734.0,830.0,854.0,938.0,968.0,986.0,1000.0,1020.0,1051.0,1064.0,1072.0,1080.0,1081.0,1090.0,1096.0,1100.0,1105.0,1110.0,1115.0,1117.0,1122.0,1124.0,1124.0,1127.0,1127.0,1127.0,1127.0,1127.0,1127.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,358.0,344.0,347.0,617.0,356.0,693.0,229.0,846.0,429.0,357.0,278.0,500.0,678.0,472.0,465.0,514.0,469.0,290.0,433.0,305.0,560.0,282.0,852.0,616.0,673.0,569.0,723.0,653.0,759.0,981.0,998.0,869.0,465.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
