,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
Accumulated time steps,0.0,1000.0,1999.0,2550.0,2819.0,3350.0,3615.0,3959.0,4103.0,4255.0,4407.0,4561.0,4710.0,4979.0,5228.0,5466.0,5615.0,5766.0,6054.0,6432.0,6828.0,6975.0,7223.0,7460.0,7867.0,8112.0,8262.0,8412.0,8558.0,8816.0,9063.0,9316.0,9572.0,9919.0,10056.0,10203.0,10381.0,10748.0,10898.0,11050.0,11215.0,11365.0,11618.0,11993.0,12340.0,12597.0,12943.0,13314.0,13468.0,13624.0,13782.0,13959.0,14299.0,14743.0,14909.0,15172.0,15334.0,15508.0,15766.0,15943.0,16099.0,16368.0,16650.0,17163.0,17554.0,17902.0,18065.0,18235.0,18522.0,18682.0,18968.0,19249.0,19507.0,19662.0,19949.0
Episode reward,0.0,-70.16001831214005,-64.80816338211079,68.11150587273121,84.44893513412114,71.9743811980143,85.26026324092116,78.933047422828,92.13364963028269,91.67592856391332,90.61673999519226,91.29912033950475,90.79679598797654,83.9548295161294,86.10363363950027,86.61069623012375,90.91609261402078,91.98843008433673,85.19126122192768,78.15524742402005,83.3370105990342,91.02014072848544,84.72587666675909,87.29500233475852,77.52533261968807,84.55924617556127,91.28572617701717,91.61050557266954,91.0296663802015,84.6429642358408,84.96507781828527,87.93551666276909,85.12903120512993,81.24618225288049,92.15157867936496,91.85568328911516,88.25334510786294,79.03488043351838,91.35750404774708,91.02120148370007,90.08543207673986,90.39537369238593,85.29562327368909,78.08825294885133,82.95433509670696,83.5659315701121,81.8572855623718,78.10635702898628,91.02122564920364,89.85376088407092,90.1392549248944,88.78330183133708,79.07544566182851,74.37686034808439,89.17585203258275,86.11487392462388,92.19490548209984,89.80003870548087,83.92708339976382,90.54271813740645,90.52090563869608,85.62699952284663,84.30924986995022,72.13182510875116,77.98218232406873,80.0127016332743,90.68157251429604,90.15363955554197,81.74418282543488,90.06487234036395,84.55940663711594,82.29753413447095,84.64586181402416,90.35741958403854,83.13055825050199
Episode feedback,0.8,0.06613226446279333,0.2344689376408127,0.10545454526280992,0.08208955193250167,0.09056603756496974,0.04924242405589991,0.06413994150396518,0.08391608332925816,0.05298013209946933,0.05960264861190299,0.032679738348498445,0.020270270133308985,0.041044775966250835,0.03629032243431322,0.029535864854279052,0.03378378355551498,0.019999999866666666,0.024390243817455595,0.01061007954745337,0.022784810068899215,0.013698630043160069,0.01214574893868118,0.016949152470554438,0.017241379267878377,0.004098360638941145,0.013422818701860278,0.013422818701860278,0.020689655029726518,0.007782101137034626,0.008130081267763897,0.003968253952506929,0.0,0.005780346804103044,0.0,0.013698630043160069,0.005649717482204986,0.0,0.006711409350930139,0.006622516512433666,0.0,0.0,0.0,0.002673796784294661,0.0,0.003906249984741211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,52.62974953651428,123.01953339576721,156.3212640285492,172.27838778495789,203.71062755584717,219.03724193572998,238.97263598442078,248.3049829006195,257.6195960044861,266.8514552116394,275.9707770347595,284.6041898727417,299.83993697166443,314.1180353164673,327.52761602401733,336.4069323539734,345.1309869289398,361.1604325771332,381.30340099334717,402.66672539711,411.13472747802734,424.93846321105957,438.14030027389526,460.1704444885254,473.54419326782227,482.13341999053955,490.844114780426,499.4492185115814,513.5637378692627,527.019214630127,540.6258609294891,554.4088108539581,572.9097647666931,580.7283184528351,589.2336831092834,599.2915525436401,618.6933615207672,627.3498532772064,636.1455855369568,645.365519285202,653.957061290741,667.5942668914795,687.3607065677643,705.542341709137,719.4867022037506,737.7355923652649,757.2363457679749,765.8891732692719,774.7048833370209,783.4881162643433,793.2015111446381,811.0937955379486,834.4545121192932,843.7394814491272,857.962762594223,866.9997253417969,876.6328592300415,890.5176537036896,900.352296590805,909.1057534217834,923.5617995262146,938.6355130672455,965.2578887939453,985.6401224136353,1003.963686466217,1013.0547487735748,1022.5806219577789,1037.9469301700592,1046.8485252857208,1061.8770627975464,1076.8870227336884,1090.6564576625824,1099.3610949516296,1114.6409940719604
total minutes,0.0,0.877162492275238,2.0503255565961203,2.60535440047582,2.8713064630826315,3.395177125930786,3.650620698928833,3.982877266407013,4.138416381676992,4.293659933408102,4.447524253527323,4.599512950579325,4.743403164545695,4.997332282861074,5.235300588607788,5.458793600400289,5.606782205899557,5.75218311548233,6.01934054295222,6.355056683222453,6.7111120899518335,6.852245457967123,7.0823077201843265,7.302338337898254,7.66950740814209,7.892403221130371,8.035556999842326,8.180735246340435,8.32415364185969,8.559395631154379,8.783653577168783,9.010431015491486,9.240146847565969,9.548496079444885,9.678805307547252,9.820561385154724,9.988192542394001,10.31155602534612,10.455830887953441,10.602426425615947,10.7560919880867,10.899284354845683,11.126571114857992,11.456011776129404,11.759039028485615,11.991445036729177,12.295593206087748,12.620605762799581,12.764819554487865,12.911748055617014,13.058135271072388,13.220025185743967,13.518229925632477,13.90757520198822,14.062324690818787,14.299379376570384,14.449995422363282,14.610547653834026,14.841960895061494,15.005871609846752,15.151762557029723,15.392696658770243,15.643925217787425,16.087631479899088,16.427335373560588,16.732728107770285,16.884245812892914,17.04301036596298,17.29911550283432,17.44747542142868,17.69795104662577,17.94811704556147,18.17760762770971,18.322684915860496,18.57734990119934
cummulative feedback,0.0,66.0,300.0,358.0,380.0,428.0,441.0,463.0,475.0,483.0,492.0,497.0,500.0,511.0,520.0,527.0,532.0,535.0,542.0,546.0,555.0,557.0,560.0,564.0,571.0,572.0,574.0,576.0,579.0,581.0,583.0,584.0,584.0,586.0,586.0,588.0,589.0,589.0,590.0,591.0,591.0,591.0,591.0,592.0,592.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0,593.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,550.0,268.0,530.0,264.0,343.0,143.0,151.0,151.0,153.0,148.0,268.0,248.0,237.0,148.0,150.0,287.0,377.0,395.0,146.0,247.0,236.0,406.0,244.0,149.0,149.0,145.0,257.0,246.0,252.0,255.0,346.0,136.0,146.0,177.0,366.0,149.0,151.0,164.0,149.0,252.0,374.0,346.0,256.0,345.0,370.0,153.0,155.0,157.0,176.0,339.0,443.0,165.0,262.0,161.0,173.0,257.0,176.0,155.0,268.0,281.0,512.0,390.0,347.0,162.0,169.0,286.0,159.0,285.0,280.0,257.0,154.0,286.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
