,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
Accumulated time steps,0.0,1000.0,1343.0,1710.0,1982.0,2145.0,2501.0,2667.0,2828.0,3072.0,3337.0,3681.0,3932.0,4275.0,4425.0,4771.0,5017.0,5374.0,5525.0,5859.0,6014.0,6284.0,6542.0,6897.0,7045.0,7198.0,7344.0,7574.0,7818.0,8055.0,8299.0,8462.0,8608.0,8853.0,8999.0,9148.0,9296.0,9453.0,9608.0,9879.0,10038.0,10210.0,10472.0,10727.0,10889.0,11156.0,11316.0,11468.0,11861.0,12098.0,12347.0,12509.0,12663.0,13007.0,13171.0,13643.0,13857.0,14105.0,14549.0,14811.0,15170.0,15537.0,15793.0,16052.0,16310.0,16463.0,16622.0,16874.0,17052.0,17423.0,17710.0,17970.0,18122.0,18294.0,18558.0,18815.0,18974.0,19131.0,19403.0,19658.0
Episode reward,0.0,-60.64650873209732,80.67232223593507,80.64777170822835,84.56745776588512,90.87908828157715,81.68032815884803,90.72113269495132,90.78333625647262,87.83323855520572,85.66195393300293,80.38377438971963,86.19875662644911,81.28072886502147,91.92320245682568,81.80490374246205,85.5187202590366,82.47255858506068,92.1477983711887,81.2941362459868,90.6227648093313,86.76901488973846,87.72125246899893,79.71039392285326,91.95981370274815,92.1451840977734,91.71020110212866,86.99966602555189,86.93280013080462,88.24329486199252,85.61422198373688,90.06550414238365,91.95865598554673,85.31251194189078,92.05617399553265,91.53378614504267,91.49207376766199,90.35880484273346,90.06802786014634,84.08568502361047,91.19537895105385,89.82236425766575,84.09183544205965,84.52034772606495,91.41706412019674,84.4499448191666,90.57630426042094,91.15384096389593,79.07932625768362,87.59402404603765,86.6694049257172,91.9970230436009,91.74229215601858,81.8664192895427,91.00249891968845,74.95872069855982,90.4706368013058,85.98657928148636,76.94254985720114,86.94482280524915,80.75888608036924,78.75765638103223,84.26679462994841,87.95962197764078,85.40975587377912,90.96721380441817,90.32445354755892,85.87068527812815,89.09224066608455,79.76419534234932,84.76461817309712,84.78956665946566,91.35389602358349,89.55834690182701,87.68061298316239,87.6018992239115,90.96394186087494,91.0957694015994,83.15041466604882,86.59603976750198
Episode feedback,0.8,0.19639278537435592,0.23391812797099962,0.14207650234405328,0.1512915123568579,0.09259259202103338,0.12676056302320968,0.060606060238751154,0.0687499995703125,0.09876543169232332,0.08712121179120753,0.0845481047097723,0.071999999712,0.08479532138948737,0.033557046754650696,0.05507246360848561,0.057142856909620995,0.03932584258616336,0.04666666635555556,0.03003002993984976,0.03246753225670434,0.026022304735976564,0.02334630341110388,0.02259886999265856,0.00680272104215836,0.02631578930055402,0.006896551676575506,0.0,0.01646090528205389,0.008474576235277219,0.02469135792308083,0.0,0.006896551676575506,0.0,0.006896551676575506,0.01351351342220599,0.02040816312647508,0.006410256369165024,0.0,0.011111111069958848,0.0,0.0,0.0038314176098413117,0.0,0.0,0.0,0.006289308136545232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021231422460230524,0.0,0.0,0.0,0.0038314176098413117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00386100384609651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,63.61952209472656,87.90700721740723,110.86744832992554,128.6098735332489,138.84842014312744,161.20754075050354,171.21708607673645,181.1920108795166,196.0388970375061,212.14011883735657,232.80623078346252,247.9266448020935,268.22786378860474,277.0783483982086,296.8656373023987,311.21222043037415,331.2427158355713,340.26833963394165,358.7064793109894,367.8482472896576,382.9150824546814,397.396525144577,416.8087668418884,425.21120429039,434.20275473594666,442.58790016174316,455.06010031700134,468.53964614868164,481.4631245136261,495.0908260345459,504.2455804347992,512.544816493988,525.7649319171906,534.0271339416504,542.6603925228119,551.2928597927094,560.2084288597107,568.8215439319611,583.4322190284729,592.3122427463531,601.7908957004547,616.0337195396423,629.716240644455,638.8256404399872,653.1646661758423,662.2045266628265,670.6624102592468,691.1400957107544,703.8495924472809,717.3667397499084,726.4434268474579,735.0849912166595,753.0854754447937,762.2796158790588,786.5999248027802,798.1519153118134,811.3963956832886,834.4998772144318,848.6513588428497,867.3575785160065,886.4226779937744,900.1718106269836,914.078875541687,927.6623029708862,936.3527562618256,945.3303258419037,958.9199302196503,968.8634250164032,988.4736278057098,1003.6775288581848,1017.7685654163361,1026.321188211441,1036.0022649765015,1050.10879945755,1063.9453539848328,1072.8922805786133,1081.6809675693512,1096.1612977981567,1109.7652180194855
total minutes,0.0,1.0603253682454428,1.4651167869567872,1.8477908054987588,2.143497892220815,2.3141403357187906,2.6867923458417255,2.8536181012789408,3.0198668479919433,3.2673149506251016,3.535668647289276,3.880103846391042,4.132110746701558,4.470464396476745,4.617972473303477,4.947760621706645,5.1868703405062355,5.520711930592855,5.671138993899027,5.978441321849823,6.130804121494293,6.381918040911357,6.6232754190762835,6.94681278069814,7.086853404839833,7.236712578932444,7.37646500269572,7.584335005283355,7.808994102478027,8.024385408560436,8.251513767242432,8.404093007246653,8.542413608233135,8.76274886528651,8.90045223236084,9.044339875380198,9.18821432987849,9.336807147661846,9.480359065532685,9.723870317141214,9.87187071243922,10.029848261674244,10.26722865899404,10.495270677407582,10.64709400733312,10.886077769597371,11.03674211104711,11.177706837654114,11.51900159517924,11.730826540788014,11.95611232916514,12.10739044745763,12.25141652027766,12.551424590746562,12.70466026465098,13.109998746713002,13.302531921863556,13.523273261388143,13.908331286907195,14.144189314047496,14.455959641933442,14.77371129989624,15.002863510449727,15.234647925694784,15.461038382848104,15.605879271030426,15.755505430698395,15.98199883699417,16.147723750273386,16.474560463428496,16.72795881430308,16.962809423605602,17.10535313685735,17.266704416275026,17.501813324292502,17.73242256641388,17.881538009643556,18.028016126155855,18.26935496330261,18.496086966991424
cummulative feedback,0.0,196.0,276.0,328.0,369.0,384.0,429.0,439.0,450.0,474.0,497.0,526.0,544.0,573.0,578.0,597.0,611.0,625.0,632.0,642.0,647.0,654.0,660.0,668.0,669.0,673.0,674.0,674.0,678.0,680.0,686.0,686.0,687.0,687.0,688.0,690.0,693.0,694.0,694.0,697.0,697.0,697.0,698.0,698.0,698.0,698.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,700.0,700.0,700.0,700.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0,702.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,342.0,366.0,271.0,162.0,355.0,165.0,160.0,243.0,264.0,343.0,250.0,342.0,149.0,345.0,245.0,356.0,150.0,333.0,154.0,269.0,257.0,354.0,147.0,152.0,145.0,229.0,243.0,236.0,243.0,162.0,145.0,244.0,145.0,148.0,147.0,156.0,154.0,270.0,158.0,171.0,261.0,254.0,161.0,266.0,159.0,151.0,392.0,236.0,248.0,161.0,153.0,343.0,163.0,471.0,213.0,247.0,443.0,261.0,358.0,366.0,255.0,258.0,257.0,152.0,158.0,251.0,177.0,370.0,286.0,259.0,151.0,171.0,263.0,256.0,158.0,156.0,271.0,254.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
