,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
Accumulated time steps,0.0,888.0,1164.0,1529.0,1894.0,2155.0,2622.0,2897.0,3054.0,3325.0,3656.0,3931.0,4081.0,4242.0,4390.0,4563.0,4809.0,4959.0,5295.0,5445.0,5591.0,5935.0,6288.0,6551.0,6818.0,6967.0,7307.0,7651.0,7920.0,8176.0,8428.0,8673.0,8941.0,9189.0,9347.0,9600.0,9759.0,9912.0,10077.0,10232.0,10404.0,10672.0,10944.0,11097.0,11271.0,11547.0,11920.0,12178.0,12338.0,12601.0,12754.0,12907.0,13098.0,13484.0,13742.0,13898.0,14506.0,14675.0,14927.0,15090.0,15347.0,15744.0,15901.0,16259.0,16413.0,16574.0,16726.0,17007.0,17164.0,17428.0,17608.0,17762.0,18005.0,18159.0,18415.0,18582.0,18846.0,19122.0,19278.0,19527.0,19681.0,19855.0
Episode reward,0.0,49.41245939659354,85.71231831854574,79.32570987500337,79.31475766215823,86.02058829253792,72.86357045280576,84.34130892959753,90.62736940689423,83.76195204467024,82.98776922580771,82.78474116684328,91.06733799616332,90.62701388796586,91.71303013331631,89.36325266991666,86.51418377825333,91.43429962807751,82.97673774452062,91.64247080579061,91.84813761864594,81.03799745410802,80.88675373763513,87.18898441608536,84.9360218444185,90.72077096916549,80.32666874168842,80.13105833111342,85.12424680683401,86.00123537039902,85.58360537908428,86.5449447376081,85.1147112835263,86.15305000974979,90.99592976775567,87.3817974252185,91.27241719323956,91.08160760615112,90.11025269620296,90.90385273741128,89.60858646657431,83.88934085546207,84.29653812944295,91.70542632501932,89.3088311901205,82.87340788527669,80.06666725942765,85.79079668307348,90.45864315100782,85.06739115249368,90.71003788545022,90.48513602593076,87.60403944766347,75.12572732555667,85.24040085471395,91.5817401190156,64.81314330454543,89.75717850338836,85.9216860145575,90.64910126987925,85.82840611494862,74.6852522301239,90.01079332093695,77.58340170825105,90.02649560916292,90.20027365741005,90.6536252921704,83.39767900705016,90.39975503280914,83.42030751801214,88.15609286931983,90.57711543683396,84.41330392670906,89.87098512508392,83.73721284091343,89.14681665127009,83.55553228174031,83.2773765888361,90.58829806367761,85.01824739359418,90.74537342858817,89.47434429554164
Episode feedback,0.8,0.37246049619361116,0.15999999941818183,0.16208791164261563,0.14010988972497282,0.09230769195266272,0.07081545049181234,0.06934306544035378,0.07051282006081526,0.06666666641975309,0.06969696948576676,0.036496350231765146,0.04026845610558083,0.037499999765625,0.04081632625295016,0.023255813818280152,0.04081632636401499,0.033557046754650696,0.03582089541546001,0.020134228052790415,0.041379310059453035,0.01749271131926323,0.01704545449702996,0.007633587757123711,0.015037593928430099,0.01351351342220599,0.008849557496019005,0.0,0.018656716348295833,0.0,0.015936254916588625,0.004098360638941145,0.0037453183380325157,0.008097165959120786,0.0,0.003968253952506929,0.00632911388399295,0.01315789465027701,0.006097560938429507,0.006493506451340867,0.0,0.0,0.0,0.0,0.005780346787396839,0.0,0.0,0.007782101137034626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,69.11531329154968,87.28469276428223,111.01945519447327,134.14306473731995,150.05200743675232,177.21861290931702,193.48876118659973,203.06020879745483,218.90727376937866,238.18841576576233,253.62446427345276,262.68934392929077,272.2236635684967,280.95740604400635,291.0040695667267,305.0274097919464,313.98528385162354,332.83545422554016,341.5216107368469,350.29526591300964,368.89719009399414,387.9160215854645,402.2276382446289,416.7995982170105,425.33481001853943,443.57746863365173,461.535382270813,476.159441947937,490.01482629776,503.97431349754333,517.3590710163116,531.8437645435333,545.2790050506592,554.1160352230072,567.7138748168945,576.7446794509888,585.6039760112762,594.9145708084106,603.6682698726654,613.2239816188812,627.7023901939392,642.1823856830597,650.8489933013916,660.582447052002,675.2349538803101,694.7145974636078,708.7412431240082,717.673063993454,731.6725192070007,740.3490960597992,748.9675340652466,759.4248178005219,779.6734001636505,793.5091080665588,802.229905128479,833.1511979103088,842.5889587402344,856.0380883216858,865.0522096157074,878.8524394035339,899.8391389846802,908.7583446502686,927.6338768005371,936.3774919509888,945.4987914562225,954.0715680122375,969.0558428764343,977.9040954113007,992.1589877605438,1002.0451762676239,1010.7535216808319,1024.1066310405731,1032.7542252540588,1046.561618089676,1055.9581506252289,1070.2668459415436,1085.0452752113342,1093.808748960495,1107.3003509044647,1115.9376516342163,1125.5431621074677
total minutes,0.0,1.1519218881924946,1.4547448794047038,1.8503242532412212,2.235717745621999,2.500866790612539,2.9536435484886168,3.224812686443329,3.384336813290914,3.6484545628229776,3.9698069294293723,4.227074404557546,4.3781557321548465,4.537061059474945,4.682623434066772,4.850067826112111,5.083790163199107,5.233088064193725,5.5472575704256695,5.692026845614115,5.838254431883494,6.148286501566569,6.465267026424408,6.703793970743815,6.946659970283508,7.0889135003089905,7.392957810560862,7.692256371180217,7.935990699132284,8.166913771629334,8.399571891625722,8.622651183605194,8.864062742392223,9.087983417510987,9.235267253716787,9.461897913614909,9.612411324183146,9.760066266854604,9.915242846806844,10.06113783121109,10.220399693648021,10.46170650323232,10.703039761384328,10.84748322168986,11.0097074508667,11.253915898005168,11.578576624393463,11.812354052066803,11.961217733224233,12.194541986783346,12.339151600996653,12.482792234420776,12.657080296675364,12.994556669394175,13.225151801109314,13.370498418807983,13.885853298505147,14.04314931233724,14.267301472028096,14.417536826928457,14.647540656725566,14.997318983078003,15.145972410837809,15.460564613342285,15.60629153251648,15.758313190937042,15.90119280020396,16.150930714607238,16.298401590188345,16.535983129342398,16.70075293779373,16.845892028013864,17.068443850676218,17.21257042090098,17.442693634827933,17.599302510420483,17.837780765692393,18.084087920188903,18.23014581600825,18.455005848407744,18.598960860570273,18.759052701791127
cummulative feedback,0.0,330.0,374.0,433.0,484.0,508.0,541.0,560.0,571.0,589.0,612.0,622.0,628.0,634.0,640.0,644.0,654.0,659.0,671.0,674.0,680.0,686.0,692.0,694.0,698.0,700.0,703.0,703.0,708.0,708.0,712.0,713.0,714.0,716.0,716.0,717.0,718.0,720.0,721.0,722.0,722.0,722.0,722.0,722.0,723.0,723.0,723.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,886.0,275.0,364.0,364.0,260.0,466.0,274.0,156.0,270.0,330.0,274.0,149.0,160.0,147.0,172.0,245.0,149.0,335.0,149.0,145.0,343.0,352.0,262.0,266.0,148.0,339.0,343.0,268.0,255.0,251.0,244.0,267.0,247.0,157.0,252.0,158.0,152.0,164.0,154.0,171.0,267.0,271.0,152.0,173.0,275.0,372.0,257.0,159.0,262.0,152.0,152.0,190.0,385.0,257.0,155.0,607.0,168.0,251.0,162.0,256.0,396.0,156.0,357.0,153.0,160.0,151.0,280.0,156.0,263.0,179.0,153.0,242.0,153.0,255.0,166.0,263.0,275.0,155.0,248.0,153.0,173.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
