,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3997.0,4367.0,4632.0,5093.0,5453.0,5806.0,6159.0,6313.0,6564.0,6916.0,7169.0,7458.0,7933.0,8204.0,8454.0,8612.0,8962.0,9318.0,9471.0,9622.0,9966.0,10230.0,10574.0,10829.0,11115.0,11520.0,11856.0,12101.0,12369.0,12703.0,12942.0,13608.0,13842.0,13991.0,14139.0,14297.0,14448.0,14713.0,14868.0,15017.0,15440.0,15586.0,15736.0,15889.0,16042.0,16276.0,16511.0,16860.0,17224.0,17376.0,17723.0,17869.0,18120.0,18377.0,18655.0,18809.0,18957.0,19115.0,19359.0,19726.0,20001.0
Episode reward,0.0,-70.16721736348889,-66.71252927811243,-69.92720679573303,-61.236798872294024,79.5968219234204,83.40969482799362,70.81709827724208,78.99050122045642,79.03072864632372,79.93016214579322,90.93467252988968,85.26308416602413,79.11130458601477,85.56477108892523,81.18055316679607,69.09244474382326,82.66087506984707,85.09024667724707,90.1070647382655,80.14702525531757,78.18688943701358,90.12173130004035,91.1629927756457,79.96977880824679,83.84381691937391,77.33758218437407,86.01422626930653,80.56748045768822,75.27625274545287,79.32999069028037,84.36793689465298,82.33020083419837,78.50255601846897,84.95476928994633,60.9984104011503,86.38578002580901,91.33257696896419,91.35171667858751,90.77241480889283,91.57204948011956,84.67572267496044,91.1294523928468,91.2449037873969,73.53574420905713,92.28924900598678,91.08160837482167,91.18764871384232,90.63402388399464,87.13899110165912,85.70275325755631,79.19740933811681,77.22609818743507,90.32033400090076,79.08829811332275,91.09383237809665,85.0192867284873,83.4762297706502,83.19102768691758,90.90042354486754,91.47084422521789,91.72631340661293,86.07615738763305,78.69128847032475,85.02523214162271
Episode feedback,0.8,0.00901803606310818,0.00801603205609616,0.05711422839968514,0.1202404808414424,0.06775067732316889,0.018939393867653812,0.01521739127126654,0.03064066843832683,0.02272727266270661,0.02272727266270661,0.019607843009099065,0.023999999904,0.03133903124974635,0.023809523715041574,0.02083333326099537,0.012658227821396143,0.0,0.01606425696359736,0.00636942671102276,0.005730659009367739,0.002816901400515771,0.006578947325138505,0.0,0.002915451886543872,0.0038022813543639494,0.002915451886543872,0.0,0.0,0.0,0.0029850746179550013,0.0,0.0037453183380325157,0.0,0.004201680654614787,0.0015037593962349482,0.0,0.0,0.0,0.0,0.0,0.003787878773530762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,44.54691815376282,90.13536190986633,145.15583634376526,206.1925003528595,227.97884798049927,242.75993490219116,267.5049660205841,287.4366011619568,306.6691777706146,325.74873757362366,334.6696445941925,348.52940583229065,368.0714330673218,382.1990430355072,398.1907277107239,423.376140832901,437.79902362823486,451.6142933368683,460.6662926673889,479.16450595855713,497.86366391181946,506.53632736206055,515.0455610752106,532.9841747283936,547.16113114357,565.3203840255737,579.0504925251007,594.2760443687439,615.27077460289,633.0778133869171,646.2079167366028,660.517796754837,678.2406001091003,691.3301477432251,725.6991453170776,738.4048025608063,746.9006028175354,755.2455008029938,764.1738932132721,772.6629195213318,787.0755751132965,795.848117351532,804.2381694316864,826.4340739250183,834.8808164596558,843.4982805252075,852.072420835495,860.7813997268677,873.5880851745605,886.5824484825134,905.1363477706909,924.3393354415894,932.9745037555695,951.3525021076202,959.5708434581757,973.323549747467,987.0497364997864,1002.0840017795563,1010.8559129238129,1019.1073548793793,1028.1365883350372,1041.4983785152435,1060.7269117832184,1075.5257098674774
total minutes,0.0,0.7424486358960469,1.5022560318311056,2.419263939062754,3.436541672547658,3.7996474663416544,4.045998915036519,4.458416100343069,4.790610019365946,5.111152962843577,5.4291456262270605,5.577827409903208,5.808823430538178,6.134523884455363,6.369984050591786,6.636512128512065,7.056269013881684,7.2966503938039144,7.526904888947805,7.677771544456482,7.986075099309286,8.297727731863658,8.44227212270101,8.584092684586842,8.883069578806559,9.119352185726166,9.422006400426229,9.650841542085011,9.904600739479065,10.254512910048167,10.551296889781952,10.770131945610046,11.00862994591395,11.30401000181834,11.522169129053752,12.094985755284627,12.306746709346772,12.448343380292256,12.58742501338323,12.736231553554536,12.87771532535553,13.117926251888274,13.2641352891922,13.403969490528107,13.773901232083638,13.914680274327596,14.058304675420125,14.201207013924916,14.346356662114461,14.55980141957601,14.776374141375223,15.085605796178182,15.405655590693156,15.549575062592824,15.855875035127005,15.992847390969594,16.222059162457786,16.450828941663108,16.701400029659272,16.847598548730215,16.985122581322987,17.135609805583954,17.35830630858739,17.67878186305364,17.92542849779129
cummulative feedback,0.0,9.0,17.0,74.0,194.0,219.0,224.0,231.0,242.0,250.0,258.0,261.0,267.0,278.0,284.0,290.0,296.0,296.0,300.0,301.0,303.0,304.0,305.0,305.0,306.0,307.0,308.0,308.0,308.0,308.0,309.0,309.0,310.0,310.0,311.0,312.0,312.0,312.0,312.0,312.0,312.0,313.0,313.0,313.0,313.0,313.0,313.0,313.0,313.0,313.0,313.0,313.0,313.0,313.0,313.0,313.0,313.0,313.0,313.0,313.0,313.0,313.0,313.0,313.0,313.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,998.0,369.0,264.0,460.0,359.0,352.0,352.0,153.0,250.0,351.0,252.0,288.0,474.0,270.0,249.0,157.0,349.0,355.0,152.0,150.0,343.0,263.0,343.0,254.0,285.0,404.0,335.0,244.0,267.0,333.0,238.0,665.0,233.0,148.0,147.0,157.0,150.0,264.0,154.0,148.0,422.0,145.0,149.0,152.0,152.0,233.0,234.0,348.0,363.0,151.0,346.0,145.0,250.0,256.0,277.0,153.0,147.0,157.0,243.0,366.0,274.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
