,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3997.0,4372.0,4651.0,4919.0,5302.0,5587.0,5942.0,6100.0,6424.0,6574.0,6721.0,6876.0,7023.0,7170.0,7433.0,7597.0,7820.0,7967.0,8184.0,8433.0,8773.0,8922.0,9275.0,9446.0,9607.0,9766.0,10022.0,10302.0,10544.0,10789.0,11025.0,11261.0,11419.0,11675.0,11952.0,12226.0,12549.0,12692.0,12934.0,13168.0,13316.0,13558.0,13766.0,13925.0,14069.0,14228.0,14395.0,14561.0,14813.0,14967.0,15476.0,15641.0,15971.0,16137.0,16296.0,16455.0,16606.0,16891.0,17034.0,17183.0,17409.0,17642.0,17795.0,17940.0,18185.0,18337.0,18679.0,18831.0,19081.0,19412.0,19668.0
Episode reward,0.0,-74.96058655693129,-79.55109810256886,-59.46278298913032,-61.52443800586424,80.61597637127068,85.04189167276502,84.49317073816518,79.04355393530717,85.04002125573403,76.92406566021168,92.80284857919541,77.82840581673412,90.1425790031016,90.72433938698893,91.53115841628646,91.64826298497677,90.86973490649041,82.60289566048056,89.66207949185771,88.78948254183844,90.54887923754116,88.97504268986596,84.8482396167233,77.08744980638336,90.67571706002404,75.19636590594357,92.15001424572938,88.05242833347847,89.4063211081869,86.85912320789048,81.84723541727652,86.1251087781453,84.62718026137686,85.56408715754058,86.1644379231059,90.68171223197825,84.69751668654162,85.34963769433284,87.42372393720467,74.59971144089653,89.75764753758953,86.32721679034654,84.79081119372682,91.54031571827863,87.25015433927268,90.82796010686582,90.350474995374,90.98938669548028,91.5267532432259,92.86372980131722,92.20118257065799,85.55738098771344,92.27039933602777,60.73248992146147,89.84593623090417,79.25134633541934,89.36634332622408,91.3331576374267,91.99429711702616,91.51903730628906,87.90545521106085,90.96938167984356,90.90294820755034,86.00713514370756,83.54373358181095,90.84306532867002,90.25903046767128,86.01750428771295,90.58933030394363,75.08673645089164,89.8032028904709,79.36516792963995,76.7155062152654,81.99168054426471
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,41.15039825439453,82.57664227485657,123.34264039993286,164.2843313217163,180.2003469467163,192.3375973701477,204.0037670135498,220.2938404083252,232.80060839653015,248.1229271888733,255.4857885837555,269.37393736839294,276.32319617271423,283.171306848526,290.33629059791565,297.16296887397766,304.02335691452026,315.4961259365082,323.00892329216003,332.8995339870453,339.7556643486023,349.4262285232544,360.3490047454834,374.92056369781494,381.8625395298004,396.92380714416504,404.713903427124,412.1190257072449,419.47071409225464,430.65607833862305,442.7637598514557,453.454638004303,464.1987907886505,474.57926535606384,484.9631712436676,492.22327399253845,503.4288558959961,515.4277200698853,527.3802633285522,541.2413558959961,547.9333388805389,558.5587887763977,568.8997838497162,575.766001701355,586.4169974327087,595.7239952087402,603.0626628398895,609.8258454799652,617.1664481163025,624.8025863170624,632.4023540019989,643.4373683929443,650.5672183036804,671.7698028087616,679.3276617527008,693.436931848526,701.0316276550293,708.4101622104645,715.7687256336212,722.8187656402588,735.1802754402161,741.8889253139496,748.8343513011932,758.8295750617981,769.2016658782959,776.2760574817657,783.0683364868164,794.4408669471741,801.7590627670288,817.0050320625305,824.3743088245392,835.790796995163,850.5327637195587,862.208259344101
total minutes,0.0,0.6858399709065756,1.3762773712476095,2.0557106733322144,2.7380721886952717,3.0033391157786054,3.205626622835795,3.4000627835591635,3.67156400680542,3.8800101399421694,4.135382119814555,4.258096476395925,4.489565622806549,4.60538660287857,4.719521780808766,4.8389381766319275,4.952716147899627,5.067055948575338,5.258268765608469,5.383482054869334,5.548325566450755,5.662594405810038,5.823770475387573,6.0058167457580565,6.248676061630249,6.364375658830007,6.615396785736084,6.7452317237854,6.868650428454081,6.991178568204244,7.177601305643718,7.379395997524261,7.557577300071716,7.7366465131441755,7.909654422601064,8.082719520727794,8.203721233208974,8.390480931599935,8.590462001164754,8.789671055475871,9.020689264933269,9.13222231467565,9.309313146273295,9.481663064161937,9.596100028355917,9.773616623878478,9.928733253479004,10.051044380664825,10.163764091332753,10.286107468605042,10.413376438617707,10.540039233366649,10.723956139882405,10.842786971728007,11.196163380146027,11.322127695878347,11.557282197475434,11.683860460917154,11.806836036841075,11.929478760560354,12.046979427337646,12.253004590670267,12.36481542189916,12.480572521686554,12.647159584363301,12.820027764638265,12.937934291362762,13.05113894144694,13.240681115786234,13.362651046117147,13.616750534375509,13.73957181374232,13.92984661658605,14.175546061992645,14.370137655735016
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,998.0,374.0,278.0,267.0,382.0,284.0,354.0,157.0,323.0,149.0,146.0,154.0,146.0,146.0,262.0,163.0,222.0,146.0,216.0,248.0,339.0,148.0,352.0,170.0,160.0,158.0,255.0,279.0,241.0,244.0,235.0,235.0,157.0,255.0,276.0,273.0,322.0,142.0,241.0,233.0,147.0,241.0,207.0,158.0,143.0,158.0,166.0,165.0,251.0,153.0,508.0,164.0,329.0,165.0,158.0,158.0,150.0,284.0,142.0,148.0,225.0,232.0,152.0,144.0,244.0,151.0,341.0,151.0,249.0,330.0,255.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
