,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
Accumulated time steps,0.0,651.0,1215.0,1521.0,1875.0,2124.0,2367.0,2521.0,2674.0,2836.0,2983.0,3130.0,3516.0,3982.0,4150.0,4400.0,4760.0,4908.0,5056.0,5323.0,5602.0,5843.0,6094.0,6416.0,6579.0,6826.0,7035.0,7380.0,7537.0,7692.0,7852.0,8103.0,8245.0,8619.0,8762.0,9084.0,9225.0,9373.0,9621.0,9770.0,9920.0,10070.0,10325.0,10471.0,10608.0,10754.0,10998.0,11363.0,11528.0,11779.0,11931.0,12323.0,12489.0,12640.0,12898.0,13160.0,13300.0,13553.0,13705.0,13862.0,14110.0,14263.0,14409.0,14579.0,14741.0,15041.0,15348.0,15610.0,15810.0,16297.0,16451.0,16720.0,16974.0,17140.0,17307.0,17643.0,18069.0,18228.0,18377.0,18637.0,18974.0,19233.0,19487.0,19839.0
Episode reward,0.0,63.65415057059544,67.46830694315328,80.88704251202286,80.15274199387783,85.7718070313741,85.2164247625256,90.94086156692268,91.03491589601344,90.42924514285302,91.7950077787067,91.70394834154376,77.77234070392174,75.27694099409948,90.21404983314568,85.6306233952148,78.55067398035986,91.94751435764134,91.84609612560313,83.70987597747032,84.58286648370502,86.35808465246505,87.39991188555314,84.82022732956533,91.35026733139868,86.4532122493147,85.79492009904077,80.3482225765531,90.41537189088628,91.09194751515368,91.27722532306888,88.77228786412792,92.00008741594846,83.45821223102013,92.69130063822787,85.40688308427349,91.82646180700411,92.08455184946047,87.26682510015159,91.17357325080842,92.34182122891059,91.73385367084558,85.04580865900412,91.96925479688889,92.72051719295409,92.556533284724,86.76151469702448,82.41071845357544,90.32405664453114,84.72249493508124,91.14543124971875,79.4263906941853,89.98546972109348,91.14872473752335,84.95442513429019,85.03311736797946,92.35185086464531,85.60747062895355,91.14934072798609,91.05055399461007,88.85042996283524,91.36977877319734,91.61113320463802,90.87206233903186,89.43568199652319,85.17925826842502,84.97680100766436,85.9454138773175,87.15990620831577,74.70043664305197,91.2693298251928,85.22662201590018,85.63168404732855,88.66153335705187,89.28422424201011,81.24289652135548,77.32786487370416,91.17886313543718,92.27979232687215,84.87028834546523,79.59012971217507,85.62774140551193,84.6132899517316,80.82651812884973
Episode feedback,0.8,0.30200308119876257,0.13321491983443176,0.15737704866433755,0.14730878145238305,0.12096774144771072,0.13636363580015026,0.1111111103848947,0.07894736790166205,0.09316770128467267,0.14383561545318072,0.10273972532370051,0.07272727253837072,0.06236559126372991,0.0538922152461544,0.052208835131691424,0.05292479093892816,0.0680272104215836,0.0340136052107918,0.022556390892645148,0.021582733735313907,0.03749999984375,0.023999999904,0.031152647878029134,0.02469135787227557,0.03252032507105559,0.01923076913831361,0.023255813885884262,0.0,0.0194805193540226,0.012578616273090464,0.011999999952,0.02127659559378301,0.005361930280531018,0.007042253471533426,0.006230529575605827,0.0,0.00680272104215836,0.004048582979560393,0.0,0.013422818701860278,0.006711409350930139,0.003937007858515717,0.027586206706302022,0.007352941122404845,0.006896551676575506,0.0,0.0027472527397053494,0.006097560938429507,0.0,0.0,0.0,0.006060606023875115,0.0,0.003891050568517313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006211180085644845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,50.483559131622314,85.57760810852051,105.61899709701538,128.4513623714447,144.4246747493744,160.27724814414978,170.33224248886108,180.06303215026855,190.36244797706604,200.46009731292725,210.08389735221863,232.9472839832306,259.9954674243927,270.2106873989105,285.0574803352356,306.103390455246,315.38644313812256,324.35119700431824,339.2259464263916,354.6247048377991,368.34827280044556,382.5004951953888,400.8326313495636,410.84495306015015,424.92422676086426,436.70545077323914,455.4932782649994,464.2695589065552,473.3145308494568,482.4775559902191,496.22848749160767,504.63847970962524,524.4419894218445,532.6797204017639,549.8388152122498,557.7704622745514,566.2447147369385,579.5948488712311,588.0465843677521,596.7983167171478,605.3487286567688,619.0966055393219,627.7312340736389,635.4891090393066,643.8960275650024,657.0725860595703,676.4075448513031,685.6794946193695,699.2053062915802,707.7883515357971,728.3899719715118,737.6359488964081,746.1582412719727,760.4632365703583,774.5551981925964,782.4660227298737,796.1007876396179,804.5073637962341,813.3057310581207,826.6727569103241,835.4147415161133,843.5869636535645,853.0216450691223,862.1719217300415,878.2124197483063,894.5648491382599,908.554107427597,919.57746052742,945.0069124698639,953.7599070072174,968.3499736785889,982.1101541519165,991.3385615348816,1000.7503247261047,1018.5812387466431,1040.673273563385,1049.5889983177185,1058.0547547340393,1072.045197725296,1089.996181488037,1104.012437582016,1118.098191022873,1137.6952488422394
total minutes,0.0,0.8413926521937053,1.4262934684753419,1.7603166182835897,2.1408560395240785,2.4070779124895734,2.671287469069163,2.838870708147685,3.0010505358378095,3.172707466284434,3.341001621882121,3.5013982892036437,3.882454733053843,4.333257790406545,4.503511456648509,4.75095800558726,5.1017231742541,5.256440718968709,5.405853283405304,5.653765773773193,5.910411747296651,6.139137880007426,6.37500825325648,6.68054385582606,6.8474158843358355,7.082070446014404,7.278424179553985,7.59155463774999,7.737825981775919,7.888575514157613,8.041292599836986,8.270474791526794,8.410641328493755,8.740699823697408,8.877995340029399,9.163980253537495,9.296174371242524,9.437411912282307,9.65991414785385,9.8007764061292,9.946638611952464,10.089145477612814,10.318276758988699,10.462187234560648,10.59148515065511,10.731600459416708,10.951209767659504,11.273459080855051,11.427991576989491,11.653421771526336,11.796472525596618,12.139832866191863,12.2939324816068,12.435970687866211,12.674387276172638,12.90925330320994,13.041100378831228,13.268346460660299,13.408456063270568,13.555095517635346,13.777879281838734,13.923579025268555,14.059782727559407,14.217027417818706,14.369532028834024,14.636873662471771,14.90941415230433,15.142568457126618,15.326291008790333,15.750115207831065,15.89599845012029,16.13916622797648,16.368502569198608,16.522309358914693,16.679172078768413,16.97635397911072,17.34455455938975,17.493149971961977,17.63424591223399,17.867419962088267,18.16660302480062,18.4002072930336,18.634969850381214,18.96158748070399
cummulative feedback,0.0,196.0,271.0,319.0,371.0,401.0,434.0,451.0,463.0,478.0,499.0,514.0,542.0,571.0,580.0,593.0,612.0,622.0,627.0,633.0,639.0,648.0,654.0,664.0,668.0,676.0,680.0,688.0,688.0,691.0,693.0,696.0,699.0,701.0,702.0,704.0,704.0,705.0,706.0,706.0,708.0,709.0,710.0,714.0,715.0,716.0,716.0,717.0,718.0,718.0,718.0,718.0,719.0,719.0,720.0,720.0,720.0,720.0,720.0,720.0,720.0,720.0,720.0,720.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,649.0,563.0,305.0,353.0,248.0,242.0,153.0,152.0,161.0,146.0,146.0,385.0,465.0,167.0,249.0,359.0,147.0,147.0,266.0,278.0,240.0,250.0,321.0,162.0,246.0,208.0,344.0,156.0,154.0,159.0,250.0,141.0,373.0,142.0,321.0,140.0,147.0,247.0,148.0,149.0,149.0,254.0,145.0,136.0,145.0,243.0,364.0,164.0,250.0,151.0,391.0,165.0,150.0,257.0,261.0,139.0,252.0,151.0,156.0,247.0,152.0,145.0,169.0,161.0,299.0,306.0,261.0,199.0,486.0,153.0,268.0,253.0,165.0,166.0,335.0,425.0,158.0,148.0,259.0,336.0,258.0,253.0,351.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
