,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
Accumulated time steps,0.0,1000.0,1609.0,1968.0,2356.0,2626.0,2882.0,3145.0,3415.0,3568.0,3822.0,3975.0,4128.0,4369.0,4527.0,4806.0,5056.0,5202.0,5564.0,5710.0,5864.0,6021.0,6168.0,6325.0,6497.0,6652.0,6902.0,7049.0,7204.0,7365.0,7532.0,7797.0,8155.0,8317.0,8559.0,8723.0,8989.0,9366.0,9601.0,9755.0,9906.0,10063.0,10340.0,10523.0,10682.0,10924.0,11091.0,11239.0,11392.0,11655.0,11807.0,12071.0,12221.0,12370.0,12633.0,12887.0,13146.0,13309.0,13660.0,13830.0,14100.0,14396.0,14640.0,14898.0,15157.0,15313.0,15577.0,15828.0,15985.0,16141.0,16396.0,16551.0,16700.0,16958.0,17285.0,17543.0,17700.0,17982.0,18245.0,18507.0,18665.0,19121.0,19291.0,19443.0,19595.0,19745.0
Episode reward,0.0,-61.95834643623291,62.622897878510784,81.07271723582986,77.22986023132745,85.35785961005273,86.11642563183909,85.9731248597851,85.29716474417711,91.85027087151741,85.80952792572995,91.15444170126752,91.43455081301305,87.72764734681644,91.79088408263694,85.16247174643566,87.21459682070548,91.99851304718035,81.09568448012361,91.86629669370456,90.84816416264725,91.24813529446477,92.09662500988888,91.13305127062806,90.06449990402261,91.05800520613033,86.3761564287207,91.76321876740701,90.54661345425397,90.69855004542568,90.41013922403316,84.88329992011532,78.48706859850638,90.69072384087552,86.65427770522999,90.62216563429487,86.8182795601443,79.42049822075961,84.51157460667022,90.36653283126324,91.46279655175013,90.03851449272145,84.66539303575266,89.81532892666468,89.56437743412947,86.39462742001733,90.91083389411016,91.26266711369038,91.82310957717698,84.07539976935269,91.14235497715053,82.29688559049312,91.21750207130363,91.70632797029809,86.1933914400745,86.7177553260119,85.08411546018434,91.71624380280566,79.34872618117069,90.78964046770065,86.3752098878789,83.31282114669338,86.5903222973449,86.12637199312216,84.59566778324137,90.73708395613119,84.09250202181002,86.46382307020706,91.70069773028622,91.47578846648143,87.75627482120974,91.10860502024137,91.37136779742931,87.22923940076085,81.96507388669293,85.20810060175587,91.28326508713162,81.73712726786704,86.3635728334745,87.98428599647018,90.82890225724647,72.81089937407906,90.34759786585434,91.90937399472601,91.67341102297098,91.59259144241099
Episode feedback,0.8,0.22745490959172854,0.19407894704921225,0.10335195501856996,0.0801033589661412,0.07434944210279018,0.08235294085351788,0.09160305308548453,0.0817843863130692,0.05263157860110804,0.07905138308675343,0.06578947325138504,0.03947368395083103,0.054166666440972226,0.07643312053227312,0.03597122289218985,0.03212851392719472,0.027586206706302022,0.04155124642229572,0.027586206706302022,0.013071895339399377,0.012820512738330047,0.020547945064740104,0.0,0.017543859546527138,0.03246753225670434,0.01606425696359736,0.0068493150215800346,0.006493506451340867,0.012499999921875001,0.012048192698504864,0.0,0.01400560220166498,0.0,0.0041493775761436615,0.006134969287515526,0.011320754674261304,0.00265957446101177,0.0,0.0,0.0066666666222222224,0.012820512738330047,0.0,0.0054945054643159045,0.00632911388399295,0.0,0.0,0.00680272104215836,0.0,0.0,0.0,0.0038022813543639494,0.0,0.006756756711102995,0.0,0.0,0.0038759689772249264,0.0,0.002857142848979592,0.00591715972830083,0.0,0.0,0.0,0.003891050568517313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,68.23572659492493,110.20856189727783,133.77352571487427,158.58148097991943,175.70526361465454,192.01186895370483,209.4700231552124,226.95700764656067,237.2191083431244,254.79049515724182,265.16463327407837,275.4093716144562,291.00329971313477,301.4846866130829,319.01046991348267,334.99328112602234,344.5171899795532,366.54010224342346,375.67712593078613,385.32894563674927,395.1131570339203,404.4909920692444,413.9315218925476,424.4575192928314,434.39076018333435,449.20390272140503,458.2851734161377,467.24684834480286,476.6748151779175,486.69444036483765,502.0080871582031,522.4010610580444,531.8916289806366,545.6918268203735,555.2622089385986,570.4956746101379,591.531742811203,605.6153392791748,614.7558212280273,623.8420770168304,633.0067358016968,648.4044377803802,659.3257513046265,668.9246661663055,682.1321527957916,691.5260598659515,700.2631120681763,709.214305639267,723.9522130489349,732.6714754104614,747.8737154006958,756.8329811096191,765.6429212093353,780.4498744010925,795.059736251831,809.7462472915649,819.5702497959137,838.8617112636566,848.6563003063202,863.7623243331909,880.2128875255585,894.044102191925,908.4444909095764,922.7511479854584,931.7081639766693,946.5862648487091,960.5420877933502,969.3182644844055,978.167592048645,991.9078619480133,1000.7144811153412,1009.0444712638855,1022.9744732379913,1039.8358316421509,1053.4808328151703,1062.1255326271057,1076.8478164672852,1090.7863512039185,1104.500682592392,1113.368085384369,1136.928781747818,1146.3150854110718,1154.7754051685333,1163.2353851795197,1171.4676713943481
total minutes,0.0,1.1372621099154154,1.8368093649546304,2.229558761914571,2.6430246829986572,2.928421060244242,3.2001978158950806,3.4911670525868734,3.7826167941093445,3.95365180571874,4.246508252620697,4.419410554567973,4.59015619357427,4.850054995218913,5.024744776884715,5.316841165224711,5.583221352100372,5.741953166325887,6.109001704057058,6.261285432179769,6.422149093945821,6.585219283898671,6.741516534487406,6.898858698209127,7.074291988213857,7.239846003055573,7.486731712023417,7.638086223602295,7.787447472413381,7.944580252965292,8.111574006080627,8.366801452636718,8.706684350967407,8.86486048301061,9.094863780339558,9.254370148976644,9.508261243502298,9.858862380186716,10.093588987986246,10.245930353800455,10.397367950280508,10.550112263361614,10.806740629673005,10.988762521743775,11.148744436105092,11.368869213263194,11.525434331099193,11.671051867802937,11.820238427321117,12.06587021748225,12.211191256841024,12.46456192334493,12.613883018493652,12.760715353488923,13.007497906684875,13.250995604197184,13.495770788192749,13.659504163265229,13.981028521060944,14.144271671772003,14.396038738886515,14.670214792092642,14.900735036532085,15.140741515159608,15.37918579975764,15.528469399611156,15.776437747478486,16.009034796555838,16.155304408073427,16.30279320081075,16.531797699133556,16.678574685255686,16.81740785439809,17.049574553966522,17.33059719403585,17.558013880252837,17.702092210451763,17.947463607788087,18.179772520065306,18.408344709873198,18.55613475640615,18.9488130291303,19.105251423517863,19.24625675280889,19.387256419658662,19.524461189905804
cummulative feedback,0.0,227.0,345.0,382.0,413.0,433.0,454.0,478.0,500.0,508.0,528.0,538.0,544.0,557.0,569.0,579.0,587.0,591.0,606.0,610.0,612.0,614.0,617.0,617.0,620.0,625.0,629.0,630.0,631.0,633.0,635.0,635.0,640.0,640.0,641.0,642.0,645.0,646.0,646.0,646.0,647.0,649.0,649.0,650.0,651.0,651.0,651.0,652.0,652.0,652.0,652.0,653.0,653.0,654.0,654.0,654.0,655.0,655.0,656.0,657.0,657.0,657.0,657.0,658.0,658.0,658.0,658.0,658.0,658.0,658.0,658.0,658.0,658.0,658.0,658.0,658.0,658.0,658.0,658.0,658.0,658.0,658.0,658.0,658.0,658.0,658.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,608.0,358.0,387.0,269.0,255.0,262.0,269.0,152.0,253.0,152.0,152.0,240.0,157.0,278.0,249.0,145.0,361.0,145.0,153.0,156.0,146.0,156.0,171.0,154.0,249.0,146.0,154.0,160.0,166.0,264.0,357.0,161.0,241.0,163.0,265.0,376.0,234.0,153.0,150.0,156.0,276.0,182.0,158.0,241.0,166.0,147.0,152.0,262.0,151.0,263.0,149.0,148.0,262.0,253.0,258.0,162.0,350.0,169.0,269.0,295.0,243.0,257.0,258.0,155.0,263.0,250.0,156.0,155.0,254.0,154.0,148.0,257.0,326.0,257.0,156.0,281.0,262.0,261.0,157.0,455.0,169.0,151.0,151.0,149.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
