,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3765.0,4172.0,5022.0,5304.0,5969.0,6609.0,7076.0,7359.0,7871.0,8175.0,8341.0,8505.0,8980.0,9271.0,9541.0,9785.0,9942.0,10127.0,10417.0,10582.0,10744.0,11053.0,11301.0,11565.0,12035.0,12382.0,12646.0,12818.0,13065.0,13346.0,13619.0,13890.0,14134.0,14398.0,14670.0,15205.0,15367.0,15699.0,16224.0,16672.0,16917.0,17159.0,17308.0,17554.0,17798.0,17957.0,18194.0,18529.0,18690.0,18979.0,19309.0,19494.0,19773.0
Episode reward,0.0,-60.43103082745695,-66.09928147740352,-65.3794021046044,51.956437425412624,78.25766170638882,45.440957431168194,86.55948095582684,75.78434602340815,59.912997760593974,74.80893020913814,83.53620985074691,60.332431617163365,85.46303747518546,90.65709629601177,90.59469185880877,75.57104443577525,82.84113619097737,85.86583581048143,83.15388657109611,89.11750016754033,88.59266402148724,79.29304459033554,91.33855004756,91.27174602781665,81.20821944424591,83.05072970696924,84.55969716258852,73.52945811804722,79.24013222061009,85.75175587165143,91.3515555952298,87.16527738345854,84.89645997700214,85.61758965251056,84.47081105826616,84.61086584661172,84.77156806732621,84.75930475327064,61.719633959676656,90.44073861321897,76.68924243507693,74.07793289198545,69.62427806216655,83.74956240895555,85.1255648905573,91.47115407703978,85.45576457884191,85.22600149434113,91.54141833285547,91.45764002950173,73.30284925523839,90.25675726401809,79.70061917814715,77.09536925708969,90.37175063469738,83.06691383997703
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,41.80081868171692,84.18724250793457,126.65421748161316,159.47011947631836,177.35820031166077,213.59273266792297,226.3645486831665,254.96508026123047,282.48755717277527,303.6526699066162,316.37287163734436,338.64335203170776,352.31658244132996,360.1953182220459,368.01683139801025,388.69065499305725,401.7342302799225,414.01864886283875,425.18157958984375,432.69575452804565,441.4317605495453,454.46712923049927,462.35229659080505,470.10555386543274,483.95597219467163,495.3567020893097,507.3377923965454,527.8930521011353,543.2690358161926,555.2393653392792,563.4319665431976,574.6571156978607,587.3278954029083,599.5783104896545,611.8255167007446,623.0262885093689,634.945639371872,647.2578806877136,670.4772293567657,678.223384141922,693.0198791027069,715.8070814609528,735.3248522281647,746.5140306949615,757.5089247226715,764.6599142551422,775.89714884758,787.0625791549683,794.6605312824249,805.5471298694611,820.4252655506134,828.1002323627472,841.0821106433868,855.7961595058441,864.5306005477905,877.0594449043274
total minutes,0.0,0.6966803113619486,1.4031207084655761,2.110903624693553,2.657835324605306,2.955970005194346,3.5598788777987163,3.772742478052775,4.249418004353841,4.708125952879588,5.060877831776937,5.272881193955739,5.64405586719513,5.871943040688833,6.003255303700765,6.133613856633504,6.4781775832176205,6.695570504665374,6.900310814380646,7.0863596598307295,7.211595908800761,7.357196009159088,7.574452153841654,7.705871609846751,7.835092564423879,8.065932869911194,8.255945034821828,8.455629873275758,8.798217535018921,9.054483930269877,9.25398942232132,9.39053277571996,9.577618594964346,9.788798256715138,9.992971841494242,10.19709194501241,10.383771475156149,10.582427322864532,10.787631344795226,11.174620489279429,11.303723069032033,11.550331318378449,11.930118024349213,12.255414203802745,12.441900511582693,12.625148745377858,12.74433190425237,12.931619147459665,13.117709652582805,13.244342188040415,13.425785497824352,13.673754425843557,13.80167053937912,14.01803517738978,14.263269325097403,14.408843342463175,14.617657415072124
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,766.0,406.0,849.0,281.0,664.0,639.0,466.0,282.0,511.0,303.0,165.0,163.0,474.0,290.0,269.0,243.0,156.0,184.0,289.0,164.0,161.0,308.0,247.0,263.0,469.0,346.0,263.0,171.0,246.0,280.0,272.0,270.0,243.0,263.0,271.0,534.0,161.0,331.0,524.0,447.0,244.0,241.0,148.0,245.0,243.0,158.0,236.0,334.0,160.0,288.0,329.0,184.0,278.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
