,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3997.0,4788.0,5314.0,5671.0,6031.0,6287.0,6676.0,7581.0,7833.0,8086.0,8350.0,8600.0,8968.0,9375.0,9540.0,9898.0,10269.0,10429.0,10577.0,10734.0,10887.0,11251.0,11416.0,11589.0,12061.0,12344.0,12503.0,12658.0,13102.0,13257.0,13522.0,13776.0,13932.0,14302.0,14558.0,14714.0,15069.0,15224.0,15551.0,15808.0,16077.0,16242.0,16506.0,16783.0,17068.0,17226.0,17386.0,17652.0,18074.0,18233.0,18585.0,18851.0,19096.0,19251.0,19602.0,19852.0
Episode reward,0.0,-67.17350480172658,-67.78743904510716,-67.27104962784189,-65.31011464856704,50.130640436135465,70.59743948050007,79.72761055043826,78.87075843041757,85.68057036635425,75.60853802361972,48.25632104345818,85.03956895377837,85.0213918681147,82.46405263611159,86.46444530248132,79.87703065284597,75.22791938888705,88.92394168689032,77.4307861937859,81.95367972647854,90.63864149160007,92.56567972480852,90.5606785240418,90.37213035093617,78.0772841089543,89.04950607351273,87.07691075866686,73.4700150955581,83.11931197432955,91.13593511500062,90.45829224207658,76.37348122836559,90.17171717872031,83.27351251578754,84.77463860160398,89.91691694332405,80.36917045156655,85.72579605304236,90.03563787690331,80.46978905604327,90.6087076929746,81.39548083378742,86.82454055537069,82.8153593097522,90.12921219053916,82.25108587016169,83.77209884736224,82.0640516735417,91.67312236081833,90.60345979716321,85.65146021511666,73.38090207350004,90.80997056529145,74.70993096237373,84.02553178160174,84.77992860616489,90.83144476286141,79.47326475399501,85.96341314015058
Episode feedback,0.8,0.01102204407713222,0.09719438868016594,0.11122244477833422,0.12825651289753856,0.05443037967793623,0.017142857110204083,0.025280898805390733,0.016713091875451,0.011764705836216839,0.015463917485917739,0.017699115024669122,0.015936254916588625,0.007936507905013858,0.0038022813543639494,0.00803212848179868,0.010899182531609857,0.00985221672450193,0.006097560938429507,0.002801120440332996,0.005405405390796202,0.006289308136545232,0.0,0.0,0.006578947325138505,0.00275482092905008,0.0,0.0,0.0021231422460230524,0.0035460992782053217,0.0,0.0,0.0,0.0,0.0,0.0,0.0064516128616024975,0.0,0.00392156861207228,0.0,0.0,0.0,0.003067484653167225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,44.916059255599976,105.53256630897522,167.94861340522766,231.9876992702484,277.38895869255066,306.3537185192108,326.42558336257935,346.040518283844,360.1839966773987,381.60876727104187,430.1983721256256,444.59141755104065,458.680255651474,473.1531744003296,486.8148503303528,508.1143112182617,531.4202537536621,540.6903958320618,559.8072011470795,579.8506345748901,589.0607287883759,597.5083031654358,606.412034034729,615.183492898941,634.5291368961334,643.969818353653,653.7041416168213,678.9324970245361,694.2879688739777,703.2082507610321,712.0112073421478,735.6313529014587,744.3446371555328,758.715384721756,772.6661262512207,781.7888731956482,801.6389937400818,815.58713722229,824.603893995285,843.629252910614,852.553204536438,870.0259327888489,883.9110946655273,898.516170501709,908.3285479545593,922.7610940933228,937.9061028957367,953.7057793140411,962.761271238327,972.4217727184296,988.0546677112579,1012.0362997055054,1021.3817954063416,1040.991895198822,1056.0772333145142,1069.739104270935,1078.8913569450378,1098.2423031330109,1112.5018148422241
total minutes,0.0,0.7486009875933329,1.758876105149587,2.7991435567537946,3.8664616545041404,4.623149311542511,5.105895308653514,5.440426389376323,5.7673419713974,6.003066611289978,6.360146121184031,7.169972868760427,7.409856959184011,7.644670927524567,7.885886240005493,8.113580838839214,8.468571853637695,8.857004229227702,9.011506597201029,9.330120019117992,9.664177242914835,9.817678813139597,9.95847171942393,10.10686723391215,10.253058214982351,10.575485614935557,10.732830305894216,10.895069026947022,11.315541617075603,11.571466147899628,11.720137512683868,11.866853455702463,12.260522548357645,12.405743952592214,12.645256412029266,12.87776877085368,13.029814553260803,13.360649895668029,13.593118953704835,13.74339823325475,14.060487548510233,14.2092200756073,14.500432213147482,14.731851577758789,14.975269508361816,15.13880913257599,15.379351568222045,15.631768381595611,15.895096321900686,16.04602118730545,16.207029545307158,16.467577795187633,16.867271661758423,17.023029923439026,17.349864919980366,17.60128722190857,17.828985071182252,17.98152261575063,18.304038385550182,18.541696914037068
cummulative feedback,0.0,11.0,108.0,219.0,347.0,390.0,399.0,408.0,414.0,417.0,423.0,439.0,443.0,445.0,446.0,448.0,452.0,456.0,457.0,458.0,460.0,461.0,461.0,461.0,462.0,463.0,463.0,463.0,464.0,465.0,465.0,465.0,465.0,465.0,465.0,465.0,466.0,466.0,467.0,467.0,467.0,467.0,468.0,468.0,468.0,468.0,468.0,468.0,468.0,468.0,468.0,468.0,468.0,468.0,468.0,468.0,468.0,468.0,468.0,468.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,998.0,790.0,525.0,356.0,359.0,255.0,388.0,904.0,251.0,252.0,263.0,249.0,367.0,406.0,164.0,357.0,370.0,159.0,147.0,156.0,152.0,363.0,164.0,172.0,471.0,282.0,158.0,154.0,443.0,154.0,264.0,253.0,155.0,369.0,255.0,155.0,354.0,154.0,326.0,256.0,268.0,164.0,263.0,276.0,284.0,157.0,159.0,265.0,421.0,158.0,351.0,265.0,244.0,154.0,350.0,249.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
