,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3997.0,4996.0,5973.0,6656.0,7265.0,7605.0,8049.0,8295.0,8542.0,9150.0,9754.0,9906.0,10097.0,10347.0,10713.0,11182.0,11635.0,11889.0,12148.0,12311.0,12764.0,12928.0,13136.0,13394.0,13558.0,13802.0,13964.0,14283.0,14467.0,14822.0,14977.0,15247.0,15671.0,16058.0,16320.0,16695.0,16986.0,17141.0,17584.0,17780.0,17926.0,18274.0,18554.0,18823.0,19086.0,19341.0,19588.0,19842.0
Episode reward,0.0,-73.6974874628824,-72.22090463921906,-66.82849193942278,-64.76220883035705,-67.06375574370226,35.59600273671943,55.498501498275324,61.101152498650684,80.81383940265053,71.46186874484144,85.5387181562501,85.22305695943311,63.40302217131832,64.45737925499475,91.95742529094805,88.36059041609113,86.05002888843649,79.09459674806752,72.2499543126641,74.13456338846866,86.01593341469271,84.98972804411733,89.77107659913261,73.5790013727094,90.26292029694439,87.02419651514322,83.65075472015596,91.28247348566633,85.86852416297819,90.92119296042945,83.76844578225489,89.90612660598485,81.32774812329637,91.150216995536,84.78078842177517,75.62418481742694,78.46553035762773,85.56213661884179,81.31890864102274,81.9582579756624,92.55655296369927,73.90849018554455,87.61553837816646,91.97243150259924,79.81871647501316,84.18045261841966,85.13622357459198,83.92958449693444,85.96155573837684,85.84402361627326,86.72724465284453
Episode feedback,0.8,0.00901803606310818,0.06713426846980534,0.09919839669418998,0.13727454896064675,0.048096192336576964,0.025614754072116032,0.01612903223441491,0.01644736839400104,0.02064896749071101,0.02031602704217601,0.008163265272802998,0.0040650406338819485,0.008237232276380178,0.004975124369858832,0.0,0.005263157867036012,0.00401606424089934,0.0027397260198911617,0.002136752132186427,0.0,0.0,0.0,0.006172839468068892,0.0022123893756363067,0.006134969287515526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,44.83167123794556,103.33704257011414,166.81462597846985,232.05438137054443,288.6597681045532,341.7486934661865,378.6247820854187,411.28139901161194,432.5107698440552,458.13952136039734,472.2822630405426,486.22461795806885,519.0792000293732,551.6726043224335,560.5636963844299,571.2186586856842,585.0627827644348,604.9415419101715,629.7174172401428,654.4995906352997,668.8083658218384,683.6967768669128,693.2609593868256,718.0183877944946,727.479088306427,739.2341012954712,753.3362572193146,762.7269012928009,776.1777846813202,785.428929567337,802.6883640289307,813.0885019302368,832.3088471889496,841.2561938762665,855.8311049938202,878.9284973144531,899.4647970199585,913.8558976650238,934.0459315776825,949.7453470230103,958.6381497383118,982.0663816928864,992.877325296402,1001.4309196472168,1020.5722014904022,1036.6245527267456,1051.821771144867,1066.5382332801819,1081.2217855453491,1096.0166730880737,1111.9403855800629
total minutes,0.0,0.747194520632426,1.7222840428352355,2.780243766307831,3.8675730228424072,4.810996135075887,5.695811557769775,6.310413034756978,6.854689983526866,7.208512830734253,7.635658689339956,7.87137105067571,8.103743632634481,8.651320000489553,9.19454340537389,9.342728273073833,9.520310978094736,9.751046379407247,10.082359031836193,10.495290287335713,10.908326510588328,11.14680609703064,11.394946281115214,11.55434932311376,11.966973129908244,12.124651471773783,12.32056835492452,12.555604286988576,12.712115021546682,12.936296411355336,13.090482159455616,13.378139400482178,13.551475032170613,13.871814119815827,14.020936564604442,14.263851749897004,14.64880828857422,14.991079950332642,15.230931627750397,15.567432192961375,15.82908911705017,15.97730249563853,16.367773028214774,16.547955421606698,16.690515327453614,17.009536691506703,17.277075878779094,17.53036285241445,17.775637221336364,18.020363092422485,18.266944551467894,18.532339759667714
cummulative feedback,0.0,9.0,76.0,175.0,312.0,360.0,385.0,396.0,406.0,413.0,422.0,424.0,425.0,430.0,433.0,433.0,434.0,435.0,436.0,437.0,437.0,437.0,437.0,438.0,439.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,998.0,998.0,976.0,682.0,608.0,339.0,443.0,245.0,246.0,607.0,603.0,151.0,190.0,249.0,365.0,468.0,452.0,253.0,258.0,162.0,452.0,163.0,207.0,257.0,163.0,243.0,161.0,318.0,183.0,354.0,154.0,269.0,423.0,386.0,261.0,374.0,290.0,154.0,442.0,195.0,145.0,347.0,279.0,268.0,262.0,254.0,246.0,253.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
