,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
Accumulated time steps,0.0,1000.0,1999.0,2531.0,2807.0,3081.0,3326.0,3475.0,3625.0,3892.0,4140.0,4296.0,4545.0,4695.0,5032.0,5274.0,5534.0,5690.0,5849.0,6195.0,6337.0,6766.0,7016.0,7166.0,7321.0,7479.0,7628.0,7782.0,8071.0,8496.0,8741.0,8902.0,9147.0,9517.0,9678.0,9930.0,10176.0,10413.0,10570.0,10941.0,11283.0,11434.0,11597.0,11947.0,12211.0,12515.0,12785.0,13040.0,13313.0,13599.0,13940.0,14087.0,14453.0,14805.0,14970.0,15121.0,15401.0,15740.0,16009.0,16351.0,16513.0,16937.0,17278.0,17429.0,17788.0,18136.0,18386.0,18542.0,18879.0,19167.0,19523.0,19792.0
Episode reward,0.0,-62.25450053393673,-65.01832400563208,68.39702049489159,83.17957133435792,83.34822777842058,86.01938071886397,91.62711219567136,91.83426871702947,86.45192677053961,85.46651143250375,91.44866386765138,87.14617368490599,91.39806851830629,82.68120717706725,86.09078905009422,85.78896724007237,90.48378466819847,91.28599238324892,79.8404338697437,92.11851946192044,76.01199590080176,84.79278375788712,91.2979792363483,90.03394689678869,90.2942396030539,91.39622185526751,91.31160256511765,84.7580597176511,74.86670915760622,86.8782254980702,91.1594734214541,85.6457725692159,77.39456804647108,89.54472392532318,84.28513850766846,88.02785174014743,86.28274008791838,90.04679690330053,78.3691871620185,78.81053801893123,90.9415667767356,88.88413827660217,78.78405105317341,83.40592162818925,81.62086927116906,83.25881569681728,84.06739231744973,86.4383048383211,86.03995839763469,80.4986739011274,91.74181847903088,79.32056993254264,81.69601352720386,89.41236573430803,90.81665172658394,80.94161395920618,81.5163326731397,82.59432476896409,78.20692090527709,90.54981483684384,74.82176722714422,80.29293032196537,90.88042055495237,79.56551129451678,80.87277179519413,84.00131085804173,90.28088678961961,78.63497549678216,81.89099057367612,79.73127066255972,85.21131933357553
Episode feedback,0.8,0.19839679338837996,0.1102204407713222,0.11864406757317501,0.06181818159338843,0.08058608029089348,0.04508196702835259,0.12162162079985392,0.04697986545651097,0.06390977419582791,0.06882591065252668,0.06451612861602497,0.044354838530827265,0.026845637403720556,0.029761904673327663,0.0539419084898676,0.023166023076579063,0.0064516128616024975,0.0379746833039577,0.026086956446124764,0.02127659559378301,0.007009345778015547,0.00401606424089934,0.006711409350930139,0.006493506451340867,0.01910828013306828,0.006756756711102995,0.006535947669699688,0.00694444442033179,0.009433962241901033,0.0,0.006249999960937501,0.012295081916823434,0.005420054185853512,0.0,0.003984063729147156,0.004081632636401499,0.0,0.0,0.005405405390796202,0.0029325513110482365,0.0,0.0,0.0028653295046838696,0.0,0.0,0.0,0.0,0.0,0.0,0.002941176461937716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,76.56722974777222,141.40097451210022,178.59353184700012,195.52205276489258,213.4892179965973,228.5413990020752,238.97907972335815,248.2617506980896,264.4727704524994,279.85587906837463,289.73480701446533,304.1710395812988,313.0005564689636,331.8251006603241,346.6272933483124,361.16463232040405,370.12012457847595,379.82258772850037,399.29288363456726,407.9014596939087,430.9455142021179,444.58969473838806,453.27565908432007,462.10533332824707,471.4435381889343,480.06115460395813,488.91103053092957,504.8249840736389,527.7507598400116,541.4884436130524,550.7127029895782,564.1324350833893,584.032014131546,593.3706922531128,607.0687072277069,620.7832782268524,634.065664768219,643.1280977725983,662.8108620643616,681.1243951320648,689.8055293560028,698.9562287330627,718.2318630218506,732.6602900028229,748.8711123466492,763.4803087711334,777.3539838790894,792.1181252002716,807.5893335342407,826.2997543811798,834.8882830142975,854.3176679611206,872.9795970916748,883.3964953422546,893.442262172699,908.5711040496826,926.6233651638031,941.3045525550842,959.702358007431,968.9792819023132,991.6419594287872,1009.8337934017181,1018.511385679245,1037.6151041984558,1056.2109360694885,1069.7886288166046,1078.7247767448425,1096.8281743526459,1112.7858593463898,1132.2444837093353,1147.0587573051453
total minutes,0.0,1.2761204957962036,2.356682908535004,2.9765588641166687,3.258700879414876,3.5581536332766217,3.809023316701253,3.9829846620559692,4.13769584496816,4.407879507541656,4.664264651139577,4.828913450241089,5.069517326354981,5.2166759411493935,5.530418344338735,5.7771215558052065,6.019410538673401,6.168668742974599,6.330376462141673,6.654881393909454,6.798357661565145,7.182425236701965,7.409828245639801,7.554594318072001,7.701755555470784,7.857392303148905,8.001019243399302,8.148517175515492,8.413749734560648,8.795845997333526,9.024807393550873,9.178545049826305,9.402207251389822,9.733866902192434,9.88951153755188,10.11781178712845,10.346387970447541,10.567761079470317,10.718801629543304,11.046847701072693,11.35207325220108,11.496758822600047,11.649270478884379,11.970531050364176,12.21100483338038,12.481185205777486,12.724671812852224,12.955899731318157,13.20196875333786,13.45982222557068,13.771662573019663,13.914804716904959,14.23862779935201,14.549659951527913,14.72327492237091,14.890704369544983,15.142851734161377,15.443722752730052,15.688409209251404,15.995039300123851,16.149654698371886,16.527365990479787,16.83056322336197,16.97518976132075,17.293585069974263,17.603515601158144,17.829810480276745,17.97874627908071,18.2804695725441,18.546430989106497,18.870741395155587,19.117645955085756
cummulative feedback,0.0,198.0,308.0,371.0,388.0,410.0,421.0,439.0,446.0,463.0,480.0,490.0,501.0,505.0,515.0,528.0,534.0,535.0,541.0,550.0,553.0,556.0,557.0,558.0,559.0,562.0,563.0,564.0,566.0,570.0,570.0,571.0,574.0,576.0,576.0,577.0,578.0,578.0,578.0,580.0,581.0,581.0,581.0,582.0,582.0,582.0,582.0,582.0,582.0,582.0,583.0,583.0,583.0,583.0,583.0,583.0,583.0,583.0,583.0,583.0,583.0,583.0,583.0,583.0,583.0,583.0,583.0,583.0,583.0,583.0,583.0,583.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,531.0,275.0,273.0,244.0,148.0,149.0,266.0,247.0,155.0,248.0,149.0,336.0,241.0,259.0,155.0,158.0,345.0,141.0,428.0,249.0,149.0,154.0,157.0,148.0,153.0,288.0,424.0,244.0,160.0,244.0,369.0,160.0,251.0,245.0,236.0,156.0,370.0,341.0,150.0,162.0,349.0,263.0,303.0,269.0,254.0,272.0,285.0,340.0,146.0,365.0,351.0,164.0,150.0,279.0,338.0,268.0,341.0,161.0,423.0,340.0,150.0,358.0,347.0,249.0,155.0,336.0,287.0,355.0,268.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
