,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
Accumulated time steps,0.0,1000.0,1332.0,1757.0,2030.0,2200.0,2377.0,2783.0,3040.0,3180.0,3434.0,3595.0,3749.0,3896.0,4180.0,4422.0,4834.0,5154.0,5510.0,5668.0,5932.0,6280.0,6606.0,6848.0,7168.0,7439.0,7771.0,8243.0,8505.0,8781.0,9167.0,9491.0,9815.0,9967.0,10109.0,10355.0,10802.0,10952.0,11281.0,11443.0,11593.0,11925.0,12190.0,12514.0,12775.0,13093.0,13420.0,13658.0,14068.0,14243.0,14546.0,14824.0,15212.0,15453.0,15715.0,16003.0,16180.0,16525.0,16698.0,16849.0,16995.0,17406.0,17621.0,17772.0,18019.0,18290.0,18537.0,18704.0,19210.0,19460.0,19705.0,19857.0
Episode reward,0.0,-31.088619519439558,82.77196018587208,74.15563937786942,82.25883872513555,88.29116950490268,92.67026811693603,70.13056391604965,85.49882504152713,91.81525042592126,84.96964579854118,91.60227043377584,91.277074990118,91.86170084644804,89.58947844191309,82.85321545948,74.20873403281104,79.48784931686598,81.95567520364739,92.85732647194678,85.06743634531374,86.70971149646314,77.7248718993973,90.37312012483426,78.40266845318494,82.26498345663408,79.04135825070821,77.29490853375809,85.74976394917203,87.35397422074658,89.3927972267512,80.63148001248754,80.88878143014328,93.99964578865048,91.43518491129608,84.00896113273734,88.7747634991548,92.32883837686632,77.49217357973683,93.087295044398,90.11726040128387,74.47477014582094,89.29861278857335,77.32230354370279,84.74211861149098,79.5408614866655,90.33280932067466,85.12045272211836,72.40534072959618,91.37274009534899,83.74504694960414,85.38611812071764,80.81548942060618,84.28223565133091,81.82520233571702,87.15752184864897,91.74456880114695,76.40868869520028,90.94476793436256,91.52710526355843,90.5955219153026,73.14440726335714,90.25599170740072,92.40345358945375,86.27858219730655,84.38884319099957,86.40319834059834,91.29312070789037,79.98839816950684,83.77814540109199,82.91309239946094,92.01594954265522
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,42.290183305740356,57.25375533103943,76.12069177627563,88.6388213634491,96.80178141593933,105.23195743560791,123.2590217590332,135.11178708076477,141.9888470172882,153.70023202896118,161.47117114067078,168.94067859649658,176.11958026885986,188.98900747299194,204.7304229736328,223.11174893379211,237.58178305625916,253.53058314323425,261.2017228603363,273.30699396133423,288.9014210700989,303.57974195480347,314.73082637786865,328.7533142566681,341.2110834121704,356.11764121055603,376.8942391872406,388.9264392852783,401.46360421180725,418.698322057724,433.30756402015686,447.9709060192108,455.39674520492554,462.37174558639526,473.70011615753174,493.5262336730957,500.82779026031494,515.6915471553802,523.5163488388062,530.8382501602173,545.775593996048,557.9467525482178,572.5963563919067,584.5122728347778,598.970782995224,613.7295823097229,624.6827533245087,642.9704577922821,651.3570415973663,665.0775895118713,677.7209973335266,695.0476100444794,706.1704838275909,718.1931087970734,731.2997596263885,739.7760994434357,755.2839753627777,763.5698058605194,770.9431133270264,778.099707365036,796.3365836143494,806.3533387184143,813.7060098648071,825.0686111450195,837.4495251178741,852.4951009750366,860.6933088302612,882.7423896789551,894.2270534038544,905.5428440570831,912.9227430820465
total minutes,0.0,0.704836388429006,0.9542292555173238,1.2686781962712605,1.4773136893908183,1.6133630235989889,1.7538659572601318,2.05431702931722,2.251863118012746,2.36648078362147,2.5616705338160197,2.691186185677846,2.8156779766082765,2.935326337814331,3.1498167912165322,3.4121737162272137,3.7185291488965353,3.959696384270986,4.225509719053904,4.353362047672272,4.555116566022237,4.815023684501648,5.0596623659133915,5.245513772964477,5.479221904277802,5.686851390202841,5.935294020175934,6.281570653120677,6.482107321421306,6.691060070196787,6.978305367628733,7.221792733669281,7.466181766986847,7.589945753415425,7.706195759773254,7.895001935958862,8.225437227884928,8.347129837671917,8.594859119256338,8.725272480646769,8.847304169336955,9.096259899934132,9.299112542470295,9.54327260653178,9.741871213912964,9.982846383253733,10.228826371828715,10.411379222075144,10.716174296538036,10.855950693289438,11.084626491864523,11.295349955558777,11.584126834074656,11.769508063793182,11.969885146617889,12.188329327106477,12.329601657390594,12.588066256046295,12.726163431008656,12.849051888783773,12.968328456083933,13.27227639357249,13.439222311973571,13.561766831080119,13.751143519083659,13.957492085297902,14.208251682917277,14.344888480504354,14.712373161315918,14.903784223397572,15.092380734284719,15.215379051367442
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,331.0,424.0,272.0,169.0,176.0,405.0,256.0,139.0,253.0,160.0,153.0,146.0,283.0,241.0,411.0,319.0,355.0,157.0,263.0,347.0,325.0,241.0,319.0,270.0,331.0,471.0,261.0,275.0,385.0,323.0,323.0,151.0,141.0,245.0,446.0,149.0,328.0,161.0,149.0,331.0,264.0,323.0,260.0,317.0,326.0,237.0,409.0,174.0,302.0,277.0,387.0,240.0,261.0,287.0,176.0,344.0,172.0,150.0,145.0,410.0,214.0,150.0,246.0,270.0,246.0,166.0,505.0,249.0,244.0,151.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
