,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
Accumulated time steps,0.0,360.0,686.0,868.0,1029.0,1304.0,1473.0,1621.0,1866.0,2059.0,2400.0,2643.0,3074.0,3328.0,3572.0,3815.0,3977.0,4142.0,4280.0,4524.0,4678.0,4834.0,5110.0,5271.0,5540.0,5690.0,5959.0,6106.0,6366.0,6704.0,6852.0,7021.0,7195.0,7472.0,7626.0,7866.0,8038.0,8189.0,8479.0,8761.0,9002.0,9282.0,9667.0,9821.0,10243.0,10491.0,10737.0,10900.0,11063.0,11396.0,11554.0,11730.0,12018.0,12299.0,12450.0,12617.0,12895.0,13054.0,13229.0,13392.0,13663.0,13825.0,14084.0,14248.0,14529.0,14712.0,14890.0,15162.0,15498.0,15652.0,15807.0,15977.0,16128.0,16474.0,16624.0,16872.0,17132.0,17313.0,17557.0,17746.0,18032.0,18211.0,18380.0,18532.0,18681.0,18837.0,18990.0,19155.0,19490.0,19644.0
Episode reward,0.0,85.27773916104324,82.58155530956742,91.34150196203652,88.84816010450575,87.01966309384932,92.40997647613347,92.14437266687504,85.34704024672146,92.51255071224365,77.8391207713997,85.42363429232432,84.55817050540541,83.67245788637908,83.93926145575138,84.86313110262901,90.78014572665545,90.05738678581083,91.74025490551172,86.19243140632844,91.8414711048525,91.4371111735689,85.68178542337712,91.81038257528822,82.56577408345002,91.5771967729457,82.98383554066591,90.7716649173177,87.76888992693577,78.64104227609414,90.97041235900136,89.73809151761995,88.76488731386729,81.67154871494913,91.16495929338788,82.29124686677496,89.23072108500138,90.85666786826303,85.60689518817563,86.48578527129028,84.68185698936576,84.35209273738992,81.9585580344305,89.95695458084866,68.30588123909536,82.77808466023917,85.74681716508876,91.58912323704459,91.18814191517644,78.48887203179694,90.6600028753303,91.37473333234477,86.83042190131083,87.02675159866078,90.89942945374625,91.27744752465836,87.5274208072602,89.58731322135603,90.79811232398124,91.06646254716483,85.40064315853652,91.41576430328627,85.70166006397042,91.03193255954095,84.99141792880214,91.0922062205226,90.52655173336764,80.19124391319126,76.28118273413577,91.34681686530152,90.71292671990427,91.48724036619149,90.26889168178562,75.54221052599208,90.62398286468239,83.57884696494872,85.97734770064376,88.5456638294931,83.13173147505606,91.13992956654991,84.65467387060653,89.2762895307209,92.10939114692091,88.71610608752704,90.77866815264456,91.71453287724881,89.87263313029139,91.47113659849103,76.8396573166552,89.61795432051383
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,15.331178903579712,29.894257068634033,38.40871000289917,46.55769419670105,59.27324867248535,67.5007016658783,74.8095006942749,86.17690515518188,95.44083905220032,110.91824316978455,122.44841122627258,142.02980184555054,153.94348311424255,165.3060052394867,176.71264052391052,184.65001010894775,192.71643495559692,199.6292724609375,210.8969326019287,218.4693706035614,226.09407830238342,238.94800543785095,246.64605832099915,258.90468668937683,266.27995014190674,278.4544599056244,285.56344532966614,297.4542467594147,312.7728183269501,320.0718207359314,328.2608404159546,336.2897148132324,348.9514157772064,356.6056025028229,367.99244117736816,376.4257733821869,383.83327198028564,397.3547410964966,410.5198063850403,421.7743716239929,434.5047519207001,451.7545464038849,459.16804218292236,477.9608223438263,489.44840955734253,501.2932014465332,509.35306763648987,517.2549154758453,532.5168266296387,540.4090003967285,549.0896744728088,562.2568998336792,575.2327132225037,582.7994110584259,591.1769077777863,604.2067074775696,612.3140597343445,620.813401222229,628.8054919242859,641.1604468822479,648.7596628665924,660.6714220046997,668.5692336559296,681.3017883300781,689.8278634548187,698.4992649555206,710.9552037715912,726.3619594573975,733.9060230255127,741.5468924045563,749.8586518764496,757.308899641037,772.8945670127869,780.303218126297,791.822594165802,803.9814078807831,812.7308309078217,824.006189584732,832.9294240474701,846.1052203178406,854.7883667945862,862.9177103042603,870.360258102417,877.6160664558411,885.1650595664978,892.5154628753662,900.5130059719086,915.8247570991516,923.5015769004822
total minutes,0.0,0.2555196483929952,0.49823761781056725,0.6401451667149861,0.7759615699450175,0.9878874778747558,1.1250116944313049,1.2468250115712485,1.4362817525863647,1.5906806508700053,1.8486373861630758,2.0408068537712096,2.367163364092509,2.565724718570709,2.755100087324778,2.9452106753985086,3.0775001684824628,3.211940582593282,3.327154541015625,3.5149488766988117,3.641156176726023,3.768234638373057,3.982466757297516,4.110767638683319,4.315078111489614,4.437999169031779,4.6409076650937395,4.759390755494436,4.957570779323578,5.2128803054491675,5.334530345598856,5.471014006932577,5.60482858022054,5.815856929620107,5.943426708380382,6.133207352956136,6.273762889703115,6.397221199671427,6.622579018274943,6.841996773084005,7.029572860399882,7.241745865345001,7.529242440064748,7.652800703048706,7.966013705730438,8.157473492622376,8.354886690775553,8.489217793941497,8.620915257930756,8.875280443827311,9.00681667327881,9.151494574546813,9.37094833056132,9.587211887041727,9.713323517640431,9.852948462963104,10.070111791292826,10.20523432890574,10.346890020370484,10.480091532071432,10.686007448037465,10.81266104777654,11.011190366744994,11.14282056093216,11.355029805501301,11.497131057580312,11.641654415925343,11.849253396193186,12.106032657623292,12.231767050425212,12.359114873409272,12.497644197940826,12.621814994017283,12.881576116879781,13.005053635438284,13.1970432360967,13.399690131346384,13.545513848463694,13.733436493078868,13.882157067457834,14.10175367196401,14.24647277990977,14.381961838404338,14.50600430170695,14.626934440930684,14.752750992774963,14.875257714589436,15.00855009953181,15.263745951652528,15.391692948341369
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,358.0,325.0,181.0,160.0,274.0,168.0,147.0,244.0,192.0,340.0,242.0,430.0,253.0,243.0,242.0,161.0,164.0,137.0,243.0,153.0,155.0,275.0,160.0,268.0,149.0,268.0,146.0,259.0,337.0,147.0,168.0,173.0,276.0,153.0,239.0,171.0,150.0,289.0,281.0,240.0,279.0,384.0,153.0,421.0,247.0,245.0,162.0,162.0,332.0,157.0,175.0,287.0,280.0,150.0,166.0,277.0,158.0,174.0,162.0,270.0,161.0,258.0,163.0,280.0,182.0,177.0,271.0,335.0,153.0,154.0,169.0,150.0,345.0,149.0,247.0,259.0,180.0,243.0,188.0,285.0,178.0,168.0,151.0,148.0,155.0,152.0,164.0,334.0,153.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
