,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
Accumulated time steps,0.0,271.0,430.0,702.0,1087.0,1356.0,1511.0,2102.0,2359.0,2509.0,2766.0,2922.0,3361.0,3516.0,3674.0,3825.0,4087.0,4352.0,4620.0,4776.0,5047.0,5306.0,5469.0,5743.0,5897.0,6055.0,6203.0,6367.0,6518.0,6766.0,7168.0,7324.0,7476.0,7636.0,7791.0,7942.0,8099.0,8355.0,8508.0,8657.0,8916.0,9069.0,9231.0,9391.0,9542.0,9706.0,9858.0,10011.0,10261.0,10412.0,10566.0,10720.0,10973.0,11137.0,11393.0,11543.0,11695.0,11955.0,12117.0,12758.0,13033.0,13195.0,13348.0,13507.0,13661.0,13815.0,14064.0,14327.0,14521.0,14786.0,15153.0,15317.0,15578.0,15743.0,15897.0,16058.0,16223.0,16376.0,16531.0,16795.0,16950.0,17218.0,17487.0,17739.0,17900.0,18167.0,18326.0,18589.0,18743.0,19024.0,19182.0,19516.0,19785.0
Episode reward,0.0,86.06503337355845,90.39547976875721,84.82509054833397,77.77619991861869,85.922616549749,91.45288163476981,65.10204395205372,85.27169033643716,91.69626707383513,85.74199462183864,91.24866581163639,76.23620819877436,90.9939434077133,91.27066108579416,91.68546364936383,85.65517252865727,86.16016420313287,83.01417399758589,91.09888408436629,84.71360728162485,85.03331435183935,89.69482174131964,83.23198824730278,90.88338088322071,90.78848957742395,91.18175106344677,90.78413175859468,90.80453895935823,85.20576883908275,73.25496702478195,89.9241256849204,90.95239899817342,89.52986359656677,90.63344511779944,90.73831019098124,90.37774205789495,84.72079888170958,90.71095038875936,90.76722874102853,83.1405866799734,90.20262459756181,90.33691796374492,90.24712240357385,90.81313115807407,90.61070084127539,90.34324871429392,90.57738189965136,84.73484305602611,90.7400647382743,89.47552514582834,90.35553757425254,84.71214395451052,89.91590122342112,85.40351545548116,90.80181755166278,91.09537806354977,84.10416352860628,89.93025277197079,58.476970740125125,85.80072617788592,89.19104071966848,90.37193377247493,89.50211079898348,90.6016617001493,89.65868411976,84.53061469156671,83.26698172392435,87.68724105288868,82.64379167449808,77.21756657481359,88.89687033139793,82.6840356973164,89.0709933864089,90.44399073140437,89.61517168216476,89.71639403331211,90.38624786596003,90.64623619873711,83.09078272188154,91.10275071329238,86.18487548267392,82.40505280487332,83.97492061560153,90.53268223384462,83.48145815449068,90.6346926771505,82.92496327759467,90.42683846412737,83.56358912721318,90.45002744891084,77.10250863180838,85.03032829819553
Episode feedback,0.8,0.2825278799906027,0.19620253040378147,0.2619926189594368,0.15624999959309896,0.18656716348295835,0.14285714192949908,0.11016949133869577,0.09765624961853027,0.09395973091302194,0.06640624974060058,0.10967741864724247,0.08675799066950231,0.0779220774160904,0.04458598697715932,0.04666666635555556,0.04597701131809574,0.041666666508838386,0.03370786504229264,0.05161290289281998,0.04444444427983539,0.04263565874947419,0.006172839468068892,0.021978021897516402,0.026143790678798753,0.02547770684409104,0.00680272104215836,0.018404907862546577,0.013333333244444445,0.008097165959120786,0.004987531159632092,0.0,0.006622516512433666,0.006289308136545232,0.012987012902681734,0.013333333244444445,0.0,0.0,0.006578947325138505,0.006756756711102995,0.0038759689772249264,0.006578947325138505,0.0,0.006289308136545232,0.0,0.0,0.0,0.0,0.0,0.0066666666222222224,0.0,0.0,0.0,0.006134969287515526,0.0,0.0,0.0,0.0,0.006211180085644845,0.0015624999975585939,0.0,0.006211180085644845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006097560938429507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,20.206692695617676,32.56346774101257,54.966251850128174,81.50600624084473,101.30761408805847,112.3159248828888,149.22703003883362,165.47080612182617,175.23558735847473,190.68763947486877,200.9018862247467,227.55478954315186,237.20425868034363,246.81937313079834,256.03760504722595,271.0570185184479,286.1947455406189,301.3643662929535,310.67317295074463,326.1063675880432,340.914662361145,350.0967905521393,365.3144187927246,374.2825713157654,383.6292998790741,391.94194746017456,401.3512396812439,410.0798828601837,423.9138779640198,444.97159218788147,453.6531925201416,462.53372049331665,471.85011100769043,480.81678891181946,489.4400010108948,498.1984598636627,511.8923075199127,520.5305235385895,529.041791677475,543.0612375736237,551.6953122615814,560.8139991760254,569.8847637176514,578.4490978717804,587.528687953949,595.9672513008118,604.6480026245117,618.1749064922333,626.7502007484436,635.3672912120819,643.8959228992462,657.4603040218353,666.6348278522491,680.4616930484772,689.0379190444946,697.6852025985718,711.6385087966919,720.9155097007751,754.0540578365326,768.7270746231079,777.8543035984039,786.6593651771545,795.8597311973572,804.6293716430664,813.3930599689484,826.9632158279419,840.8595287799835,851.6575393676758,865.9735722541809,885.2940630912781,894.3890886306763,908.3619089126587,917.6807308197021,926.2232005596161,935.2242088317871,944.5464022159576,953.2017629146576,961.8263869285583,975.7460238933563,984.3887996673584,998.6634368896484,1012.8861179351807,1026.3591849803925,1035.378289937973,1049.5973944664001,1058.394366979599,1072.3742771148682,1080.9976077079773,1096.0188281536102,1104.8810436725616,1122.7930228710175,1137.2521278858185
total minutes,0.0,0.3367782115936279,0.5427244623502095,0.9161041975021362,1.358433437347412,1.6884602348009745,1.87193208138148,2.4871171673138934,2.7578467686971027,2.9205931226412454,3.1781273245811463,3.348364770412445,3.7925798257191974,3.9534043113390607,4.113656218846639,4.267293417453766,4.517616975307464,4.769912425676981,5.022739438215892,5.177886215845744,5.435106126467387,5.681911039352417,5.834946509202322,6.08857364654541,6.238042855262757,6.393821664651235,6.532365791002909,6.689187328020732,6.834664714336395,7.065231299400329,7.416193203131358,7.56088654200236,7.7088953415552774,7.86416851679484,8.013613148530323,8.15733335018158,8.303307664394378,8.531538458665212,8.675508725643159,8.817363194624583,9.05102062622706,9.194921871026358,9.34689998626709,9.498079395294189,9.640818297863007,9.792144799232483,9.932787521680195,10.077466710408528,10.302915108203887,10.445836679140728,10.589454853534699,10.731598714987436,10.957671733697255,11.110580464204153,11.34102821747462,11.483965317408243,11.628086709976197,11.860641813278198,12.015258495012919,12.567567630608876,12.812117910385131,12.964238393306733,13.110989419619242,13.264328853289287,13.41048952738444,13.556550999482473,13.782720263799032,14.014325479666391,14.194292322794597,14.432892870903014,14.754901051521301,14.906484810511271,15.13936514854431,15.294678846995035,15.437053342660269,15.587070147196451,15.742440036932628,15.886696048577626,16.03043978214264,16.262433731555937,16.406479994455974,16.644390614827476,16.881435298919676,17.105986416339874,17.256304832299552,17.493289907773335,17.63990611632665,17.872904618581135,18.016626795132954,18.266980469226837,18.41468406120936,18.71321704785029,18.954202131430307
cummulative feedback,0.0,76.0,107.0,178.0,238.0,288.0,310.0,375.0,400.0,414.0,431.0,448.0,486.0,498.0,505.0,512.0,524.0,535.0,544.0,552.0,564.0,575.0,576.0,582.0,586.0,590.0,591.0,594.0,596.0,598.0,600.0,600.0,601.0,602.0,604.0,606.0,606.0,606.0,607.0,608.0,609.0,610.0,610.0,611.0,611.0,611.0,611.0,611.0,611.0,612.0,612.0,612.0,612.0,613.0,613.0,613.0,613.0,613.0,614.0,615.0,615.0,616.0,616.0,616.0,616.0,616.0,616.0,616.0,616.0,616.0,616.0,616.0,616.0,617.0,617.0,617.0,617.0,617.0,617.0,617.0,617.0,617.0,617.0,617.0,617.0,617.0,617.0,617.0,617.0,617.0,617.0,617.0,617.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,269.0,158.0,271.0,384.0,268.0,154.0,590.0,256.0,149.0,256.0,155.0,438.0,154.0,157.0,150.0,261.0,264.0,267.0,155.0,270.0,258.0,162.0,273.0,153.0,157.0,147.0,163.0,150.0,247.0,401.0,155.0,151.0,159.0,154.0,150.0,156.0,255.0,152.0,148.0,258.0,152.0,161.0,159.0,150.0,163.0,151.0,152.0,249.0,150.0,153.0,153.0,252.0,163.0,255.0,149.0,151.0,259.0,161.0,640.0,274.0,161.0,152.0,158.0,153.0,153.0,248.0,262.0,193.0,264.0,366.0,163.0,260.0,164.0,153.0,160.0,164.0,152.0,154.0,263.0,154.0,267.0,268.0,251.0,160.0,266.0,158.0,262.0,153.0,280.0,157.0,333.0,268.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
