,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
Accumulated time steps,0.0,1000.0,1999.0,2828.0,3827.0,4107.0,4453.0,4803.0,5332.0,5837.0,6263.0,6599.0,7028.0,7311.0,7628.0,8192.0,8461.0,8627.0,8874.0,9167.0,9335.0,9707.0,9959.0,10202.0,10361.0,10627.0,10795.0,11232.0,11587.0,11915.0,12167.0,12338.0,12588.0,12749.0,12928.0,13322.0,13776.0,14013.0,14319.0,14585.0,14909.0,15150.0,15427.0,15588.0,15922.0,16412.0,16585.0,17067.0,17229.0,17518.0,17793.0,18065.0,18237.0,18571.0,18841.0,19268.0,19507.0,19774.0,19949.0
Episode reward,0.0,-65.29746448269569,-71.78281398245791,53.42613961870155,-86.9604876200089,84.82320816719401,79.9693004455724,73.36889859017845,71.46065248335212,60.086273759454585,72.60920629327869,85.34933894032541,63.53968482159028,84.8278853642949,84.1984587180852,67.6996715017803,85.4031224702635,90.55688310205672,82.06305447470524,86.05783808270999,91.09507248690238,80.49979380194463,82.76222696463478,85.61119282471788,86.78692554233652,83.3986179623467,91.41399316472734,85.73080173797092,82.84131593037564,81.05361760532791,85.04487874030241,91.19088765698709,82.45046787772577,91.27317334296907,88.74126108573783,82.56073018506747,67.86818430717292,86.49842633256877,85.72775564409788,88.39351306530578,80.18795193266607,84.27079135013496,84.42340122813232,90.3468385702686,85.68496375738033,62.39656965480704,92.38810727528669,77.18851240557676,90.02831785011816,85.03887202625987,85.51504588035286,83.94686609976222,89.94176408916374,74.31761520776926,83.73211413029404,70.11682007317759,91.13088756301761,84.57663241584183,90.4135355085151
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,42.06807541847229,85.32077527046204,120.50590562820435,162.7504427433014,175.66239714622498,191.2154233455658,207.33750867843628,230.24544286727905,252.46445417404175,271.1813066005707,286.066011428833,305.1529278755188,317.8266267776489,331.9112160205841,356.7188858985901,369.12557196617126,377.116486787796,388.5709924697876,401.9042100906372,409.78838777542114,426.14975810050964,437.7082431316376,448.73362612724304,456.45919466018677,468.7581343650818,476.9404673576355,497.2166521549225,513.2363493442535,528.2493379116058,540.0855731964111,548.3697845935822,560.2485690116882,568.2275712490082,576.9810028076172,594.7304131984711,615.7095034122467,626.5543661117554,640.3863210678101,652.9049904346466,667.8337833881378,678.7728066444397,691.2472524642944,698.8397355079651,714.1018888950348,736.3561105728149,744.7669463157654,765.9049348831177,773.5724952220917,786.6640439033508,799.3900260925293,811.8820321559906,820.0614252090454,835.122086763382,847.4539060592651,866.460453748703,877.359293460846,889.8556463718414,899.1034250259399
total minutes,0.0,0.7011345903078715,1.4220129211743673,2.0084317604700725,2.7125073790550234,2.9277066191037497,3.1869237224260965,3.4556251446406048,3.837424047787984,4.207740902900696,4.519688443342845,4.767766857147217,5.085882131258646,5.297110446294149,5.5318536003430685,5.9453147649765015,6.152092866102854,6.2852747797966,6.476183207829793,6.6984035015106205,6.829806462923686,7.102495968341827,7.295137385527293,7.478893768787384,7.607653244336446,7.812635572751363,7.949007789293925,8.286944202582042,8.55393915573756,8.804155631860096,9.001426219940186,9.139496409893036,9.337476150194805,9.470459520816803,9.61635004679362,9.91217355330785,10.261825056870778,10.442572768529256,10.673105351130168,10.881749840577443,11.130563056468963,11.312880110740661,11.520787541071574,11.64732892513275,11.90169814825058,12.272601842880249,12.41278243859609,12.76508224805196,12.892874920368195,13.11106739838918,13.323167101542156,13.531367202599844,13.667690420150757,13.918701446056366,14.124231767654418,14.441007562478383,14.622654891014099,14.83092743953069,14.985057083765666
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,828.0,998.0,279.0,345.0,349.0,528.0,504.0,425.0,335.0,428.0,282.0,316.0,563.0,268.0,165.0,246.0,292.0,167.0,371.0,251.0,242.0,158.0,265.0,167.0,436.0,354.0,327.0,251.0,170.0,249.0,160.0,178.0,393.0,453.0,236.0,305.0,265.0,323.0,240.0,276.0,160.0,333.0,489.0,172.0,481.0,161.0,288.0,274.0,271.0,171.0,333.0,269.0,426.0,238.0,266.0,174.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
