,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3997.0,4996.0,5995.0,6994.0,7993.0,8992.0,9991.0,10990.0,11828.0,12084.0,12436.0,12620.0,12783.0,13212.0,13473.0,13810.0,14184.0,14348.0,14523.0,14672.0,14946.0,15105.0,15259.0,15494.0,15646.0,15902.0,16049.0,16210.0,16373.0,16664.0,16822.0,16967.0,17132.0,17292.0,17445.0,17615.0,17752.0,17904.0,18063.0,18199.0,18441.0,18584.0,18723.0,18967.0,19228.0,19388.0,19592.0,19755.0,19900.0
Episode reward,0.0,-46.12040720784214,-49.89275915979064,-66.9359695075913,-74.26325633844228,-51.07789659995393,-91.36020257310122,-41.923046074792424,-31.127294673220295,-3.2531557500856287,-13.854108280813202,-73.62546547324457,52.39380800527288,85.81668416929233,80.8128301403114,88.1550638479257,89.32227621514203,78.9248502493887,86.02816514374956,82.79278879026006,80.8241827023478,90.83236528546001,89.35070404253119,91.46333601056428,81.97329983241866,91.11044866961936,91.27463939224037,88.44320798116749,92.04143520977173,84.04280219842039,89.55419853729266,89.30026540683646,91.33832766729348,83.62642497286353,90.09024222292207,91.29106747128907,89.40742305823815,89.16382972673374,93.39381166448841,90.62369152415435,92.28131283017167,89.51676614220082,91.10993840178551,91.24680126229173,85.76278474195121,91.14705739714815,89.83807694853722,85.19567710693771,84.2587042960134,90.11139056601671,88.77482709432196,88.82770364129084,90.50575822443979
Episode feedback,0.8,0.36372745454536326,0.23647294565483673,0.0951903806661419,0.054108216378649085,0.07014028049084141,0.0400801602804808,0.04208416829450484,0.01603206411219232,0.012024048084144241,0.00801603205609616,0.0050100200350601,0.00358422938639877,0.00392156861207228,0.0,0.0,0.0,0.002336448592671849,0.0,0.0,0.0,0.0,0.0,0.0,0.0036630036495860674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,83.86961793899536,157.31600499153137,217.60721492767334,273.3635187149048,330.99268102645874,385.40593576431274,440.09235882759094,492.37615633010864,544.63618516922,596.911806344986,648.6126084327698,692.0696785449982,705.9974684715271,725.3047001361847,735.5259804725647,744.7917165756226,767.4477715492249,781.5822205543518,799.4363024234772,819.3645899295807,828.6686944961548,838.751790523529,847.2391262054443,862.006338596344,871.0842220783234,879.8926820755005,892.758207321167,901.3994054794312,915.3590593338013,923.5333585739136,932.8437032699585,942.0913639068604,957.6328272819519,966.7034029960632,975.0227382183075,984.7143726348877,993.9340720176697,1003.3113386631012,1013.1969273090363,1021.2375707626343,1030.1091651916504,1039.6687536239624,1047.6076352596283,1061.3299677371979,1069.7777333259583,1077.8648574352264,1091.26123046875,1105.7874901294708,1115.2650537490845,1127.1924421787262,1136.5435841083527,1144.9797871112823
total minutes,0.0,1.3978269656499227,2.621933416525523,3.6267869154612224,4.556058645248413,5.516544683774312,6.423432262738546,7.334872647126516,8.206269272168477,9.077269752820333,9.948530105749766,10.810210140546163,11.534494642416636,11.766624474525452,12.088411668936411,12.258766341209412,12.413195276260376,12.79079619248708,13.02637034257253,13.32393837372462,13.656076498826344,13.811144908269247,13.979196508725485,14.120652103424073,14.366772309939067,14.518070367972056,14.664878034591675,14.879303455352783,15.023323424657185,15.255984322230022,15.39222264289856,15.547395054499308,15.701522731781006,15.960547121365865,16.11172338326772,16.250378970305125,16.41190621058146,16.56556786696116,16.72185564438502,16.886615455150604,17.02062617937724,17.168486086527505,17.327812560399373,17.460127254327137,17.688832795619966,17.82962888876597,17.964414290587108,18.187687174479166,18.429791502157848,18.587750895818075,18.78654070297877,18.942393068472544,19.082996451854704
cummulative feedback,0.0,363.0,599.0,694.0,748.0,818.0,858.0,900.0,916.0,928.0,936.0,941.0,944.0,945.0,945.0,945.0,945.0,946.0,946.0,946.0,946.0,946.0,946.0,946.0,947.0,947.0,947.0,947.0,947.0,947.0,947.0,947.0,947.0,947.0,947.0,947.0,947.0,947.0,947.0,947.0,947.0,947.0,947.0,947.0,947.0,947.0,947.0,947.0,947.0,947.0,947.0,947.0,947.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,837.0,255.0,351.0,183.0,162.0,428.0,260.0,336.0,373.0,163.0,174.0,148.0,273.0,158.0,153.0,234.0,151.0,255.0,146.0,160.0,162.0,290.0,157.0,144.0,164.0,159.0,152.0,169.0,136.0,151.0,158.0,135.0,241.0,142.0,138.0,243.0,260.0,159.0,203.0,162.0,144.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
