,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
Accumulated time steps,0.0,393.0,1392.0,1864.0,2863.0,3862.0,4861.0,5860.0,6859.0,7858.0,8857.0,9856.0,10115.0,10661.0,11010.0,11350.0,11774.0,12033.0,12187.0,12469.0,12630.0,12793.0,13066.0,13229.0,13465.0,13630.0,13775.0,14001.0,14155.0,14315.0,14472.0,14623.0,14783.0,14933.0,15164.0,15387.0,15541.0,15694.0,15938.0,16084.0,16325.0,16486.0,16636.0,16802.0,16944.0,17092.0,17239.0,17556.0,17705.0,17836.0,18017.0,18178.0,18333.0
Episode reward,0.0,92.87606070497596,-0.22583434221695514,70.09602003678715,-73.58056821402043,-90.64789261351943,-99.3265525385374,-6.703397561244596,-0.30651954242573953,-0.8034326584041752,-82.97471417939907,-68.44588933819414,83.36664233815975,83.10261203651402,78.37648398526207,75.9183587644196,71.46507044939577,88.3858419919243,92.11936165199438,90.20571795792029,90.73363036130866,90.36353417323889,83.52755766093213,91.07120690418753,85.40461220053476,93.06945654225564,91.81100719371177,91.82290057997422,90.0139174122169,88.87955814779014,89.13075886409578,89.69616191548509,90.21727268769816,90.99513085067449,84.9332197902526,89.27246730001939,91.48054339749157,89.66269024439025,83.35211821904903,90.30926750100951,84.27946663572448,92.1690556298482,91.61480806547146,93.15428925271681,90.99121629104148,90.04111955301599,90.85613535416762,91.30657100187825,91.38069984725632,91.86196403517323,91.42133611535778,91.06055619732379,90.00783011348761
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,17.08567976951599,60.13744831085205,80.55409646034241,125.11429858207703,168.7697982788086,212.27014136314392,256.56959319114685,300.5955033302307,344.7631046772003,389.3754577636719,433.95899415016174,446.2616674900055,470.7410247325897,486.763432264328,502.5379500389099,521.9121539592743,534.0398514270782,541.5084612369537,554.4990739822388,562.1531910896301,570.1024224758148,582.6467897891998,590.647230386734,601.8508455753326,610.1104967594147,617.3491501808167,628.115962266922,635.6886396408081,643.5574479103088,651.289074420929,658.9174518585205,666.8154728412628,674.0994803905487,684.760514497757,695.5869669914246,702.940016746521,710.7004752159119,722.4322946071625,729.8688676357269,741.1311068534851,749.1109879016876,756.5368032455444,764.5897834300995,771.8709371089935,779.2242162227631,786.6785185337067,801.2814385890961,808.7378375530243,815.4659867286682,824.3368062973022,832.3272562026978,840.0823156833649
total minutes,0.0,0.28476132949193317,1.0022908051808674,1.3425682743390401,2.0852383097012837,2.8128299713134766,3.537835689385732,4.276159886519114,5.009925055503845,5.746051744620005,6.489590962727864,7.232649902502696,7.437694458166758,7.845683745543162,8.112723871072133,8.375632500648498,8.698535899321238,8.900664190451304,9.025141020615896,9.241651233037313,9.369219851493835,9.50170704126358,9.710779829819996,9.844120506445567,10.030847426255544,10.168508279323579,10.28915250301361,10.468599371115367,10.594810660680135,10.725957465171813,10.854817907015482,10.981957530975341,11.113591214021048,11.234991339842479,11.412675241629282,11.593116116523742,11.71566694577535,11.845007920265198,12.040538243452708,12.164481127262116,12.352185114224751,12.485183131694793,12.608946720759073,12.743163057168324,12.864515618483226,12.987070270379384,13.111308642228444,13.354690643151601,13.478963959217072,13.591099778811136,13.738946771621704,13.87212093671163,14.00137192805608
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,391.0,998.0,471.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,258.0,545.0,348.0,339.0,423.0,258.0,153.0,281.0,160.0,162.0,272.0,162.0,235.0,164.0,144.0,225.0,153.0,159.0,156.0,150.0,159.0,149.0,230.0,222.0,153.0,152.0,243.0,145.0,240.0,160.0,149.0,165.0,141.0,147.0,146.0,316.0,148.0,130.0,180.0,160.0,154.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
