,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3581.0,4204.0,4761.0,5058.0,5345.0,5642.0,6097.0,6505.0,6981.0,7528.0,7690.0,7970.0,8430.0,8791.0,9267.0,9548.0,9708.0,9956.0,10104.0,10254.0,10513.0,10848.0,11005.0,11150.0,11299.0,11562.0,11717.0,11875.0,12035.0,12291.0,12448.0,12601.0,12761.0,12925.0,13083.0,13238.0,13391.0,13741.0,14098.0,14264.0,14530.0,14800.0,15064.0,15218.0,15599.0,15755.0,15928.0,16074.0,16337.0,16601.0,16875.0,17029.0,17193.0,17445.0,17602.0,17777.0,18123.0,18292.0,18577.0,18731.0,18980.0,19179.0,19334.0,19588.0,19750.0,19924.0
Episode reward,0.0,-69.65537649000261,-70.43129237203118,-56.880236535327626,70.01086087609916,61.65837783861357,68.364442743697,84.8812515223438,84.14907350277014,82.96344793049775,76.84331702087424,76.96290004662086,74.3217706243945,70.28243430169013,90.41093944803393,83.55213547681149,73.5958839006858,80.89489520061584,71.61441452071693,85.27475120229036,90.49234208747825,85.43512430125602,91.49011896767395,91.28086995783914,84.22331211287384,79.78806180037094,90.35891247363594,90.98402643702047,90.57415853194426,83.53228259331334,90.16721660678188,89.00859770058261,89.31204857006922,82.20435779203328,90.18828655195904,88.9841539296118,90.06833735234781,89.56491425453103,89.80578186677104,90.87571056746536,89.64496229282348,75.51156638387508,78.56915601325971,90.95331451113627,83.07936208613071,83.82943764027438,83.65835140026343,90.67049351322677,77.72731744495147,90.65724459105853,89.88060998430842,89.44915093780531,82.77246536834701,85.98190808506408,84.81877429189795,91.78594691318347,91.27703730556897,86.15019546198131,89.51974630855952,88.71845325582674,77.05756926220707,91.25178224410799,83.00812887941524,91.11816196897252,86.24425115825683,88.728404819009,90.81243019231383,84.42618855138899,89.06642285376043,89.2251850561318
Episode feedback,0.8,0.01102204407713222,0.00400801602804808,0.16432865714997127,0.16151202721389687,0.08520900307844212,0.06474820132239532,0.037162162036614314,0.03846153832705756,0.037162162036614314,0.024229074836499834,0.02457002450965596,0.023157894688088643,0.012820512797032028,0.0,0.01075268813350291,0.008714596930905018,0.005555555540123457,0.0,0.0,0.0,0.004048582979560393,0.0,0.006711409350930139,0.0,0.0,0.0,0.0,0.0,0.007633587757123711,0.006493506451340867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006578947325138505,0.0,0.0,0.006060606023875115,0.0037735848914204344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,46.88173699378967,92.54534935951233,165.31027841567993,207.09072494506836,245.43684124946594,279.22094202041626,296.35133504867554,313.17770552635193,330.8821415901184,356.38685393333435,379.4045660495758,406.42553544044495,436.254376411438,446.25650215148926,464.73998379707336,493.0748279094696,512.8013398647308,538.8426566123962,553.9014446735382,562.865715265274,576.7455904483795,585.2370481491089,593.8058750629425,607.7652971744537,626.0052990913391,635.1086542606354,643.4056925773621,651.9048736095428,666.4190630912781,675.2640681266785,684.1883413791656,693.2915208339691,707.4293766021729,716.1272578239441,724.8862068653107,733.8406496047974,742.9709005355835,751.891295671463,764.851954460144,773.6351189613342,792.1906864643097,811.1716778278351,820.535891532898,834.9482827186584,849.534027338028,863.9151222705841,872.7070519924164,892.6722242832184,901.5870411396027,911.3107249736786,920.310537815094,934.6669321060181,948.7834815979004,963.5503513813019,972.3212811946869,981.7059140205383,995.846485376358,1004.7798328399658,1014.3508706092834,1032.782454252243,1042.6347723007202,1058.2759647369385,1067.1712892055511,1080.9934031963348,1092.212986946106,1101.2747719287872,1115.2205429077148,1124.4765982627869,1134.5213451385498
total minutes,0.0,0.7813622832298279,1.5424224893252054,2.755171306927999,3.451512082417806,4.090614020824432,4.653682367006938,4.939188917477925,5.219628425439199,5.514702359835307,5.939780898888906,6.323409434159597,6.773758924007415,7.270906273523966,7.437608369191488,7.74566639661789,8.21791379849116,8.546688997745514,8.980710943539938,9.23169074455897,9.381095254421234,9.612426507472993,9.753950802485148,9.896764584382375,10.129421619574229,10.433421651522318,10.585144237677257,10.723428209622702,10.865081226825714,11.106984384854634,11.254401135444642,11.403139022986094,11.554858680566152,11.790489610036214,11.935454297065736,12.081436781088511,12.230677493413289,12.382848342259726,12.531521594524383,12.747532574335734,12.893918649355571,13.203178107738495,13.519527963797252,13.675598192214967,13.915804711977641,14.1589004556338,14.398585371176402,14.54511753320694,14.877870404720307,15.026450685660045,15.188512082894643,15.3385089635849,15.577782201766968,15.813058026631673,16.059172523021697,16.205354686578115,16.361765233675637,16.5974414229393,16.746330547332764,16.905847843488058,17.21304090420405,17.377246205012003,17.63793274561564,17.78618815342585,18.016556719938915,18.2035497824351,18.354579532146452,18.587009048461915,18.741276637713113,18.908689085642497
cummulative feedback,0.0,11.0,15.0,179.0,273.0,326.0,362.0,373.0,384.0,395.0,406.0,416.0,427.0,434.0,434.0,437.0,441.0,443.0,443.0,443.0,443.0,444.0,444.0,445.0,445.0,445.0,445.0,445.0,445.0,447.0,448.0,448.0,448.0,448.0,448.0,448.0,448.0,448.0,448.0,448.0,449.0,449.0,449.0,450.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,582.0,622.0,556.0,296.0,286.0,296.0,454.0,407.0,475.0,546.0,161.0,279.0,459.0,360.0,475.0,280.0,159.0,247.0,147.0,149.0,258.0,334.0,156.0,144.0,148.0,262.0,154.0,157.0,159.0,255.0,156.0,152.0,159.0,163.0,157.0,154.0,152.0,349.0,356.0,165.0,265.0,269.0,263.0,153.0,380.0,155.0,172.0,145.0,262.0,263.0,273.0,153.0,163.0,251.0,156.0,174.0,345.0,168.0,284.0,153.0,248.0,198.0,154.0,253.0,161.0,173.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
