,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
Accumulated time steps,0.0,721.0,989.0,1409.0,1860.0,2037.0,2219.0,2423.0,2683.0,2877.0,3035.0,3275.0,3629.0,3894.0,4179.0,4447.0,4608.0,4895.0,5581.0,5731.0,6092.0,6431.0,6597.0,6767.0,7220.0,7370.0,7708.0,7947.0,8189.0,8343.0,8701.0,8855.0,9001.0,9244.0,9510.0,9684.0,9837.0,10353.0,10614.0,10794.0,11040.0,11367.0,11512.0,11672.0,12002.0,12269.0,12415.0,12568.0,12722.0,12869.0,13109.0,13265.0,13683.0,13843.0,14141.0,14303.0,14456.0,14700.0,14964.0,15398.0,15552.0,15713.0,15858.0,16025.0,16287.0,16436.0,16794.0,16947.0,17094.0,17393.0,17563.0,17717.0,17862.0,18016.0,18344.0,18491.0,18653.0,18805.0,19133.0,19378.0,19550.0,19713.0
Episode reward,0.0,74.86769924027939,85.67574474269267,69.31872922864035,78.68755154813358,90.59387400915183,91.71134704618666,90.64629049548121,84.33247945833513,91.85395868109418,91.12552976645728,87.40807916875684,78.84574215074605,83.1422321862775,88.16545656417003,85.11260862411696,90.50751285025082,87.26278128292238,72.73700904696311,90.99288029111563,83.16863423678608,78.99988420321765,91.44704023791812,90.24808184121837,69.33498886896608,90.17438709273334,79.25867429302463,84.85680055657238,83.39894342294562,91.01009017560922,75.26052828700743,91.59489522701685,90.16047181135167,85.81344507715808,78.02330422942606,87.62099200055646,91.05485598670188,63.52931725856744,86.43717500886483,91.47777031958861,87.83790137040077,79.53958970113058,91.2550308228094,91.95769858065947,76.59807897009142,84.37351554064587,90.26997581099735,91.13599257165016,91.40258422059793,90.28498930725073,83.41013918362744,90.94510327127311,69.86588575566864,88.34160851959369,85.19160916591494,90.74155154466173,90.64668589414528,84.11992502244547,85.41851314029853,66.29596370711671,90.99129550596402,92.87958530317259,90.89597535564279,91.5754486163573,85.60826510722,91.99364123783869,83.8358184549541,91.62168297506697,89.72331818936581,80.88637127324756,86.22409757264748,91.17903542378268,91.19776789574394,89.78644428300346,78.07735932004991,89.68646557094974,90.24672603396223,89.45709159471829,78.0171500690004,84.96990815272146,91.41153566808674,91.06008901852499
Episode feedback,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,29.691457509994507,41.911861419677734,60.12356734275818,79.76985883712769,88.02266049385071,96.4417667388916,105.78388833999634,117.58582854270935,126.50235295295715,133.8123641014099,144.96799039840698,160.60273599624634,172.87504363059998,185.623943567276,197.68976378440857,205.4824845790863,218.37677812576294,252.13496947288513,259.51847791671753,275.3526291847229,290.71416115760803,298.5891020298004,306.7033631801605,326.5235347747803,333.67910170555115,348.7866635322571,359.8784062862396,370.81366062164307,378.18146085739136,394.3512191772461,401.6318759918213,408.6014242172241,419.8796007633209,431.99295353889465,440.1810176372528,447.7701458930969,469.757728099823,481.68089389801025,490.0978181362152,501.1959261894226,515.797511100769,522.8213663101196,530.6680421829224,546.0294542312622,558.1739571094513,565.0985624790192,572.3965094089508,580.0068833827972,587.1207046508789,598.035947561264,605.4009544849396,623.7777216434479,631.7038962841034,645.062091588974,652.726286649704,660.2687470912933,671.5583779811859,683.6557264328003,703.2058818340302,710.7034630775452,718.4698402881622,725.3850903511047,733.433943271637,745.2474231719971,752.6687250137329,768.7579674720764,776.1023106575012,783.1085834503174,796.4481344223022,804.296938419342,811.755866765976,818.7108654975891,826.0743670463562,840.6704423427582,847.8687314987183,855.5478975772858,862.8675587177277,877.7325205802917,888.9019603729248,896.8145503997803,904.512776851654
total minutes,0.0,0.4948576251665751,0.6985310236612956,1.0020594557126363,1.3294976472854614,1.4670443415641785,1.6073627789815268,1.7630648056666056,1.959763809045156,2.1083725492159524,2.2302060683568317,2.416133173306783,2.6767122666041057,2.881250727176666,3.0937323927879334,3.2948293964068096,3.424708076318105,3.6396129687627155,4.2022494912147526,4.3253079652786255,4.589210486412048,4.845236019293467,4.976485033830007,5.111722719669342,5.442058912913004,5.561318361759186,5.813111058870951,5.997973438103994,6.180227677027385,6.3030243476231895,6.572520319620768,6.693864599863688,6.8100237369537355,6.997993346055349,7.199882558981577,7.336350293954213,7.462835764884948,7.8292954683303835,8.028014898300171,8.16829696893692,8.353265436490377,8.596625185012817,8.713689438501994,8.844467369715373,9.10049090385437,9.30289928515752,9.418309374650319,9.539941823482513,9.666781389713288,9.785345077514648,9.967265792687733,10.090015908082327,10.396295360724132,10.528398271401723,10.751034859816233,10.878771444161734,11.004479118188222,11.192639633019764,11.394262107213338,11.720098030567168,11.845057717959087,11.974497338136038,12.089751505851746,12.223899054527283,12.42079038619995,12.544478750228881,12.812632791201274,12.935038510958353,13.051809724171957,13.274135573705037,13.404948973655701,13.5292644460996,13.645181091626485,13.76790611743927,14.01117403904597,14.131145524978638,14.259131626288097,14.381125978628795,14.628875343004863,14.81503267288208,14.94690917332967,15.075212947527568
cummulative feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,719.0,267.0,419.0,450.0,176.0,181.0,203.0,259.0,193.0,157.0,239.0,353.0,264.0,284.0,267.0,160.0,286.0,685.0,149.0,360.0,338.0,165.0,169.0,452.0,149.0,337.0,238.0,241.0,153.0,357.0,153.0,145.0,242.0,265.0,173.0,152.0,515.0,260.0,179.0,245.0,326.0,144.0,159.0,329.0,266.0,145.0,152.0,153.0,146.0,239.0,155.0,417.0,159.0,297.0,161.0,152.0,243.0,263.0,433.0,153.0,160.0,144.0,166.0,261.0,148.0,357.0,152.0,146.0,298.0,169.0,153.0,144.0,153.0,327.0,146.0,161.0,151.0,327.0,244.0,171.0,162.0
e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
buffer size,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
