,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
Accumulated time steps,0.0,1000.0,1999.0,2966.0,3902.0,4192.0,5130.0,5312.0,5584.0,5858.0,6138.0,6489.0,6880.0,7036.0,7206.0,7570.0,7838.0,8089.0,8357.0,8529.0,8921.0,9234.0,9396.0,9661.0,9954.0,10234.0,10497.0,10673.0,10822.0,11080.0,11243.0,11596.0,11924.0,12346.0,12610.0,12800.0,13094.0,13358.0,13631.0,13780.0,14032.0,14413.0,14667.0,14823.0,14998.0,15344.0,15686.0,15956.0,16130.0,16391.0,16556.0,16937.0,17345.0,17872.0,18148.0,18293.0,18441.0,18593.0,18844.0,19299.0,19453.0,19794.0
Episode reward,0.0,-53.91361853717151,-55.25455425948337,41.453962228415676,49.08065847653067,83.21889670498447,56.879121497615735,91.31375289146229,85.33581492505007,86.61068067336062,83.78742327004292,83.22779995850577,76.85833712723891,90.36130021818425,90.45780611211093,81.80042603542307,85.17883956966047,86.89232540614707,85.58927599101115,90.79809904656636,81.84956653859831,79.73439897268098,90.40616064921655,85.50118079327969,84.40281897842772,85.13089244663767,86.05340580159721,91.14392423723088,91.35755615773559,85.9224633014823,91.5679458188581,83.49331434461496,82.71860103924806,79.75835834192883,85.06792605766401,90.89035467748242,86.47845625084452,86.04798117301841,84.75610446957236,92.14903296328293,89.00294700565719,80.68998314906096,89.4826472057921,91.80513756530604,91.09823899086882,83.41146098734978,82.04954472482393,87.03244999792555,91.39122985945517,87.19060602876354,92.01121870567776,82.15583607182401,81.78742232814662,79.79063936127571,85.24950240712026,92.73379209465216,92.78214736267113,92.58541294356543,87.28453167609112,80.14703376745575,92.1780601251012,83.70227501429503
Episode feedback,0.8,0.3887775547206638,0.2645290578511733,0.20496894388719572,0.11229946512053533,0.11418685081596246,0.06510138733713833,0.07182320402307622,0.03690036886752632,0.02930402919668854,0.028673835022674427,0.04571428558367347,0.03333333324786325,0.05161290289281998,0.01775147918490249,0.02479338836145072,0.022471910028195093,0.007999999968,0.014981273352130063,0.017543859546527138,0.015345268502953278,0.003205128194855358,0.006211180085644845,0.0,0.003424657522518296,0.0035842293778343033,0.0038167938785618554,0.0057142856816326535,0.0,0.0,0.006172839468068892,0.0,0.003058103966183168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005263157880886426,0.0,0.0,0.0,0.0,0.0029325513110482365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,93.53567838668823,173.03240704536438,241.6489508152008,299.1938877105713,317.95157980918884,375.03541588783264,386.164922952652,401.6844787597656,416.8151490688324,432.3331708908081,452.1034893989563,473.8466718196869,483.30267357826233,492.8933730125427,512.902295589447,527.8890788555145,541.4175314903259,555.9876434803009,566.0947971343994,587.0495102405548,603.8101077079773,612.9277522563934,627.1357924938202,642.8019273281097,657.7582404613495,671.9362351894379,681.8173460960388,690.2004005908966,703.8955817222595,713.2713630199432,731.7734613418579,749.2279908657074,771.0270171165466,785.1199162006378,795.6984531879425,811.320582151413,825.5152440071106,840.2256133556366,848.6063897609711,862.2742605209351,882.4908761978149,896.4474647045135,905.3008043766022,915.056583404541,933.5650687217712,952.012086391449,966.8016500473022,976.5020835399628,990.6532330513,999.7005851268768,1019.5198972225189,1040.8119666576385,1068.0640296936035,1082.8378775119781,1090.9764938354492,1099.2937309741974,1107.782612323761,1121.3602502346039,1144.9569580554962,1153.6953163146973,1171.6000685691833
total minutes,0.0,1.5589279731114705,2.883873450756073,4.02748251358668,4.9865647951761884,5.299192996819814,6.250590264797211,6.436082049210866,6.69474131266276,6.946919151147207,7.205552848180135,7.535058156649272,7.897444530328115,8.055044559637706,8.214889550209046,8.54837159315745,8.798151314258575,9.023625524838765,9.266460724671681,9.434913285573323,9.784158504009246,10.063501795132956,10.215462537606557,10.452263208230336,10.713365455468496,10.962637341022491,11.198937253157299,11.36362243493398,11.503340009848277,11.731593028704326,11.887856050332386,12.196224355697632,12.487133181095123,12.850450285275777,13.085331936677298,13.261640886465708,13.52200970252355,13.75858740011851,14.003760222593943,14.143439829349518,14.371237675348917,14.708181269963582,14.940791078408559,15.088346739610037,15.25094305674235,15.55941781202952,15.86686810652415,16.113360834121703,16.275034725666046,16.510887217521667,16.66167641878128,16.991998287041984,17.346866110960644,17.80106716156006,18.04729795853297,18.182941563924153,18.32156218290329,18.463043538729348,18.689337503910064,19.082615967591604,19.22825527191162,19.52666780948639
cummulative feedback,0.0,388.0,652.0,850.0,955.0,988.0,1049.0,1062.0,1072.0,1080.0,1088.0,1104.0,1117.0,1125.0,1128.0,1137.0,1143.0,1145.0,1149.0,1152.0,1158.0,1159.0,1160.0,1160.0,1161.0,1162.0,1163.0,1164.0,1164.0,1164.0,1165.0,1165.0,1166.0,1166.0,1166.0,1166.0,1166.0,1166.0,1166.0,1166.0,1166.0,1168.0,1168.0,1168.0,1168.0,1168.0,1169.0,1169.0,1169.0,1169.0,1169.0,1169.0,1169.0,1169.0,1169.0,1169.0,1169.0,1169.0,1169.0,1169.0,1169.0,1169.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,966.0,935.0,289.0,937.0,181.0,271.0,273.0,279.0,350.0,390.0,155.0,169.0,363.0,267.0,250.0,267.0,171.0,391.0,312.0,161.0,264.0,292.0,279.0,262.0,175.0,148.0,257.0,162.0,352.0,327.0,421.0,263.0,189.0,293.0,263.0,272.0,148.0,251.0,380.0,253.0,155.0,174.0,345.0,341.0,269.0,173.0,260.0,164.0,380.0,407.0,526.0,275.0,144.0,147.0,151.0,250.0,454.0,153.0,340.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
