,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
Accumulated time steps,0.0,1000.0,1262.0,1638.0,2100.0,2705.0,3055.0,3314.0,3770.0,4037.0,4409.0,4669.0,4948.0,5225.0,5479.0,5647.0,5916.0,6271.0,6529.0,6787.0,7135.0,7434.0,7894.0,8236.0,8578.0,8929.0,9184.0,9342.0,9594.0,9769.0,9919.0,10172.0,10552.0,10822.0,11076.0,11543.0,11703.0,11957.0,12135.0,12396.0,13040.0,13311.0,13576.0,13843.0,14098.0,14350.0,14708.0,14977.0,15133.0,15395.0,15748.0,15907.0,16155.0,16504.0,16849.0,17105.0,17261.0,17508.0,17759.0,18028.0,18186.0,18337.0,18694.0,18851.0,19024.0,19373.0,19526.0,19780.0
Episode reward,0.0,-50.97497807594039,84.14318876156173,79.60289439229746,73.98322318284693,62.949176340558175,81.84210235993207,85.64586473016608,74.64310584890907,84.7739487698072,78.48894508754705,86.20074145609821,83.91604323045098,84.43919323136662,86.79102602807018,90.66995727840336,85.69383545381805,80.01947826846185,86.97263887469722,86.40016239841881,81.71497158158725,82.56048661260647,74.91100515113445,82.21956817964406,82.22252021728546,82.22084570517218,87.93016491883144,91.66671337540149,87.37981598173833,90.25983698966897,91.39863954001946,87.27223864038142,80.81209509992459,86.02057902631513,87.20435127398189,75.25402364836832,90.95824787627271,87.09222237268689,89.31938858360296,86.77290335505043,64.95929881075705,86.3899203389597,85.42709548098932,87.17072515068135,86.47571753023527,87.40749112315912,81.74015297391634,84.21932281880073,92.00307092589838,85.68642422899032,81.6463855122913,91.04004684267473,87.24765576464627,81.49253978751013,82.78713002775064,86.60049201529637,90.86420268803585,87.10945413943239,87.63602046049608,85.70061533693048,91.5070476417181,91.84145146532988,79.06151115491765,91.29821311972565,90.15572879069713,80.02120460799304,91.14824459790685,86.1570985368998
Episode feedback,0.8,0.3156312622087863,0.21072796854127215,0.191999999488,0.12364425135868926,0.06788079458960133,0.07449856712178062,0.07751937954449853,0.07912087894698708,0.052631578749505345,0.06469002677981125,0.03088803076877208,0.0467625897598468,0.036231883926696073,0.03557312238903904,0.02994011958119689,0.033582089426932506,0.0282485874908232,0.01167315170555194,0.01167315170555194,0.011527377488393725,0.006711409373451646,0.013071895396357527,0.005865102622096473,0.0,0.0,0.0,0.00636942671102276,0.003984063729147156,0.005747126403752147,0.0,0.0,0.0,0.003717472105139509,0.0039525691543376715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,75.29573917388916,94.77095079421997,121.10461664199829,150.02825045585632,184.6276183128357,206.49410223960876,222.48091769218445,249.06395649909973,264.5980432033539,286.36148500442505,300.9215304851532,316.94327449798584,332.63150429725647,346.9850323200226,356.65488052368164,371.65892934799194,391.27642607688904,405.35922479629517,419.51598286628723,438.19214248657227,454.41212606430054,478.72422194480896,496.9607746601105,514.9707050323486,533.6641891002655,547.3039269447327,556.398636341095,570.2951800823212,580.1201605796814,588.6172451972961,602.0780050754547,622.209146976471,636.8319973945618,650.6927535533905,675.0203120708466,684.0488533973694,697.7127850055695,707.5013184547424,721.5805263519287,754.587021112442,769.5220115184784,783.8765821456909,798.3246691226959,811.9798877239227,825.4667427539825,844.271124124527,858.718656539917,867.6118330955505,881.7603166103363,900.5546486377716,909.7119908332825,923.1865663528442,943.3693215847015,961.5125141143799,975.3717467784882,984.1558923721313,998.2283482551575,1011.7612047195435,1026.2999391555786,1035.0832722187042,1043.6775436401367,1063.2992060184479,1072.6067175865173,1082.644828081131,1102.343311548233,1111.4307219982147,1125.8704721927643
total minutes,0.0,1.254928986231486,1.579515846570333,2.0184102773666384,2.5004708409309386,3.077126971880595,3.441568370660146,3.7080152948697407,4.151065941651662,4.409967386722565,4.772691416740417,5.01535884141922,5.282387908299764,5.543858404954275,5.783083872000376,5.944248008728027,6.194315489133199,6.52127376794815,6.755987079938253,6.991933047771454,7.3032023747762045,7.5735354344050085,7.978737032413482,8.282679577668508,8.582845083872478,8.894403151671092,9.121732115745544,9.273310605684916,9.504919668038687,9.66866934299469,9.810287419954935,10.034633417924246,10.370152449607849,10.613866623242696,10.844879225889843,11.250338534514109,11.40081422328949,11.628546416759491,11.791688640912374,12.026342105865478,12.576450351874033,12.825366858641306,13.064609702428182,13.305411152044933,13.532998128732045,13.757779045899708,14.07118540207545,14.311977608998616,14.460197218259175,14.696005276838939,15.00924414396286,15.161866513888041,15.386442772547404,15.722822026411693,16.025208568573,16.25619577964147,16.40259820620219,16.637139137585958,16.862686745325725,17.10499898592631,17.25138787031174,17.39462572733561,17.7216534336408,17.876778626441954,18.04408046801885,18.372388525803885,18.523845366636913,18.764507869879406
cummulative feedback,0.0,315.0,370.0,442.0,499.0,540.0,566.0,586.0,622.0,636.0,660.0,668.0,681.0,691.0,700.0,705.0,714.0,724.0,727.0,730.0,734.0,736.0,742.0,744.0,744.0,744.0,744.0,745.0,746.0,747.0,747.0,747.0,747.0,748.0,749.0,749.0,749.0,749.0,749.0,749.0,749.0,749.0,749.0,749.0,749.0,749.0,749.0,749.0,749.0,749.0,749.0,749.0,749.0,749.0,749.0,749.0,749.0,749.0,749.0,749.0,749.0,749.0,749.0,749.0,749.0,749.0,749.0,749.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,261.0,375.0,461.0,604.0,349.0,258.0,455.0,266.0,371.0,259.0,278.0,276.0,253.0,167.0,268.0,354.0,257.0,257.0,347.0,298.0,459.0,341.0,341.0,350.0,254.0,157.0,251.0,174.0,149.0,252.0,379.0,269.0,253.0,466.0,159.0,253.0,177.0,260.0,643.0,270.0,264.0,266.0,254.0,251.0,357.0,268.0,155.0,261.0,352.0,158.0,247.0,348.0,344.0,255.0,155.0,246.0,250.0,268.0,157.0,150.0,356.0,156.0,172.0,348.0,152.0,253.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
