,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
Accumulated time steps,0.0,1000.0,1999.0,2601.0,2854.0,3117.0,3279.0,3434.0,3609.0,3861.0,4317.0,4480.0,4807.0,5149.0,5401.0,5853.0,6108.0,6366.0,6623.0,6968.0,7141.0,7418.0,7692.0,7979.0,8231.0,8665.0,8847.0,9347.0,9610.0,9850.0,10330.0,10588.0,10833.0,10981.0,11328.0,11575.0,11728.0,11975.0,12247.0,12416.0,12676.0,13027.0,13183.0,13436.0,13782.0,14017.0,14266.0,14548.0,14803.0,15054.0,15439.0,15784.0,16048.0,16304.0,16654.0,16905.0,17146.0,17463.0,17629.0,18035.0,18494.0,18852.0,19119.0,19401.0,19673.0,19835.0,19991.0
Episode reward,0.0,-68.34896712806092,-62.238652012440944,63.36505590748626,86.58904441491889,85.02475798203203,90.87855856105573,90.62293115393558,88.89889446172002,85.93885934730116,74.60882046754408,90.92802044288838,82.33970797610115,79.78495462351415,86.13849388806132,75.82472429942399,86.32101374859135,85.6809241871992,86.53756224799677,80.54159568887358,89.97204398855044,82.79943569081672,84.4534161267542,82.21883432581882,86.81517448735285,77.59560788204239,88.88709364139505,72.18499171366264,86.26559953332016,88.4231482616974,74.69158949284531,85.74237704166514,87.27655573677094,92.22624543610719,82.74064850365166,84.92460783998229,90.29920162237693,87.3001246233062,84.44440331519851,89.83187798664427,89.95907085164215,82.01886060001448,90.88887224479373,89.65789226632224,83.38350442638598,83.80000658765248,87.47727128520596,83.75185442714499,86.70181202992832,88.51157118461067,78.10354157197261,83.71089999622005,86.10295683463765,87.63233125406109,81.76882665981631,86.44029284088977,87.63834408321628,85.06714621006526,91.53652188346518,81.76456567685089,80.84348532004913,83.11741042318795,84.50734851912796,83.78752555569578,83.82392789393731,91.17601598240758,91.76699921738278
Episode feedback,0.8,0.01102204407713222,0.16332665314295927,0.13643926765983483,0.09920634881267322,0.12213740411397937,0.1118012415416072,0.0389610387080452,0.04022988482626503,0.04780876474976588,0.08791208771887453,0.03086419734034446,0.039877300491173925,0.038123167043627074,0.04780876474976588,0.02217294895305333,0.031496062868125736,0.04280155625369044,0.003906249984741211,0.026162790621619796,0.011627906909140076,0.007246376785339214,0.007326007299172135,0.01398601393711184,0.01195219118744147,0.004618937633674509,0.0,0.004008016024032032,0.015267175514247422,0.0,0.0020876826678754017,0.0,0.004098360638941145,0.0,0.0,0.0,0.01315789465027701,0.0040650406338819485,0.0036900368867526317,0.0,0.00772200769219302,0.0,0.0,0.003968253952506929,0.0,0.004273504255241435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,45.24147844314575,110.03748393058777,149.43741106987,166.19200921058655,183.4902150630951,194.43170166015625,203.6910126209259,214.21137309074402,229.3248393535614,256.80131483078003,266.53643774986267,285.97207045555115,305.43656516075134,320.66497707366943,345.57853507995605,360.4059543609619,375.898708820343,390.34302282333374,409.72799134254456,419.9501852989197,435.49236822128296,450.5079884529114,466.5476243495941,480.8112976551056,503.8811762332916,514.1142661571503,540.816570520401,555.6703307628632,568.85094165802,594.2508215904236,608.4413769245148,621.959774017334,630.5220417976379,649.0223355293274,662.7269833087921,671.6547203063965,685.406986951828,700.2592666149139,709.7639317512512,723.8738951683044,743.1828308105469,753.546106338501,767.5935690402985,786.0143218040466,798.9227674007416,812.5872714519501,827.9472856521606,841.881475687027,855.6066997051239,875.9411084651947,894.5345752239227,908.9563841819763,922.8618998527527,941.5454008579254,955.167337179184,968.2965886592865,985.1520147323608,994.4720349311829,1016.0938217639923,1040.539793252945,1059.6108932495117,1074.0872628688812,1089.4270524978638,1103.9271123409271,1113.1856315135956,1122.0333743095398
total minutes,0.0,0.7540246407190959,1.8339580655097962,2.4906235178311666,2.7698668201764423,3.058170251051585,3.240528361002604,3.394850210348765,3.5701895515124003,3.82208065589269,4.280021913846334,4.442273962497711,4.766201174259185,5.0906094193458555,5.344416284561158,5.759642251332601,6.006765906016032,6.2649784803390505,6.505717047055563,6.828799855709076,6.9991697549819945,7.258206137021383,7.508466474215189,7.775793739159902,8.013521627585094,8.398019603888194,8.56857110261917,9.01360950867335,9.261172179381052,9.480849027633667,9.904180359840392,10.14068961540858,10.365996233622234,10.508700696627299,10.81703892548879,11.045449721813203,11.194245338439941,11.423449782530467,11.670987776915233,11.829398862520854,12.06456491947174,12.386380513509115,12.559101772308349,12.793226150671641,13.100238696734111,13.315379456679027,13.543121190865834,13.799121427536011,14.031357928117115,14.260111661752065,14.599018474419912,14.908909587065379,15.149273069699605,15.381031664212545,15.69242334763209,15.919455619653066,16.138276477654774,16.419200245539347,16.574533915519716,16.93489702939987,17.34232988754908,17.66018155415853,17.90145438114802,18.157117541631063,18.39878520568212,18.553093858559926,18.70055623849233
cummulative feedback,0.0,11.0,174.0,256.0,281.0,313.0,331.0,337.0,344.0,356.0,396.0,401.0,414.0,427.0,439.0,449.0,457.0,468.0,469.0,478.0,480.0,482.0,484.0,488.0,491.0,493.0,493.0,495.0,499.0,499.0,500.0,500.0,501.0,501.0,501.0,501.0,503.0,504.0,505.0,505.0,507.0,507.0,507.0,508.0,508.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,601.0,252.0,262.0,161.0,154.0,174.0,251.0,455.0,162.0,326.0,341.0,251.0,451.0,254.0,257.0,256.0,344.0,172.0,276.0,273.0,286.0,251.0,433.0,181.0,499.0,262.0,239.0,479.0,257.0,244.0,147.0,346.0,246.0,152.0,246.0,271.0,168.0,259.0,350.0,155.0,252.0,345.0,234.0,248.0,281.0,254.0,250.0,384.0,344.0,263.0,255.0,349.0,250.0,240.0,316.0,165.0,405.0,458.0,357.0,266.0,281.0,271.0,161.0,155.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
