,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
Accumulated time steps,0.0,1000.0,1767.0,2222.0,2936.0,3193.0,3452.0,3800.0,3960.0,4213.0,4372.0,4520.0,4787.0,5045.0,5506.0,5759.0,5913.0,6177.0,6429.0,6579.0,6845.0,7131.0,7527.0,7802.0,8171.0,8334.0,8490.0,8645.0,8807.0,8987.0,9148.0,9423.0,9585.0,9737.0,10094.0,10361.0,10517.0,10674.0,11085.0,11246.0,11512.0,11873.0,12215.0,12380.0,12641.0,12803.0,12962.0,13125.0,13393.0,13750.0,13902.0,14219.0,14512.0,14774.0,15054.0,15201.0,15471.0,15612.0,15763.0,16041.0,16298.0,16548.0,16902.0,17172.0,17442.0,17605.0,17926.0,18080.0,18344.0,18609.0,18764.0,18921.0,19110.0,19373.0,19629.0,19786.0,19988.0
Episode reward,0.0,-57.276809556096296,51.61729966739206,74.10279918916065,58.48314251889444,85.1800797669881,84.91695309472156,80.66564012389792,91.66072479753967,85.9294525525525,92.0061230299871,91.76432973894883,86.52311288595914,87.62620003835274,74.79655320579708,87.8547680807892,91.61699614719375,87.08956376262466,85.85743756954633,91.49419065807922,83.3126919773761,85.9355734635879,80.68636356966806,84.4926202120433,82.09013744421632,92.25524194115484,92.19062428385989,92.4611811313223,91.26187540393988,89.87824002914427,92.12012907440725,87.52508372004236,89.92688384579952,91.75550482921912,81.42105912540737,85.89371702659724,92.63398836034804,92.08486795169873,83.77803971339753,92.51602873932327,86.20806617863879,84.4106752218915,87.83677685558231,91.59623797496819,85.83632323859244,91.94602309660938,92.32281313058907,92.13205011087328,83.70315212601523,82.254532065695,92.46191196930913,87.72097928320562,84.26582413497238,89.06987006626817,87.03428377089233,92.85186259322192,87.35116967023905,93.07126296742355,92.15185621922022,84.21229076073566,87.81581927300476,89.02775270562935,83.33658326428645,87.03780967104335,85.95552604394473,91.71193218342945,80.9421709702281,92.14220922266989,86.85135338614327,87.42356312014303,91.39262939325145,91.52677537066121,91.72200645306937,86.42917261151105,87.20092541432882,91.5043412132378,89.04687938341765
Episode feedback,0.8,0.3306613223139666,0.22976501275487596,0.11013215834772652,0.08555399707495934,0.074218749710083,0.06589147261282376,0.07780979804665765,0.04402515695581662,0.07539682509763165,0.06962025272392246,0.02721088416863344,0.03383458633896772,0.035019455116655815,0.047826086852551984,0.03174603162005543,0.032679738348498445,0.022813688126183694,0.015936254916588625,0.020134228052790415,0.007547169782840869,0.021052631505078485,0.007594936689633072,0.0036496350231765146,0.008152173890890832,0.012345678936137784,0.012903225723204995,0.006493506451340867,0.018633540256934533,0.016759776442682815,0.012499999921875001,0.0,0.006211180085644845,0.0,0.008426966268463579,0.0,0.012903225723204995,0.006410256369165024,0.00975609753718025,0.0,0.0,0.0027777777700617283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038314176098413117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total seconds,0.0,79.46821331977844,140.1085159778595,170.11601781845093,213.96823930740356,230.731342792511,247.15134930610657,268.4519672393799,278.2844514846802,294.54006147384644,305.302170753479,314.1701307296753,329.94891452789307,345.14508271217346,372.16824102401733,386.9698507785797,396.77415561676025,411.709965467453,425.74245429039,434.53394961357117,449.1140534877777,465.31787180900574,486.4971160888672,501.7102243900299,521.6708693504333,531.2232203483582,540.2718365192413,549.2315924167633,558.7591707706451,569.247654914856,578.5974435806274,593.4200372695923,602.801176071167,611.6572618484497,631.313056230545,646.0234718322754,655.0570576190948,664.3885216712952,686.6320378780365,695.7347421646118,710.2678344249725,729.7401790618896,748.5376827716827,757.8305113315582,771.9746632575989,781.0368413925171,790.0649535655975,799.3495316505432,813.8767790794373,833.1337196826935,841.9996070861816,859.1563782691956,874.8485333919525,889.2141239643097,904.4389135837555,912.8478417396545,927.8748834133148,936.0380892753601,944.8266170024872,959.8031892776489,973.731329202652,987.4275739192963,1006.3829801082611,1021.0278496742249,1035.7264113426208,1044.8933622837067,1062.7003223896027,1071.4651260375977,1085.7723965644836,1100.1615784168243,1108.9618673324585,1117.9526476860046,1128.628069639206,1142.6390891075134,1156.448560476303,1165.3037497997284,1176.6145510673523
total minutes,0.0,1.3244702219963074,2.335141932964325,2.8352669636408487,3.5661373217900594,3.845522379875183,4.119189155101776,4.474199453989665,4.638074191411336,4.909001024564107,5.088369512557984,5.236168845494588,5.499148575464885,5.752418045202891,6.202804017066955,6.449497512976328,6.612902593612671,6.861832757790883,7.0957075715065,7.242232493559519,7.4852342247962955,7.755297863483429,8.108285268147787,8.361837073167164,8.694514489173889,8.853720339139302,9.004530608654022,9.153859873612722,9.31265284617742,9.487460915247599,9.64329072634379,9.890333954493205,10.046686267852783,10.194287697474161,10.521884270509084,10.767057863871257,10.917617626984914,11.073142027854919,11.443867297967275,11.595579036076863,11.83779724041621,12.162336317698161,12.475628046194712,12.630508522192637,12.866244387626647,13.017280689875285,13.167749226093292,13.32249219417572,13.564612984657288,13.885561994711558,14.033326784769693,14.319272971153259,14.580808889865875,14.820235399405162,15.07398189306259,15.21413069566091,15.464581390221914,15.600634821256001,15.747110283374786,15.996719821294148,16.228855486710867,16.457126231988273,16.773049668471018,17.01713082790375,17.262106855710346,17.414889371395113,17.711672039826713,17.857752100626627,18.09620660940806,18.336026306947073,18.482697788874308,18.632544128100076,18.8104678273201,19.043984818458558,19.274142674605052,19.421729163328806,19.610242517789207
cummulative feedback,0.0,330.0,506.0,556.0,617.0,636.0,653.0,680.0,687.0,706.0,717.0,721.0,730.0,739.0,761.0,769.0,774.0,780.0,784.0,787.0,789.0,795.0,798.0,799.0,802.0,804.0,806.0,807.0,810.0,813.0,815.0,815.0,816.0,816.0,819.0,819.0,821.0,822.0,826.0,826.0,826.0,827.0,827.0,827.0,827.0,827.0,827.0,827.0,827.0,827.0,827.0,827.0,827.0,828.0,828.0,828.0,828.0,828.0,828.0,828.0,828.0,828.0,828.0,828.0,828.0,828.0,828.0,828.0,828.0,828.0,828.0,828.0,828.0,828.0,828.0,828.0,828.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,766.0,454.0,713.0,256.0,258.0,347.0,159.0,252.0,158.0,147.0,266.0,257.0,460.0,252.0,153.0,263.0,251.0,149.0,265.0,285.0,395.0,274.0,368.0,162.0,155.0,154.0,161.0,179.0,160.0,274.0,161.0,151.0,356.0,266.0,155.0,156.0,410.0,160.0,265.0,360.0,341.0,164.0,260.0,161.0,158.0,162.0,267.0,356.0,151.0,316.0,292.0,261.0,279.0,146.0,269.0,140.0,150.0,277.0,256.0,249.0,353.0,269.0,269.0,162.0,320.0,153.0,263.0,264.0,154.0,156.0,188.0,262.0,255.0,156.0,201.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
